,inferred dec temp,subject,inferred reward rate,inferred cached weight,inferred cached rate
0,2.7506285,0,0.49438447,1.8801169,0.64768934
1,2.7289586,1,0.45138538,1.7926692,0.6326414
2,1.9208215,2,0.69634056,1.7489744,0.6877421
3,2.033765,3,0.22293523,1.757462,0.6944643
4,4.876922,4,0.65249133,1.785658,0.5998906
5,1.8475305,5,0.16988114,1.7585342,0.7155226
6,3.7944353,6,0.28982466,1.8853943,0.49825898
7,3.5556216,7,0.26114124,1.6697178,0.6755426
8,5.1369534,8,0.70804906,1.8678758,0.701448
9,3.3321838,9,0.45737603,1.9081055,0.63807374
10,2.7627916,10,0.59809095,1.7421172,0.60364175
11,2.1572971,11,0.64013505,1.6548164,0.5757693
12,4.1265035,12,0.46029142,1.8481069,0.6276682
13,2.1344903,13,0.53243566,1.7234775,0.6891301
14,5.545781,14,0.15213281,1.7723687,0.6937529
15,4.705454,15,0.7452651,1.8032227,0.529874
16,3.169583,16,0.38805535,1.842469,0.62390214
17,3.8514702,17,0.6730333,1.8443757,0.6029297
18,2.8829277,18,0.26007235,1.6823899,0.27259406
19,7.196004,19,0.564986,1.9835149,0.6331143
20,3.6747875,20,0.7191363,1.7660563,0.53300786
21,6.1679797,21,0.1775524,1.8888417,0.7139757
22,5.7073812,22,0.21682337,1.9872346,0.62036234
23,4.9189253,23,0.5509562,1.8369398,0.68498963
24,4.121528,24,0.5912356,1.6900414,0.48892644
25,2.0080695,25,0.15841858,1.7697858,0.6649517
26,3.100425,26,0.7398403,1.7129054,0.66885376
27,6.7284765,27,0.7747134,1.7976336,0.5704928
28,2.472418,28,0.5316847,1.7217188,0.6466196
29,5.1543603,29,0.5523503,1.9601403,0.6557993
30,3.453641,30,0.7266819,1.8117723,0.65368897
31,3.7430863,31,0.23891874,1.7982895,0.65625095
32,4.0698814,32,0.2659692,1.7411287,0.4152421
33,4.095655,33,0.58906144,1.9499955,0.53113925
34,5.9079113,34,0.2304345,1.9293408,0.57851523
35,5.9577136,35,0.17209399,2.034012,0.75951606
36,1.9141518,36,0.61465013,1.6454495,0.6805787
37,5.52144,37,0.14901812,1.7772659,0.6452204
38,3.0753243,38,0.5421437,1.8160505,0.6629393
39,5.872342,39,0.7150296,1.9049529,0.62473845
40,2.3123915,40,0.18020575,1.7605481,0.65484
41,5.5783615,41,0.2270149,1.8937054,0.6836777
42,6.5212164,42,0.51936275,1.7630795,0.3935752
43,2.465909,43,0.2091897,1.8584348,0.66099966
44,2.5013185,44,0.6608677,1.898423,0.524688
45,2.935491,45,0.7183335,1.7588341,0.49848646
46,1.8820258,46,0.1905339,1.7279011,0.6166118
47,2.1353102,47,0.6891966,1.7446978,0.51774037
48,4.8331957,48,0.30626312,1.9345386,0.6416473
49,3.3806007,49,0.17943773,1.7724531,0.3650168
50,1.866493,50,0.5279536,1.7185016,0.7137127
51,2.9232616,51,0.6376238,1.7703478,0.64894646
52,2.5339596,52,0.6791716,1.6023462,0.6219594
53,5.583831,53,0.28331468,1.8184353,0.7034115
54,6.0992804,54,0.6057704,1.7684118,0.6448051
55,3.2239761,55,0.23260929,1.7736956,0.53639126
56,1.9296004,56,0.6788683,1.7768881,0.6315951
57,2.0311947,57,0.1639011,1.7319345,0.7013889
58,3.1441727,58,0.74117553,1.8802202,0.64533937
59,3.4589648,59,0.3811458,1.6080838,0.5863185
60,3.6798077,60,0.22448197,1.7331644,0.65007544
