,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,3.0142803,3.3933613,0,0.5242795,0.58089435,0.5149157,0.0,0.5213461,0.0
1,3.0409513,2.4286149,1,0.507249,0.5860827,0.49287048,0.0,0.49849865,0.0
2,1.2188853,1.169639,2,0.7245404,0.8732217,0.50329745,0.0,0.5154275,0.0
3,1.6387666,1.9144022,3,0.23140296,0.19735658,0.49543047,0.0,0.52126026,0.0
4,4.9079022,5.7181797,4,0.67814803,0.57670575,0.50809824,0.0,0.49182466,0.0
5,1.427691,1.6043899,5,0.11946957,0.08968705,0.5103714,0.0,0.49488094,0.0
6,3.9549108,4.5273457,6,0.3589177,0.32680553,0.49294868,0.0,0.476,0.0
7,6.1769977,5.7788954,7,0.012637598,0.014531136,0.48717588,0.0,0.48303282,0.0
8,5.0453258,4.747401,8,0.73478156,0.6181895,0.5055482,0.0,0.49249595,0.0
9,3.4061885,2.4423916,9,0.50468224,0.58240664,0.50117946,0.0,0.50297713,0.0
10,3.0790322,2.992299,10,0.67714125,0.68664235,0.48959178,0.0,0.5120154,0.0
11,1.6633139,1.3759247,11,0.6490006,0.31283242,0.50491947,0.0,0.51125294,0.0
12,3.9909651,3.9304006,12,0.4726106,0.714507,0.50034934,0.0,0.5128685,0.0
13,1.6990434,1.789836,13,0.48935112,0.73654246,0.49176952,0.0,0.49051267,0.0
14,5.428354,5.6548676,14,0.07004574,0.07316989,0.49851364,0.0,0.49538046,0.0
15,4.7362146,4.7249727,15,0.8502398,0.9658263,0.50765336,0.0,0.5211265,0.0
16,3.2684274,4.3173785,16,0.4277461,0.4857043,0.47661248,0.0,0.51073,0.0
17,3.9941084,2.763187,17,0.7931016,0.5899848,0.4993575,0.0,0.48950577,0.0
18,3.316356,3.8708043,18,0.27499694,0.26772165,0.48425892,0.0,0.5002512,0.0
19,6.687332,5.804272,19,0.58342266,0.57436275,0.49667963,0.0,0.50570196,0.0
20,3.9800117,3.8730602,20,0.8324873,0.8259692,0.4997248,0.0,0.48429456,0.0
21,5.5231876,5.041267,21,0.17820981,0.19053954,0.48474714,0.0,0.5208342,0.0
22,5.3055325,5.4047084,22,0.23120254,0.21183038,0.50306135,0.0,0.49668542,0.0
23,4.565007,3.6766965,23,0.6085248,0.8093756,0.50570726,0.0,0.5052885,0.0
24,4.1290283,4.822742,24,0.59646034,0.44749933,0.5063811,0.0,0.5042104,0.0
25,1.6836402,1.3952533,25,0.13362351,0.30661952,0.50458384,0.0,0.5062021,0.0
26,3.3544648,3.2219715,26,0.8690771,0.8402133,0.47630858,0.0,0.5141405,0.0
27,6.511115,5.7195873,27,0.85039735,0.922143,0.5125553,0.0,0.5142683,0.0
28,2.6056376,3.591013,28,0.5513602,0.5787527,0.485503,0.0,0.50843287,0.0
29,4.8660803,3.9149332,29,0.5677595,0.5267233,0.47437346,0.0,0.47867796,0.0
30,3.5738394,3.3617282,30,0.8300355,0.9274642,0.49884588,0.0,0.48307234,0.0
31,3.6161432,3.5918448,31,0.2542007,0.28276652,0.5081797,0.0,0.510538,0.0
32,4.043466,3.8821776,32,0.28428185,0.33264327,0.4863028,0.0,0.48658463,0.0
33,4.2563553,3.3448286,33,0.61944926,0.6709722,0.46872643,0.0,0.4835625,0.0
34,5.4438233,5.18904,34,0.2577179,0.20893836,0.50606847,0.0,0.5295835,0.0
35,5.249005,4.1041555,35,0.17935407,0.14355463,0.5002687,0.0,0.5009221,0.0
36,1.2789412,1.9880668,36,0.5572835,0.74306315,0.47982132,0.0,0.49345478,0.0
37,4.9852834,4.702059,37,0.09694664,0.09648782,0.5223361,0.0,0.47633174,0.0
