,cached weight,cached rate,subject
0,0.3701271,0.79995894,0
1,0.28572732,0.55403835,1
2,0.50136393,0.4195795,2
3,0.36729658,0.688477,3
4,0.40812713,0.9045143,4
5,0.48789942,0.51091564,5
6,0.40054417,0.4372813,6
7,0.4199478,0.56053495,7
8,0.36526394,0.6349683,8
9,0.30262226,0.6348498,9
10,0.584315,0.42033386,10
11,0.25394043,0.5886128,11
12,0.24947757,0.6154438,12
13,0.48976398,0.76834,13
14,0.23749755,0.534831,14
15,0.40701377,0.612306,15
16,1.0949614,0.58760494,16
17,0.21385433,0.33116728,17
18,0.43697244,0.90439564,18
19,0.48780292,0.7979745,19
20,0.6007576,0.65285194,20
21,0.52951443,0.53737634,21
22,0.14727232,0.63358575,22
23,0.3368868,0.48719153,23
24,0.74627906,0.6277842,24
25,0.43225276,0.29427603,25
26,0.5593178,0.16569313,26
27,0.3603119,0.6131617,27
28,0.40924734,0.4721728,28
29,0.47573492,0.5172903,29
30,0.8693931,0.8185423,30
31,0.39167973,0.44650802,31
32,0.60805136,0.48823273,32
33,0.3004444,0.5203272,33
34,0.17544478,0.7187205,34
35,0.70892936,0.8361087,35
36,0.48175338,0.4964491,36
37,0.33374277,0.7932688,37
38,0.5143613,0.3642514,38
39,0.2557997,0.51656246,39
40,0.66287374,0.6065954,40
41,0.57551897,0.8440365,41
42,0.427331,0.64620155,42
43,0.45028347,0.81239533,43
44,0.5884237,0.37122732,44
45,0.2793638,0.21131147,45
46,0.2614526,0.86097133,46
47,0.5151427,0.46335927,47
48,0.562671,0.7024491,48
49,0.5186142,0.58750594,49
50,0.30715767,0.57485926,50
51,0.24006471,0.49501202,51
52,0.29883915,0.3224004,52
53,0.3778423,0.6873435,53
54,0.5082636,0.7579581,54
55,1.1040213,0.13504559,55
56,0.6227536,0.5218186,56
57,0.3464123,0.76969576,57
58,0.31171697,0.43997458,58
59,0.34411883,0.31237563,59
60,0.44933167,0.8337388,60
61,0.4830101,0.6758807,61
62,0.43303674,0.24153408,62
63,0.52728736,0.9137002,63
64,0.70581305,0.309757,64
65,0.42565185,0.49773827,65
66,0.49978253,0.32593763,66
67,0.43938226,0.49562338,67
68,0.4491961,0.5298118,68
69,0.4621445,0.2794503,69
70,0.2187697,0.45228773,70
71,0.9569795,0.4201673,71
72,0.7502326,0.72043097,72
73,0.652923,0.66984886,73
74,0.40849286,0.62273407,74
75,0.4940071,0.81926626,75
76,0.20952022,0.6489882,76
77,0.50056,0.7116235,77
78,0.52349406,0.3473069,78
79,0.60596955,0.8866112,79
80,0.6061186,0.78568625,80
81,0.78794175,0.4796117,81
82,0.3600424,0.64574033,82
83,0.31985855,0.54519665,83
84,0.84725046,0.6897282,84
85,0.25640348,0.7578473,85
86,0.2483827,0.25181696,86
87,0.5639044,0.2418076,87
88,0.9055597,0.6656575,88
89,0.8086291,0.30309984,89
90,0.29854774,0.94466305,90
91,0.31334168,0.34117508,91
92,0.2938063,0.5099426,92
93,0.6166388,0.51689625,93
94,1.0033631,0.33634228,94
95,0.28376245,0.672077,95
96,0.3457773,0.2566668,96
97,0.5758955,0.4368125,97
98,0.4243914,0.4379158,98
99,0.4255307,0.17112865,99
100,0.5131686,0.52815855,100
101,0.32083786,0.5113296,101
102,0.53492296,0.5102945,102
103,0.38788646,0.33974296,103
104,0.6546782,0.7944163,104
105,0.49053457,0.64205056,105
106,0.5725474,0.41952327,106
107,0.34509566,0.4204577,107
108,0.533928,0.68434966,108
109,0.55336154,0.8212892,109
110,0.39229777,0.4059321,110
111,0.51567566,0.8218223,111
112,0.8818129,0.6271609,112
113,0.40504223,0.5851971,113
114,0.31494826,0.3258322,114
115,0.4350977,0.65562797,115
116,0.8795326,0.76785886,116
117,0.64082974,0.5411826,117
118,0.37343308,0.44146153,118
119,0.53438014,0.08710873,119
120,0.32511407,0.44054553,120
121,0.8959005,0.5462621,121
122,0.6249666,0.2713562,122
123,0.4833628,0.5167732,123
124,0.20658377,0.7664709,124
125,0.6316618,0.6983247,125
126,0.5732277,0.93493253,126
127,0.535146,0.31435856,127
128,0.26877576,0.569048,128
129,0.44328165,0.43969554,129
130,0.31243974,0.34073693,130
