,locs0,locs1,subject
0,0.42679572,-2.2337718,0
1,0.93477356,-2.5636451,1
2,1.0446779,-2.579441,2
3,1.8354354,-1.8696668,3
4,0.839008,-3.3148456,4
5,0.9166388,-3.3991954,5
6,1.6060522,-2.61368,6
7,1.2683188,-2.4991605,7
8,0.8279399,-1.9204907,8
9,0.8767542,-1.6263338,9
10,1.6305487,-2.1471348,10
11,1.1135044,-2.1189432,11
12,1.0663228,-2.4783385,12
13,0.66004467,-0.380565,13
14,0.97709334,-2.3235464,14
15,1.2505065,-2.36721,15
16,1.6211226,-2.0920537,16
17,1.6637412,-2.834803,17
18,1.5586902,-2.5711842,18
19,1.149173,-2.2941082,19
20,1.2050421,-2.4911804,20
21,0.6951425,-2.1895533,21
22,0.9068208,-2.3674006,22
23,1.3315175,-2.4231875,23
24,1.3239396,-2.424015,24
25,0.21358895,-2.3339612,25
26,1.4700279,-1.4271458,26
27,1.9060953,-1.6425962,27
28,1.8557179,-2.3955736,28
29,1.4266405,-2.3284795,29
30,1.7726618,-2.211588,30
31,1.5762472,-2.3947759,31
32,2.0622306,-2.4887538,32
33,1.6457883,-2.55732,33
34,1.2865082,-2.7239273,34
35,1.6388037,-2.147368,35
36,1.2746425,-2.6547182,36
37,0.7457797,-2.5242765,37
38,0.5799673,-3.035852,38
39,1.7271044,-2.2277293,39
40,1.720225,-2.1256466,40
41,1.262894,-2.344413,41
42,1.599459,-2.5314775,42
43,0.34044278,-3.1602013,43
44,0.96151847,-2.2099428,44
45,1.969862,-2.4884367,45
46,2.3828382,-2.6762586,46
47,1.86039,-2.1807187,47
48,0.9214429,-2.5990915,48
49,1.2637142,-2.6573834,49
50,2.1360607,-2.2067227,50
51,0.75461495,0.68051404,51
52,0.18290448,-2.2446554,52
53,1.9387319,-2.5424042,53
54,2.224075,-2.36651,54
55,1.3822808,-3.0585206,55
56,1.4855886,-2.0238996,56
57,1.5932884,-2.005058,57
58,1.1280844,-2.840717,58
59,0.9332206,-2.8622768,59
60,0.8802807,-2.6906319,60
61,1.2510312,-2.5259032,61
62,0.71370935,-2.1224942,62
63,0.13624902,-0.34265894,63
64,0.45597827,-2.5929224,64
65,0.7505719,-2.611502,65
66,1.3601246,-2.1927543,66
67,2.0956209,-2.16016,67
68,1.7361894,-2.2248302,68
69,1.610032,-2.5509477,69
70,0.91770285,-2.7882776,70
71,2.6934564,-2.1074166,71
72,1.7498378,-2.3537264,72
73,1.1437545,-2.6254444,73
74,1.1967481,-1.9387009,74
75,1.5342134,-2.4603834,75
76,2.9640636,-2.2689724,76
77,1.6943789,-2.354817,77
78,1.365236,-2.3500888,78
79,1.8091136,-2.3322995,79
80,1.2819759,-2.3338268,80
81,1.0694137,-1.0358614,81
82,2.0718377,-2.1969678,82
83,2.1687393,-2.3796964,83
84,0.30032718,-1.926638,84
85,1.3504014,-2.7811046,85
86,1.8345269,-2.5462418,86
87,2.4300833,-2.3298516,87
88,0.80660343,-2.714307,88
89,1.456023,-2.376288,89
90,0.64562565,-2.8594675,90
91,0.5839564,-2.5332506,91
92,2.0695868,-2.040131,92
93,0.5144558,-2.628173,93
94,1.5919284,-2.7769368,94
95,1.3043499,-1.6230829,95
96,1.407774,-2.505417,96
97,-0.3265306,0.19707045,97
98,2.1055837,-2.200563,98
99,1.1939428,-2.8783898,99
100,1.6693368,-2.5261698,100
101,1.6236112,-2.1822076,101
102,1.9310797,-2.0752964,102
103,1.8915014,-2.5884297,103
104,0.78551304,-2.2713137,104
105,1.4839867,-2.4113493,105
106,2.0894651,-2.7389495,106
107,1.2496583,-2.4035342,107
108,0.8194076,-3.251921,108
109,1.3827668,-2.4288123,109
110,1.6493971,-2.113255,110
111,1.0362647,-2.7266204,111
112,0.7505069,-2.7477646,112
113,-0.23526093,0.3091739,113
114,1.038794,-2.474925,114
115,1.9051784,-2.4627526,115
116,1.7805593,-2.9080625,116
117,0.8718151,-2.9134815,117
118,1.8941363,-2.3684916,118
119,1.3056742,-2.2612646,119
120,1.133608,-2.6432211,120
121,-0.71281135,-0.07249285,121
122,1.0729342,-2.1291568,122
123,0.9647089,-2.693426,123
124,1.0302887,-2.5892143,124
125,1.542669,-2.7969296,125
126,0.87629384,-2.6867652,126
127,2.093146,-2.6676853,127
128,1.7374644,-2.610554,128
129,0.52828014,0.05919598,129
130,1.1350285,-2.4438918,130
131,0.7286912,-2.5425272,131
132,2.371364,-2.1265855,132
133,1.1858323,-2.1269627,133
134,2.311444,-1.4430624,134
135,1.8391235,-2.580751,135
136,1.858467,-2.2130158,136
137,2.163571,-2.4697044,137
138,0.7100747,-2.143365,138
139,1.9151672,-2.6128767,139
140,1.304264,-2.6411955,140
141,1.7450463,-1.1960726,141
142,1.8363934,-2.648248,142
143,1.2475559,-2.5476115,143
144,1.3015479,-2.385391,144
145,0.6634517,-2.0503683,145
146,1.6914549,-1.522364,146
147,-0.0023044646,0.052101195,147
148,1.5056833,-2.5648582,148
149,1.2271183,-2.18127,149
150,1.9007812,-2.4550445,150
151,2.2729545,-1.7014776,151
152,1.6331387,-2.3604758,152
153,1.2002219,-2.5024254,153
154,1.4183699,-2.227471,154
155,1.6572119,-2.956011,155
156,2.043855,-2.6440532,156
157,1.1405121,-2.342509,157
158,1.5593623,-2.7670488,158
159,0.5264728,-2.6647177,159
160,1.7021366,-2.3292582,160
161,0.7478524,-2.7926116,161
162,0.71906936,-2.5861626,162
163,-0.14353418,-1.9960104,163
164,1.1150903,-2.4819899,164
165,1.6968615,-2.3359494,165
166,1.2157063,-2.3657193,166
167,0.9874973,-2.0251436,167
168,2.0914316,-2.7012792,168
169,1.7022679,-1.9712585,169
170,1.8677919,-2.5531259,170
171,1.4499633,-2.3948753,171
172,1.2627324,-2.0612683,172
173,0.328084,-2.9223547,173
174,1.5513597,-2.3437595,174
175,1.0251064,-2.7240167,175
176,1.0694692,-1.6405846,176
177,1.3511918,-2.8344986,177
178,0.5326954,-2.5083768,178
179,1.6902186,-2.520553,179
180,2.312026,-2.0009499,180
181,1.2014229,-2.5272079,181
182,1.0587223,-2.559174,182
183,1.500547,-2.2446744,183
184,0.61564356,-1.543723,184
185,1.3172871,-2.696159,185
186,1.9481679,-2.4894598,186
187,0.2783231,-2.3219767,187
188,1.1162902,-2.2209568,0
189,1.853593,-1.6637383,1
190,1.2803717,-2.20524,2
191,1.2544154,-2.4520617,3
192,1.9054168,-2.625241,4
193,1.5755723,-2.7250302,5
194,1.1322793,-2.364047,6
195,1.8042073,-2.3649733,7
196,0.37470436,-2.288993,8
197,1.2753749,-1.8627553,9
198,0.8825136,-2.5317512,10
199,1.4148536,-2.6224375,11
200,1.3078315,-2.0548775,12
201,-0.43629807,0.045551315,13
202,1.3687257,-2.0324593,14
203,1.6242344,-2.5897877,15
204,1.8651266,-2.1146445,16
205,1.5112098,-2.5700436,17
206,2.3864295,-2.8162148,18
207,1.0678262,-2.0685694,19
208,1.2538098,-2.1423445,20
209,0.48376524,-2.003939,21
210,1.8386195,-1.9141345,22
211,1.56035,-2.408588,23
212,0.91729873,-1.9706062,24
213,2.2894669,-2.2564745,25
214,0.5739068,-1.8351071,26
215,1.3005558,-1.7131386,27
216,1.265326,-3.2028146,28
217,1.4828919,-2.7383544,29
218,1.9641646,-2.6526308,30
219,1.9295267,-2.236758,31
220,1.6811271,-2.0776267,32
221,1.1039996,-3.0184686,33
222,1.524518,-2.7698364,34
223,1.4333266,-2.4281044,35
224,1.6857096,-2.867608,36
225,1.5283225,-2.5186052,37
226,1.1646985,-2.8046653,38
227,0.99901056,-2.4474893,39
228,1.5770404,-2.3804939,40
229,1.5131042,-1.7771021,41
230,1.6563514,-2.4695232,42
231,2.4079213,-2.4415321,43
232,0.99999845,-1.8267415,44
233,1.3546917,-3.394528,45
234,1.5602372,-2.8020976,46
235,1.6376135,-2.5428758,47
236,1.6877974,-2.7931283,48
237,1.355973,-2.96024,49
238,1.4415518,-2.3505569,50
239,-0.14825624,0.5686356,51
240,1.5570441,-2.3247027,52
241,1.030744,-2.304703,53
242,1.7403727,-2.3524027,54
243,1.2705313,-2.0314136,55
244,0.69764525,-2.3349237,56
245,1.855703,-2.3262079,57
246,1.6716862,-2.2566266,58
247,1.9834771,-2.6363397,59
248,1.2845867,-2.3622384,60
249,1.1419253,-2.3993344,61
250,1.1307533,-2.0421195,62
251,-0.63907003,-0.39515454,63
252,1.0954864,-2.70553,64
253,1.1155688,-2.596734,65
254,1.7714043,-2.5241501,66
255,0.9346086,-2.293704,67
256,0.66527027,-2.7548637,68
257,1.281654,-2.1699367,69
258,1.7187724,-2.4167738,70
259,1.2760129,-2.2202537,71
260,1.016049,-2.5284142,72
261,1.0998862,-2.3571901,73
262,1.3702596,-1.972862,74
263,1.5303054,-2.4995346,75
264,2.319625,-2.3642786,76
265,1.911047,-2.4186203,77
266,1.4059521,-2.1915307,78
267,0.76009274,-2.4033406,79
268,1.9957051,-2.218918,80
269,1.2464939,-0.8477192,81
270,1.7316607,-2.0778635,82
271,0.9845771,-2.570314,83
272,1.9065276,-1.7530386,84
273,1.0035369,-2.9283624,85
274,1.376118,-2.379174,86
275,0.722958,-2.6747246,87
276,1.2834196,-2.7383747,88
277,0.6773309,-2.199008,89
278,1.3762202,-2.4939008,90
279,1.8457135,-2.614182,91
280,2.0860035,-2.5219932,92
281,1.4607533,-2.1131754,93
282,1.2398275,-2.93596,94
283,0.30582386,-1.7662368,95
284,2.097,-2.685966,96
285,-0.96813744,0.2653935,97
286,0.4532814,-2.4985232,98
287,1.696669,-2.39709,99
288,1.82401,-2.2201838,100
289,0.88270915,-1.9631162,101
290,0.6091965,-2.108221,102
291,1.5883336,-2.6231418,103
292,0.8450012,-2.1157935,104
293,0.666667,-2.5122855,105
294,1.4076178,-3.048121,106
295,1.6217179,-2.4873438,107
296,2.6580825,-2.4464989,108
297,1.2252109,-2.65377,109
298,0.70603937,-2.5987585,110
299,1.450257,-2.2279305,111
300,1.9922454,-2.6502595,112
301,0.29496384,0.41273588,113
302,1.324182,-2.485894,114
303,0.7900275,-2.6100795,115
304,2.0958142,-3.0503836,116
305,1.3580121,-2.6399982,117
306,1.5047843,-2.1150813,118
307,1.450578,-2.7791386,119
308,0.31966114,-2.9341245,120
309,-0.57193875,-0.4716006,121
310,1.3536282,-2.499613,122
311,0.6021339,-3.1395082,123
312,0.38591337,-3.1113517,124
313,1.6036001,-2.5927672,125
314,2.8896174,-2.0911381,126
315,0.35673463,-2.7542903,127
316,1.8504792,-2.9009862,128
317,-0.21470582,-0.27283502,129
318,0.7354199,-2.5302587,130
319,1.9043486,-2.0598006,131
320,1.0837154,-2.8950214,132
321,0.08029926,-2.6402824,133
322,0.9461623,-1.8171723,134
323,1.6244373,-2.2866306,135
324,0.7056144,-2.6100056,136
325,1.435789,-2.2361023,137
326,1.092149,-2.2215579,138
327,0.7597467,-2.0004606,139
328,2.2688744,-2.5925128,140
329,0.811011,-1.4302541,141
330,1.5353808,-2.567477,142
331,1.9159447,-2.2318745,143
332,1.4508755,-2.5066228,144
333,1.1855232,-2.3932838,145
334,1.2095133,-1.8660946,146
335,0.60568297,0.18302232,147
336,1.3449478,-2.0636663,148
337,1.446633,-2.7017565,149
338,1.3896294,-2.4535885,150
339,1.3440323,-2.5685842,151
340,1.6803861,-1.683196,152
341,1.3235224,-2.0132768,153
342,1.5628334,-2.2033932,154
343,1.0317593,-2.673251,155
344,1.5984838,-3.141523,156
345,2.1173832,-2.4110384,157
346,1.5382946,-2.2240522,158
347,1.8546091,-2.2791014,159
348,1.2265613,-2.5337296,160
349,1.5419838,-2.706114,161
350,1.1233537,-2.1638827,162
351,1.9705243,-1.6152053,163
352,1.5016252,-2.0438704,164
353,0.35437918,-2.476624,165
354,1.7344012,-2.5648623,166
355,1.8876772,-1.7924516,167
356,1.3276614,-2.7593973,168
357,2.273331,-2.2081676,169
358,1.3468454,-2.5795813,170
359,1.0213853,-2.4904118,171
360,1.5628837,-2.3669882,172
361,1.4806488,-2.936039,173
362,1.5778512,-2.4707987,174
363,1.6983782,-2.5164595,175
364,2.3562622,-1.8299985,176
365,1.7497616,-2.323079,177
366,1.3566321,-2.2704096,178
367,1.2454832,-2.3024433,179
368,1.4162511,-1.9699278,180
369,1.5920839,-2.4140835,181
370,1.5903572,-2.4240966,182
371,1.6178309,-2.7373712,183
372,0.36901516,-1.6515665,184
373,1.8962936,-2.3484595,185
374,1.1162796,-2.4542875,186
375,2.401408,-1.6859195,187
376,1.4436419,-2.2116654,0
377,1.5999317,-2.2152715,1
378,1.247403,-2.1365654,2
379,2.0648425,-1.9021971,3
380,1.6914964,-2.8120215,4
381,1.740476,-2.8343592,5
382,0.7576937,-2.2470024,6
383,2.1618266,-2.1427324,7
384,0.4644208,-2.5255716,8
385,0.8349148,-1.5895973,9
386,1.2208649,-2.1877787,10
387,1.6416919,-2.4815419,11
388,1.342771,-2.4363415,12
389,-0.43990213,-0.18966493,13
390,1.0364616,-2.4238324,14
391,2.1291955,-2.0774972,15
392,0.6860719,-2.926337,16
393,1.7349524,-2.4456408,17
394,1.8897519,-2.9379818,18
395,1.5490507,-2.5611808,19
396,1.5502499,-2.4844842,20
397,1.4804661,-2.0662806,21
398,1.5133798,-2.2092946,22
399,2.1082869,-2.0608325,23
400,2.334225,-2.1693506,24
401,1.3225421,-2.0340698,25
402,0.87042654,-1.705771,26
403,1.157557,-2.1095874,27
404,1.4979895,-3.0772269,28
405,1.1171424,-2.5079129,29
406,0.740816,-2.566098,30
407,0.89109373,-2.3582118,31
408,1.621637,-2.4404242,32
409,1.6453556,-2.9281337,33
410,1.116897,-2.8732862,34
411,1.018739,-2.6237566,35
412,1.4742917,-2.7420993,36
413,1.4577259,-2.2325175,37
414,1.7173295,-2.8981738,38
415,1.7174908,-2.4826303,39
416,1.7326995,-2.0959842,40
417,1.0193998,-1.9699541,41
418,1.59906,-2.5652223,42
419,1.0260726,-2.6914067,43
420,0.9693099,-1.7689531,44
421,1.1422491,-3.2100039,45
422,1.4786828,-2.7062495,46
423,0.524499,-2.8092692,47
424,0.75318396,-2.714242,48
425,1.566652,-2.348233,49
426,0.6662013,-2.5324106,50
427,0.102592364,-0.076676115,51
428,1.4222156,-1.9898598,52
429,0.7242836,-2.3740337,53
430,1.2349088,-2.7213118,54
431,0.60419405,-2.2523828,55
432,1.6455762,-1.5635562,56
433,1.7350594,-2.347226,57
434,1.4533949,-2.533709,58
435,1.093788,-2.6854236,59
436,1.7489257,-2.209437,60
437,1.9982811,-2.2261233,61
438,1.8422534,-2.1885817,62
439,-0.6257539,-0.11963434,63
440,1.3488073,-2.293586,64
441,1.5606823,-2.3654726,65
442,1.5312082,-2.7575185,66
443,1.142963,-2.3157222,67
444,1.2297926,-2.1174824,68
445,1.6616328,-2.5881667,69
446,1.4059336,-2.5795548,70
447,1.7613246,-2.7159607,71
448,0.5812297,-1.9809341,72
449,1.1924918,-2.014793,73
450,1.9377874,-1.7669765,74
451,1.0611615,-2.1700964,75
452,2.2116196,-2.0965621,76
453,1.6032045,-2.6368475,77
454,1.0478237,-2.4444954,78
455,1.9875187,-2.3168206,79
456,1.2361269,-1.8982024,80
457,0.53017855,-1.5774279,81
458,1.4622896,-2.585046,82
459,1.822356,-2.529758,83
460,1.4541502,-1.9384046,84
461,1.1254606,-2.6150362,85
462,0.7030808,-2.3315272,86
463,0.67020375,-2.7616835,87
464,1.369941,-2.5455475,88
465,1.02632,-2.361344,89
466,1.6630256,-2.9311168,90
467,0.94567823,-2.2643657,91
468,2.0739813,-2.0188897,92
469,0.95391554,-2.1405568,93
470,2.4002852,-2.6239357,94
471,0.96184605,-1.3255882,95
472,2.3595867,-2.1868677,96
473,-0.5472347,0.029284716,97
474,1.5261916,-2.1103501,98
475,1.577136,-2.420178,99
476,1.0384538,-2.386439,100
477,1.1460105,-2.0549774,101
478,-0.0068906546,-2.3776276,102
479,0.9745972,-2.7661395,103
480,1.4909207,-1.9363984,104
481,1.4123582,-2.5961337,105
482,0.9715673,-2.9345894,106
483,1.4429096,-2.218563,107
484,1.4524766,-3.084187,108
485,1.6936895,-2.5315533,109
486,1.2759001,-2.6021695,110
487,0.9157641,-2.92793,111
488,1.155441,-2.860807,112
