,inferred habitual tendency,true habitual tendency,subject,inferred policy rate,true policy rate
0,1.2473797,3.5262213,0,0.76663214,0.68800616
1,0.8701851,5.2278304,1,0.7961645,0.09244484
2,0.9822693,4.0311456,2,0.77894956,0.57533705
3,1.2119809,1.3123206,3,0.770036,0.35806626
4,0.6032998,4.1972237,4,0.8098589,0.22250623
5,0.6102175,5.638213,5,0.817378,0.05198562
6,0.87986594,4.6486707,6,0.7908232,0.05315143
7,0.8678802,4.471586,7,0.7825618,0.17824847
8,0.82201564,3.3398771,8,0.7908445,0.9379954
9,1.7332168,5.798623,9,0.75057715,0.8192354
10,1.1140095,4.3770976,10,0.77407974,0.47090805
11,0.85932916,4.443346,11,0.7897794,0.09088266
12,0.79150504,1.265705,12,0.79488575,0.8659559
13,5.2546973,4.498024,13,0.5163734,0.27784777
14,0.8721266,4.969071,14,0.79070604,0.11604166
15,0.82066745,2.8952284,15,0.79650766,0.8434508
16,1.0253164,3.9414144,16,0.7835862,0.69682956
17,0.80934614,5.199795,17,0.79045516,0.63315195
18,0.60406005,5.6081104,18,0.8063866,0.622457
19,0.93284,5.4784803,19,0.77911997,0.87562484
20,0.9591869,3.8232822,20,0.7843845,0.15983725
21,1.1988827,4.2485857,21,0.7545485,0.91979784
22,0.93585545,1.3355482,22,0.79364955,0.92762977
23,0.8151718,2.349281,23,0.7975714,0.9434863
24,0.86761945,1.2927828,24,0.78802025,0.47671485
25,0.97155935,3.1847515,25,0.7798987,0.70057815
26,1.6387012,4.5153904,26,0.7380158,0.35922295
27,1.1394795,5.7830887,27,0.769503,0.56906635
28,0.59994525,3.6257138,28,0.8136509,0.073527575
29,0.8468098,2.2974634,29,0.79980785,0.80414414
30,0.86708534,2.480197,30,0.78854126,0.11500466
31,0.8851794,2.488275,31,0.7889126,0.30261403
32,0.8443623,3.8687322,32,0.7929454,0.55779284
33,0.6462444,4.9789,33,0.810068,0.49844962
34,0.61267895,2.8030903,34,0.8088014,0.14047325
35,0.9049233,1.2533641,35,0.77982044,0.95608115
36,0.7576405,3.2434316,36,0.79666173,0.9755711
37,0.8398495,5.639616,37,0.79141665,0.92733306
38,0.5931316,3.3809006,38,0.8102428,0.18486327
39,0.75188094,3.837474,39,0.80129606,0.9983676
40,0.86428714,5.538236,40,0.790829,0.32519233
41,0.9455493,3.4031801,41,0.7827812,0.93647784
42,0.8317827,1.0787848,42,0.7881621,0.5848084
43,0.6048613,3.4438632,43,0.80790955,0.24937731
44,1.4005406,4.9286404,44,0.7563711,0.6017087
45,0.6206402,4.830145,45,0.81233114,0.25276554
46,0.5928424,3.391759,46,0.8125464,0.18295276
47,0.8138954,3.2183666,47,0.7960756,0.5849773
48,0.6805914,1.7159593,48,0.799506,0.24368274
49,0.6498732,4.8000517,49,0.80683064,0.37960976
50,0.87400293,1.980694,50,0.78794175,0.9647502
51,5.5162044,4.501485,51,0.4847875,0.0068155527
52,0.98152256,2.552734,52,0.7753396,0.4616837
53,0.8287207,1.5953288,53,0.79196554,0.7787828
54,0.8244954,1.0750118,54,0.8008179,0.5794743
55,0.8371497,3.55218,55,0.79408145,0.8826046
56,1.2228664,5.425418,56,0.7627154,0.5273769
57,0.9315149,1.7734066,57,0.7828403,0.16293484
58,0.8338318,4.5464573,58,0.7899921,0.5465142
59,0.6043334,4.6683803,59,0.8138559,0.3347488
60,0.87339836,3.7221525,60,0.79355466,0.032019436
61,0.9269627,3.6331496,61,0.7835739,0.38927048
62,1.0538163,3.5412345,62,0.77938235,0.6440659
63,4.96877,4.3036118,63,0.4687559,0.0354895
64,0.87131786,2.2783885,64,0.79259497,0.9080222
65,0.8721819,5.5365767,65,0.7855483,0.07801139
66,0.78859764,1.1775169,66,0.79763263,0.7891302
67,0.9305953,4.6840487,67,0.7781973,0.8858503
68,0.88341564,5.79062,68,0.7936801,0.15939915
69,0.85622925,5.71883,69,0.7850177,0.14087367
70,0.6189346,1.2660587,70,0.8058438,0.034899354
71,0.89810133,2.8660285,71,0.7872996,0.27009392
72,0.92474425,4.5647984,72,0.792397,0.63031507
73,0.9082792,2.3141296,73,0.7884518,0.8999752
74,1.2383151,5.789651,74,0.7648621,0.6132632
75,0.83230484,1.452128,75,0.78985584,0.21951795
76,0.8780483,1.7020217,76,0.78800136,0.7962739
77,0.8734458,2.4012992,77,0.79179555,0.983691
78,0.83101624,3.1042538,78,0.7845464,0.778819
79,0.92345876,2.7870286,79,0.7887404,0.5214309
80,0.97331595,1.2346671,80,0.77941024,0.34962928
81,2.2299085,5.1496506,81,0.71547544,0.69709265
82,0.8392644,3.7593527,82,0.78862906,0.6678517
83,0.8703539,5.7423277,83,0.7922361,0.34587628
84,1.3203259,4.176306,84,0.7587326,0.3217914
85,0.6120812,5.247708,85,0.8180888,0.19377112
86,0.8230294,3.2798789,86,0.79786175,0.56800693
87,0.85064924,1.369437,87,0.79215425,0.5818133
88,0.74891466,1.8029503,88,0.79586947,0.30992627
89,0.9517981,1.6564126,89,0.7856233,0.80800945
90,0.73876125,1.0160658,90,0.79747283,0.008982003
91,0.7887901,4.471143,91,0.79069483,0.91026807
92,0.8895898,5.30887,92,0.790281,0.52284443
93,0.82418835,1.0596426,93,0.79272765,0.4288273
94,0.6139919,5.3542686,94,0.8132118,0.5435035
95,1.7159053,1.3020718,95,0.73609805,0.10840428
