,locs0,locs1,subject
0,-7.4836426,1.2793972,0
1,-1.13357,-0.9638314,1
2,-1.971262,-1.7603102,2
3,1.9065391,-2.1248178,3
4,-5.81042,-1.7289672,4
5,2.3756175,-2.084875,5
6,-1.9079639,-1.8944944,6
7,-2.224571,-0.53828764,7
8,-8.820612,0.54107237,8
9,-3.3322253,-0.8342189,9
10,-0.5683254,-2.4017231,10
11,-2.5646017,0.3143759,11
12,0.4383359,-0.4891044,12
13,-2.923289,-1.7160357,13
14,0.37667307,-0.8685189,14
15,-3.4490147,-1.8351214,15
16,1.3072728,-1.7459815,16
17,-2.7684622,-0.41135198,17
18,-5.1455584,-0.20008272,18
19,1.7236024,-1.5121758,19
20,1.2041466,-2.3942318,20
21,1.1342604,-2.2831845,21
22,1.8534839,-2.3203163,22
23,1.3484246,-1.9781084,23
24,0.37384945,0.4826082,24
25,0.08304095,-2.4845452,25
26,-2.4335327,-0.7823149,26
27,0.1762779,-2.2622485,27
28,0.30391023,-1.7104356,28
29,-2.2043974,-2.39754,29
30,-2.3126554,-0.060724117,30
31,-1.8672601,-1.5583564,31
32,-0.10731727,-1.5380673,32
33,-7.529792,0.36908716,33
34,-6.8637223,1.6971493,34
35,1.9184926,-2.079496,35
36,-2.3560116,-1.8429881,36
37,0.69363534,-2.4235253,37
38,0.7654854,-2.1841602,38
39,-2.7298381,-1.027497,39
40,-2.596218,-1.2288849,40
41,5.6012497,-2.3131416,41
42,2.806811,-3.5723915,42
43,-2.2047696,-1.7328631,43
44,2.038872,-0.82844514,44
45,-2.4621997,-1.361313,45
46,-2.3857293,-1.1114545,46
47,1.7931813,-1.0515606,47
48,-6.9979563,-0.3001467,48
49,-2.6783423,-1.1161754,49
50,-0.72490174,-0.9211974,50
51,-2.1505785,-2.1694279,51
52,-2.4423156,-1.3145684,52
53,1.6410712,-1.8531547,53
54,-1.3080813,-2.4332962,54
55,-3.8601067,-1.9764153,55
56,0.92252994,-1.899971,56
57,-2.0339718,-0.20897993,57
58,1.6753726,-2.733025,58
59,-15.784256,2.512968,59
60,-2.1863952,-1.2350583,60
61,-0.42265633,-0.32713303,61
62,1.6702868,-2.3981633,62
63,-2.0970576,0.013303846,63
64,5.536786,-2.4126787,64
65,-1.7311239,-0.46354666,65
66,1.6829367,-2.7757292,66
67,1.0590492,-2.4762728,67
68,1.5234028,-1.8332483,68
69,-0.93878305,-2.2720687,69
70,-0.55016613,-1.9279834,70
71,2.0583754,-2.1269097,71
72,9.700336,-2.73013,72
73,-4.5454025,-0.8852551,73
74,1.5463046,-2.117852,74
75,-3.1488054,-0.67512465,75
76,0.489758,-0.392112,76
77,0.5499754,-2.4357464,77
78,1.3631697,-1.8049831,78
79,1.6148193,-1.9648168,79
80,1.1914626,-2.2471607,80
81,0.19028148,-2.4891708,81
82,-2.4479966,-0.30376726,82
83,-1.2414138,-2.1557972,83
84,2.0081582,-2.12339,84
85,-1.8403668,-1.4191902,85
86,2.1131492,-2.2821283,86
87,2.2627425,-2.0000315,87
88,2.5207753,-1.549938,88
89,1.3874103,-1.815193,89
90,1.0588099,-1.7920839,90
91,1.0916097,-1.9111319,91
92,1.3447363,-2.3014352,92
93,1.0933381,-2.5549428,93
94,1.1796744,-1.3550165,94
95,-0.69119847,-2.789575,95
96,-3.923987,-0.51932895,96
97,1.3131039,-2.4147425,97
98,1.4808358,-2.4517913,98
99,-1.6521735,-2.431707,99
100,1.3732679,-0.8515781,100
101,0.95781505,-1.6578661,101
102,1.4862618,-2.165112,102
103,-2.937188,-0.8254638,103
104,-1.9454701,-1.4186729,104
105,2.125484,-1.7569594,105
106,-3.6572843,-1.32867,106
107,-4.0875034,-2.5845037,107
108,-1.9236735,-1.8215572,108
109,2.3001854,-2.0459657,109
110,0.22264755,-1.7959148,110
111,0.3674066,-0.86045396,111
112,-0.38058677,-0.9277299,112
113,0.48465478,-1.8032773,113
114,0.7347996,-2.0092015,114
115,2.5745118,-2.5602517,115
116,0.6279074,-0.6678226,116
117,0.58812356,-1.6746113,117
118,1.7609556,-1.6456581,118
119,-1.2827088,-0.9779512,119
120,0.9391266,-1.607526,120
121,-3.4412405,-1.7213421,121
122,-3.6004217,0.49738306,122
123,-2.5242987,-0.4636555,123
124,1.1569678,-2.2884302,124
125,-2.5156684,-1.793711,125
126,-7.173625,1.9497168,126
127,1.5932493,-1.9830114,127
128,-2.994818,-0.07230988,128
129,-2.0977216,-1.5786327,129
130,-2.4906306,-0.73740494,130
131,1.5407321,-2.0246906,131
132,-0.0742929,-1.0144571,132
133,-0.44236594,-2.1230142,133
134,-3.0242283,-0.29934016,134
135,-1.7720718,0.06771798,135
136,-2.9537222,-1.2788618,136
137,2.0137606,-2.130914,137
138,0.27597523,-2.2633858,138
139,1.2571974,-1.4592524,139
140,-2.5442438,-0.18325973,140
141,-0.42929763,-0.9362823,141
142,-6.03953,0.5970459,142
143,-0.97302467,-0.10761234,143
144,0.7133384,-2.1150374,144
145,-2.260489,-1.18867,145
146,1.6703691,-2.357569,146
147,-0.5642305,0.013538841,147
148,0.37376893,-1.9880768,148
149,2.263093,-2.1018414,149
150,-1.5167278,-1.7356601,150
151,-0.10905615,-0.69495964,151
152,-3.228046,0.07216774,152
153,0.06961787,-2.1481817,153
154,-1.2283623,-0.9776824,154
155,-2.175046,-1.1452224,155
156,2.3233728,-1.3520157,156
157,1.4302012,-2.2017658,157
158,-2.2106109,-0.16694196,158
159,-2.3363886,-0.9173164,159
160,-2.2199917,-1.8564434,160
161,0.63095313,-2.3783772,161
162,-2.6313689,-0.43722773,162
163,-0.6770377,-1.9914094,163
164,-4.5674767,-1.334795,164
165,1.4774107,-1.6668396,165
166,1.185164,-1.9037986,166
167,2.1542382,-1.3636484,167
168,-14.998875,3.0017586,168
169,-6.9276805,1.1665492,169
170,0.27804187,-1.0539544,170
171,-2.3948698,-0.16647875,171
172,-3.0486736,-1.7353414,172
173,-2.0252068,0.08121058,173
174,1.9725845,-1.8525354,174
175,-1.9868107,-1.2191103,175
176,-1.9006308,-0.1981746,176
177,-0.9092777,-0.13517366,177
178,0.65337086,-0.7756482,178
179,-1.2855684,-1.7031093,179
180,0.6786884,-1.9574027,180
181,0.23346758,-2.1778615,181
182,-3.6393616,-2.3099163,182
183,-2.1390476,-0.8891325,183
184,-3.5458026,0.1037187,184
185,1.1436453,-2.2519753,185
186,-0.7619419,-1.9648134,186
187,-1.7681082,-0.53205484,187
188,-4.739559,-0.15067708,0
189,-0.9683845,-0.83194375,1
190,-0.9972816,-2.1021671,2
191,0.7936745,-1.5129831,3
192,1.5989642,-1.7958933,4
193,1.10778,-2.1390536,5
194,-1.963481,-2.0629447,6
195,-1.8028333,-0.63434154,7
196,-2.3729544,-1.1572707,8
197,-2.7299936,-0.37002087,9
198,-2.0502644,-2.049138,10
199,-2.0620766,0.59671116,11
200,0.20320162,-1.1658168,12
201,-2.580517,-1.2324537,13
202,0.660017,-1.1711516,14
203,-3.8631916,-0.84444773,15
204,0.48371494,-2.390759,16
205,-2.748747,-0.5761415,17
206,-7.5178986,0.22299355,18
207,1.0800163,-1.9638348,19
208,1.4490111,-1.2393048,20
209,-0.20061362,-2.0736487,21
210,0.4892996,-1.7566714,22
211,0.27089834,-2.5992928,23
212,-0.38495165,-0.43247372,24
213,1.6808579,-1.1765058,25
214,-1.6554599,-0.8842631,26
215,-1.5772629,-2.3296072,27
216,1.397371,-1.4898227,28
217,-2.1565359,-2.050721,29
218,-2.1089244,0.25875416,30
219,-3.344807,-1.0235279,31
220,-0.85926133,-1.29008,32
221,-0.36072922,-1.8619399,33
222,1.8940091,-2.3880076,34
223,-0.091242075,-1.7434342,35
224,-2.7063985,-2.2591898,36
225,-0.39100873,-2.0598629,37
226,1.3262966,-2.2519584,38
227,-2.3931043,-0.75647265,39
228,-5.0853004,-0.7759738,40
229,4.4092607,-2.360393,41
230,7.5704527,-5.1972394,42
231,-3.5050898,-2.2051282,43
232,1.0599339,-1.9795188,44
233,-1.7909591,-1.1248256,45
234,-2.869195,-1.0367703,46
235,1.6509656,-2.23178,47
236,-1.5132469,-1.482109,48
237,-2.2780392,-1.5859851,49
238,0.0071649253,-0.45902562,50
239,-4.697325,-1.0671282,51
240,-2.8100457,-1.8923502,52
241,-0.07993162,-2.6710808,53
242,-1.882825,-1.9239738,54
243,-0.045745134,-1.6178206,55
244,1.1511439,-1.5855395,56
245,-1.4706581,0.61793244,57
246,1.1772379,-2.6080844,58
247,0.18390203,-1.8681855,59
248,-2.4787693,-1.4544449,60
249,0.5799923,-0.019543976,61
250,2.528639,-1.720673,62
251,-2.2722409,-0.18097702,63
252,1.7772957,-1.8691368,64
253,-2.3880067,-1.0464569,65
254,0.35323888,-2.136282,66
255,2.4387407,-1.9152963,67
256,1.4419764,-2.6854076,68
257,-0.8516276,-1.6098155,69
258,-0.28386694,-1.3989972,70
259,3.0288634,-2.4676301,71
260,-5.9447846,-0.4428854,72
261,-4.0950136,-1.1241801,73
262,4.746216,-1.499499,74
263,-2.7776637,-1.0899551,75
264,-0.44022954,-1.0156943,76
265,1.0247427,-2.3519168,77
266,0.37262255,-2.5763884,78
267,1.4219162,-2.0994883,79
268,1.6967716,-2.0320914,80
269,-0.91641265,-1.6389753,81
270,-3.396214,-0.78476316,82
271,1.0353863,-2.0455246,83
272,1.2276479,-2.6475973,84
273,-1.7437212,-1.7863522,85
274,-1.5157149,-1.899741,86
275,2.0348444,-1.6605542,87
276,2.1361952,-2.1220522,88
277,0.37093836,-2.1914444,89
278,0.89658594,-2.1277962,90
279,0.7947242,-1.4504495,91
280,0.7902865,-1.5320758,92
281,3.1811123,-2.4232504,93
282,2.105037,-2.092538,94
283,0.26476824,-1.6768179,95
284,0.9504442,-2.618626,96
285,1.2855456,-1.9652799,97
286,1.9646316,-2.313382,98
287,0.45702434,-2.214586,99
288,1.6643729,-0.2924034,100
289,0.46540645,-2.396978,101
290,1.249722,-2.1379101,102
291,-1.6009183,-1.2364528,103
292,-2.2845676,-0.9681443,104
293,-6.064527,-1.8367828,105
294,4.3793473,-3.2906551,106
295,0.26111484,-1.8094691,107
296,4.589474,-2.2509174,108
