,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,8.089555,2.7342792,0,0.003993141,0.16205174
1,3.603293,4.404874,1,0.31166136,0.37839377
2,0.9107654,1.5169342,2,0.17719693,0.29878867
3,2.4312701,1.7131988,3,0.42406,0.2022171
4,3.4761674,5.8340955,4,0.024131043,0.88470304
5,0.5705577,4.1089954,5,0.74243915,0.5562503
6,0.9044076,1.059854,6,0.12343852,0.27027553
7,4.6227245,5.7901134,7,0.047484238,0.068591475
8,5.611756,1.1656693,8,0.02098567,0.6872292
9,4.3924403,5.654462,9,0.04767205,0.5320354
10,1.2060996,2.1997733,10,0.039949086,0.9426828
11,6.4371796,5.652161,11,0.09799679,0.26213932
12,3.421899,3.1362562,12,0.5260555,0.5903394
13,3.3945277,4.216737,13,0.04212488,0.05690247
14,3.5074565,5.7043695,14,0.58766615,0.6562972
15,2.1143303,5.59914,15,0.04774998,0.12613988
16,0.50944185,1.1547911,16,0.6865337,0.8349484
17,5.0847597,2.6121697,17,0.03810859,0.105443954
18,4.9390187,5.6834717,18,0.111013114,0.898372
19,0.6102115,5.7494736,19,0.54235804,0.78338975
20,0.6453252,4.823123,20,0.6747688,0.026527643
21,0.667388,2.2638822,21,0.5624689,0.9653719
22,0.49514082,2.8066173,22,0.777548,0.37027282
23,0.6177997,2.1549747,23,0.60404825,0.37472218
24,5.59708,5.09927,24,0.5393205,0.7977869
25,0.61639136,2.833737,25,0.7974905,0.9422816
26,1.8550444,2.693146,26,0.02701147,0.18846232
27,1.011231,1.6120536,27,0.25100604,0.6158158
28,1.20165,1.5957955,28,0.5846144,0.7058627
29,1.0924317,1.900507,29,0.07447101,0.1758964
30,5.402512,5.7275743,30,0.059521988,0.18613333
31,2.4757006,3.2471416,31,0.020267183,0.5644094
32,2.311543,5.1006784,32,0.2662068,0.5931047
33,6.7594285,5.996233,33,0.007289646,0.062427104
34,7.4623966,2.4552448,34,0.0067822663,0.58132154
35,5.094918,4.4028635,35,0.006662537,0.012274027
36,1.1854305,2.2296515,36,0.084553234,0.08425206
37,0.632811,1.4767969,37,0.5350466,0.5168288
38,0.7463669,4.3891954,38,0.5762362,0.8919796
39,2.9628837,3.6467407,39,0.05814401,0.37316465
40,1.898054,2.7214217,40,0.07132853,0.37671125
41,1.5951109,1.9917655,41,0.2737108,0.9779531
42,5.4766955,5.6237288,42,0.03392834,0.6376734
43,1.2119058,4.8872156,43,0.020434845,0.318798
44,1.4917437,2.1450424,44,0.6626834,0.64471096
45,2.1907222,3.6418397,45,0.096314736,0.6015808
46,1.7534937,4.5715604,46,0.081678174,0.29135293
47,0.53192735,2.8205085,47,0.78483576,0.7714844
48,5.06004,5.414453,48,0.0138056185,0.6787525
49,1.491983,4.6405725,49,0.071806185,0.45363963
50,3.5582905,5.4264164,50,0.36789322,0.40574902
51,2.3649278,5.8845825,51,0.024388142,0.69104147
52,2.4634852,2.1132116,52,0.05232795,0.12188202
53,0.493311,3.3149362,53,0.709943,0.67266953
54,1.3822256,4.7823243,54,0.07646338,0.3813622
55,1.4813356,1.435163,55,0.019613381,0.6482924
56,0.49536687,3.2638893,56,0.60502976,0.01154083
57,6.1525655,5.759775,57,0.15929116,0.2141692
58,0.52045226,1.9000593,58,0.7697575,0.08890915
59,3.534095,4.5229726,59,0.15265527,0.4864862
60,1.8865967,2.765057,60,0.09127408,0.581629
61,4.358299,4.082323,61,0.48795882,0.535901
62,0.52336866,2.14424,62,0.81392884,0.49089026
63,5.02647,4.898149,63,0.11234387,0.10288024
64,1.1013345,3.5510774,64,0.44085574,0.13338327
65,3.174807,2.823933,65,0.10354564,0.899721
66,0.5635687,2.8713365,66,0.56580335,0.90600896
67,0.55335057,2.3939953,67,0.61573,0.42551023
68,0.56494236,3.7985737,68,0.74420947,0.57991225
69,0.6333998,1.5887526,69,0.5384164,0.85766125
70,1.3728143,3.1349742,70,0.21189383,0.7133905
71,0.64026415,1.8804852,71,0.44684136,0.16501492
72,4.7048564,5.4862638,72,0.07546038,0.10361892
73,2.0744398,2.400465,73,0.053542398,0.062538564
74,0.68151295,1.7663217,74,0.43610308,0.8721138
75,1.854726,2.131829,75,0.057199907,0.3370734
76,3.4248998,4.079443,76,0.5902802,0.9771575
77,0.5552743,3.608775,77,0.68011355,0.5179393
78,0.55203193,3.0624828,78,0.77233106,0.65035576
79,0.5031846,1.4968905,79,0.79023385,0.37323684
80,0.48525745,1.2566922,80,0.7633474,0.008501649
81,0.7886561,1.0674164,81,0.6401665,0.62361586
82,3.9246225,3.9315062,82,0.056274395,0.2142604
83,0.63092136,1.236209,83,0.57799023,0.27304018
84,0.5118991,1.3754613,84,0.7984973,0.93597037
85,2.5205793,2.6889744,85,0.07511978,0.15866154
86,0.7847375,2.0572605,86,0.37709168,0.51220435
87,0.6001603,1.253337,87,0.72706497,0.09266752
88,0.5482019,2.2821782,88,0.6465469,0.64082503
89,0.5470411,1.6419048,89,0.75957644,0.26284754
90,0.61335766,5.7437067,90,0.7272205,0.017344952
91,0.66881603,3.933247,91,0.6596126,0.7098326
92,0.6472784,2.194279,92,0.7146825,0.8687304
93,0.59117687,2.2319608,93,0.67256534,0.122275054
94,6.5853076,2.089408,94,0.0132226525,0.46738535
95,0.8995442,1.7060003,95,0.76013744,0.8589214
96,5.5772657,5.6559486,96,0.020019634,0.093239546
97,0.54148376,2.9809673,97,0.75018096,0.62835574
98,0.48590112,1.0617427,98,0.8090676,0.106355846
99,0.63074625,2.7367525,99,0.558359,0.19925559
100,3.9611485,5.1002254,100,0.666426,0.69482434
101,0.6185138,3.3945558,101,0.43508488,0.63569456
102,0.5289487,3.1481118,102,0.72492576,0.41657227
103,2.8278036,5.5085497,103,0.07161349,0.52194023
104,2.3135674,3.0685532,104,0.075383924,0.33188373
105,0.6338416,3.7713907,105,0.42068204,0.93804854
106,2.825391,4.121425,106,0.060327925,0.15501428
107,0.6265118,1.636102,107,0.34416968,0.1832034
108,0.5734523,4.8175693,108,0.44463992,0.2516477
109,0.5154161,2.0699315,109,0.6461349,0.59596133
110,1.0233821,1.8481016,110,0.17851913,0.46944958
111,3.3379953,3.5658092,111,0.6978683,0.58980507
112,2.8532422,4.345419,112,0.5477962,0.78357613
113,0.84902596,3.1983342,113,0.52286536,0.9778951
114,0.5374937,1.6315067,114,0.7137497,0.5072759
115,0.55870646,1.2581048,115,0.57663685,0.05374384
116,3.3810062,4.467781,116,0.78972954,0.9921276
117,0.53099316,1.1676273,117,0.7937881,0.5952395
118,0.58076674,3.1754358,118,0.7347809,0.67214835
119,5.679462,1.1828766,119,0.051606752,0.52758056
120,0.6077342,1.3850031,120,0.73274475,0.99910235
121,2.3270204,4.067318,121,0.01695986,0.8161228
122,5.1616416,1.7390702,122,0.03817378,0.12175399
123,5.153409,2.1536338,123,0.051510304,0.22375065
124,0.59643745,4.495762,124,0.54182494,0.7325163
125,1.5348753,3.983562,125,0.08548254,0.15198755
126,8.318486,4.8880816,126,0.01463699,0.20722562
127,0.5567732,2.9508567,127,0.75547254,0.2633773
128,5.171278,3.2313952,128,0.062440924,0.12451202
129,1.7107226,1.7044834,129,0.066597335,0.059984982
130,4.7173223,2.9379473,130,0.07075116,0.0737108
131,0.67349124,4.820529,131,0.7103264,0.99076575
132,2.4487524,4.385442,132,0.5888048,0.83729184
133,0.7120898,4.021394,133,0.4937581,0.5404398
134,3.8242319,2.6799793,134,0.053242575,0.080014944
135,5.17816,5.297418,135,0.1643182,0.2593313
136,1.9658921,3.0936947,136,0.034742784,0.39333063
137,0.63505864,4.3041506,137,0.74748695,0.9632858
138,1.0671662,1.6079388,138,0.7274873,0.820719
139,0.925625,4.1374063,139,0.45503452,0.71061766
140,5.3809266,5.9834943,140,0.034128506,0.18339604
141,1.8336154,4.941364,141,0.31416526,0.48511857
142,7.5834565,2.6049318,142,0.005895156,0.3444674
143,5.128073,4.6527686,143,0.27743277,0.43010217
144,0.5706692,1.175671,144,0.69671816,0.5751314
145,2.4335196,3.6536307,145,0.09188328,0.4685734
146,0.5794392,2.0249426,146,0.7332518,0.42206365
147,5.091326,4.476268,147,0.23731662,0.284459
148,0.5904752,2.3371587,148,0.6979524,0.6646012
149,0.6366056,1.2956221,149,0.7353726,0.62286896
150,1.0367646,2.160921,150,0.03548976,0.5596942
151,3.275919,3.2992036,151,0.4953872,0.5709098
152,6.3951373,4.548474,152,0.039067063,0.04303378
153,0.73257554,5.58682,153,0.4064487,0.37384057
154,3.4362826,3.3127995,154,0.2890445,0.47506094
155,2.4517245,4.7909713,155,0.047560874,0.712184
156,1.3512014,5.683632,156,0.7538848,0.73111856
157,0.5596876,1.6209216,157,0.8162334,0.77469534
158,4.977825,5.43968,158,0.08469324,0.13143778
159,3.3567135,4.0050144,159,0.11428997,0.16000575
160,1.2417742,2.5430298,160,0.07373903,0.42953664
161,0.5285974,4.105425,161,0.79445714,0.6122553
162,3.8568075,3.5351384,162,0.0781664,0.28864688
