,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
0,5.1701593,0,0.30512825,0.5079699,0.48066175,0.98457956,0.72976255
1,3.5618198,1,0.2970284,0.50367665,0.4913208,0.99445814,0.7075193
2,1.4202343,2,0.17596611,0.51992524,0.53068066,0.9561092,0.77677757
3,1.1743616,3,0.63463074,0.49418053,0.4815377,0.928155,0.7524018
4,2.8172305,4,0.27418828,0.50603753,0.49133545,0.9579109,0.7579658
5,1.0889541,5,0.7731769,0.481329,0.49109083,0.94958717,0.76778835
6,1.3143677,6,0.13432103,0.5088148,0.49902156,0.92159814,0.73261744
7,3.8149917,7,0.087847725,0.49188733,0.5328013,0.9575314,0.73427236
8,3.7091088,8,0.36449105,0.49233404,0.50672597,0.9507555,0.74302685
9,3.405587,9,0.09973628,0.4891095,0.49492353,0.9283135,0.75369835
10,1.3216201,10,0.18874866,0.49707952,0.52545893,0.93384475,0.737598
11,6.599728,11,0.09437589,0.515708,0.4961517,1.045972,0.61499476
12,2.9867568,12,0.5018735,0.47001678,0.5129383,1.1244605,0.24178544
13,1.9538096,13,0.18814337,0.48809156,0.49322432,0.9482804,0.7446771
14,3.2963202,14,0.53728366,0.49720478,0.5083516,0.9280237,0.6700267
15,2.262851,15,0.2894293,0.5124032,0.4949104,0.9135324,0.7503302
16,1.0840901,16,0.77311474,0.48242998,0.48386267,0.92602587,0.76445615
17,3.9563391,17,0.08929146,0.48976362,0.51432884,0.9291256,0.75119066
18,3.6996903,18,0.34847948,0.5028824,0.49743116,0.94455296,0.7490353
19,1.0831767,19,0.66929024,0.4856989,0.48312694,0.95348036,0.7660752
20,1.1465949,20,0.69847834,0.47594765,0.5215593,0.94213676,0.76211023
21,1.1802654,21,0.7090947,0.5117078,0.50087637,1.0773219,0.38398898
22,1.0428185,22,0.766653,0.510952,0.51246023,0.95370877,0.7702073
23,1.1645222,23,0.74277186,0.49168,0.5106825,0.9272645,0.75682163
24,5.2006497,24,0.5582809,0.4974265,0.48455,1.1611241,0.21548726
25,1.1470608,25,0.7575701,0.49666825,0.49160507,0.9376784,0.7708485
26,2.2502685,26,0.112148724,0.4810307,0.5137105,0.94349486,0.72380567
27,1.4250904,27,0.33845237,0.48622614,0.51100403,0.93876207,0.743401
28,1.559165,28,0.62527996,0.52593505,0.49132124,0.90820247,0.67858213
29,1.4388255,29,0.09862007,0.49672985,0.5101946,0.93589354,0.64089704
30,5.6211357,30,0.07592162,0.51590943,0.50228465,0.9652634,0.71974486
31,1.90065,31,0.19741982,0.47915408,0.50414556,0.93669105,0.74812
32,2.2814975,32,0.22395587,0.50311303,0.4998686,0.97379416,0.7129052
33,4.0191092,33,0.3039427,0.48658597,0.5114728,1.0427026,0.7412753
34,4.3713593,34,0.3078838,0.5064455,0.48360285,0.931947,0.7229068
35,3.6275034,35,0.27573726,0.48808545,0.4767215,0.91479856,0.62090117
36,1.4642329,36,0.111106,0.487409,0.5060456,0.90221083,0.7500289
37,1.1322736,37,0.69598764,0.5136666,0.48688087,0.92566174,0.7471818
38,1.243213,38,0.7199025,0.51625735,0.48199016,0.920259,0.7465068
39,2.4172733,39,0.117244795,0.49578926,0.50020844,0.93750507,0.7433118
40,1.8347616,40,0.24774532,0.49344367,0.49685338,0.92295736,0.729359
41,1.6114846,41,0.42706525,0.49077728,0.50390476,0.9467996,0.7579377
42,3.7216012,42,0.33400983,0.50900227,0.50499386,0.926875,0.74152416
43,1.3795123,43,0.17622063,0.5024181,0.5107478,0.93935764,0.75278175
44,1.7018498,44,0.67363465,0.48062173,0.52495706,0.96587396,0.720735
45,2.3101964,45,0.1040678,0.5101897,0.48231322,0.95464015,0.7389031
46,1.9003567,46,0.09166547,0.5048254,0.48170704,0.94062513,0.7563717
47,1.0871407,47,0.7685691,0.52002794,0.4990921,0.9438412,0.759908
48,2.786725,48,0.24437754,0.49587476,0.5170535,0.98522776,0.76215076
49,1.6753359,49,0.09752407,0.51461256,0.49012485,0.9522738,0.74238193
50,2.9541185,50,0.23789732,0.50439703,0.48617533,1.0675117,0.7181674
51,2.0226104,51,0.26996657,0.4934805,0.47812665,0.9303316,0.76465046
52,1.892917,52,0.106504716,0.4974318,0.50124645,0.9427057,0.7331201
53,1.04876,53,0.72931916,0.49885055,0.498115,0.95309645,0.77463466
54,1.4936856,54,0.14418589,0.5114783,0.491659,0.91545594,0.7571726
55,1.66702,55,0.088181704,0.5150086,0.49596202,0.888737,0.73212534
56,1.0406814,56,0.7067776,0.48979658,0.51997644,0.9186116,0.7612439
57,5.6471624,57,0.15225011,0.5039205,0.48404807,1.1350025,0.20637238
58,1.045993,58,0.77404714,0.520693,0.4828075,0.93889403,0.7613756
59,3.0313594,59,0.31730983,0.47061285,0.48930097,0.9153493,0.73959625
60,1.9964175,60,0.09417942,0.5004908,0.47654837,0.9797792,0.7199163
61,4.357441,61,0.45968163,0.51720876,0.45497447,1.0858557,0.70791394
62,1.090722,62,0.77529746,0.49636233,0.5006696,0.9632761,0.77630854
63,4.9916124,63,0.10975061,0.5026611,0.49895594,1.0112622,0.46842125
64,1.5001107,64,0.46536577,0.48907927,0.4966094,0.9258574,0.7416088
65,3.2713377,65,0.10606438,0.49568284,0.4934549,0.92103654,0.66338843
66,1.093475,66,0.68176174,0.487727,0.483705,0.9381305,0.7695671
67,1.095319,67,0.6758698,0.48067445,0.49253413,0.94183016,0.7735885
68,1.1256397,68,0.765953,0.48858574,0.48792225,0.9111544,0.7515805
69,1.0645987,69,0.63755786,0.50273955,0.50691426,0.9198886,0.75420153
70,1.8105042,70,0.269332,0.50264025,0.5093255,0.93227184,0.7473332
71,1.1653407,71,0.47847155,0.506386,0.5045527,0.9031877,0.7625812
72,3.8424706,72,0.40875822,0.49251878,0.51077586,0.9375769,0.73106456
73,1.7742932,73,0.12975469,0.50035065,0.50983316,1.0595671,0.7289845
74,1.1654803,74,0.54229856,0.48804906,0.5044683,0.9399816,0.775114
75,1.9810716,75,0.0994173,0.5077007,0.49739447,0.9796089,0.6815534
