,locs0,locs1,locs2,locs3,subject
0,2.5821543,-1.0846517,-0.5671555,-2.5901012,0
1,1.1095135,0.7085823,-1.7737291,-2.5518913,1
2,-3.257185,1.0111672,-1.3054751,-2.253153,2
3,-2.1334112,-1.095988,-0.6690738,-2.3516555,3
4,5.3007755,-0.22388528,-1.1731042,-2.8072271,4
5,3.722334,0.3511114,-0.8303767,-2.777733,5
6,-4.9087105,-2.9256542,-1.3464925,-2.7950623,6
7,-2.9884036,-2.5392435,-1.2277088,-2.7147849,7
8,0.11902809,-0.38467675,-0.64825416,-2.713666,8
9,2.1390007,-0.16161433,0.156699,-2.5534055,9
10,-6.379469,-2.5455854,-0.091368265,-2.6034324,10
11,5.6790013,-3.4662092,-1.9184296,-2.5446806,11
12,-5.2456417,0.80049396,-1.5548346,-2.4163268,12
13,-1.973855,-2.323533,-0.1746276,-2.2917318,13
14,-2.9215064,1.0091801,-0.68838346,-2.5920098,14
15,3.6056979,-0.5612465,-0.1613943,-2.8264184,15
16,0.58812165,0.87168986,0.002776146,-2.7409716,16
17,4.7247524,-0.6783753,-2.069549,-3.002614,17
18,0.85371304,0.17566513,0.55243057,-2.7100377,18
19,2.3094459,1.9242324,-1.6428168,-2.3748536,19
20,-1.8819687,2.3690588,-0.6712039,-2.8081326,20
21,1.7236893,-0.9757525,-0.18538587,-3.1324582,21
22,-0.92971146,1.0013254,-1.3509378,-2.9764187,22
23,1.5449922,1.4335127,-0.04455915,-2.6400611,23
24,-4.3995466,-0.8973492,-0.9271223,-2.517953,24
25,-2.7989454,2.6371593,-1.4563265,-2.6925838,25
26,2.379952,-0.765136,-1.2433898,-2.5422194,26
27,-3.1094577,-0.010534883,-1.7134517,-2.4877765,27
28,-1.2519093,1.1639538,-1.2852801,-2.543415,28
29,2.787201,1.3635916,-0.39085275,-2.711407,29
30,-0.5023142,0.17839178,-0.68755746,-2.8201725,30
31,1.7189653,-0.30703858,-0.22749546,-2.8441498,31
32,5.1234655,1.6497471,-1.014296,-2.7147179,32
33,3.607148,1.4966532,-0.85738134,-2.4733677,33
34,-1.5883955,-1.0273826,-0.094640195,-2.878856,34
35,2.009806,-0.18929054,1.1678522,-2.2894933,35
36,1.5195378,-1.9570253,-1.0170299,-2.6808472,36
37,9.191845,0.17018521,-1.3621331,-2.858937,37
38,1.3849604,1.0750365,-1.3614237,-2.376688,38
39,-2.519832,-3.4487953,0.046155438,-2.705004,39
40,1.3931463,-1.7011476,-0.47293934,-2.78874,40
41,0.70182765,1.3374088,-0.40196478,-3.1083848,41
42,1.9981804,-0.7288257,-0.2159155,-2.406458,42
43,-1.8193346,0.74323905,-1.9444131,-2.5155509,43
44,-0.5563527,1.847915,-0.9187522,-2.546315,44
45,-0.25063562,-0.12530369,-1.4040228,-2.5508149,45
46,-1.7782882,0.49947667,-1.8133092,-2.5611832,46
47,-4.3375263,-0.08239323,-1.6688732,-2.5056753,47
48,5.1906285,-0.46305853,-1.273332,-2.716587,48
49,0.8112023,-0.72537714,-1.1112622,-2.6524906,49
50,-4.3967996,1.7717974,-0.573612,-2.596421,50
51,0.526586,-0.81147754,-0.32766485,-2.828496,51
52,-5.163799,0.9094966,-0.42571148,-2.5041766,52
53,1.0761764,-0.74531186,-1.9785959,-2.9423273,53
54,1.061876,-0.40502512,-0.8429929,-2.8874142,54
55,-3.033588,0.15122828,-0.80589855,-3.0206754,55
56,-3.6310773,1.5848818,-2.446456,-2.280663,56
57,-2.891108,-3.6098661,-1.1775929,-2.6327682,57
58,0.89469373,1.587713,-1.8606324,-2.9554892,58
59,3.4479845,-0.27905965,-0.6953822,-2.5024865,59
60,-0.08047217,-1.0300156,-0.9300121,-2.8449943,60
61,0.29633057,0.64442563,-0.57319945,-2.535061,61
62,0.9681578,-0.11063637,0.32987913,-2.8040495,62
63,0.8453605,3.3065886,-1.8565665,-2.3789737,63
64,-1.4832697,-1.0737516,-1.1381805,-2.7204995,64
65,-0.73422825,0.107167065,-1.3883109,-2.6890633,65
66,-1.4750526,-1.2464234,-2.2489603,-2.7318838,66
67,2.2516794,1.7244365,-0.093910724,-2.6013796,67
68,-6.156251,-1.4045997,-1.0283387,-2.6685722,68
69,1.4326205,0.044523597,-0.0035596192,-2.5866647,69
70,-4.3785963,1.7062519,-1.5932189,-3.3247862,70
71,0.261495,-0.1543952,-0.93503845,-3.0790648,71
72,-2.8954585,-4.0979996,-0.8715311,-2.1583679,72
73,-0.5064865,2.167414,-0.23507722,-2.7112062,73
74,-1.589467,-1.7332026,-0.811516,-2.7757907,74
75,1.0169632,-0.105324805,-0.5709816,-2.268622,75
76,0.72241455,-2.2183886,-0.07626993,-2.4235766,76
77,-1.289499,0.03170398,-1.5913446,-2.24335,77
78,1.0683019,-2.2532218,-1.6863073,-2.774088,78
79,3.1041098,1.3403275,-0.57170695,-2.5613341,79
80,1.1776371,-2.432433,-0.9068559,-2.5540836,80
81,-1.6073513,-3.6054828,-1.0588071,-2.8006716,81
82,0.4313488,1.8476323,-0.47646362,-2.847268,82
83,3.161508,-2.1350439,0.14642063,-2.3767383,83
84,-1.1429714,-0.80155516,-0.5405381,-2.260769,84
85,2.5761824,1.280866,-0.8303564,-2.8613641,85
86,4.916039,-0.5345186,-0.9725425,-2.8315532,86
87,1.5035064,2.7895784,-0.6374536,-2.8140657,87
88,1.7433926,-2.8300605,-1.4385695,-2.8483572,88
89,-0.5068779,-2.852753,-0.36716592,-2.7029068,89
90,3.8288538,0.4144915,0.05320718,-2.6789637,90
91,1.1063077,1.6714323,-0.76239777,-2.5953655,91
92,4.4025083,-0.8509804,-1.6391989,-2.8790636,92
93,-0.23635554,1.3806804,-0.49960178,-2.4196799,93
94,-3.1915474,0.46614236,-2.1588552,-2.3548958,94
95,-0.08143693,-2.727594,-1.0387156,-2.0585043,95
96,1.3375145,2.2911077,-1.4162287,-2.5947258,96
97,-1.8153929,2.4152918,-0.7051541,-2.8473377,97
98,-0.90321416,-0.18623908,-2.0507843,-2.5150864,98
99,2.7507353,0.92238367,-0.78576404,-2.3877316,99
100,0.8548374,-1.7550626,-0.27393234,-2.834443,100
101,0.66418517,-0.98098207,-0.29075962,-2.8925128,101
102,2.099258,0.5123292,-1.6114168,-2.560439,102
103,-0.9858036,-3.3344445,0.039225608,-2.71543,103
104,-0.04900062,-0.8402146,-0.9039506,-2.354617,104
105,0.15288249,-1.6401014,-0.52299327,-2.653066,105
106,-2.767081,-0.5454153,-0.50077087,-2.5510662,106
107,1.6995927,-1.4827142,-1.4257065,-2.731222,107
108,1.2839112,1.332347,-0.3729233,-2.1643791,108
109,0.3655501,2.2117195,-0.6875137,-2.4984477,109
110,1.2252686,-1.2417127,-0.44397876,-2.8578954,110
111,-6.3255873,2.049109,-1.8484644,-2.6753082,111
112,-1.0149964,-1.8610024,-0.050477505,-2.745416,112
113,-3.3829195,-0.6198974,-0.61676323,-2.9008906,113
114,-1.8798082,-0.94388485,-1.8742095,-3.017278,114
115,-3.652815,2.1281168,-0.09428561,-2.5321987,115
116,-3.5491524,-3.3335772,-1.8339756,-2.669091,116
117,-2.8441763,1.5595284,-0.53625053,-2.6426263,117
118,1.4464407,0.6780272,-0.8473714,-2.5468366,118
119,0.09992552,0.70132005,-1.0091908,-3.0218165,119
120,-2.3509545,2.1586246,-0.69394314,-2.672344,120
121,2.3694224,0.85255057,-0.35270587,-2.8515663,121
122,-2.203519,-1.4832951,-1.7347977,-2.4769857,122
123,0.2922045,1.599638,-0.04164529,-2.2319567,123
124,-0.018082619,2.835074,-0.4258121,-2.094407,124
125,-1.6850088,-1.1351688,-0.71405876,-2.6088405,125
126,-2.4298477,-1.4413903,-0.687477,-2.5036147,126
127,4.5766296,0.5433179,-1.9815753,-2.5987866,127
128,3.0909305,-2.1198378,-0.20293948,-2.9389148,128
129,0.70510066,0.6349853,-1.6098478,-2.951871,129
130,0.9239532,1.6292233,-0.83202934,-2.8691533,130
131,-0.116322756,-0.74334943,-1.3327907,-2.6585958,131
132,0.0122282505,2.7859817,-1.207999,-2.4590108,132
133,-1.8844122,-1.4226644,-0.98824835,-2.0974345,133
134,-6.2696304,1.3953815,-1.2079184,-2.9944592,134
135,-0.6401185,-1.6940992,-1.9958342,-2.6154976,135
136,0.472147,1.6109992,-0.50674486,-2.3608754,136
137,4.316036,-1.118834,-0.40545887,-2.6191294,137
138,-0.11912921,-0.15489343,0.036159948,-2.6338542,138
139,1.3058672,2.3774772,-0.6311158,-2.6425858,139
140,4.5257564,-0.40702868,-1.0072552,-2.7493675,140
141,-5.0781837,1.2902477,-1.5704321,-2.3036423,141
142,0.5968452,-2.2068717,0.37866494,-2.6572163,142
143,-0.2444334,0.45730138,-0.4605071,-2.411421,143
144,-1.9987769,-1.4258876,-1.0288277,-2.3824914,144
145,0.13762867,0.86527866,0.31031668,-3.0523298,145
146,-2.2017426,-1.82786,-0.26441598,-2.859784,146
147,-6.2719803,0.2837427,-1.7168338,-2.0616398,147
148,1.9466197,0.14795524,-1.2719095,-2.5217354,148
149,0.4890477,-3.6020935,-0.23063737,-2.79295,149
150,0.85726523,0.10553956,-0.8312081,-2.650414,150
151,-3.1317425,-0.67566645,-1.5705022,-2.5775518,151
152,-4.2092524,1.398799,-1.0386246,-2.2708504,152
153,-7.118387,0.30097368,-1.3499212,-2.4321792,153
154,0.69808054,2.477364,-1.3143871,-2.7613935,154
155,1.882883,-2.7637231,-0.7354896,-2.8141885,155
156,-10.248427,-0.30358455,-1.6006712,-2.7492762,156
157,1.914451,-1.7574322,-0.46713588,-2.3119996,157
158,0.9575895,0.45169428,-0.961756,-2.6008945,158
159,-2.8114505,-0.6079993,-1.2679168,-2.381214,159
160,2.7849288,1.248533,0.49272814,-2.448646,160
161,-5.9408636,1.340569,-1.7053902,-2.4152098,161
162,3.3738563,0.504268,-0.7124075,-2.6155977,162
163,4.9805207,0.4548224,-1.4783767,-2.8212636,163
164,-0.7511382,2.6320286,-0.89240015,-2.7524447,164
165,5.1087613,0.02614659,-0.36613798,-3.0744984,165
166,2.3619332,-0.6772286,-0.041288394,-2.6449614,166
167,1.5869461,1.3754083,-0.38860473,-2.2753403,167
168,-0.4760809,0.46232408,-1.5066376,-2.703776,168
169,-1.8074508,-0.6956434,-0.94322133,-2.5266762,169
170,-3.3983665,0.6591629,-1.4442738,-2.3265796,170
171,-2.208976,1.1881149,-0.8836825,-2.9067733,171
172,4.4636955,1.119884,-0.7061403,-2.2290096,172
173,1.693628,-4.4812326,-0.55529785,-2.3087006,173
174,-0.4990847,2.4995844,0.12863776,-3.1294913,174
175,-10.159095,2.6530144,0.3511575,-2.2474418,175
176,-1.2819504,-3.3099291,-0.6136613,-2.4180915,176
177,-1.9246465,0.8448992,0.13353854,-3.0469124,177
178,-3.4972086,1.1701854,-1.7787502,-2.4568882,178
179,-1.6244745,1.5285149,-0.42297107,-2.5691326,179
180,0.9404885,-1.8897117,-1.9294219,-2.3991272,180
181,0.7733808,-1.4180259,0.03872904,-2.6908324,181
182,-2.5426269,2.538879,-1.730813,-2.5473835,182
183,-3.2449036,0.9858929,-0.38403007,-2.7524683,183
184,2.0887759,-2.2274458,-1.3091505,-2.411038,184
185,2.1545942,-2.698934,-2.260868,-2.7322943,185
186,5.074727,-0.032896817,-1.3442439,-2.5676239,186
187,4.484621,-0.17650646,-1.7162519,-3.1892967,187
188,1.2867043,-1.3676432,-0.78783864,-2.550467,0
189,-1.2896342,0.5780337,-1.5738676,-2.6378186,1
190,2.809377,0.18642938,-1.2119874,-2.6602437,2
191,4.193253,-1.2614913,-0.28851384,-3.1451614,3
192,-2.1192777,-0.06502251,-1.373992,-2.7724934,4
193,1.7546967,1.3415066,-0.96772194,-2.8780549,5
194,1.3482133,-1.3783835,-1.7108285,-2.6210408,6
195,7.5493765,-3.1716554,-0.79070747,-2.6725478,7
196,-0.2892617,-0.12763612,-0.64222896,-2.5901217,8
197,1.4347479,0.121669725,0.32244563,-2.4143293,9
198,1.2471578,-2.8328114,-0.22390947,-2.7644985,10
199,4.1764164,-1.3000653,-2.5958836,-2.573039,11
200,-1.5134205,2.0284166,-1.4919995,-2.6779244,12
201,0.92167026,-1.9327605,0.18180351,-2.6128225,13
202,-8.993283,1.1404655,-0.8060244,-2.4325223,14
203,1.6346953,0.027811617,-0.37380886,-2.0627263,15
204,0.10115177,1.3610047,0.50828195,-2.6675248,16
205,-6.1811647,-1.1008981,-2.0993807,-2.556043,17
206,2.2181952,0.098615214,0.07801724,-2.1974866,18
207,-16.374008,3.7403302,-1.7521281,-2.3920474,19
208,-0.4386803,0.728693,-1.2055285,-2.676547,20
209,1.9026821,-1.0730051,0.22342305,-2.7301452,21
210,-7.1218653,0.4039451,-0.916888,-2.480706,22
211,0.68283165,1.2409679,-0.5245538,-2.4019637,23
212,2.1045494,-1.1145973,-0.52580035,-2.663025,24
213,-1.6234128,1.2947849,-1.2941653,-2.5311723,25
214,2.3503323,-0.89112675,-1.2654996,-2.4250195,26
215,0.103376985,1.8576598,-1.9102017,-2.5144193,27
216,1.6591963,-0.21133065,-1.1113296,-3.0143228,28
217,-0.8965914,1.9378004,-0.5077025,-2.4446232,29
218,5.172319,-0.056479037,-1.2167045,-2.450467,30
219,0.3436544,-0.87784994,-0.06901589,-2.7172375,31
220,-4.3429837,1.3287597,-2.0058465,-2.9694128,32
221,2.8583436,2.0667186,-0.9515065,-2.4451146,33
222,-0.40923974,-0.36509323,0.36564463,-3.1683085,34
223,2.236451,-0.18180592,-0.15941244,-2.3815603,35
224,4.9335637,-1.9333812,-0.81882787,-2.81114,36
225,-6.2823257,-0.29833734,-1.3911608,-2.473967,37
226,0.44849002,1.0754567,-1.1129717,-2.5155795,38
227,-2.7821598,-3.011819,0.31263727,-2.3459802,39
228,2.2714176,-1.395465,-0.40607333,-2.8149018,40
229,1.5854483,0.95265406,-0.36802876,-2.5366883,41
230,1.5105493,0.25979164,-0.11325452,-2.578958,42
231,0.012696385,2.587842,-2.3509772,-2.7925491,43
232,-1.9457068,2.2495675,-0.9523113,-2.9946384,44
233,0.53464186,-0.22637182,-1.326564,-2.457816,45
234,6.22711,-0.8326336,-1.5191289,-2.6373236,46
235,-3.1858072,1.4800041,-1.5854621,-2.6484675,47
236,1.0130433,-0.6242235,-1.2419885,-2.784586,48
237,2.1611161,-1.5327253,-1.026776,-2.499543,49
238,1.814456,0.9006002,-0.518525,-2.288236,50
239,0.9572525,-0.34256977,-0.592039,-2.5291257,51
240,-3.5318227,1.1333798,-0.47807413,-2.9641113,52
241,4.158682,0.0328767,-1.160165,-2.4682589,53
242,1.5838121,-0.4355651,-0.6779405,-2.4926302,54
243,-0.4725417,0.57781506,-0.78748614,-2.3844764,55
244,-0.45179003,-0.8502644,-2.2178147,-2.8706682,56
245,-2.298434,-3.2162623,-1.2715225,-2.8080838,57
246,-3.06772,1.0858943,-2.1257186,-2.2531614,58
247,3.2994866,0.82391363,-0.37802818,-2.6432476,59
248,-1.7539792,-0.5038935,-1.0349348,-2.8132033,60
249,2.570131,0.30758417,-0.5853118,-2.577236,61
250,1.7818158,-0.28077126,-0.095875144,-2.8184958,62
251,1.9876112,0.26249433,-1.9564766,-2.7412796,63
252,0.25862068,-0.8880197,-0.8449771,-2.3999505,64
