,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate
0,0.54150915,0,0.28020194,0.7358154,0.5968714
1,0.78176624,1,0.23216912,0.9034355,0.59318167
2,0.61930764,2,0.22854975,0.8493332,0.6609328
3,0.60581535,3,0.22017412,0.8232479,0.47893244
4,0.61405325,4,0.202805,0.7255938,0.6790254
5,0.4406574,5,0.26253095,0.5956164,0.7635865
6,0.7476666,6,0.20944549,0.8644646,0.35791743
7,0.3951912,7,0.227974,0.4426641,0.66867477
8,0.5298397,8,0.24664454,0.643473,0.7738381
9,0.7828179,9,0.19990598,0.76620007,0.5751238
10,0.4138109,10,0.19371915,0.46853444,0.6585056
11,0.55095106,11,0.18995582,0.6514683,0.7349719
12,0.39274856,12,0.20959629,0.4687507,0.74702984
13,0.47825965,13,0.19926485,0.6163081,0.69398123
14,0.42641142,14,0.24263804,0.46485975,0.7417273
15,0.5301099,15,0.2743211,0.7019146,0.729058
16,0.67135286,16,0.24328402,0.8545406,0.7004647
17,0.5176045,17,0.258063,0.65298134,0.6055183
18,0.7927613,18,0.22537825,0.87685794,0.7545648
19,0.5837936,19,0.22381091,0.7801745,0.6170567
20,0.47635508,20,0.18994913,0.6239531,0.76138574
21,0.7636647,21,0.19538589,0.80600417,0.6465568
22,0.55737764,22,0.20898844,0.64467007,0.55509853
23,0.43597016,23,0.2255828,0.5421679,0.72199893
24,0.4170889,24,0.25067827,0.482046,0.7313147
25,0.44695932,25,0.25088844,0.47268894,0.6729486
26,0.6502163,26,0.20608236,0.67499244,0.64103514
27,0.5527447,27,0.24744347,0.65559685,0.74064755
28,0.445209,28,0.20273617,0.5270703,0.6375983
29,0.51922506,29,0.20549756,0.60843825,0.7481364
30,0.47494403,30,0.21110173,0.5743423,0.7164494
31,0.4197856,31,0.28368583,0.5498767,0.65780675
32,0.43762204,32,0.17613605,0.57151836,0.7653017
33,0.58270055,33,0.23546146,0.6532803,0.5317514
34,0.53311867,34,0.2112641,0.71054864,0.72886175
35,0.5660862,35,0.1665022,0.7106279,0.717237
36,0.68162966,36,0.20756085,0.70932484,0.73780835
37,0.46245354,37,0.2322679,0.53661174,0.76434934
38,0.50986767,38,0.20193024,0.5536098,0.7378063
39,0.6752663,39,0.22647564,0.8182698,0.7800059
40,0.6217469,40,0.21748044,0.82914597,0.70117164
41,0.49139634,41,0.20215845,0.5737476,0.78486717
42,0.54379135,42,0.226302,0.7656576,0.7004843
43,0.80365837,43,0.18893898,0.9107244,0.39656657
44,0.60869956,44,0.15423751,0.9781918,0.6376323
45,0.5649867,45,0.24924013,0.7620977,0.72177184
46,0.44488984,46,0.23871033,0.5138254,0.73767966
47,0.54626703,47,0.18946695,0.6610752,0.7126976
48,0.60359854,48,0.18826905,0.7933594,0.72579485
49,0.88035727,49,0.23097695,0.975346,0.497637
50,0.72673494,50,0.16066414,0.8360102,0.56968224
51,0.6166622,51,0.2139044,0.8042364,0.7427599
52,0.5335038,52,0.20580766,0.6646914,0.7342809
53,0.5837789,53,0.2463861,0.59824455,0.5727533
54,0.50347674,54,0.2336526,0.5824459,0.69888115
55,0.57373476,55,0.21286893,0.74773985,0.7210064
56,0.7169283,56,0.21885873,0.74422765,0.7539122
57,0.449822,57,0.19976088,0.5157762,0.7064848
58,0.5059338,58,0.26361364,0.6377412,0.74174315
59,0.5962057,59,0.3246576,0.80763245,0.7125186
60,0.5822004,60,0.18514417,0.7199311,0.69673425
61,0.499017,61,0.21204041,0.5827568,0.76313984
