,discount,learning rate,mf weight,mb weight,subject
0,0.2407856,0.6353898,1.00546,0.27692437,0
1,0.45200992,0.53108716,0.6387564,0.57253313,1
2,0.25543785,0.7438119,1.1429732,0.60733336,2
3,0.23896874,0.28320357,0.40659297,0.65076065,3
4,0.18730864,0.5229262,1.0299557,0.25535107,4
5,0.20426628,0.7449452,0.62998986,0.4049035,5
6,0.14421003,0.44132975,1.1639841,0.66350687,6
7,0.3914346,0.6941318,0.5769357,0.434111,7
8,0.35023493,0.83449084,1.0926032,0.56978333,8
9,0.3926095,0.69293207,0.7671387,0.90430236,9
10,0.3967082,0.6455812,0.6308898,0.62100446,10
11,0.15179345,0.56035525,0.70802736,0.5175078,11
12,0.3280317,0.83995444,0.39595658,0.45324478,12
13,0.1910714,0.66301054,0.7825891,0.52832127,13
14,0.45152196,0.813076,0.5222806,0.45748124,14
15,0.38584626,0.7245062,0.62564766,0.32881078,15
16,0.23999536,0.6559515,0.89905906,0.7242107,16
17,0.22257131,0.52123725,0.41657418,0.533038,17
18,0.22299585,0.70991445,0.63327664,0.785962,18
19,0.11982457,0.74424076,0.94030505,0.5392529,19
20,0.29264736,0.7443075,0.6987232,0.48748857,20
21,0.19838814,0.6830919,1.1999135,0.5301955,21
22,0.10918912,0.33621994,0.4693061,0.30948693,22
23,0.14705506,0.71489954,0.5451745,0.3345946,23
24,0.2716468,0.7858276,0.5887371,0.39373732,24
25,0.23590547,0.49507517,0.23507228,0.51197165,25
26,0.101885274,0.75557643,0.43739218,0.8560473,26
27,0.28259224,0.78850144,0.5728628,0.91397583,27
28,0.17932723,0.702563,0.6208453,0.5167552,28
29,0.25266314,0.8739284,0.28618753,0.87033784,29
30,0.4805289,0.8608961,0.5294401,0.6183398,30
31,0.17415066,0.86043817,0.5639304,0.50835377,31
32,0.13781957,0.6343627,0.43954974,0.5364748,32
33,0.1817046,0.7681535,0.96219647,0.5473964,33
34,0.16365352,0.811273,0.93351907,0.4611104,34
35,0.10987668,0.5039049,0.6227451,0.39035332,35
36,0.11190758,0.8792045,0.6301622,0.71720636,36
37,0.2776486,0.8399506,0.5358889,0.43655008,37
38,0.16260321,0.62663835,0.6177565,0.48217598,38
39,0.24695003,0.88713026,0.4880013,0.96621984,39
40,0.23612992,0.8224023,0.9028559,0.68835866,40
41,0.20616741,0.8437097,0.34359854,0.64485437,41
42,0.1723744,0.4615648,1.0365057,0.40904135,42
43,0.14889817,0.347731,1.7438865,0.4397379,43
44,0.099829964,0.7508842,1.516891,0.34892267,44
45,0.3880035,0.8424751,0.9662005,0.280232,45
46,0.27440724,0.6138375,0.49679816,0.431908,46
47,0.13810706,0.73063415,0.45832416,0.31411797,47
48,0.44428146,0.68522,0.50498366,0.5356555,48
49,0.18582799,0.4705686,1.2088099,0.81255794,49
50,0.289951,0.35863945,0.48347807,0.43679157,50
51,0.057996735,0.82953715,0.8848502,0.636153,51
52,0.094800554,0.6296813,0.815872,0.35335675,52
53,0.19947475,0.35203364,0.48749506,0.5249555,53
54,0.20499705,0.8816805,0.45973927,0.41792437,54
55,0.30769348,0.47815412,0.49240994,0.55752856,55
56,0.06933506,0.9382013,1.6982665,0.9122174,56
57,0.16067022,0.7870896,0.43796563,0.6013585,57
58,0.44224325,0.77568865,0.31121412,0.6218697,58
59,0.34249964,0.7554243,0.51699054,0.5332803,59
60,0.18816078,0.76035947,0.36048526,0.8228669,60
61,0.24034545,0.8149213,0.5772093,0.34037814,61
62,0.0790792,0.84760416,1.0562646,0.71448255,62
63,0.18249401,0.43759185,0.37972203,0.6370106,63
64,0.09836981,0.51462084,0.4538674,0.674668,64
65,0.19210489,0.61072284,0.57049125,0.7671447,65
66,0.44790852,0.8941729,0.9647342,0.64145225,66
67,0.081234574,0.8308005,0.5532599,0.51759213,67
68,0.10693472,0.7368826,0.41795874,0.32404834,68
69,0.11302119,0.5546311,0.46191883,0.30031866,69
70,0.06934823,0.42699865,0.60343826,0.27061528,70
71,0.329937,0.4387588,0.48133904,0.66113377,71
72,0.2854907,0.5741796,0.5327798,0.57848465,72
73,0.27133906,0.57170963,0.60413164,0.7159332,73
74,0.2818275,0.72816914,0.62836015,0.601567,74
75,0.10891649,0.8776598,0.61598593,0.40372404,75
76,0.1588254,0.8058362,1.3496022,0.52655566,76
77,0.11101258,0.81956536,1.0951895,0.44270584,77
78,0.26778618,0.794422,0.60903746,0.7148029,78
79,0.09630618,0.51147044,0.4069323,0.4639842,79
80,0.16801682,0.89186025,0.6205141,0.4427275,80
81,0.17371906,0.685608,0.9101342,0.64618456,81
82,0.36915195,0.59797084,0.27019903,0.77784365,82
83,0.2890445,0.54850507,1.06078,0.46164885,83
84,0.08949747,0.7244185,0.574564,0.5279273,84
85,0.24091792,0.41303128,0.43161562,0.559875,85
86,0.060372643,0.73165643,0.7410224,0.18220954,86
87,0.13333678,0.60078007,0.32874614,0.52902704,87
88,0.100054465,0.62631327,1.6478974,0.27289048,88
89,0.18976286,0.89587206,0.68079156,0.28241634,89
