,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-2.763145,1.4283986,-2.0840032,-2.4030178,-1.8940083,-3.0368576,0
1,-1.8499577,1.7671382,-1.2128732,-2.2546911,-1.4994996,-3.388666,1
2,-1.6870722,1.099851,-1.9724039,-2.353135,-0.44764626,-3.9865637,2
3,-0.96220505,1.2987149,-2.565706,-2.4217014,-1.2406471,-1.5372454,3
4,-1.4218229,-0.053249538,-1.2626663,-2.2474005,-2.4081562,-1.2636765,4
5,-1.5967174,1.8514051,-1.7630196,-2.613014,-1.6967937,-2.8207157,5
6,-1.9092075,-1.2121762,-1.9937054,-2.3224185,-2.8920767,-0.39868116,6
7,-1.189085,-0.22700799,-3.3032174,-2.4397328,-3.0144973,-2.1413174,7
8,-1.1896669,2.0890644,-2.4188323,-3.1641371,-2.0449083,-1.0184902,8
9,-1.8147659,0.111496866,-1.9782059,-1.6423175,-0.9338294,-3.5205817,9
10,-0.88765013,0.6706366,-3.1911178,-2.3743703,-2.1999562,-0.9173379,10
11,-1.7961134,1.1672847,-2.377772,-2.1754994,-2.1832306,-2.7206495,11
12,-0.89631224,1.1404071,-2.2878656,-2.482962,-3.304329,-0.20922005,12
13,-2.6237774,1.7664223,-1.4907887,-2.3462782,-0.55407655,-3.9456851,13
14,-0.29485035,0.9749975,-2.4215035,-2.8889213,-1.3902152,-2.7387977,14
15,-0.7298864,0.3691826,-2.4687734,-2.535102,-1.9586176,-1.8303809,15
16,-1.0928347,1.5089052,-1.3208356,-2.2370934,-2.4793553,-2.9566731,16
17,-2.6427674,1.4528422,-2.0838132,-2.4319081,0.19679213,-4.6218305,17
18,-1.8142987,1.8563925,-2.2261457,-1.9476528,-1.7332655,-1.6761161,18
19,-2.049296,0.27037126,-1.73188,-2.6953995,-3.3905647,-0.42544317,19
20,-1.3577313,1.6184618,-1.9431416,-2.6460357,-1.7066146,-2.2212737,20
21,-1.908163,1.1697505,-1.7947358,-2.0932715,-3.5281975,-0.6656232,21
22,-1.8202784,0.4314726,-2.868726,-2.578664,-1.3041301,-3.6068482,22
23,-3.1567297,1.3872161,-1.3600032,-2.9880486,-2.6859708,-1.7047858,23
24,-3.0814543,1.9297955,-2.3723264,-2.9997365,-2.4658704,-1.1590677,24
25,-2.1568286,0.75950944,-2.699575,-2.5987277,-1.2466605,-2.7027645,25
26,-1.4390818,1.0765417,-2.4014306,-1.6485095,0.94940305,-6.847777,26
27,-0.1270504,1.0952601,-2.353681,-2.8210957,-2.045742,-1.8772752,27
28,-1.8848794,1.0677321,-2.296889,-2.0651293,-3.0248203,-1.1261313,28
29,-1.6216253,1.7467632,-1.9306648,-3.1804395,-1.3306632,-3.2146802,29
30,-1.0634336,1.699506,-2.5668323,-2.207447,-1.791408,-2.1708813,30
31,-0.09600055,1.5844855,-2.310098,-2.2503643,-1.3001889,-3.989893,31
32,-1.1806195,1.3010917,-2.2647703,-3.0341535,-1.4629792,-2.8440576,32
33,-2.7595744,0.49819276,-1.6449726,-2.4564395,-2.3263612,-1.6172297,33
34,-1.1553748,1.6426427,-1.9274075,-2.3369913,-1.5748832,-2.717534,34
35,-2.003986,0.9526261,-2.0993717,-2.0147312,-1.1343498,-3.4270048,35
36,-1.6393967,1.3960308,-1.962839,-2.3910842,-2.0969841,-1.7775352,36
37,0.1257751,2.3699567,-2.406981,-2.3503416,-1.0717654,-3.4645724,37
38,-2.3140311,1.530733,-1.734509,-2.681622,-2.2779055,-1.8002613,38
39,-0.6518329,1.3726381,-2.546025,-1.7149463,-1.7052885,-1.9648991,39
40,-1.2974296,0.9916186,-2.1764345,-2.1425734,-2.3079662,-1.7372534,40
41,-1.2796007,1.0758488,-2.344527,-2.2834628,-3.1245995,-0.56051755,41
42,-0.25373375,1.7136309,-2.2139745,-2.40811,-1.8767095,-2.0771217,42
43,-1.8780593,1.0834669,-1.619807,-1.5073452,-2.1799123,-1.0893435,43
44,-1.6452048,1.6489596,-1.4178333,-2.484218,-2.0573514,-2.9195342,44
45,-0.45140916,1.242484,-1.6204739,-2.2229474,-1.9092991,-2.3646214,45
46,-1.4399612,0.9888891,-2.7582161,-2.8747935,-1.4059918,-2.9415812,46
47,-2.9613147,0.95864207,-2.3254251,-1.9456215,-2.9280162,-1.3136666,47
48,-1.4896085,1.3577213,-2.2121975,-1.7709925,-2.559536,-1.3483198,48
49,-0.3650334,1.289722,-1.6525735,-2.371078,-1.5406575,-2.7590349,49
50,-1.6819121,-0.84610796,-2.2018154,-1.6796094,-2.6806927,-2.3655696,50
51,-2.597114,1.1827947,-1.6103728,-2.9219737,-2.7319176,-1.1548831,51
52,-1.143056,0.9571201,-2.4547143,-2.2955937,-1.9934454,-1.866964,52
53,-1.4953846,1.099132,-2.0258894,-2.0623922,-2.21306,-1.919735,53
54,-1.8766587,1.0169309,-2.0007925,-2.535514,-1.5094676,-3.083519,54
55,-1.6076268,0.7640656,-2.2469578,-1.683063,-3.2231274,-0.62623906,55
56,-1.6306458,1.5015508,-1.9314098,-1.4997132,-1.8308393,-2.9660802,56
57,-1.0779259,1.7047815,-2.71733,-2.7818012,-2.2852135,-2.2044628,57
58,-1.4224311,1.6273862,-2.259359,-2.5884569,-0.6725668,-3.8356853,58
59,-0.6343552,2.0713809,-1.9029299,-2.3692544,-2.0729418,-1.1392958,59
60,-2.007317,0.2079109,-2.1738348,-2.9936173,-3.2278292,-0.796736,60
61,-1.5710679,1.3743464,-2.2614048,-2.53892,-2.3530796,-1.6574277,61
62,-2.4466543,1.6009321,-1.8729934,-2.3337986,-2.5022602,-1.4975519,62
63,-1.1633178,0.6841389,-2.4522629,-2.8344889,-1.3570199,-3.151258,63
64,-1.5161262,1.1103508,-3.210734,-1.288266,-1.1436001,-2.0976272,64
65,-1.6743305,2.5223699,-1.3614994,-2.280518,-2.140758,-2.26973,65
66,-1.0509558,1.5455129,-1.5088336,-2.7228532,-2.91776,-1.6111908,66
67,-0.8338104,0.24143952,-2.9403033,-3.0841417,-2.9722667,1.1767764,67
68,-2.8204699,0.9810586,-2.4706492,-2.282282,-3.16839,-0.98524857,68
69,-1.2728776,2.301268,-2.7963703,-2.1299145,-2.0337813,-2.805385,69
70,-3.2508962,1.2677569,-1.955807,-1.8314754,-3.3412652,-1.7907466,70
71,-0.106185675,0.9302486,-2.3344598,-1.9833506,-2.2849298,-2.3442633,71
72,-0.7011342,1.8125776,-2.92285,-2.082055,-3.1701765,-0.53008044,72
73,-0.9785428,0.3722126,-1.3393122,-2.4198205,-2.1626906,-2.0340228,73
74,-1.8044443,2.1009705,-1.8576919,-1.8683984,-2.147489,-2.319305,74
75,-2.12285,1.7647269,-2.1389909,-2.9084837,-1.4593593,-3.3055384,75
76,-1.5073745,0.26735204,-2.4744792,-2.5150294,-3.3545322,-0.3849647,76
