,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
0,0.5004638,0,0.24585004,0.6937732,0.66801625,0.16860431,0.81861794
1,0.7510871,1,0.2081618,0.8743885,0.6626062,0.16254151,0.80625033
2,0.61716896,2,0.20661303,0.7819193,0.6935915,0.17104599,0.75074977
3,0.53097135,3,0.20017923,0.7692945,0.59720874,0.16935931,0.84643054
4,0.56204444,4,0.19787122,0.7042832,0.71092975,0.17828007,0.8021118
5,0.4065652,5,0.23987165,0.56910855,0.7776591,0.16934277,0.7519563
6,0.66589075,6,0.20276056,0.8164243,0.5045131,0.14244865,1.0282112
7,0.3777813,7,0.21223693,0.42894295,0.71269506,0.16447729,0.79721725
8,0.5083545,8,0.2235488,0.6377285,0.7876499,0.18488182,0.681678
9,0.7425987,9,0.197707,0.7501638,0.6532754,0.16039567,0.9031111
10,0.38663283,10,0.18719025,0.45761237,0.70112216,0.16580541,0.779048
11,0.5143295,11,0.18290801,0.6621006,0.7558541,0.17965312,0.7482886
12,0.37908795,12,0.19694132,0.46460566,0.77019614,0.16954859,0.7619678
13,0.44931188,13,0.19967099,0.59867996,0.7345435,0.1797074,0.7556091
14,0.4048695,14,0.22783637,0.45477396,0.7656257,0.18294616,0.7404668
15,0.49951696,15,0.2540367,0.67239946,0.74485475,0.17582208,0.70369005
16,0.6186287,16,0.22066908,0.81492054,0.7309364,0.15943609,0.76729494
17,0.4729486,17,0.2289982,0.60860187,0.6756113,0.15324008,0.88007826
18,0.7486727,18,0.18815295,0.85308594,0.7796283,0.16023593,0.78303266
19,0.5580562,19,0.21867481,0.7320914,0.68349415,0.15818802,0.8841736
20,0.44025862,20,0.17765342,0.6139519,0.77432454,0.15758513,0.7968543
21,0.69731605,21,0.18017808,0.7858988,0.68874025,0.1708694,0.7877222
22,0.5073504,22,0.20003824,0.6072445,0.64205796,0.14294319,0.86908394
23,0.4053892,23,0.20875105,0.5224529,0.7389304,0.16431122,0.7796328
