,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,3.9134312,4.6491995,0,0.28597462,0.49566776
1,3.641853,2.715248,1,0.094449766,0.7025329
2,3.5027657,1.713558,2,0.33511692,0.6464718
3,3.3888936,3.831209,3,0.421151,0.4104541
4,1.9423918,1.9483204,4,0.21389143,0.009353042
5,2.7264721,1.5904152,5,0.4393729,0.58552486
6,6.3904843,5.237421,6,0.7344506,0.7082858
7,3.8940458,4.850745,7,0.23763825,0.49981314
8,3.7439024,2.2402687,8,0.56053734,0.9027894
9,3.310748,1.9466693,9,0.74729234,0.5961488
10,4.8574862,5.1181583,10,0.04627993,0.20463234
11,6.909054,5.9848084,11,0.87295204,0.9453409
12,4.0192227,4.3223133,12,0.08782571,0.1345005
13,5.6830177,5.873414,13,0.31622535,0.3872453
14,6.203767,5.3100824,14,0.91597277,0.65453887
15,4.8118,4.916426,15,0.56826496,0.6206588
16,4.3276215,2.8679736,16,0.19827971,0.25872517
17,4.2651396,4.756308,17,0.27144656,0.43717664
18,3.7475302,4.929819,18,0.14564893,0.58455104
19,4.747302,3.7250247,19,0.8389621,0.870638
20,2.9303122,2.2348232,20,0.2674223,0.06394988
21,2.402995,3.0366645,21,0.16901357,0.2893842
22,1.9536716,1.311996,22,0.49684277,0.027899325
23,5.0627227,4.63159,23,0.061114594,0.0832119
24,4.520126,2.3675735,24,0.24346772,0.27970243
25,2.7253559,1.4158714,25,0.81426126,0.8811078
26,5.126795,3.5402966,26,0.8166348,0.6480939
27,3.2626314,2.5599391,27,0.26868784,0.40565008
28,3.2139025,4.202901,28,0.09547493,0.27915812
29,5.150294,4.9331093,29,0.9206864,0.490201
30,5.0578055,4.9619007,30,0.23893563,0.4281671
31,4.69175,3.552645,31,0.30830312,0.47552347
32,5.8999944,4.30812,32,0.7459575,0.8194297
33,4.86275,4.981595,33,0.028502248,0.06531626
34,6.4865646,3.226608,34,0.8221229,0.718873
35,6.646598,4.548463,35,0.86787176,0.9429244
36,2.1169941,1.2352688,36,0.48292488,0.45929527
37,4.0821867,5.0752687,37,0.08137538,0.19100195
38,3.2838998,3.4463809,38,0.10148486,0.1954745
39,4.124651,2.2005138,39,0.891723,0.8564597
40,5.9957104,5.1819496,40,0.9134788,0.9459264
41,5.2483916,4.9338727,41,0.7683581,0.95736855
42,5.133932,4.6698437,42,0.19546933,0.2360363
43,5.217155,5.7541676,43,0.013461518,0.024617791
44,4.497795,3.0813923,44,0.845564,0.6819821
45,4.2545447,2.531254,45,0.7599497,0.78586954
46,2.1786106,1.5741394,46,0.7597541,0.4358878
47,6.6678205,5.85302,47,0.90261483,0.6958204
48,5.795326,4.376363,48,0.7747135,0.5887879
49,2.1654296,2.2819867,49,0.069316894,0.5280692
50,6.04486,4.493516,50,0.78151745,0.63908213
51,5.8336067,3.4312975,51,0.9051411,0.8659193
52,5.4618587,5.249981,52,0.89869714,0.5827679
53,4.4782677,5.0047245,53,0.10388093,0.19558519
54,3.8818276,4.6055245,54,0.07393937,0.12529033
55,5.1208096,5.6685195,55,0.29151458,0.40131623
56,2.6024234,1.672704,56,0.08733275,0.21982777
57,2.4349697,1.0291524,57,0.3960662,0.32571447
58,3.530818,4.5268793,58,0.20515007,0.42945486
59,4.023375,3.8626645,59,0.23286158,0.41430283
60,2.9981732,1.4722002,60,0.7512552,0.78902626
61,1.691468,1.2400285,61,0.05553644,0.047410488
62,3.2534306,3.231379,62,0.105720565,0.1324724
63,6.0296407,3.340104,63,0.8539905,0.8604856
64,3.754044,4.504423,64,0.15183972,0.41131014
65,4.259748,3.999859,65,0.27657917,0.6147064
66,3.301287,1.321098,66,0.38228485,0.40003544
67,4.585652,3.798942,67,0.7418456,0.4103989
68,6.8212833,4.0096745,68,0.8996179,0.6294296
69,6.8379655,4.168145,69,0.93944716,0.9714415
70,2.6171527,1.4402113,70,0.81693435,0.8129107
71,3.9409482,3.2980473,71,0.66287607,0.63200605
72,5.0448647,3.4727476,72,0.40827096,0.7172501
73,5.5037923,3.8815756,73,0.67903227,0.56335616
74,3.1698272,2.9101844,74,0.31574115,0.67831403
75,4.085915,4.44985,75,0.0848323,0.2515418
76,2.4473572,1.5534297,76,0.083405994,0.31087106
77,2.8292468,2.1946702,77,0.20961562,0.36383128
78,3.8350103,1.5391381,78,0.8491714,0.28889692
79,3.3787074,2.3768377,79,0.41254723,0.52393377
80,3.365438,1.7577878,80,0.43648538,0.12232739
81,3.6464407,4.4237375,81,0.35140052,0.5249498
82,5.0473185,2.6590185,82,0.91234106,0.99736917
83,5.187644,3.9618225,83,0.872072,0.9974373
84,2.7579103,3.5575163,84,0.286858,0.8319127
85,4.2167697,3.4598846,85,0.26564738,0.4410429
86,6.062552,4.272286,86,0.39790106,0.8865289
87,2.014621,2.01682,87,0.6201176,0.668389
88,4.2197156,1.215502,88,0.8143138,0.86361516
89,5.8507986,3.4857988,89,0.9075339,0.46261054
90,2.4080896,1.2281854,90,0.08167399,0.07375014
91,6.3126016,5.3998637,91,0.6773884,0.7226995
92,4.398586,2.9196608,92,0.91226345,0.24830186
93,4.529205,3.380252,93,0.33216527,0.4694215
94,4.5617127,5.6872907,94,0.05618331,0.15110391
95,4.8753877,2.8520114,95,0.813546,0.9165128
96,6.784067,5.7151694,96,0.75647265,0.9816355
97,2.9995093,3.3791006,97,0.48459393,0.7956889
98,5.161711,4.0534735,98,0.7766599,0.9482096
99,5.133374,5.167639,99,0.10130869,0.4026053
100,2.5939424,1.223698,100,0.060731947,0.5000348
101,5.518299,4.6715436,101,0.8804687,0.97719926
102,2.9852202,1.7330642,102,0.6794381,0.36980546
103,2.6662595,2.2314847,103,0.23047374,0.478343
104,3.0109785,1.5111647,104,0.14647986,0.5290065
105,5.2053566,3.7716577,105,0.38418016,0.7749267
106,5.8358145,4.094624,106,0.8622981,0.88168424
107,4.6323857,5.752843,107,0.06582916,0.15341723
108,4.559942,3.2924995,108,0.50453866,0.78215784
109,4.3105693,1.8794913,109,0.86352354,0.7702324
110,5.8779902,4.392322,110,0.84156466,0.74377304
111,2.55842,1.6797993,111,0.52972925,0.88478
112,5.364052,5.0077925,112,0.21836673,0.26494765
113,5.867507,2.9038005,113,0.93445647,0.52738476
114,2.6139293,1.0413105,114,0.76851356,0.6240991
115,2.9554067,1.6907344,115,0.53825116,0.69332075
116,3.9886508,4.0657854,116,0.72551787,0.91055745
117,2.4419405,1.2992278,117,0.23084374,0.99422437
118,6.2723155,5.7517657,118,0.7922317,0.8050018
119,2.8460839,1.2172565,119,0.11088454,0.10758239
120,4.771624,4.1428337,120,0.70457524,0.7840015
121,4.188954,3.7075224,121,0.25480485,0.4222136
122,3.0160952,1.7796452,122,0.25019187,0.30062014
123,7.2312803,4.723027,123,0.76650774,0.88627285
124,5.0944505,5.3870597,124,0.011248346,0.035629988
125,4.9848175,3.7611818,125,0.84430796,0.571766
126,5.1302567,4.834448,126,0.8750975,0.95159423
127,5.6973863,5.078498,127,0.87248933,0.92226267
128,4.41491,3.4440546,128,0.67098194,0.4735086
129,6.0257254,4.1497154,129,0.8059258,0.7909467
130,2.8651998,1.5184422,130,0.304475,0.36190093
131,3.4196606,3.269206,131,0.122037105,0.26825094
132,2.5766783,1.3664658,132,0.24145193,0.3154884
133,4.7144084,3.7690287,133,0.03862943,0.07912105
134,5.995515,5.557776,134,0.9102073,0.9103714
135,3.6994333,4.58709,135,0.09740645,0.17165774
136,4.120531,3.7920032,136,0.7744326,0.97126025
137,1.8340867,1.491882,137,0.18120563,0.028261364
138,3.097606,1.7293093,138,0.12274243,0.16135299
139,5.198583,1.9037838,139,0.7824098,0.38697833
140,3.356251,2.961881,140,0.84665775,0.8314481
141,3.2620897,1.6593072,141,0.105570935,0.12491912
142,6.5127325,5.262722,142,0.5056394,0.8568945
143,5.660612,4.2392592,143,0.58313096,0.9116883
144,4.2852764,3.3340104,144,0.054819055,0.1177209
145,4.1661882,4.441351,145,0.79404414,0.83106536
146,6.208056,4.913102,146,0.62717444,0.97877616
147,6.2027636,5.8977184,147,0.45713556,0.50538445
148,3.9958448,4.0254126,148,0.12136052,0.30823147
149,5.475133,1.2419629,149,0.8417334,0.4227839
150,1.5593735,1.0595632,150,0.1749624,0.35122222
151,3.6373184,2.449802,151,0.3353475,0.5730029
152,4.425473,5.8338985,152,0.12914628,0.17379308
153,4.4123015,2.5189767,153,0.11765547,0.3393842
154,4.9311643,5.910864,154,0.085952155,0.21655393
155,7.6655645,5.0720625,155,0.74378973,0.87154233
156,3.1845982,1.8224728,156,0.66075003,0.9154401
157,5.243203,3.6118164,157,0.41377148,0.4298728
158,5.024387,3.732338,158,0.7667373,0.6399532
159,3.6410742,4.5564585,159,0.062050372,0.20933646
160,4.3968573,4.4461017,160,0.14192858,0.38113284
161,4.858759,5.9193625,161,0.03490101,0.095594645
162,6.87036,5.768205,162,0.90582335,0.6936928
163,4.6654377,4.982216,163,0.48536664,0.5685666
164,4.1410136,4.5362883,164,0.1756977,0.58909523
165,4.4500184,5.29413,165,0.3574466,0.57982874
166,3.383731,2.633027,166,0.051719382,0.10451782
167,2.5594444,2.364138,167,0.303815,0.6882698
168,3.2322423,1.222944,168,0.061729517,0.091567695
169,5.1472864,2.0372577,169,0.90940994,0.84523565
170,3.1542735,2.211451,170,0.4782204,0.31060755
171,3.8919966,1.9579768,171,0.1322961,0.1788891
172,5.7603106,4.980294,172,0.28607196,0.5696004
173,5.6677375,4.845061,173,0.025276246,0.04419905
174,7.5373735,5.712903,174,0.94673604,0.49644017
175,2.29968,1.0889101,175,0.64495945,0.83856654
176,4.734154,3.4548926,176,0.07520375,0.115440965
177,4.5394006,5.4790897,177,0.17515698,0.30116326
178,6.9663076,5.609581,178,0.8633277,0.5507889
179,4.571919,4.2730436,179,0.11713462,0.30192584
180,3.752644,4.266436,180,0.76166815,0.7335015
181,2.2128277,1.5340781,181,0.02663363,0.049978316
182,4.31934,4.6361012,182,0.03832994,0.20345151
183,3.7482805,2.1304598,183,0.7917534,0.25600773
184,3.1700468,2.2505438,184,0.13926356,0.7125438
185,3.941601,3.2001905,185,0.26171052,0.43142098
186,3.7867596,3.4161658,186,0.05931166,0.1756748
187,3.371927,2.7090092,187,0.05423425,0.12397301
