,locs0,locs1,locs2,locs3,subject
0,0.44155967,-0.40062404,0.14697772,-2.4696712,0
1,0.47081533,-0.79929066,-0.08463974,-1.6504219,1
2,1.1426625,-0.3593345,-0.5721836,-2.293951,2
3,-5.815527,-0.5490233,-0.39173073,-2.3063722,3
4,-2.3821476,0.34454274,-1.3402904,-2.595623,4
5,0.051222205,-0.7373322,-0.83601844,-1.9011768,5
6,2.8766696,0.7491566,0.5664365,-2.2170532,6
7,-1.76464,-0.7649178,-0.17762922,-2.4635694,7
8,-0.9211208,0.84712064,-0.62590116,-2.5858302,8
9,0.56818044,0.23716241,-0.95469743,-2.240178,9
10,-0.66681826,-2.1236482,-0.4656067,-1.5262674,10
11,1.4449483,0.39266515,0.40066347,-2.0529795,11
12,-0.61419225,-1.8047274,-0.2097848,-2.4190576,12
13,0.065309644,-0.923885,0.46352157,-1.8378929,13
14,-2.1480205,0.39154676,0.34352165,-1.7918568,14
15,-0.1926037,0.6421397,0.23651882,-2.1822011,15
16,1.6018181,-0.95330536,-0.4145835,-2.0414603,16
17,-0.3986413,-0.26400295,-0.054715227,-2.0409932,17
18,-0.52404505,-0.21179128,-0.14265066,-1.7883236,18
19,-1.4488815,1.138087,0.2560507,-2.1263607,19
20,-2.2981496,0.78091043,-0.70366853,-2.8851333,20
21,-0.7904932,-2.0450008,-1.676844,-2.6093044,21
22,-0.832258,2.2004879,-1.0128243,-2.3430119,22
23,2.582573,-2.6873007,0.1849982,-2.568507,23
24,0.62767,-1.2340064,-0.24079221,-2.5439389,24
25,-4.887739,2.054694,-1.0071154,-2.1309135,25
26,1.4887795,1.0772167,-0.013362229,-1.9861877,26
27,-1.4976354,0.16142222,-0.34193957,-2.4508169,27
28,-0.89075774,-1.4311723,-0.59426105,-1.9280157,28
29,2.5167282,2.3646657,0.13793969,-2.2883658,29
30,1.3531035,-0.37549672,0.08945678,-2.1149602,30
31,0.6637471,-0.6176022,0.12285476,-2.0546901,31
32,-1.3898957,1.5463321,0.3830824,-2.2584257,32
33,-0.942298,-2.9172444,-0.23011021,-2.3797555,33
34,-3.0055866,0.45091778,0.96441805,-2.5871952,34
35,1.7634839,1.9478619,0.702791,-2.3829463,35
36,1.2150048,-0.8561088,-1.2638978,-2.8026135,36
37,1.5644987,-2.0098472,-0.47147778,-1.9160181,37
38,0.19497904,-1.6708157,-0.76245016,-2.2711484,38
39,0.15009189,1.8027749,-0.08098912,-2.1504843,39
40,1.0100214,1.5619072,0.67451143,-2.2627776,40
41,-3.1274316,1.1326545,-0.41042465,-2.4569407,41
42,3.3198593,-0.42065525,0.37487194,-2.604315,42
43,0.6555351,-4.4177017,0.06909044,-2.571832,43
44,1.031086,2.8466692,-0.27584618,-2.2650108,44
45,-1.4173833,1.9526937,-0.4949429,-2.2877681,45
46,-1.39849,0.05263114,-1.7445908,-2.4588454,46
47,-0.6520099,2.0009403,0.5505973,-2.3083336,47
48,-0.3342051,0.8318459,0.28188688,-2.5229774,48
49,-1.324876,-0.7769625,-0.79736876,-2.0047164,49
50,0.31673694,1.3769209,0.63859296,-2.014957,50
51,2.3562584,2.3319323,0.30381992,-2.0005567,51
52,-0.16455334,1.6776766,0.19356917,-1.8437463,52
53,2.07753,-1.6099114,-0.010995507,-2.268225,53
54,0.1914283,-0.8878567,-0.47839916,-1.9962112,54
55,2.2742436,-0.14230743,0.6803601,-2.2850065,55
56,-0.9726894,-1.9552655,-0.89841944,-2.6495621,56
57,-3.8169127,-1.0520617,-1.1687659,-2.5192273,57
58,1.1820134,-1.5881166,-0.44273132,-2.6634574,58
59,-0.062122583,-0.6592599,-0.05068411,-2.5585868,59
60,-0.89580584,0.47132033,-0.624616,-2.013916,60
61,-3.7976785,-3.0734534,-1.5028548,-2.740047,61
62,-1.1940838,-1.6111549,-0.22615963,-2.3179257,62
63,1.7318728,0.66183966,-0.66942775,-2.2393494,63
64,-0.8522402,-1.4867827,-0.61071837,-2.596599,64
65,-1.65377,-0.37199366,-0.3619456,-2.6617498,65
66,1.0099216,0.038891107,-0.30463618,-1.7652137,66
67,-3.0504394,0.9973686,-0.039855167,-2.8123178,67
68,0.4193045,1.9901054,1.0966871,-2.4557085,68
69,2.3733919,1.8136699,0.19007286,-2.1813834,69
70,-7.9688373,2.9186614,-0.535117,-2.5603511,70
71,-3.7207646,-0.30582172,-0.71414286,-2.1526783,71
72,1.1424717,-0.06735826,0.33829683,-2.2863836,72
73,1.259086,1.2551342,0.41393018,-1.7692994,73
74,2.5350518,-1.4296687,-1.0325937,-2.4120698,74
75,1.0754262,-1.5840287,-0.088283986,-2.554483,75
76,3.8509803,-1.9461107,-1.1100515,-2.4360354,76
77,-0.07591951,-0.5231211,-0.4500091,-2.1663764,77
78,-0.37892392,2.3082464,-0.6985755,-2.732581,78
79,1.0994673,0.010265827,-0.013077259,-2.2582996,79
80,-1.8010237,1.5654798,-0.08905038,-2.333768,80
81,2.0973825,0.48173046,-0.32034275,-2.0549662,81
