,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.70666313,0.52399397,4.3601065,1.867655,0
1,0.2166835,0.15828413,5.0350785,0.792936,1
2,0.07976191,0.2925673,2.2117329,1.0391704,2
3,0.6639032,0.7519521,4.034125,1.3993258,3
4,0.46680987,0.1660408,5.078476,0.9824146,4
5,0.67792267,0.5393474,6.674,1.2522082,5
6,0.7894704,0.23309417,3.9529214,1.2155834,6
7,0.7131898,0.43632916,1.6445925,1.5996053,7
8,0.13784061,0.37633783,3.1804168,1.0673784,8
9,0.5171344,0.49466825,2.8597698,1.7259889,9
10,0.47962794,0.15617226,1.5383207,1.1780363,10
11,0.6151337,0.84694093,4.6986504,0.9772469,11
12,0.6332281,0.7564299,4.333898,0.96712255,12
13,0.3149411,0.3733914,1.7146018,1.4047807,13
14,0.56184757,0.16185859,4.1289825,0.8313204,14
15,0.19820054,0.76033133,3.9444976,0.8519575,15
16,0.5485647,0.5008401,4.014574,1.3115227,16
17,0.41600618,0.77168924,3.5782752,1.0799394,17
18,0.70936656,0.54551053,1.8904757,1.5184487,18
19,0.23571499,0.7107618,3.8662586,0.76916987,19
20,0.31887013,0.6951377,2.077406,1.1846681,20
21,0.53639245,0.31981757,4.1436477,0.7822765,21
22,0.7286248,0.7654227,4.5706253,1.4967309,22
23,0.93471175,0.7732736,1.8218559,1.918096,23
24,0.31632677,0.61760426,3.3591814,1.513875,24
25,0.3324856,0.5102161,5.8230543,1.6566544,25
26,0.42302588,0.30792376,2.6368642,1.3825126,26
27,0.7744622,0.67578787,4.7155824,1.4373623,27
28,0.81670135,0.9159528,1.8092215,0.7356565,28
29,0.442726,0.80912226,5.3474703,1.3338029,29
30,0.31842905,0.28348467,3.623519,0.7025132,30
31,0.25971624,0.38943717,3.580446,1.4692522,31
32,0.59362274,0.91125906,4.0791078,1.1681939,32
33,0.4952234,0.54431695,3.9111588,0.92784846,33
34,0.48778906,0.48960224,5.3011107,0.8846813,34
35,0.7308562,0.5449686,2.506823,1.7745411,35
36,0.5072779,0.8539462,3.1995347,1.5703373,36
37,0.09568418,0.57368404,3.1408486,1.372801,37
38,0.44781172,0.46845537,5.5482216,1.3615941,38
39,0.30374774,0.8290385,1.9348369,1.5334152,39
40,0.35008025,0.7269856,4.539031,0.9647989,40
41,0.07578737,0.20869118,3.1377935,1.0669373,41
42,0.54153544,0.78564066,3.8267968,0.8716278,42
43,0.8024646,0.7309017,5.18167,1.7740625,43
44,0.83031666,0.3105052,4.387062,1.0529137,44
45,0.3145697,0.7074962,3.801603,0.9821496,45
46,0.4246785,0.4699853,5.8770747,1.2456462,46
47,0.614621,0.7461107,4.3054447,0.8230496,47
48,0.61070734,0.4476728,5.8538876,0.92748874,48
49,0.30037567,0.65716356,4.2518415,1.61449,49
50,0.08382759,0.5771778,4.1448793,0.75136983,50
51,0.6654872,0.5111043,4.7136154,0.76134056,51
52,0.2746008,0.4173161,4.4573693,1.2808957,52
53,0.4587109,0.4192415,2.5690267,1.0716797,53
54,0.23191783,0.6767029,4.0506487,1.156239,54
55,0.2964904,0.13823298,3.7862177,1.0213511,55
56,0.33804595,0.87078553,4.178347,0.88017726,56
57,0.63785285,0.22168314,2.7787912,1.821826,57
58,0.38718036,0.89559704,4.1245275,0.9785848,58
59,0.4342163,0.43160334,4.444552,1.259219,59
60,0.25388482,0.61109185,2.3023782,1.4011537,60
61,0.7499407,0.22891946,3.4792085,1.3308929,61
62,0.44585127,0.65065515,3.0799189,1.7837871,62
63,0.5204219,0.45506677,2.7729092,1.3208318,63
64,0.47976223,0.6019404,3.6455657,1.3520526,64
65,0.35513955,0.85465646,3.2861736,1.5470219,65
66,0.491082,0.22990787,4.079347,1.7882011,66
67,0.4923347,0.6250759,3.5139036,1.5735847,67
