,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,2.254415,0.058261544,-0.5124613,-2.8055387,-0.7072253,0.80243874,0
1,-1.4435327,-1.9980755,-1.1346247,-2.992238,-1.4206071,1.08771,1
2,0.5914731,-2.4439197,-1.5997031,-2.497046,-0.90629584,-2.2511373,2
3,1.2834771,-0.49726754,-0.66466546,-2.6930487,-0.6257245,3.277424,3
4,-0.3099904,-1.8356466,-0.14908335,-2.4810057,-0.59526384,0.07122436,4
5,1.7604924,-0.8150967,0.06020251,-2.7833705,-1.7265729,-1.0483854,5
6,1.084332,-0.42913377,-0.7886609,-2.9433384,-1.1747023,-2.1907775,6
7,0.1510545,-1.2167529,-2.277168,-2.441322,-1.1029665,1.3742356,7
8,-0.17799705,-1.8041164,-1.3980553,-2.7739613,-0.7717608,-1.1836114,8
9,0.65111077,-1.2420828,-0.73689806,-2.281239,-0.4507792,0.29370743,9
10,1.6508157,-3.5181096,-1.8436966,-2.6015193,-1.2227871,0.7689745,10
11,1.3284068,1.8801032,-0.38672435,-2.9180777,-0.7655773,1.3386102,11
12,1.5665221,0.65336573,-0.25510505,-2.371418,-1.0533314,2.111099,12
13,1.8443589,-1.1576114,-2.100508,-2.6729033,-0.95689404,-1.2881464,13
14,1.6480699,-1.6357789,-0.36132103,-2.5267675,-1.0975876,2.374484,14
15,0.7595241,-0.34457982,-0.8814601,-2.4510765,-0.9693234,-0.36193368,15
16,1.3923159,-0.6830034,-0.30118012,-2.7012649,-0.8571223,2.57116,16
17,0.8033932,2.7489142,-1.1496009,-2.6035683,-0.769249,0.8752068,17
18,2.4639053,-0.2406162,-2.33148,-2.7625694,0.13993701,2.6986804,18
19,2.057285,1.181455,-0.17070925,-2.5101569,-1.9989003,-1.7669008,19
20,-0.016807497,-0.14817518,-1.6423017,-2.7323787,-2.3606274,1.1794548,20
21,1.9690893,-0.8351395,0.38567093,-2.4795501,-1.8364465,0.23148257,21
22,1.892645,0.814617,-0.61273,-2.833538,-0.17223902,1.8786912,22
23,2.596965,1.3792232,-1.769024,-2.6702359,0.15330651,1.8918724,23
24,-0.2703275,-1.7829957,-0.7867801,-2.4381733,0.08451086,-0.13253821,24
25,0.8558817,-0.20618333,0.32575798,-2.3030293,-0.9195857,0.18334725,25
26,2.5956955,-2.165724,-0.66207504,-2.5890982,-0.6277453,0.11845435,26
27,0.5456973,0.78573406,0.641431,-2.2599387,0.048727863,1.330441,27
28,0.32351983,2.7314587,-1.6819712,-2.5328922,-2.1138818,-1.8711162,28
29,2.771522,1.1853197,-0.79607236,-2.2584147,-0.21778952,-0.7904291,29
30,1.7440751,-0.7445036,-0.9904431,-3.064541,-2.21004,-2.6302896,30
31,1.5013294,0.22420076,-0.7303462,-2.6459203,-0.49407792,-1.8613672,31
32,1.506574,2.5218043,-0.72732836,-2.4202006,-0.16014293,2.6140714,32
33,1.3365663,1.2919786,-1.0012467,-2.6253595,-1.4245111,-1.5795226,33
34,-0.06988698,0.9002167,0.38867906,-2.6740499,-1.7400641,-2.9226103,34
35,3.3377275,-0.5452355,-1.1935078,-2.8036315,-0.41607058,1.5614966,35
36,0.3482598,2.0008097,-1.3029581,-2.7712958,-0.65635175,-0.77144647,36
37,0.9597182,0.056825697,-1.1025462,-2.640055,-0.92526215,-2.1868923,37
38,1.2791629,-0.874067,0.37763685,-2.234303,-1.3565326,1.3081163,38
39,0.23249882,-2.987768,-2.4211922,-2.6264014,-0.5350567,-0.3453453,39
40,0.5046526,2.3388715,-0.51172507,-2.474408,-1.7254813,0.5224472,40
41,1.2003154,-1.9629114,-0.6337105,-2.3193574,-0.9636841,-3.8655305,41
42,1.6550639,2.1676245,-0.7031224,-2.3952572,-1.1059623,1.9919202,42
43,2.2213247,1.2676582,-0.33337733,-2.5098562,-0.66032994,0.72862065,43
