,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.65034634,0.18334113,2.9794466,1.254142,4.5446777,0.588425,0
1,0.13953708,0.09065744,2.9006875,1.2029496,4.5524225,0.11522132,1
2,0.88095534,0.24416761,1.6690041,0.91508895,3.5650058,0.13116135,2
3,0.086999156,0.24808796,2.2207274,0.69280833,1.775713,0.31172004,3
4,0.17014173,0.0006811763,1.7544129,0.54115915,2.4489448,0.86185014,4
5,0.21060771,0.5033526,2.2986815,0.609091,1.9517285,0.33105558,5
6,0.12243758,0.7268426,6.134152,0.9889282,2.0922887,0.3954154,6
7,0.027245928,0.19666938,2.8587613,0.8526183,1.2123485,0.16033904,7
8,0.040204275,0.35161492,2.7564883,0.56743723,2.4016747,0.65863156,8
9,0.26288697,0.045876283,1.5183051,0.56124264,2.494739,0.11859313,9
10,0.16672583,0.069153756,3.935605,1.2251706,2.9386454,0.06456228,10
11,0.6494479,0.9249666,4.466763,1.0870944,1.226302,0.10684514,11
12,0.05174984,0.099216856,4.1141086,1.0075895,2.75424,0.11001547,12
13,0.2800059,0.23680976,5.295685,2.02811,4.049981,0.19747293,13
14,0.12130561,0.5249782,5.042713,1.6015673,1.5008721,0.05234509,14
15,0.18901257,0.46013373,3.8498845,0.6273294,1.6177533,0.42068914,15
16,0.49518558,0.24803203,2.5148015,1.0928009,3.1354532,0.1315769,16
17,0.23775876,0.27890518,4.6470656,1.5819862,2.7678907,0.22141378,17
18,0.35166898,0.28406093,5.044679,1.0393398,0.92919916,0.14218578,18
19,0.2620384,0.90941477,5.699378,1.0214293,1.1658739,0.6571919,19
20,0.18181245,0.109644964,2.934294,1.006418,4.922033,0.7640154,20
21,0.81240886,0.07891357,1.1619508,0.79796016,2.6988425,0.50065285,21
22,0.17856006,0.028644212,1.5974241,0.87641686,2.9732308,0.70631766,22
23,0.48671347,0.053998254,4.55922,0.677095,2.779262,0.18651544,23
24,0.5391331,0.2478423,3.0337868,0.7340089,4.257193,0.37739426,24
25,0.031980425,0.96394134,2.3935075,0.7316196,1.7402862,0.48906755,25
26,0.15856802,0.8333176,2.5703802,1.28244,3.9794607,0.17114945,26
27,0.20917974,0.14251184,1.6953151,0.8084073,1.5005167,0.6443481,27
28,0.181091,0.12571332,2.8201845,0.9296428,3.0850089,0.04342455,28
29,0.02001192,0.963558,2.252182,0.8965267,3.672739,0.10214671,29
30,0.561073,0.34370875,3.9686048,1.0993602,3.2149818,0.09007556,30
31,0.632449,0.18887012,3.0825667,1.3781482,4.322854,0.45120507,31
32,0.9328691,0.4287388,4.716925,0.6276424,1.4222257,0.6116905,32
33,0.11426468,0.026404671,5.6020064,1.246535,3.6783147,0.27913272,33
34,0.6400004,0.76154757,4.4566603,0.6264926,2.06404,0.714476,34
35,0.8569941,0.5799255,4.221523,1.1105281,5.106774,0.42656174,35
36,0.066821516,0.7723336,1.3438524,0.9117622,2.120972,0.5400115,36
37,0.7574623,0.06086358,4.0582843,1.0963875,2.2084537,0.2579029,37
38,0.5428037,0.06614002,1.8739915,0.66775894,2.7562203,0.8786735,38
39,0.31257254,0.65356016,3.282741,1.0163153,2.3722577,0.08960952,39
40,0.24441773,0.96274906,5.60108,0.7946346,1.2149514,0.078410484,40
41,0.060625292,0.79590446,4.953266,0.8134568,0.8275992,0.157195,41
42,0.58015454,0.14422844,5.4692464,0.48571897,3.401601,0.72941804,42
43,0.751985,0.008209643,4.852156,1.1735328,5.74306,0.6710952,43
44,0.8058868,0.6450787,2.2338703,1.21004,3.5322044,0.31254685,44
45,0.18227948,0.7387327,2.525979,0.8841655,2.154649,0.40393054,45
46,0.44142196,0.19111116,1.1703424,0.9266112,1.278268,0.36568093,46
47,0.8438049,0.82918686,4.6009607,0.85725605,4.837717,0.8144672,47
48,0.9005788,0.6824765,5.189725,0.74154234,2.1765156,0.3983176,48
49,0.122224405,0.7180686,2.0883172,0.8631549,3.2141485,0.03631461,49
50,0.83181626,0.75145394,4.371153,1.2036581,2.488213,0.7373242,50
