,discount,learning rate,mf weight,mb weight,subject
0,0.5636311,0.7434678,3.4869368,1.0801775,0
1,0.4435034,0.29848644,0.529139,0.74633694,1
2,0.22201227,0.1624333,0.45881784,0.5316747,2
3,0.66365117,0.75743425,2.52205,1.3700092,3
4,0.15989967,0.42676434,4.7729144,1.1589764,4
5,0.6230586,0.66076744,2.1039364,1.337733,5
6,0.29289463,0.21198347,0.6911651,0.6259227,6
7,0.7177718,0.595905,1.0939972,0.50324196,7
8,0.24607496,0.20584026,0.9842242,0.8407301,8
9,0.68078995,0.47102275,1.5073228,0.73831075,9
10,0.37782973,0.32195014,1.0911697,0.3188695,10
11,0.39381495,0.68977696,4.5232134,2.8919346,11
12,0.34809035,0.677265,2.409307,1.7411771,12
13,0.3334807,0.7162922,1.2697194,0.34939542,13
14,0.08158392,0.12096463,0.5265564,0.75973904,14
15,0.27773803,0.4705178,2.785246,0.55449176,15
16,0.48036602,0.42364556,1.7123927,0.99075806,16
17,0.45827428,0.4972367,1.4727122,0.4994975,17
18,0.7440741,0.74289846,1.3192682,1.1252556,18
19,0.1865691,0.3528538,1.9504359,0.51756644,19
20,0.3364412,0.32007864,0.5832937,0.83630687,20
21,0.05672793,0.24789605,2.983375,0.8347373,21
22,0.6444856,0.72667134,3.0362124,0.47993302,22
23,0.792487,0.9011177,3.8164916,1.1323485,23
24,0.38212952,0.37268484,2.7934675,1.0494277,24
25,0.28131673,0.41630784,3.3238134,1.4039828,25
26,0.4865143,0.4613398,1.3983932,1.310235,26
27,0.56291485,0.6991006,3.7133837,0.6450563,27
28,0.22566056,0.3405441,0.32519385,0.9049314,28
29,0.45954812,0.5474667,3.0025082,0.44978422,29
30,0.11092271,0.26512453,1.0611655,0.7288263,30
31,0.30821544,0.33259404,1.8978124,0.64607215,31
32,0.7047884,0.7818056,3.9445457,0.50480247,32
33,0.17036633,0.3123361,0.87078536,1.5493984,33
34,0.21333246,0.29551023,0.76174146,1.1236724,34
35,0.7218476,0.5481206,1.4838637,1.0640948,35
36,0.45650387,0.64526284,2.5395184,0.8710483,36
37,0.17145027,0.33648607,3.0507221,0.46611813,37
38,0.21510981,0.3798223,2.113265,1.1453342,38
39,0.478784,0.34864613,1.8462005,0.21185008,39
40,0.16201594,0.6074222,3.5837245,0.99641323,40
41,0.22723076,0.14848164,0.5548715,0.48980576,41
42,0.28311387,0.5761118,1.6405423,0.75335276,42
43,0.31342697,0.33646795,1.0766752,1.37713,43
44,0.11536137,0.3291538,1.8172071,0.7982589,44
45,0.64212203,0.29783386,0.49415642,1.1947677,45
46,0.21997134,0.28742397,2.2086334,1.2824891,46
47,0.12168413,0.39468145,1.7411444,1.0465786,47
48,0.27082315,0.43562448,1.7618606,1.3373494,48
49,0.39431843,0.6743238,4.584561,1.0132929,49
50,0.1188295,0.5498825,1.3366661,0.43497562,50
51,0.40404525,0.3540434,1.1494778,0.9261734,51
52,0.22970659,0.2281162,1.4155338,0.8566147,52
53,0.49992263,0.72926027,0.63884115,1.5524501,53
54,0.37356022,0.2878489,1.3494488,1.4630226,54
55,0.41223988,0.35313663,0.90303946,0.79617786,55
56,0.3546153,0.69510704,2.814208,0.9644653,56
57,0.7597049,0.60015565,1.591918,0.7106597,57
58,0.32446718,0.69310087,3.195902,0.82954204,58
59,0.37272665,0.43924463,2.9775,1.4309039,59
60,0.51929694,0.38274267,1.5162281,0.83011067,60
61,0.2367092,0.72793293,2.9801536,1.0607331,61
62,0.5644149,0.524165,2.0322838,0.9752274,62
63,0.32143518,0.71865666,3.3281422,1.001785,63
64,0.32713875,0.37773633,1.8585815,0.8383782,64
65,0.441551,0.4718912,1.7276881,0.74865174,65
66,0.5665764,0.6291447,3.7405972,0.48016235,66
67,0.6717763,0.7594808,3.1441507,0.74063706,67
68,0.6289783,0.524118,0.93962634,1.9005339,68
69,0.21292518,0.60817575,0.7949178,0.50918436,69
70,0.3677049,0.32750311,1.1522713,0.64550877,70
71,0.3923654,0.4818104,2.2035265,0.578181,71
72,0.53139853,0.40740404,1.0609254,1.039005,72
73,0.18585576,0.76897293,4.0586033,1.2245855,73
74,0.50296974,0.7732232,4.250851,0.7695578,74
75,0.5844854,0.7819923,1.5238822,0.75677454,75
76,0.37331948,0.2744555,0.973479,0.59859383,76
77,0.17307435,0.6600849,1.0379027,1.2756411,77
78,0.63746244,0.8339621,4.3859067,1.360897,78
79,0.20419647,0.6176523,1.3449199,1.5859892,79
80,0.2591438,0.29287836,1.2263415,1.543807,80
81,0.42365208,0.47045428,1.8732519,0.8845142,81
82,0.13378513,0.38463065,1.9897002,1.5716082,82
83,0.31664398,0.51824087,2.9640691,0.8237037,83
84,0.82058257,0.7487154,1.2665939,0.65988517,84
85,0.578966,0.5737137,2.708558,1.7060361,85
86,0.4554262,0.16156839,0.35705006,0.9309269,86
87,0.29856285,0.38048503,2.057908,0.797392,87
88,0.61928487,0.43375534,1.6162844,0.41651666,88
89,0.407991,0.29866642,1.3459785,0.6533921,89
90,0.347166,0.51583827,2.1198575,0.92434967,90
91,0.6571735,0.6403651,0.7503903,0.8436926,91
92,0.4832373,0.5518537,1.3438265,1.30426,92
93,0.43780783,0.37944624,1.3966038,2.4845812,93
94,0.6739063,0.69021136,1.898432,1.7258306,94
95,0.19592191,0.38101614,2.4574316,1.3333496,95
96,0.2757844,0.7629031,2.5895543,0.5332966,96
97,0.5276867,0.51755595,2.5587597,1.663008,97
98,0.3055506,0.63739073,4.3958983,0.81702125,98
99,0.2040599,0.21011299,1.7544854,1.0001879,99
100,0.39118087,0.48720637,3.8565292,0.8539119,100
101,0.07346476,0.51154613,2.0683002,1.8489769,101
102,0.26044446,0.19022702,1.3374834,0.42372134,102
103,0.3397867,0.26445255,0.7367811,1.9156162,103
104,0.26694477,0.4320996,3.3865209,0.97759956,104
105,0.30593473,0.7061488,3.9572582,1.5243695,105
106,0.34774718,0.2900571,0.65985537,1.984035,106
107,0.54812443,0.61133623,2.1692054,0.5181186,107
108,0.19453673,0.3329248,1.8131686,0.89302194,108
109,0.43533865,0.4806876,0.62213457,1.0317912,109
110,0.41990855,0.31967026,1.2126198,0.98279023,110
111,0.4619001,0.43508327,1.8812256,2.0068457,111
112,0.5514278,0.73405963,2.3197508,0.52526534,112
113,0.55026835,0.51057076,2.2896228,0.67012507,113
114,0.67564946,0.4287354,1.2537966,0.5345277,114
115,0.49921623,0.47093537,0.90340674,1.5858383,115
116,0.41122833,0.30896333,3.1193132,0.5672224,116
117,0.43218687,0.5789547,2.4000535,0.72871655,117
118,0.6938416,0.7591359,3.0337708,0.5300168,118
119,0.19097914,0.19605571,1.3403811,0.45609218,119
120,0.2695963,0.35478914,2.6883032,1.3488274,120
121,0.28848228,0.42329627,1.8077433,0.49044594,121
122,0.23014297,0.19687775,1.0639142,0.35812974,122
123,0.36151773,0.67513216,3.709925,1.979567,123
124,0.19842187,0.6909542,2.5787616,1.0018333,124
125,0.46114746,0.5322898,2.9283462,0.90656,125
126,0.32989702,0.35723525,0.8218368,0.40367222,126
127,0.315949,0.2821751,0.6564237,0.76172626,127
128,0.2407608,0.16149905,0.4106965,0.49901927,128
129,0.3678219,0.59867936,2.8969426,1.0006319,129
130,0.32251117,0.7101995,3.3835974,1.4578583,130
131,0.20336758,0.8469621,0.7314624,0.8252151,131
132,0.21869814,0.25508422,1.0289979,0.86717725,132
133,0.1802797,0.39519212,2.1803577,0.30993742,133
134,0.21910803,0.34480545,1.9599421,1.0400953,134
135,0.36088082,0.36825016,0.5686899,0.6758572,135
136,0.21434987,0.5517245,1.1099203,1.5664301,136
137,0.09219227,0.2757694,3.0505307,0.88066685,137
138,0.6968483,0.7784633,2.6180708,1.3016632,138
139,0.33171806,0.6319018,0.62210894,0.2997183,139
140,0.5610883,0.69036734,2.3181763,1.6579614,140
141,0.19647504,0.5526263,1.8555796,0.76703405,141
142,0.6562647,0.69732,1.2082896,0.971649,142
143,0.60926294,0.62753075,1.3466935,0.9684654,143
144,0.24562447,0.4431914,3.3982236,0.49298984,144
145,0.071535125,0.1627561,1.2896681,0.74675894,145
146,0.3015316,0.19733684,0.84948957,0.5278188,146
147,0.18781035,0.28123015,2.2084734,1.7743828,147
148,0.20255426,0.5873137,1.748862,1.2478759,148
149,0.32752255,0.35549828,0.36367792,2.0883555,149
150,0.09390852,0.170586,0.7052895,0.45118743,150
151,0.57838327,0.3843226,0.48041624,1.8003995,151
152,0.23596159,0.73200744,5.2293987,1.231323,152
153,0.1875061,0.6628082,2.7545278,1.7413867,153
154,0.72074026,0.32580706,1.1088117,0.35257927,154
155,0.6426064,0.39733163,1.5121095,0.9019413,155
156,0.077561654,0.110819876,0.99350953,0.6315726,156
157,0.15686163,0.42151353,3.8182483,0.5043881,157
158,0.23964526,0.25085717,0.34581488,1.4295062,158
159,0.2845263,0.37712586,1.1782038,0.67804265,159
160,0.22411044,0.328941,3.1643171,1.4000224,160
161,0.59446985,0.7195092,1.6830308,0.7041255,161
162,0.3164121,0.39332026,1.1998774,0.44288966,162
163,0.6302833,0.802892,1.9556935,0.7982675,163
164,0.19504212,0.3160414,1.0378708,1.8186696,164
165,0.43023437,0.40629262,0.99662924,0.70168436,165
166,0.5423037,0.3221459,0.7498324,0.8781638,166
167,0.53371274,0.4731998,2.0279055,0.4189479,167
168,0.6251306,0.75840247,0.69376814,0.80442077,168
169,0.19374904,0.6851777,0.3875016,0.5989758,169
170,0.38498417,0.6439136,2.1524417,1.0048943,170
171,0.6753471,0.50922555,1.5985057,0.74054587,171
172,0.6494286,0.6303384,2.1186175,0.6483273,172
173,0.60592335,0.5860521,2.1724272,1.8401313,173
174,0.13284025,0.26325083,0.7131025,1.9767008,174
175,0.624845,0.5471093,2.4918425,0.9584266,175
176,0.068556964,0.40158653,2.5853286,0.6042213,176
177,0.18602802,0.3669845,1.5227637,1.2891147,177
178,0.2918263,0.54996175,4.289047,1.3730496,178
179,0.06645254,0.3287266,2.9322326,0.7748989,179
180,0.065340124,0.18367693,1.4962221,1.0847949,180
181,0.22759794,0.5624366,2.5246747,0.8393558,181
182,0.3166933,0.39495698,2.3757086,1.5276933,182
183,0.60338044,0.8699879,5.044819,1.3769298,183
184,0.3670324,0.335869,1.6267807,1.0785053,184
185,0.08200728,0.55195606,0.37132517,0.649126,185
186,0.5395269,0.48171046,3.781467,1.8207943,186
187,0.13049817,0.24546126,2.126508,0.654495,187
188,0.30589992,0.61759996,2.7705188,2.0158005,0
189,0.23770663,0.39610586,1.2719901,0.52050936,1
190,0.35026738,0.4038872,0.50276875,0.60083336,2
191,0.61293054,0.8199103,3.4691958,0.89831233,3
192,0.1300494,0.24515724,2.6974728,1.1174922,4
193,0.24895263,0.3466882,1.6768022,0.7894157,5
194,0.43573186,0.3066136,1.0689025,0.71294194,6
195,0.493159,0.58303726,0.9818221,0.75879276,7
196,0.22330168,0.2861167,1.5558958,0.64402425,8
197,0.5819074,0.605756,2.2095044,0.9911077,9
198,0.32047465,0.29194987,1.2204132,0.3032139,10
199,0.47657833,0.68621117,4.1163425,2.071014,11
200,0.3727226,0.7974879,3.5061617,1.6247907,12
201,0.66500694,0.528075,0.46024495,0.5318614,13
