,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
0,0.5164971,0.75131273,3.1090035,0.8655305,0.40870702,0.29026818,0
1,0.37723976,0.5593173,0.5627266,0.7444314,1.6489632,0.09463947,1
2,0.1059952,0.6241835,1.0626607,0.15761846,1.3026454,0.11877827,2
3,0.53189373,0.8305247,3.941318,0.9682406,1.1281195,0.042433824,3
4,0.15098764,0.3486959,3.1191502,0.8068234,0.75480855,0.22313753,4
5,0.10097678,0.5000145,2.6162348,0.91027343,1.1495672,0.06581828,5
6,0.2389223,0.24179809,0.27168554,1.225246,0.32272023,0.4372812,6
7,0.22655103,0.5110558,1.3910469,0.5505061,0.54496765,0.1721804,7
8,0.32570085,0.55730885,1.7150724,0.519009,1.6547008,0.09027563,8
9,0.55768317,0.66918087,2.2146053,0.5047824,0.8517444,0.12370785,9
10,0.15403049,0.632697,0.9100778,0.61834586,0.51703787,0.30305064,10
11,0.39801258,0.7997695,4.1694884,2.2289953,1.6353382,0.032333154,11
12,0.58510065,0.6404236,0.9335414,1.8191936,1.2929298,0.16367495,12
13,0.26307282,0.6350479,0.97663844,0.27709532,0.7034326,0.16509767,13
14,0.14972544,0.32454467,0.94279844,1.2022089,0.91866314,0.18790387,14
15,0.14533247,0.5321895,2.1572466,0.92020786,1.3596722,0.055702765,15
16,0.6295909,0.6506524,1.5471437,1.4180679,0.7531557,0.2748724,16
17,0.5073287,0.6908973,2.0040517,0.73112035,1.1786072,0.06717431,17
18,0.53779304,0.6119801,1.8407918,0.3709173,0.38023472,0.24505872,18
19,0.57801116,0.8774192,3.3244193,1.6418068,1.0902294,0.08158794,19
20,0.6857998,0.64686656,0.54455435,0.39730436,0.6110811,0.121006876,20
21,0.2767245,0.5519973,2.2848432,1.0583197,1.2345911,0.2125435,21
22,0.42159495,0.77049005,3.541175,0.9851135,1.596874,0.11987967,22
23,0.7440572,0.823867,2.5766683,1.181278,0.28509504,0.23753706,23
24,0.40333444,0.35742143,1.6536552,1.3366908,0.7017399,0.104023315,24
25,0.23669612,0.62508106,3.9875069,1.800828,1.011271,0.10320594,25
26,0.55510396,0.51639843,1.5363843,0.9265634,0.8737092,0.10183787,26
27,0.56122786,0.7508229,3.8898325,1.4356464,0.7367184,0.17675541,27
28,0.3502916,0.65906,0.47794664,0.48307467,0.62838954,0.061899614,28
29,0.5508973,0.7246329,2.7264314,1.3546408,0.94470763,0.064242326,29
30,0.35085613,0.51623845,0.9513593,0.86294734,0.89311194,0.082828596,30
31,0.4128099,0.5721874,2.396188,1.5140328,1.2540144,0.099881396,31
32,0.5737936,0.8644961,4.572111,0.8807965,0.5759796,0.18289414,32
33,0.2791842,0.43882638,0.86605686,1.6784937,0.7237793,0.141827,33
34,0.12364936,0.5031497,2.1965857,1.2034428,1.0721543,0.1184696,34
35,0.707495,0.5427441,1.2295388,1.3543937,0.4269213,0.28218883,35
