,locs0,locs1,subject
0,-3.0760238,-1.3437557,0
1,3.5702584,-0.75062406,1
2,-7.9442844,-1.083647,2
3,0.515213,-2.981554,3
4,3.1430225,-2.2511957,4
5,1.9635872,-3.2155907,5
6,-0.036267817,0.41277057,6
7,0.89119524,-1.4061468,7
8,3.9052522,-0.7829879,8
9,-2.6048367,1.5368824,9
10,0.7242334,0.8136661,10
11,-1.5426043,-1.0338037,11
12,1.742304,-1.4486979,12
13,-0.8372092,-1.049084,13
14,0.52097106,-0.21985428,14
15,0.72237295,0.07775381,15
16,0.07926208,-2.9759512,16
17,-0.49308252,0.12435449,17
18,0.010578811,0.40071946,18
19,-0.6267593,-3.058937,19
20,1.3382857,-1.7239437,20
21,2.2158072,-0.41441622,21
22,-2.7613087,-1.4577624,22
23,-2.0953703,-1.5832161,23
24,1.1020765,-0.38309443,24
25,0.4411649,-0.7211136,25
26,1.5260829,-0.63978493,26
27,-4.006397,-0.8129592,27
28,-0.6372122,-3.2612996,28
29,1.2846937,-1.0113285,29
30,-6.419621,0.21740054,30
31,0.7401496,-0.39540714,31
32,-1.8627312,0.07888662,32
33,2.4673796,-0.5964191,33
34,0.55436397,-2.9134889,34
35,-1.3053317,-0.94162637,35
36,-12.468315,3.7566328,36
37,-5.42552,2.6946163,37
38,0.872538,-0.25832182,38
39,1.0381055,-1.0631987,39
40,-6.231888,3.500673,40
41,0.7887432,0.53930384,41
42,-1.861323,-0.6481688,42
43,-0.30839238,0.4178743,43
44,0.31119448,-1.1999774,44
45,-0.122855045,-2.3290064,45
46,0.21320213,-0.5465985,46
47,0.9247488,-1.3235518,47
48,-2.3783092,-1.8652406,48
49,-6.910145,-0.5184596,49
50,-0.046653524,0.2904709,50
51,-2.5275097,-0.48061648,51
52,-5.8937144,0.5029993,52
53,0.3252446,-2.6008444,53
54,-6.080331,2.2895527,54
55,0.87003374,-3.9997258,55
56,3.676632,-2.6103055,56
57,-2.3171995,-2.3734343,57
58,1.6720817,-2.620165,58
59,-0.747331,-0.07679391,59
60,2.890497,-1.0244458,60
61,1.0665876,0.11554068,61
62,1.3226384,1.1157006,62
63,-0.7108226,-2.7398956,63
64,-2.5683393,-2.2285206,64
65,-0.016991064,-0.1603122,65
66,-4.259097,-1.9634053,66
67,-1.6255865,2.007909,67
68,-2.6503394,-0.65552026,68
69,-0.8318393,-3.0504508,69
70,2.6571836,-1.5277448,70
71,-3.4376206,-0.22763476,71
72,3.200751,-1.0709392,72
73,-0.5922239,0.014467195,73
74,-1.1708494,-0.30802712,74
75,0.3370996,-1.5556934,75
76,1.7956908,-2.2135584,76
77,-5.1370344,3.0311332,77
78,-2.0467052,-1.2830477,78
79,1.523313,-0.17372493,79
80,0.9430128,-0.8322394,80
81,1.7683624,-0.14032175,81
82,-4.0474286,0.1003311,82
83,-0.2691719,1.2144066,83
84,1.9175718,0.38054046,84
85,-2.175738,0.26755977,85
86,-0.85181236,-1.4708489,86
87,-3.3240857,2.406856,87
88,-1.7566084,1.3224909,88
89,-1.6745996,1.1371768,89
90,-1.0826534,0.6469384,90
91,-1.2823936,-1.4692152,91
92,-2.4364522,-1.7634912,92
93,-2.877969,-1.5393692,93
94,-2.7247753,-2.9292798,94
95,-2.76847,-1.9121301,95
96,-0.28429294,-3.0238426,96
97,-3.5773787,0.85428923,97
98,-4.1301765,2.0980659,98
99,-0.94217044,-1.6516936,99
100,-1.9832141,1.2290242,100
101,2.559505,-2.252592,101
102,0.2616179,-1.2449893,102
103,-2.287957,-0.13785304,103
104,0.5780416,-2.6583304,104
105,0.33662355,0.5207756,105
106,-2.0206003,-2.6785746,106
107,-5.7894244,0.37600887,107
108,0.895694,-0.043351144,108
109,1.3388907,-2.5793874,109
110,-1.0775936,-0.081860505,110
111,-5.6760206,-1.8663731,111
112,-2.798862,-1.2508366,112
113,-0.79058236,-0.13726339,113
114,-1.5833461,-1.7264789,114
115,-5.3228517,1.4442964,115
116,-3.594853,1.270184,116
117,-4.670859,-0.98889405,117
118,-1.0282247,-3.314341,118
119,-2.8746567,0.6349908,119
120,0.94045365,-1.0957993,120
121,-10.32713,-0.30054796,121
122,-1.7279003,0.108586945,122
123,-2.8330882,-0.10587072,123
124,-5.3345714,-0.22503263,124
125,0.43727034,-0.25155365,125
126,-5.965528,3.4073434,126
127,2.0017114,1.485513,127
128,1.8321028,-1.5964394,128
129,0.37947178,-0.49581024,129
130,2.0197392,-0.23970096,130
131,3.2426019,-3.3694046,131
132,-2.2476375,-1.2029402,132
133,-1.7334799,-1.6384151,133
134,-0.015619993,-1.374697,134
135,-2.732375,-1.0987437,135
136,0.08876679,-0.8745741,136
137,-2.2523627,1.403582,137
138,-4.5754147,-2.6746902,138
139,-1.5083303,-1.4428451,139
140,-8.552351,0.8168613,140
141,-0.35187152,-1.4970074,141
142,0.04038711,-0.52176654,142
143,-8.44646,1.6645594,143
144,2.4813428,-0.24675068,144
145,2.9588351,0.9076785,145
146,-0.8268818,-1.9569819,146
147,0.69081795,-2.2749002,147
148,-2.56978,-0.46582246,148
149,-0.024159431,-3.1130888,149
150,-1.2659297,-2.5052698,150
151,3.6341906,0.11234689,151
152,1.0394685,-0.03414488,152
153,2.2980971,-2.6863523,153
154,0.8868499,-0.5344374,154
155,-0.57590145,-1.5181468,155
156,-0.92065495,-1.4189682,156
157,2.3503728,-1.7367624,157
158,0.6473281,-1.5822319,158
159,0.78302145,-1.7603408,159
160,-1.4437673,-2.5421705,160
161,0.91389877,-0.018887132,161
162,-0.28183985,-1.1224363,162
163,-5.276868,0.7803247,163
164,-1.0712098,0.23813562,164
165,-0.5663722,-1.403764,165
166,2.7048368,1.0149068,166
167,-5.3935995,2.8845587,167
168,-4.122365,-1.1036791,168
169,4.4351225,-0.7200874,169
170,4.545397,-2.7064786,170
171,-0.8245611,-1.7238305,171
172,-2.9941516,-1.2735311,172
173,-3.4399352,-1.1657169,173
174,-0.70398617,-0.6791694,174
175,-0.8133445,-1.6852725,175
176,3.4182048,-1.8814404,176
177,-6.230658,2.6705546,177
178,1.1035119,-0.7452023,178
179,-1.6043035,-2.436667,179
180,-2.5040815,-1.1106019,180
181,-3.0373697,-1.956537,181
182,0.6797627,-1.2311503,182
183,-2.0395417,0.7754544,183
184,-0.022011876,-2.4438896,184
185,-2.5396852,0.67564255,185
186,-1.9419378,-0.10772547,186
187,-2.034626,-1.160794,187
188,-2.5329032,-1.8711646,0
189,3.170508,-0.8324696,1
190,-5.267641,-1.2925789,2
191,1.9605241,-2.755442,3
192,2.2403097,-1.9076376,4
193,4.1659255,-3.1770658,5
194,0.17532441,0.40527713,6
195,-0.38252413,-1.0254779,7
196,3.787542,-0.43867922,8
197,-2.5846808,1.1865574,9
198,0.86695886,0.67640424,10
199,-2.7804239,-0.71045566,11
200,1.5261183,-1.4453435,12
201,-0.7038505,-1.1914784,13
202,0.6617328,0.31970626,14
203,0.3755756,-0.39747393,15
204,-2.3166003,-2.2291281,16
205,-0.71738595,0.40038335,17
206,-0.104453176,-0.34738004,18
207,-0.6494608,-2.741023,19
208,2.8691268,-2.125038,20
209,1.5071726,-0.46040282,21
210,-1.5233613,-1.4784728,22
211,-1.0475206,-1.5480654,23
212,1.5312123,-0.015549719,24
213,0.4824797,-0.7137531,25
