,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,0.5437927,1.6052369,0,0.8097358,0.79867077
1,0.97284865,3.7255974,1,0.6554866,0.06771046
2,0.5684873,4.5439453,2,0.8018856,0.5489603
3,0.7290878,2.284449,3,0.5843717,0.041562617
4,0.7774083,5.355094,4,0.8070618,0.86760837
5,5.7710133,5.666884,5,0.886788,0.87215656
6,0.5469069,5.403382,6,0.7994899,0.69721305
7,0.7419684,3.328329,7,0.80492824,0.24303722
8,0.6359818,2.4134583,8,0.8048125,0.9300254
9,0.72591066,3.298529,9,0.8211599,0.9109911
10,0.59278345,5.63041,10,0.7979235,0.541246
11,0.5209293,1.9080551,11,0.80280524,0.04774493
12,0.93320435,1.7062435,12,0.75307447,0.9203535
13,0.6240939,4.2128267,13,0.82148755,0.6872737
14,1.1697866,4.9876986,14,0.56463134,0.5889284
15,0.504801,2.015279,15,0.80255467,0.7326187
16,3.0625637,5.583923,16,0.8194851,0.4147988
17,0.61769897,1.0275201,17,0.7660443,0.85870475
18,1.0061995,1.9835925,18,0.49574706,0.20989966
19,0.5804892,2.2215638,19,0.8240494,0.4318074
20,2.3878639,4.2595367,20,0.058998946,0.2228486
21,1.489499,3.2604249,21,0.83169943,0.9844865
22,1.895351,5.935462,22,0.05907124,0.6051115
23,0.88842213,3.1393356,23,0.6813102,0.67423266
24,0.7803058,1.0704098,24,0.72071844,0.036883175
25,1.398556,1.8277025,25,0.048634045,0.21428198
26,1.459742,3.831545,26,0.16833074,0.5115649
27,1.1372259,3.961836,27,0.83501655,0.6271402
28,0.5340571,3.520118,28,0.81429887,0.41814315
29,0.67593473,1.5137918,29,0.7871385,0.21454257
30,0.54842466,2.2817612,30,0.816,0.51597
31,3.623066,3.4865723,31,0.030206116,0.07023531
32,0.5675176,2.9485734,32,0.8041212,0.8949994
33,1.351021,3.0811806,33,0.72495407,0.9788842
34,0.5786533,1.9494638,34,0.8072483,0.3541668
35,0.80069345,5.3046064,35,0.7360758,0.09297973
36,0.81873214,4.47616,36,0.75923914,0.9020707
37,0.60998076,1.7958138,37,0.7885888,0.13013989
38,2.9429526,3.6333227,38,0.02097701,0.08044392
39,0.52853614,1.2022326,39,0.7968774,0.7478416
40,0.54123926,2.4566019,40,0.8082479,0.42482972
41,0.5920326,3.2847774,41,0.81359303,0.8197999
42,0.6009228,5.45292,42,0.8273626,0.5356418
43,0.63966465,2.1262977,43,0.7514754,0.029033303
44,0.60257536,1.3819329,44,0.80281115,0.39326042
45,1.8134211,4.8536415,45,0.63168585,0.80885786
46,0.5123801,1.4102376,46,0.7983847,0.56398666
47,1.0687522,2.926309,47,0.77273214,0.5137517
