,locs0,locs1,locs2,locs3,subject
0,-2.0032628,-1.2283194,-2.0508018,-3.5255306,0
1,3.4596143,-0.18896261,-3.0117478,2.8447614,1
2,-4.694012,-1.3682761,-2.6421924,-0.8067781,2
3,1.2947292,-2.7729094,-2.801581,2.5854883,3
4,0.9619725,-2.451269,-2.6479826,1.670463,4
5,1.2031226,-2.9753482,-2.4576623,0.4779507,5
6,0.20385036,0.15179022,-1.9847729,2.233274,6
7,0.15238823,-1.5933255,-2.5420907,-2.0897353,7
8,3.3713326,-0.81536233,-1.4669802,-2.9364274,8
9,-2.2623253,1.9782591,-0.86727905,0.21855389,9
10,0.81499565,0.5927418,-2.4073431,-0.5327147,10
11,-2.1346266,-1.0318558,-3.0845742,0.6408851,11
12,1.8404956,-1.4152821,-1.500824,-0.63301075,12
13,-0.43469667,-1.5601981,-2.4253368,-0.54816437,13
14,0.7532231,-0.14164251,-1.4278138,-3.5834854,14
15,-0.99439377,-0.85569084,-0.9410007,3.476078,15
16,-3.2357974,-3.0991607,-3.0673332,1.125068,16
17,-0.30508882,-0.47828746,-2.9383004,-0.58655465,17
18,0.36917347,-0.6967598,-0.8782832,-3.0854008,18
19,0.27078664,-2.8885233,-2.5919466,-3.7016027,19
20,2.577308,-1.9439828,-2.167944,-0.23067264,20
21,3.598544,-0.19395694,-1.794503,-3.555655,21
22,-1.3635323,-2.4659908,-1.7089523,-2.2866628,22
23,-2.9138715,-1.3774779,-1.7438223,-2.6733165,23
24,1.1120514,-0.44578558,-1.1789801,-1.0772241,24
25,0.45644602,-0.6652804,-3.2005138,1.6441762,25
26,0.3879195,-0.97114414,-2.3845074,-0.6500098,26
27,-6.180701,-0.31652945,-0.61160135,3.4192603,27
28,1.1732252,-2.5472999,-0.46099246,-5.7245393,28
29,1.5668032,-1.3261937,-2.8353035,-1.0737088,29
30,-6.9053745,0.2470696,-3.036716,-1.0322834,30
31,1.6151011,-0.46545434,-2.5930998,0.769199,31
32,-1.8295307,-0.24923079,-2.1743004,-1.2045108,32
33,2.1357703,-1.1006825,-1.8637365,-0.6424401,33
34,2.3669384,-2.9855742,-0.5663537,-3.6731691,34
35,-0.43690592,-1.9149559,-2.4186876,-1.2558473,35
36,-4.6749268,-0.17972338,-6.795398,3.459412,36
37,-1.5964006,-1.1790447,3.5031085,-6.022195,37
38,0.20244426,-0.49072057,-1.9949342,3.4528167,38
39,0.8149034,-0.5976181,-3.2795782,0.25855887,39
40,-5.533337,3.9500258,-2.4633973,-2.7151666,40
41,0.022166133,0.47288617,-2.8260055,-3.684172,41
42,-1.689652,-1.004559,-2.8889837,0.38025722,42
43,0.30089918,0.64722705,-2.290622,0.1879015,43
44,-0.26932424,-1.3640255,-2.9947214,3.1686378,44
45,0.26908875,-2.716228,-2.2514262,-1.8121923,45
46,-0.049006946,-0.86611176,-1.4405532,-3.8493166,46
47,0.60843503,-2.0613067,-1.4505943,2.828579,47
48,-7.4513607,0.35360432,-4.4614925,0.13403416,48
49,-10.2204685,-0.7941158,-2.1439085,2.3332148,49
50,-0.43336248,-0.23688647,-2.8835752,0.9472861,50
51,-2.4290435,-0.9203794,-2.7705379,-2.271256,51
52,8.309774,-5.839388,4.3004293,-8.442974,52
53,0.8691947,-2.7630355,-2.3135417,2.2188087,53
54,-5.276426,1.5039725,0.032158524,-3.8622947,54
55,-8.892227,0.88485634,-3.6354089,-2.5013309,55
56,3.1779456,-3.037702,-3.185304,-1.0189794,56
57,-1.9250433,-2.595244,-2.7387667,-1.1791251,57
58,2.5984097,-2.4800146,-3.4247966,-0.14002222,58
59,-0.6291441,0.6808633,-3.1011703,0.27252114,59
60,0.44854304,-1.104521,-2.33384,1.8591487,60
61,1.6567599,-0.002041921,-3.048643,-2.0681243,61
62,0.53825057,0.32494456,-1.5727408,-0.8147557,62
63,0.19566345,-2.4864326,2.9508822,-7.29627,63
64,2.1482105,-2.106221,-2.1567135,-2.6652422,64
65,-0.07551685,0.059933066,-1.9572304,-4.2362566,65
66,-3.9038165,-1.219959,-3.2660658,0.5728245,66
