,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,0.5173517,1.6052369,0,0.8122178,0.79867077,0.4514358,0.0,0.7825692,0.0
1,0.97988725,3.7255974,1,0.54571223,0.06771046,0.5453321,0.0,0.8582273,0.0
2,0.54142356,4.5439453,2,0.81352746,0.5489603,0.45986652,0.0,0.7696822,0.0
3,1.4295642,2.284449,3,0.33398098,0.041562617,0.54651684,0.0,0.8215746,0.0
4,0.6693733,5.355094,4,0.7914423,0.86760837,0.5678266,0.0,0.829271,0.0
5,5.30383,5.666884,5,0.9031212,0.87215656,0.88652843,0.0,0.46416822,0.0
6,0.5140713,5.403382,6,0.80144477,0.69721305,0.4907013,0.0,0.8154435,0.0
7,0.67915785,3.328329,7,0.7732335,0.24303722,0.5263979,0.0,0.8430929,0.0
8,0.601351,2.4134583,8,0.80384475,0.9300254,0.49585798,0.0,0.82080877,0.0
9,0.6634343,3.298529,9,0.80664456,0.9109911,0.5632654,0.0,0.8296976,0.0
10,0.5497185,5.63041,10,0.78619826,0.541246,0.46487513,0.0,0.76969886,0.0
11,0.4959269,1.9080551,11,0.80764157,0.04774493,0.43600103,0.0,0.7795754,0.0
12,0.8152232,1.7062435,12,0.7439821,0.9203535,0.59871876,0.0,0.5470312,0.0
13,0.58042824,4.2128267,13,0.8232622,0.6872737,0.4775177,0.0,0.80719435,0.0
14,1.4558178,4.9876986,14,0.31896153,0.5889284,0.57394326,0.0,0.88169014,0.0
15,0.48364624,2.015279,15,0.80816746,0.7326187,0.43104595,0.0,0.7607191,0.0
16,2.3471699,5.583923,16,0.63949,0.4147988,0.8383674,0.0,0.692322,0.0
17,0.5934735,1.0275201,17,0.7751772,0.85870475,0.4900508,0.0,0.5890929,0.0
18,1.0012802,1.9835925,18,0.24642831,0.20989966,0.62643826,0.0,0.7954607,0.0
19,0.5437436,2.2215638,19,0.80473244,0.4318074,0.46047735,0.0,0.78326714,0.0
20,2.1703997,4.2595367,20,0.048997007,0.2228486,0.7229784,0.0,0.5007578,0.0
21,1.1931609,3.2604249,21,0.8080747,0.9844865,0.6409927,0.0,0.767257,0.0
22,1.6746032,5.935462,22,0.04906459,0.6051115,0.9074966,0.0,0.5611145,0.0
23,0.7959858,3.1393356,23,0.62919813,0.67423266,0.5783647,0.0,0.8136459,0.0
24,0.71499515,1.0704098,24,0.682245,0.036883175,0.6780263,0.0,0.3910917,0.0
25,1.2816072,1.8277025,25,0.045449838,0.21428198,0.6353275,0.0,0.8336843,0.0
26,1.1999266,3.831545,26,0.16675939,0.5115649,0.58442765,0.0,0.53765535,0.0
27,0.93853897,3.961836,27,0.8020147,0.6271402,0.6185264,0.0,0.8217,0.0
28,0.50847006,3.520118,28,0.7953886,0.41814315,0.47682834,0.0,0.7704668,0.0
29,0.61094654,1.5137918,29,0.7739974,0.21454257,0.53114766,0.0,0.8060322,0.0
30,0.51740533,2.2817612,30,0.7944381,0.51597,0.443657,0.0,0.7835054,0.0
31,3.4775114,3.4865723,31,0.028943589,0.07023531,0.5934677,0.0,0.82118773,0.0
32,0.54052705,2.9485734,32,0.7936364,0.8949994,0.4611087,0.0,0.7735503,0.0
33,1.0328838,3.0811806,33,0.58618695,0.9788842,0.62655395,0.0,0.7952858,0.0
34,0.54591614,1.9494638,34,0.7985529,0.3541668,0.45936456,0.0,0.7807229,0.0
35,0.7227426,5.3046064,35,0.615323,0.09297973,0.61023754,0.0,0.847737,0.0
36,0.7175408,4.47616,36,0.72875965,0.9020707,0.5585652,0.0,0.7742793,0.0
37,0.5788889,1.7958138,37,0.7985847,0.13013989,0.45362103,0.0,0.7788736,0.0
38,2.9070108,3.6333227,38,0.020743385,0.08044392,0.63228285,0.0,0.38201398,0.0
39,0.49323955,1.2022326,39,0.78891844,0.7478416,0.43715575,0.0,0.7694381,0.0
40,0.5293385,2.4566019,40,0.8178588,0.42482972,0.46094182,0.0,0.7883668,0.0
41,0.5481735,3.2847774,41,0.8075912,0.8197999,0.48535258,0.0,0.78985417,0.0
42,0.5754337,5.45292,42,0.82541347,0.5356418,0.5072951,0.0,0.8011914,0.0
43,0.60189444,2.1262977,43,0.7305393,0.029033303,0.6140186,0.0,0.43018612,0.0
44,0.58433324,1.3819329,44,0.8049023,0.39326042,0.4402746,0.0,0.76754993,0.0
45,1.4153804,4.8536415,45,0.60348266,0.80885786,0.79042417,0.0,0.6302749,0.0
46,0.48044264,1.4102376,46,0.79608876,0.56398666,0.4499844,0.0,0.7693582,0.0
47,0.9228032,2.926309,47,0.6309219,0.5137517,0.572711,0.0,0.7441243,0.0
48,0.51016295,5.5787377,48,0.80454236,0.9447596,0.4691002,0.0,0.76251745,0.0
49,0.7536506,5.4578767,49,0.59707636,0.7769672,0.5732344,0.0,0.80855846,0.0
50,2.4242022,4.285142,50,0.068199396,0.59965324,0.81229466,0.0,0.5636516,0.0
51,0.58294076,3.5560255,51,0.7928541,0.9453765,0.5054814,0.0,0.7992169,0.0
52,0.5746742,2.611889,52,0.80933356,0.078559816,0.53631616,0.0,0.83143646,0.0
53,3.0700495,4.5731378,53,0.015697097,0.16651559,0.5702256,0.0,0.5600697,0.0
54,0.61230105,3.3217058,54,0.7341476,0.6516004,0.51758647,0.0,0.79707247,0.0
55,0.8705604,3.2079637,55,0.7072197,0.81040376,0.5697012,0.0,0.77522206,0.0
56,0.64172095,1.0342935,56,0.7858871,0.3352006,0.4981021,0.0,0.7862755,0.0
57,0.52983046,1.0927895,57,0.8076426,0.5658823,0.43050793,0.0,0.7670859,0.0
58,0.55729836,5.068784,58,0.8168595,0.9351655,0.48637748,0.0,0.81890905,0.0
59,3.6711025,5.5708394,59,0.1530772,0.28517014,0.8973646,0.0,0.39055827,0.0
60,2.0237513,4.0816493,60,0.0961416,0.47079074,0.731393,0.0,0.4961861,0.0
61,0.5277495,4.500291,61,0.81446654,0.32270235,0.47690496,0.0,0.7867743,0.0
