,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.26862842,0.11842991,3.566824,3.3437488,0.88543653,0.12530267,0
1,0.28294268,0.522883,2.494627,3.1091018,1.025315,0.30711776,1
2,0.38313583,0.08580504,1.7760934,4.4766026,0.7191963,0.8264497,2
3,0.57965684,0.92721033,1.7497928,7.746331,1.1214484,0.61414313,3
4,0.29468665,0.61949384,6.1129546,7.2706375,0.68932897,0.7906983,4
5,0.55404836,0.69958323,2.3507311,7.297234,1.1707802,0.550287,5
6,0.86708826,0.46593535,5.89696,5.7027397,1.5983031,0.47052035,6
7,0.6297941,0.9062403,1.9100783,1.0628874,0.7671033,0.6646106,7
8,0.8725496,0.97644925,2.7006207,2.69989,0.8413348,0.004226714,8
9,0.9245545,0.8724541,5.0320253,6.9587097,0.7117012,0.3622601,9
10,0.66360193,0.8368876,5.739628,2.0116148,0.5169989,0.2368811,10
11,0.9304466,0.3573165,1.4193023,5.1709824,0.96256983,0.5984053,11
12,0.4837835,0.5872105,1.9759358,2.9213855,0.7453438,0.617045,12
13,0.85097295,0.4276563,1.9376938,5.3974543,0.39210725,0.9945533,13
14,0.803977,0.7504104,4.016552,2.5020695,0.63599104,0.21857797,14
15,0.73941004,0.7486708,6.2705655,5.052834,1.6698,0.947252,15
16,0.28542653,0.11173522,6.43801,5.552891,0.99727726,0.43009987,16
17,0.66275007,0.30621803,3.7250936,5.87286,1.050394,0.65725434,17
18,0.46992412,0.5472582,2.710211,2.7398667,1.9312357,0.051761184,18
19,0.5036154,0.40609166,2.1929767,8.137826,0.9708368,0.022081928,19
20,0.2080024,0.2824194,2.396578,2.8932545,0.9967221,0.6209689,20
21,0.50250983,0.9813875,5.1371818,3.0605757,0.44129103,0.01803192,21
22,0.8524754,0.4464579,1.1345335,2.9170246,1.520541,0.13348497,22
23,0.517817,0.025906578,2.6767888,4.2429585,0.4254031,0.73885477,23
24,0.61992913,0.44543216,2.56686,3.7754428,0.90158314,0.08372034,24
25,0.82420254,0.5928401,2.3796837,3.6563025,0.7073128,0.26598752,25
26,0.8555891,0.449962,3.7847102,6.767297,0.99055594,0.82396084,26
27,0.5583859,0.48915124,1.7637788,5.3791456,0.75635016,0.29448745,27
28,0.10636473,0.8105507,1.3258475,3.3221493,3.0836785,0.8466073,28
29,0.83878714,0.58691627,1.5428352,2.8505692,0.20300773,0.9598122,29
30,0.2534655,0.13997194,6.4750476,3.117274,0.80160826,0.40350276,30
31,0.8946299,0.5415136,5.5806103,4.671696,1.4787118,0.033006914,31
32,0.82611644,0.08117631,2.1606696,2.2565153,1.1313785,0.23114578,32
33,0.50551426,0.71756095,2.7068853,0.75204957,0.92837584,0.18882626,33
34,0.6910364,0.18622689,1.9441606,3.930461,0.38550273,0.13976054,34
35,0.86153823,0.18871711,1.6588783,1.4269465,0.7933245,0.65524703,35
36,0.32969406,0.49038154,0.7389713,7.8279395,1.8062114,0.5925286,36
