,locs0,locs1,locs2,locs3,subject
0,-0.42662436,-1.2990564,-1.3863691,-0.42189682,0
1,-2.7499063,-2.6168833,-1.1303945,-2.2889419,1
2,-1.7257928,-2.6848583,-2.365601,-1.718763,2
3,-1.5213305,-2.8502698,1.4028385,-1.7639602,3
4,0.7879997,-2.7809207,-1.3465242,-0.25677454,4
5,-1.6978836,-2.8506901,1.9052241,0.26555276,5
6,-0.7381919,-0.6892337,0.7123717,-0.41939718,6
7,-0.73791003,0.58867884,-1.6120023,-1.8470571,7
8,-0.6512891,0.017078359,0.4171701,-1.9669447,8
9,-1.5244173,-0.5597898,2.548456,-0.5202513,9
10,-1.9254522,0.19715716,1.1279676,-1.0981882,10
11,0.3699868,-0.4861516,-0.85583985,-1.7386336,11
12,-1.0271426,-0.89209104,-0.18234804,-2.4157605,12
13,-0.22295432,-1.2154613,-0.6996927,-2.9134717,13
14,-0.9118904,0.56121045,1.6235378,-0.9011354,14
15,-0.18067664,-0.79361624,-0.22687903,-1.2872157,15
16,1.73802,-2.4680526,-0.5913274,-0.829776,16
17,-0.73347735,-1.4005944,-0.81548643,-1.121182,17
18,-0.09784347,-1.1085219,-1.7174516,-0.14528131,18
19,0.23663941,-1.9227407,1.1323805,-1.0432642,19
20,-2.2020867,-2.1822844,-0.97294736,-2.2827318,20
21,-0.91457397,-1.0034506,-1.0685151,-0.858211,21
22,-0.4390615,-0.18419117,-0.30196816,-2.1233926,22
23,-0.7175113,-1.0034304,-0.6114202,-1.7786506,23
24,-1.444681,-0.7478088,0.28455007,-1.5399586,24
25,0.20513572,-1.0485209,-1.1485873,-1.308506,25
26,-0.31659675,-1.048099,0.18629867,-2.1845372,26
27,-2.1868043,-1.656636,0.9793336,-0.13698673,27
28,0.9446546,-2.3992376,0.5595493,-0.2912237,28
29,0.08185655,-0.27797496,-1.3865161,-1.1237861,29
30,-1.9603971,-1.558742,0.9045791,-0.7908322,30
31,-0.9413819,-0.36322716,1.3462253,-1.4590125,31
32,-1.616293,-1.1844064,-0.317075,-2.233241,32
33,-2.031209,-0.5202062,-1.1315924,-1.9514928,33
34,-0.9109286,-1.0227156,0.19603291,-2.6845868,34
35,-0.7193802,-0.46081764,-1.3541505,-2.2890043,35
36,-0.31207013,-2.5899806,1.4796982,-0.81481385,36
37,0.97355926,-2.469155,0.62914443,-1.367944,37
38,-0.4962154,0.07088995,0.9094542,-1.5483356,38
39,-1.1821388,0.18929379,-0.5377921,-1.9463806,39
40,-1.6811651,-2.8461282,-2.0451272,-1.5662107,40
41,-0.5866473,-1.1533272,-2.2775643,-0.8253926,41
42,-0.08498577,-0.7278538,-0.7905748,-2.4217896,42
43,-1.3581227,-0.81424433,-1.9897125,-0.5500591,43
44,1.276114,-1.2792729,0.9881446,-1.923755,44
45,1.463893,-2.3520439,0.87442,-0.6459179,45
46,-0.5198454,-1.1665807,-2.213361,-1.2600325,46
47,0.19214888,1.0525548,0.09031612,-2.4893746,47
48,-0.23428653,-2.5048041,0.26676065,-0.11591989,48
49,-0.10373764,-1.0231607,-0.87185323,-1.4690833,49
50,-1.0046866,-0.905597,-1.3377767,-0.34565216,50
51,-0.82856625,-0.48615617,0.859163,-2.598718,51
52,0.05269128,-1.9235547,1.5443921,-0.58443236,52
53,-0.60945225,-2.1002736,-1.6170741,0.3473769,53
54,-1.7196009,-2.4493468,-2.4932094,-0.086650476,54
55,0.19975036,-2.0305936,0.92430973,-1.7184825,55
56,-1.3830941,-1.629227,-0.1975177,-0.8653217,56
57,0.81048834,-2.7289453,0.4422928,-0.47310665,57
58,-0.51481783,-0.6874634,1.1164986,-1.6357051,58
59,-1.2852157,-1.1977483,-0.733969,-2.372952,59
60,0.1682306,-0.3800169,0.46351826,-2.0871215,60
61,0.41811875,-1.2473774,-2.1072454,-1.5894673,61
62,-0.18267456,-0.42903757,-0.9734322,-1.1611211,62
63,-1.2540553,-1.7035904,0.27976117,-1.0457196,63
64,-0.4739781,-0.45991927,0.4395374,-2.6201594,64
65,-0.51469237,-1.5280359,-1.8976889,-1.2736744,65
66,-0.36141825,-2.6867485,0.8906812,-0.36277702,66
67,-1.4525169,-0.9865248,0.2981573,-1.3832754,67
68,-0.86444783,-0.62003887,0.3021345,-2.3324957,68
69,-1.9895386,-3.09311,-0.7208284,-0.43889055,69
70,1.9158102,-2.2245603,-1.0182598,-1.8137702,70
71,-1.4342773,-2.1266587,-1.324369,-1.5706531,71
72,0.41496044,-0.6368923,0.80789065,-0.50388724,72
73,0.58940136,0.25300354,1.2052379,-1.4648705,73
74,-1.2313328,-0.71745926,0.7082789,-2.0515838,74
75,-0.78428054,-0.5356327,-0.0037956238,-1.4711006,75
76,-0.09893119,-0.13280138,-1.7299356,-2.386588,76
77,-2.3945005,-2.2047713,-1.3546059,-2.415067,77
78,-0.32930395,-1.7616179,-1.77758,-1.236523,78
79,-0.42874348,-0.00039300323,-1.4377627,-0.9740783,79
80,0.047336474,0.41698754,0.7759988,-1.4202229,80
81,-0.43172544,-0.7215912,0.036584854,-0.6788696,81
82,-3.3408291,-1.8018726,-0.5226946,-2.8510208,82
83,-0.4721006,-0.92093444,-0.9343222,-2.059855,83
84,-0.7579885,0.07119745,-0.072748244,-0.054174304,84
85,-1.439897,-1.402114,-1.6742193,-0.6815442,85
86,0.3943221,-1.1691892,-1.394556,0.09172702,86
87,-1.2579635,-1.1961086,-1.2160224,-0.43769443,87
88,-0.8979684,-1.4062829,-0.5773388,-1.1413343,88
89,-0.97087586,-1.0243742,-1.1462003,-1.5938367,89
90,-1.6291417,-0.84156644,0.09924208,-1.5323894,90
91,-0.4205501,-0.37781495,-0.29960656,-2.24503,91
92,-0.9716151,0.89392805,-1.8294685,-2.5494025,92
93,-0.80415916,-1.7634742,-0.7134609,-0.5104455,93
94,1.9558043,-2.258855,-0.59145653,-1.2499149,94
95,-0.27361542,-1.1169435,-0.804918,-2.3203151,95
96,-3.3495834,-2.6949954,1.510897,-1.5670543,96
97,-0.7735219,-1.2170299,-0.32988876,-0.99175596,97
98,-1.4656433,-1.5874624,-1.660527,-1.4136391,98
99,-1.6081036,-1.3447162,-0.8010642,-1.1885666,99
100,-0.5836454,-0.60686225,0.9867568,0.22916926,100
101,-0.428038,-2.749112,-0.77588415,-1.5977259,101
102,-2.0881531,-1.5509977,0.7118002,-2.4405513,102
103,-0.7753836,-0.677105,-0.14907649,-0.6800173,103
104,1.3133471,-1.8472297,1.7029817,0.5605761,104
105,-0.8893567,-0.8151406,-1.7962525,-1.6369003,105
106,-0.9574932,-1.3903227,0.106606156,-2.7199132,106
107,-1.3883106,-2.5019968,1.6288829,-0.41745105,107
108,-2.0930464,-1.6349484,0.7238227,-2.2516038,108
109,-0.8662033,0.78234243,-1.8987262,-2.8980615,109
110,-1.1400201,-0.22534947,0.5858293,-0.82133055,110
111,-0.72434986,-2.0628333,-2.5137486,-1.16591,111
112,-0.10447988,-1.4677322,0.20154388,-1.6793814,112
113,-0.48910522,-1.4737456,-1.9205787,-1.2555737,113
114,-1.1002765,-0.75575703,1.1139699,-3.15301,114
115,-0.6346472,-1.2952812,0.414367,0.3754323,115
116,-1.7349448,-1.330413,-0.4986986,-2.899537,116
117,-2.13185,-2.3872056,-1.7546121,-2.0262141,117
118,-1.4150999,-2.5679626,1.0672112,1.2001345,118
119,-1.131988,-1.1365469,0.38116667,-0.48357767,119
120,-0.2248057,-0.69895995,-0.85492635,-1.7628468,120
121,0.822766,-2.5173593,2.1692388,0.7643193,121
122,-0.5617161,-1.125201,-0.6124138,-1.6216227,122
123,-1.7035837,-1.2707161,0.13623822,-1.0335786,123
124,-1.6353058,-1.338599,0.7593252,1.0078855,124
125,-0.009004921,0.031148687,-0.6842325,-1.5117638,125
126,-2.0016317,-1.9095435,-0.37804377,-1.2841638,126
127,-0.6235147,-0.66282713,-0.55752945,-0.44438055,127
128,-0.7298926,-0.9508926,-2.4087043,-2.5475888,128
129,-0.7584725,-0.5745527,-0.58557385,-1.7140173,129
130,-0.4691296,1.1899854,2.033462,-0.4838586,130
131,-1.0534362,-2.2195072,0.95049894,2.035741,131
132,-0.9182441,-0.6773299,0.68400353,-3.598464,132
133,-2.9249904,-2.0109081,1.3218787,-1.4661098,133
134,-0.8432208,-0.7460531,-1.7202213,-1.9227842,134
135,-0.35866344,-0.15632217,-1.258353,-2.950285,135
136,-0.2886986,-0.5511522,0.60409075,0.5441771,136
137,-0.9585115,-0.8717604,0.9931959,-0.19087687,137
138,1.8012357,1.3740101,-0.35288367,-2.0185604,138
139,-0.8292047,-1.8828195,-0.4606132,-0.9443875,139
140,0.079866655,-1.9566884,2.5829263,-0.44353896,140
141,-0.62973857,-0.31870425,-1.5007079,-2.3855486,141
142,-0.32715088,0.013835847,-2.0224638,-1.9757307,142
143,-0.1348877,-2.4842906,1.5127774,-1.6762896,143
144,-0.5397422,0.27065456,0.5416341,-1.9118929,144
145,0.08119807,-0.83936316,-1.6605842,-1.104404,145
146,-2.5992725,-2.6267047,-1.3722451,-1.5978283,146
147,-0.2078376,-0.07217151,-2.0898275,-1.6227813,147
148,-1.00967,0.10825968,0.06399846,-2.0829725,148
149,0.84931386,-2.583434,0.8082643,-1.2545991,149
150,-0.502622,-2.6714373,0.79912627,0.34986454,150
151,-1.3129592,-1.3874078,-0.8600478,-1.2046484,151
152,-1.3764923,-1.8614762,0.220981,-1.4804792,152
153,1.5337566,-1.3014693,1.3909357,0.46639597,153
154,-1.248361,-0.25258213,1.2427982,-0.7883084,154
155,0.8863897,-1.9277158,1.150878,-1.3297212,155
156,-0.5168712,-0.35932827,-0.64420265,-2.0688524,156
157,-0.90069747,-0.22891766,1.429358,-2.6802387,157
158,-0.7655824,-0.14272287,1.3633952,-1.386522,158
159,-0.01699695,-0.1804885,1.4714026,-1.5604132,159
160,-0.6056843,-0.33793628,-0.20178157,-2.8009057,160
161,-1.0694256,-1.1892226,1.1182077,0.14764306,161
162,-0.8168023,0.048655126,-0.74242043,-1.9118701,162
163,-0.12981325,-1.2247707,0.26474872,-1.2680489,163
164,-0.8577974,-1.1293072,-1.4123528,-1.5216955,164
165,-1.1003889,-1.0169854,-0.005535662,-1.210208,165
166,-0.886291,-0.061178386,-1.188823,-0.49454603,166
167,0.5102287,-2.186161,1.3020897,0.27736646,167
168,-0.89646775,-1.1241236,-0.6264826,-1.9828384,168
169,0.18685457,-1.299223,-0.82313913,0.7661616,169
170,-0.34935343,-2.6882658,-1.263197,-1.6058939,170
171,-1.2602663,-1.75622,-0.961822,-0.6442491,171
172,-1.6630499,-2.6486044,-2.974553,-1.0655556,172
173,-1.025841,-2.5930047,1.0565515,-0.69210064,173
174,-1.3972936,-1.3419921,1.1165341,0.39471018,174
175,-2.2088442,-0.6827427,-0.88228565,-2.3124652,175
176,-0.7962104,-1.6487316,-1.0770044,-0.767873,176
177,-2.799704,-2.0218604,-0.21965846,-1.6700907,177
178,-0.79183316,-0.2885074,-1.3571548,-1.8936294,178
179,1.8329258,-2.213973,0.80393654,-1.0471338,179
180,1.3203238,-1.1210582,-2.1635122,-2.586391,180
181,-0.5995331,-2.7450318,1.2939849,0.08570838,181
182,-0.49385142,-0.34072715,-0.97692347,-2.842833,182
183,-1.7369682,-1.4292067,-0.94804466,-2.4963574,183
184,-0.9315544,-1.706131,0.30488312,0.5710302,184
185,-0.1840712,-0.38091037,0.7952117,-1.315234,185
186,-0.47960928,-0.1980713,0.5857929,-2.356354,186
187,-1.2988229,-1.8442205,-1.6795064,-3.1531446,187
188,-0.42333555,-1.0764191,-1.0006741,-0.71881694,0
189,-1.7011639,-2.3582404,-1.4333045,-2.4243183,1
190,-2.564122,-2.7844522,-1.6217321,-2.1540725,2
191,0.6043191,-2.3821256,1.9862614,-1.083005,3
192,-0.26090556,-3.255774,-0.48029476,-1.845288,4
193,-0.90213716,-2.6400726,2.3165493,-1.2281907,5
