,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-1.4585571,-0.017671078,-2.208583,-2.803495,2.9018998,-1.6214638,0
1,-0.76082546,-1.2309668,-1.8295195,-0.89606386,-0.402929,-0.62347335,1
2,-1.6933188,-1.4985944,-1.8178375,-1.4310049,1.30983,-0.09198409,2
3,0.9479303,1.0434164,-2.2833395,-1.9634502,-0.81711733,-1.4050095,3
4,0.22826207,0.59705925,-1.4662521,-2.0037062,1.1765053,-3.4220262,4
5,0.043836236,0.7861999,-2.9100585,-1.536402,-1.7148086,-4.165814,5
6,-0.43049473,-3.2846951,0.52090174,-1.4840522,-3.4817529,-1.5462823,6
7,-0.7948102,0.03498754,-1.3832083,-0.04415977,-0.04319662,0.84975076,7
8,-0.27723247,-2.146329,-1.3847651,-1.048976,4.252761,-3.887154,8
9,-0.41728687,1.3232459,-1.4020243,-1.9915885,0.2980041,-0.93160516,9
10,-0.4201687,-2.7994428,-1.895441,-0.9680104,0.27258098,-1.9724733,10
11,-0.59691095,-3.531581,-1.3652277,-0.23743105,0.20573401,-0.5956191,11
12,-1.393377,1.1394504,-2.0915565,-2.6531885,-1.7471906,1.1767619,12
13,0.50435925,-1.0789587,-2.8579633,-1.9770113,0.69870734,-2.6163979,13
14,-2.5000453,0.25195426,-0.14465857,-2.6092393,-0.045114815,0.49725235,14
15,-0.97461796,-2.4843585,-0.6939509,-1.4744836,1.527692,-1.1800319,15
16,-0.8670036,1.5444009,-0.89588946,-1.5540515,-1.8962662,-0.9363998,16
17,-1.7614945,-1.9265964,-2.0606587,-2.7625508,-0.6466406,1.8705218,17
18,-0.66608393,0.51276445,-1.5863736,-2.8694644,-1.77938,0.21791527,18
19,-1.7398806,0.5254041,-1.4706953,-2.1555681,1.1841962,-0.36843863,19
20,-1.1843152,-0.4264199,-2.1411576,-1.2896483,-2.0122044,3.0754914,20
21,-1.6751508,0.58604896,-2.900252,-1.126189,-1.0510803,-1.7408814,21
22,-1.2792876,0.4138383,-0.90373373,-1.1189649,-1.9815981,-0.6567024,22
23,-1.0090264,0.3451588,-1.6578584,-2.1517577,-0.5165775,-1.1905816,23
24,-1.554924,2.0125825,0.039242268,-2.16178,-0.4948867,0.3606329,24
25,-1.1711792,-0.10071808,-2.2850633,-3.0709739,-2.435962,-0.43386555,25
26,-0.00023885071,0.33279157,-1.1815968,-2.4677372,-1.9661133,-3.2816377,26
27,-1.1593114,0.111280516,-2.252994,-2.3139424,-0.42971292,-1.7111845,27
28,-0.6934018,-0.09023066,-0.2901107,-1.5662717,0.3320195,0.19456276,28
29,0.13021797,-2.3615746,-0.5158129,-1.2239714,2.1031084,1.342705,29
30,-0.24527329,-3.9181685,-3.8477762,-1.4813514,0.54709303,-0.49798498,30
31,-0.43474033,1.0989344,-0.8722385,-1.8425698,-1.462089,-1.9218969,31
32,-1.3796037,0.944245,-1.104296,-2.1481273,-0.36735338,-0.11274248,32
33,-0.38630322,0.93464106,-2.241807,-2.4258888,-1.1624954,-1.6172713,33
34,-1.2410314,-2.7977083,0.19106227,-1.6524196,3.1127915,0.17616855,34
35,-1.9300174,-1.0710025,-1.0594195,-0.58478177,0.1890549,-0.18375191,35
36,-1.4176295,0.55031776,-0.94666266,-2.2909288,-0.49693412,-0.28000322,36
37,-0.4606822,-3.8992257,-0.6849125,-0.20520127,0.35359356,0.8303905,37
38,-1.7503828,0.14507315,-0.34419394,-2.2669494,-0.98691654,-1.0119298,38
39,-0.0958972,-2.9515939,-0.70574987,-2.1370068,0.24887744,-0.27775332,39
40,-0.558592,-3.474576,-0.73304677,-0.7967178,1.7965416,0.7149441,40
41,-0.21874505,-2.98126,-0.2381475,-0.24858963,-1.331052,0.5174358,41
42,1.1331654,-1.9505782,-1.1898997,-2.241222,-1.1556227,-0.1731845,42
43,-3.3912082,1.1919004,-1.5652938,-1.3855071,-0.7789187,0.60874844,43
44,-3.0173378,-3.739753,-0.16232592,-2.2911177,1.8707674,-1.2869935,44
45,0.76646954,-0.107941985,-2.071485,-2.191039,-1.8360722,-1.407299,45
46,-0.47129136,0.94384134,0.13610351,-1.0986761,1.8878365,-0.8394778,46
47,-0.020288229,0.62943614,-1.6760782,-1.5776026,-0.9722067,-0.5466504,47
48,-1.4759865,-3.2043054,0.50230783,-0.7138555,-2.2846653,-0.86767536,48
49,-0.23826905,0.07687491,-1.560724,-2.04939,-0.48031506,0.36768866,49
50,-0.24321319,0.9260833,-1.2118187,-1.4614055,-2.0602832,0.92711556,50
51,-0.80987436,0.17382872,-2.4386382,-0.3754022,-0.12786222,0.6847706,51
52,-0.037626445,-1.6141723,-0.06517762,-1.1307409,0.68390083,-2.3347864,52
53,-1.4963092,0.52447677,-0.13815507,-1.21556,-1.4235013,0.9979625,53
54,-1.4519446,-1.1057849,-0.7518429,-2.2549117,-1.382274,-1.3857272,54
55,-0.8695739,1.7401607,-1.1960497,-2.512389,-1.9440293,-1.256477,55
56,0.23117483,1.1015375,-1.7091945,-2.137419,-0.81169397,-0.65412605,56
57,-1.5869949,-2.0242753,-1.2810221,-1.0562887,0.92916965,-0.19134642,57
58,-1.2404975,-3.1246223,-0.8961341,-2.2681205,0.33781862,1.2200067,58
59,-1.0546681,0.6357095,-0.24901187,-1.8565441,-1.8022528,-1.7633376,59
60,0.52514035,2.252082,-1.1859338,-1.3381045,-1.7161598,-2.5857837,60
61,1.1994693,-2.2051892,1.7882667,-2.0884387,-0.95236146,0.10552776,61
62,-0.54029757,-0.5463886,-1.9618585,-2.9214242,-1.747149,-0.7879701,62
63,-2.0786164,-2.6644528,-1.5789717,-0.9603485,1.7838238,0.24178708,63
64,-0.19842744,2.1661499,-1.6285954,-2.6625087,-0.6944734,0.6739305,64
65,-1.0305399,0.32764825,-0.6468823,-1.0913616,-0.3277856,-2.402139,65
66,-0.72639215,-3.1799731,-1.787934,-2.072158,0.2787093,-1.1974251,66
67,-1.5080653,0.92623425,-1.3162255,-2.7546983,-1.6159213,0.18954614,67
68,-0.7221886,0.38093668,-2.198943,-2.3630419,-1.8570322,-1.7797849,68
69,-0.74547315,1.4135321,-1.8569082,-2.1637921,-1.8723252,-1.1938107,69
70,-2.1752942,-2.1920578,-1.221837,-0.95098865,1.3757043,-2.0589557,70
71,0.4246502,0.9469194,-1.0734804,-1.0752143,-2.0132034,0.9100634,71
72,-0.44420722,0.6712235,-1.0012611,-1.7108619,-1.3933041,0.63281643,72
73,0.07152963,-0.17947376,-3.6543922,-1.2662487,0.37638706,-1.4418964,73
74,0.9416861,0.950495,-1.1232654,-2.1581833,-1.1962657,0.6968717,74
75,-0.18769938,1.0825653,-1.6419528,-1.6600803,-2.7084568,-0.8194492,75
76,-1.6616511,-2.3244832,-1.6268201,-1.9081457,-0.088369906,-1.4785573,76
77,-1.5478511,-1.0255853,-1.5394361,-2.0673509,-1.0438455,0.013126254,77
78,-0.43866014,-0.3202242,-1.4756749,-2.0383205,-2.0337496,-1.4063103,78
79,-1.4645063,0.35474697,-1.3039142,-2.694731,-0.89923126,-0.7158757,79
80,-1.5361636,0.65285385,-1.874252,-1.0632513,1.0558457,-0.9551147,80
81,-1.3730161,1.2838826,1.2497978,-2.5004187,-0.5340188,-0.06556025,81
82,-1.3498375,0.7548079,0.04842502,-2.1867993,-2.3240304,-2.1336522,82
83,-0.17308587,1.5730858,-1.4003675,-1.3023815,0.6430407,-2.0869884,83
84,-1.6581608,-0.20576349,-0.7970699,-2.1513255,1.2259169,-2.7418945,84
85,-1.5189146,0.5983732,-2.3985982,-2.174111,-2.1805918,-0.77570206,85
86,-0.4672141,-0.3005318,-1.5898879,-2.973863,1.9236681,-2.675331,86
87,-2.0174255,-1.8564923,-1.4511681,-1.9555296,1.9343112,-1.4192913,87
88,-0.02519095,0.38874528,-1.3801752,-1.1182444,-0.27426952,-0.19272959,88
89,-0.20048988,0.44922715,-1.3026539,-2.0658271,1.1843333,-1.9566934,89
90,-2.1545506,-0.8360697,-1.8390882,-1.3876387,0.44999194,-0.87692976,90
91,-1.6859185,0.18556133,-0.4838305,-1.4269701,1.1307228,-0.34599167,91
92,-0.5962988,-2.407947,-0.6764785,-0.049389124,0.3227453,-0.74274653,92
93,-0.20518911,1.3598623,-2.159287,-2.3417928,-1.7618438,2.141384,93
94,-1.6977345,0.7609365,-1.4409055,-2.0241818,0.55812293,0.08883679,94
95,0.4679054,-0.001701355,-1.2480581,-2.48104,1.4175843,-1.5826602,95
96,1.2672999,0.71160233,-1.2740107,-2.4770818,-2.3029692,0.0062509775,96
97,-0.24532726,-0.48014095,-2.3535082,-1.4703162,-0.41829842,0.9621848,97
98,-1.8571146,0.52420086,-2.2753723,-1.8953053,0.32383734,-0.9865928,98
99,-0.5845708,-0.3133658,-1.8179939,-1.5034072,0.18930633,-2.7822516,99
100,-3.0156927,1.0162376,-1.625262,-2.692181,-0.048890322,1.1927006,100
101,-0.8598937,-0.18151717,-2.5750437,-2.339718,-1.3737056,1.3643944,101
102,-1.4839205,0.6562914,-1.0774039,-3.482303,1.8059096,-0.4074543,102
103,-0.6018766,1.4664267,-1.8601762,-2.3547175,-2.5924916,-0.23307574,103
104,-2.238775,-1.3662196,-2.4127243,-1.6172378,1.4439573,-1.7657864,104
105,-0.35218748,-1.3563542,-1.9320151,-2.2862446,-2.076222,-1.4051888,105
106,-0.69149643,0.5148494,-0.5821489,-1.6565093,-1.7330645,-0.19276345,106
107,0.072040856,0.7651452,-1.0686848,-1.1477275,-2.997849,2.280053,107
108,-1.0399679,-3.5409303,-0.17782938,-0.41730928,1.3033831,-1.3745834,108
109,0.60406256,0.42385656,-2.6360946,-2.172906,-1.3328098,2.8630319,109
110,-1.2184925,-0.9302907,-1.6453214,-2.2075877,-0.9886454,-0.42553708,110
111,-0.48595452,1.0474567,-0.89461124,-1.6417964,0.83832085,-1.225598,111
112,-0.9946566,1.2774291,-1.1711378,-1.339202,-1.2720649,-3.3426604,112
113,0.22729778,-0.0097923875,-2.066862,-1.3450617,0.020691087,0.48908645,113
114,0.2908299,-0.5375495,-0.35616374,-2.002269,0.4997754,-0.7287726,114
115,-0.46342653,0.95358366,-2.045915,-1.2533917,-2.5754752,-1.813272,115
116,-0.42121035,1.5945203,-0.42775708,-1.7806615,-1.4940538,0.9488366,116
117,0.5057725,0.8818069,-2.5506558,-0.5556114,-1.8447319,-0.473711,117
118,-0.66268396,0.69914675,-0.935946,-2.091191,0.16408443,0.6681583,118
119,-0.50090986,-0.858021,-0.89295155,-1.896217,0.061486438,-1.328668,119
120,1.3627625,0.26187342,-1.611851,-2.4822292,0.34833732,-1.6916771,120
121,-2.2656846,-1.8267488,-3.1785336,-1.760571,-0.40157285,-0.7912844,121
122,-1.6874106,0.77553415,-1.3575101,-2.2920263,-0.78847766,-0.7203421,122
123,-0.5512887,1.8035771,-0.66939926,-1.8201685,-0.38395256,-1.2702075,123
124,0.051838398,0.2560303,-1.80126,-1.581303,-0.61429363,0.112638324,124
125,-1.5820112,1.1831243,-1.896274,-1.415767,-0.0077348948,-2.273808,125
126,-1.1026994,-0.4132154,-0.39704853,-1.2806821,0.019482553,-0.935146,126
127,-2.2857873,0.23572713,-2.1594489,-1.6909693,-0.3355097,1.2158186,127
128,0.39874667,0.16217652,-1.4852866,-2.1819165,-1.0103544,-0.0066785514,128
129,-1.0118687,-1.3602817,-0.9584731,-1.5780876,0.8514818,-0.65422887,129
130,-0.4710253,-0.07008797,-2.475578,-2.5161555,-0.5018784,-2.3583243,130
131,-2.1231215,0.7054208,0.2718712,-2.2752886,-0.753447,0.49894768,131
132,-1.8747666,-1.3091304,-0.31234765,-2.0005338,-0.41917032,-2.5856712,132
133,-1.7349879,-0.006671943,-1.6021547,-2.1120708,-1.6186666,-1.5087177,133
134,-0.80250627,0.36658353,-2.0603883,-2.2389803,-0.9260105,-0.111942716,134
135,0.0024340153,0.45709184,-2.3442218,-2.108221,-1.5604293,-1.7799891,135
136,0.40689975,-2.753121,-0.45924297,-2.3625884,0.87424886,-0.638723,136
137,-1.1257228,0.5327795,-2.140305,-2.5824046,-1.0793871,-3.1948981,137
138,-1.6295085,-1.9291584,-1.1298847,-0.21139377,-1.5452577,0.30633375,138
139,-2.7966316,-1.0182042,-0.6131176,-1.7484335,-0.3537277,-1.1397197,139
140,-3.0552666,-1.9705815,-1.1020663,-2.3112621,-0.38289806,-1.7212355,140
141,-1.6491098,-0.16409087,-1.2561016,-1.7612433,-1.407256,0.46400666,141
142,0.077867866,0.34294966,-1.8789017,-1.5913417,-0.45869273,-1.5395048,142
143,-0.11794421,0.49728146,-0.95111495,-2.6204033,-1.3324208,0.90944254,143
144,-0.22969717,0.77330685,-1.9979994,-2.4263248,-1.1952109,-2.9047506,144
