,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
0,0.05908206,0.26481792,1.1428368,1.8545091,3.0352285,0.35521317,0
1,0.31063896,0.29128757,0.78443885,0.36703306,4.5167894,0.05324108,1
2,0.17721845,0.59748924,1.3353329,0.8488021,4.5339966,0.052062035,2
3,0.3914653,0.030926155,1.2175465,1.0575405,3.555347,0.86301166,3
4,0.19703136,0.067949764,4.555938,0.8269664,3.3084679,0.13828476,4
5,0.018818747,0.06049907,4.264731,0.5322606,2.7606952,0.4444873,5
6,0.067257494,0.3285228,3.0376947,1.6344864,3.9024403,0.44302493,6
7,0.08686761,0.81686443,1.4571961,0.6765005,0.9696667,0.08033693,7
8,0.13799039,0.59432703,1.8830427,1.3584049,2.1866229,0.6549014,8
9,0.033090882,0.16443752,3.2349458,2.4801881,2.4930887,0.6761089,9
10,0.2953429,0.8073517,3.2007809,2.7060711,1.0676819,0.45771536,10
11,0.01665729,0.3865817,0.5136422,1.5929521,2.75703,0.6325999,11
12,0.47416434,0.55528706,1.0972489,0.58687496,1.4090526,0.4685197,12
13,0.6957953,0.83753395,1.827031,0.62192243,3.5423317,0.36498588,13
14,0.20217192,0.49884847,0.670209,2.7648911,0.96709144,0.7615903,14
15,0.1276792,0.362267,3.2703195,1.4136124,1.5470736,0.52466303,15
16,0.3692422,0.0757288,3.4896076,2.2044358,0.86577433,0.20446663,16
17,0.25978133,0.21145439,1.1274273,1.570511,2.7464828,0.36350915,17
18,0.09547005,0.40526536,1.5736439,1.3748035,2.2303705,0.5205861,18
19,0.09010777,0.06958895,0.95932335,2.692677,3.7648187,0.30639517,19
20,0.12296983,0.12789033,0.9588225,0.9034053,2.146624,0.08693343,20
21,0.04312477,0.60022116,0.57528317,2.7743475,2.184437,0.2786088,21
22,0.29560563,0.7441946,2.6612096,0.5790511,0.93583274,0.73495024,22
23,0.07170925,0.5409738,0.970049,1.8896973,3.7279682,0.45745727,23
24,0.15582824,0.5929149,1.8975544,0.6106068,2.8469355,0.5415969,24
25,0.1941852,0.8176109,2.8050609,1.0670717,2.59245,0.600513,25
26,0.17567754,0.368945,1.2769921,1.2804674,3.5892527,0.54693115,26
27,0.18314947,0.14062282,0.7728164,2.4225392,3.6847677,0.01823524,27
28,0.26173016,0.0641836,3.5752678,1.0170429,4.5532365,0.123909034,28
29,0.3677852,0.725081,1.5380956,0.955281,1.4236872,0.49467573,29
30,0.07667131,0.13511984,1.5214338,1.7832198,2.5776548,0.27331123,30
31,0.15295856,0.36898533,1.449851,1.3456761,2.305583,0.73118484,31
32,0.14527471,0.1613854,0.24368584,1.1962687,2.7367625,0.29339844,32
33,0.18296744,0.5199698,0.7298708,0.8681165,1.6245983,0.08071893,33
34,0.22708483,0.43820545,1.8207974,1.0787165,3.7459266,0.31877607,34
35,0.5720193,0.6792634,0.9502822,0.9958304,1.0645634,0.28980526,35
36,0.40614742,0.022362607,2.6200192,1.1294019,4.59442,0.7956277,36
37,0.29038456,0.06296261,2.8315346,1.6834205,3.439567,0.2720919,37
38,0.15872231,0.6787108,4.134139,2.5473394,1.900893,0.5076027,38
39,0.23242383,0.5724099,2.0124516,0.65249753,0.40261504,0.376791,39
40,0.18666656,0.025948418,0.37419754,0.9442354,2.2965984,0.10458492,40
41,0.2010369,0.4702494,0.78705966,1.9023238,1.2019875,0.085007615,41
42,0.06551976,0.30601907,0.4012069,0.54169524,2.5265613,0.7483028,42
43,0.088495605,0.247417,0.6077394,0.8673926,0.66505057,0.4818328,43
44,0.6186677,0.16840734,3.2030432,0.46156532,3.9355059,0.84902793,44
45,0.18581788,0.08091494,0.9216685,0.72741157,5.071502,0.1552964,45
46,0.069649346,0.61250955,1.2772224,1.4165015,2.185267,0.07370475,46
47,0.12239126,0.42880026,0.8937504,0.41995877,0.93481475,0.76112324,47
48,0.13236131,0.08283175,1.6518141,1.6114225,5.0788727,0.19913618,48
49,0.11357043,0.6045192,4.1601915,1.7485296,3.787753,0.4610849,49
50,0.10702099,0.3228561,0.85890037,1.8801794,1.7707038,0.23785065,50
51,0.20293145,0.1754785,0.39829957,0.63490963,2.178944,0.854288,51
52,0.2958749,0.111410476,4.2093654,1.5921803,0.7678802,0.21102422,52
53,0.07088347,0.17354874,1.1348436,0.37683946,4.2359085,0.33466157,53
54,0.021050997,0.09877953,2.9555087,2.7314389,1.9874958,0.3654437,54
55,0.46730265,0.08681015,1.8595564,0.62679476,3.9638028,0.10204761,55
56,0.21542487,0.19443253,1.4797201,1.9629383,2.4953284,0.41421723,56
57,0.1323327,0.03323004,0.7899193,1.670084,4.3054285,0.6520715,57
58,0.12908827,0.4299386,2.5366094,2.0006342,4.9945974,0.408236,58
59,0.19892481,0.42515278,1.5799048,0.9801754,1.7678518,0.2836145,59
60,0.32987824,0.84794074,1.8140295,0.9604205,5.0702252,0.3581716,60
61,0.23964784,0.615327,0.842874,1.2563356,2.1837637,0.43463904,61
62,0.5868096,0.46182877,0.528678,2.7388048,1.234159,0.21104206,62
63,0.017165765,0.10442231,1.963229,0.9249807,4.531105,0.4896579,63
64,0.063170046,0.42482862,0.99100846,0.40571272,3.0703547,0.6228337,64
65,0.20517762,0.3916397,0.8597111,1.6520495,1.5876899,0.2348334,65
66,0.7371785,0.12809077,4.4302597,0.98014414,5.756971,0.36836848,66
67,0.008494053,0.16045101,3.4542582,0.6615704,2.8911526,0.6187272,67
68,0.27186003,0.37386876,0.9499304,0.8645073,2.1640682,0.49730015,68
69,0.18217272,0.038924612,3.7340612,0.9177863,5.1777782,0.15711012,69
70,0.16939417,0.122855656,2.8391285,0.8633888,1.693867,0.4038241,70
71,0.23733035,0.17232424,1.1427287,1.1486616,3.0234756,0.20177376,71
72,0.49279633,0.58304197,0.7035417,3.9232888,4.712794,0.30981588,72
73,0.42930087,0.6633533,1.0042219,0.4287346,2.8747761,0.44317043,73
74,0.20034732,0.38558587,1.928071,1.6291125,2.5742545,0.49651965,74
75,0.29296947,0.4731775,1.0105184,0.72163177,2.3766313,0.6436587,75
76,0.17744267,0.5511143,0.6338572,0.22237618,1.3775978,0.33729103,76
77,0.13925695,0.20255749,0.34620607,1.1922289,3.6807656,0.13619137,77
78,0.3434798,0.23448037,1.5893228,2.0465744,1.4864315,0.5496144,78
79,0.3012595,0.7848253,1.5344884,1.7931465,0.94702196,0.62492996,79
80,0.28258392,0.67223394,2.477913,1.7584245,1.7440513,0.7564275,80
81,0.31709722,0.47993544,2.1132665,0.48453417,2.4053488,0.6250301,81
