,locs0,locs1,locs2,locs3,subject
0,0.63948566,0.7273373,0.023382105,0.5443495,0
1,-1.4980421,0.18340014,-0.25847852,0.78334266,1
2,-2.321212,-0.7196316,-0.380328,-5.882412,2
3,-8.003103,3.032555,-0.40683824,-3.4103544,3
4,-0.3170706,-2.0485704,-1.5496252,-1.2004008,4
5,-4.3647356,-1.3453399,2.2446594,-2.8640504,5
6,0.58668077,1.1481539,3.0800562,-2.7737713,6
7,1.4118133,-2.1170454,-1.9918022,0.72773814,7
8,-1.5759909,-0.36947837,1.9557353,-2.166691,8
9,-2.5804617,-0.005495876,1.563505,-1.2231476,9
10,-3.270409,0.08699602,2.3631976,1.2839354,10
11,1.457955,-0.98539627,2.7784367,-3.3504086,11
12,-4.129263,0.14329939,-1.2542021,-2.8260522,12
13,-2.5569518,-2.2251651,1.3517642,-2.3833966,13
14,-4.833151,1.5386097,1.1711524,-5.0617647,14
15,-1.0540278,-1.2484558,1.9868305,1.2307727,15
16,0.79036856,-0.92637026,0.74139273,-7.3059545,16
17,0.3289643,-3.064229,-0.07837499,-0.06922424,17
18,-2.2410312,1.0355709,-0.54686797,3.617025,18
19,-0.27330744,-0.597246,0.019154042,-0.5400432,19
20,-2.1300073,-1.1707587,0.4198791,-3.761073,20
21,-0.7877625,-1.9627663,0.45210874,-0.7178722,21
22,2.1716483,-0.5595592,-0.6244363,-0.9196274,22
23,-0.7337724,1.1765796,0.740046,0.56198114,23
24,4.9666286,-0.5043719,2.243941,-1.0466188,24
25,1.5921901,-2.7084148,-2.6730988,-1.0660893,25
26,3.2653403,0.45286527,0.5667917,-4.7689724,26
27,-3.3568084,3.3031273,-0.86441576,-2.6575844,27
28,-3.9856522,3.0943234,-0.948532,-6.6966476,28
29,-3.3173609,-0.9781239,-0.63257563,-0.22110707,29
30,-0.34324622,-2.3305407,-1.6944902,-1.6040535,30
31,-3.1512067,-3.0112162,-2.509557,-2.7668123,31
32,2.067321,-0.51317763,0.3934585,-1.7512375,32
33,-1.5690382,0.22218409,0.77242213,0.119025886,33
34,1.369049,-2.3233695,-0.50684935,0.14432597,34
35,-3.983192,-0.27233887,0.66840446,0.8258415,35
36,-2.5360577,1.0793642,-0.9713806,-0.6845224,36
37,-2.5681627,0.0058914945,-1.120412,-0.10563457,37
38,-1.4214323,-2.0591278,-0.2460779,-2.3145921,38
39,-1.7388142,-0.664626,1.0034194,-4.4188695,39
40,-5.0651927,2.722797,0.34313554,0.27343142,40
41,0.64051086,-0.5417808,0.6550887,-1.2391597,41
42,0.9895369,-2.7918525,-2.917638,-0.35858536,42
43,0.58628696,-1.6410189,-0.13001156,1.3075799,43
44,-0.82066154,-1.0904572,-1.641237,-0.23970664,44
45,2.4432127,0.5051843,0.5815647,-1.9762723,45
46,-2.4133077,-0.5772741,1.4239045,-1.1908562,46
47,2.6519766,-0.92011505,-0.42887703,-1.611052,47
48,0.3483292,-2.3649213,-2.0023897,0.93557286,48
49,0.7701888,0.07746224,1.145771,-2.6185849,49
50,-1.7751937,-3.5507293,-3.4169755,0.8916347,50
51,2.7202678,-1.7752712,0.8472507,-0.46382272,51
52,-0.9823793,-2.2212448,-0.21587251,0.005955048,52
53,0.35699856,0.8978658,-0.583066,0.29502508,53
54,-5.6034036,-0.0013478994,-0.57365924,-4.8460627,54
55,-2.3558419,0.38743687,1.3290716,0.9577129,55
56,-1.3831152,-0.46452498,0.63271797,1.8072921,56
57,-1.6243049,-0.29186258,-0.13451624,2.3597379,57
58,-2.5380824,-0.7823214,0.35446617,1.0483074,58
59,-1.7548941,-3.115818,-2.984437,-2.280832,59
60,0.9371122,-0.47233713,-1.6157277,0.83899784,60
61,-8.881006,2.158629,-1.7020617,-1.0235581,61
62,2.1968708,-3.0936832,-3.0605516,2.1447124,62
63,2.5253978,-0.3782823,-1.4082344,0.7242942,63
64,-3.0958352,-1.7657034,-1.0257324,-3.0952592,64
65,-6.1423435,1.9635754,2.3986552,-5.001425,65
66,-0.9005995,0.5234185,-1.8585235,0.024281323,66
