,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,6.130327,5.850318,0,0.6528991,0.7384209,5.360536,3.7149928,0.6873595,0.6780605
1,4.8738995,1.7173133,1,0.18646167,0.18234688,5.73414,4.3084803,0.655849,0.843196
2,3.285635,3.7276003,2,0.09219931,0.39924532,3.653988,5.718931,0.073267296,0.076686144
3,5.446264,4.5503244,3,0.06576639,0.18206847,4.863756,4.033665,0.06800221,0.52127594
4,1.5783197,2.69837,4,0.25977227,0.34812838,1.4509335,1.828773,0.41121373,0.39955956
5,2.6566103,4.258593,5,0.15263171,0.67719615,9.236604,5.212734,0.055731103,0.4795907
6,6.675116,3.8452702,6,0.52149147,0.52926904,8.480616,5.1645255,0.04462021,0.8824626
7,1.2923806,1.4969096,7,0.72241575,0.27814996,1.1903447,4.580887,0.51245004,0.50093573
8,3.4250388,2.1128669,8,0.09344421,0.11359286,9.121758,4.1420527,0.09076836,0.45179027
9,3.8465073,1.4108357,9,0.118236944,0.06879997,8.766127,5.7884874,0.22181085,0.17750019
10,3.4519477,3.729583,10,0.07728943,0.12290245,8.8139715,4.439853,0.8048378,0.7031285
11,2.4547403,3.1990771,11,0.3422151,0.76224655,8.986736,1.922566,0.025800684,0.34984517
12,4.406367,4.40345,12,0.03814461,0.98041165,2.9027271,3.2818608,0.06850688,0.5962078
13,1.6367474,3.6082797,13,0.47530946,0.9609176,8.616757,5.9323936,0.07518222,0.045585632
14,8.446055,3.822472,14,0.007902118,0.40333253,7.808138,4.6579213,0.014598543,0.45434397
15,2.939672,5.070478,15,0.48650065,0.67518544,8.131869,5.7011285,0.6682118,0.75065154
16,4.8892236,1.849922,16,0.16076094,0.9334402,4.6199565,1.3051299,0.0683192,0.47185856
17,0.9383849,1.2102933,17,0.6717789,0.8285872,4.8956466,3.192848,0.40771094,0.30513942
18,6.1759944,5.3662586,18,0.026456818,0.22382343,3.207324,2.3978004,0.9361272,0.9155812
19,2.367181,3.7969787,19,0.4644437,0.723398,5.3274894,3.4233618,0.3854483,0.436742
20,3.4010863,5.700795,20,0.13146414,0.3600486,5.185268,2.0158374,0.030871818,0.0459857
21,1.3933189,2.5092635,21,0.6990095,0.5338468,8.181948,4.6722946,0.31232816,0.4100045
22,3.578417,3.3308234,22,0.8847652,0.25170225,3.4687207,4.6590877,0.28234306,0.35568017
23,7.374164,3.6197777,23,0.3054952,0.4210046,7.7221093,4.128029,0.6293833,0.6196969
24,2.6054912,4.1255503,24,0.8328358,0.91925174,7.825015,3.2432265,0.25315943,0.7948125
25,0.86009914,5.143843,25,0.8344213,0.59652036,0.6821485,2.657891,0.81079173,0.354073
26,5.0964284,2.7101524,26,0.27657878,0.50721794,6.5291457,5.6268706,0.09645293,0.45153397
27,9.376411,3.518469,27,0.02966857,0.8779021,3.0290298,3.1219049,0.07307047,0.97686726
28,9.616917,5.3604465,28,0.0113591375,0.28653604,2.359013,2.608109,0.10286039,0.31691146
29,2.416043,1.6627035,29,0.0413779,0.1479885,4.970755,2.8179364,0.56352603,0.46257657
30,1.611213,1.2847004,30,0.2162671,0.4092121,2.2171304,2.4918938,0.111323036,0.027381063
31,0.66115993,4.126278,31,0.22166312,0.50570774,0.5380263,1.6648347,0.1589409,0.6671551
32,2.2935464,1.4783049,32,0.9208667,0.45932537,6.0729766,5.434331,0.25699317,0.24609452
33,4.4129963,4.88883,33,0.11468631,0.50306314,6.3689795,5.0884023,0.5011766,0.707963
34,0.6462582,1.3342497,34,0.7855534,0.007716596,3.706664,2.8740103,0.5508793,0.5759378
35,2.7896204,3.226984,35,0.13471313,0.62314004,7.8057723,5.5397797,0.6965939,0.5653921
36,6.766256,2.505577,36,0.052420996,0.39458257,3.01993,1.7671189,0.26991293,0.76247454
37,5.1775103,3.4550786,37,0.079373464,0.3837331,2.5392964,1.101381,0.56804293,0.53935784
38,1.3460845,2.990178,38,0.17979087,0.1726768,5.669911,5.8134403,0.10659793,0.059149742
39,2.4548852,5.4233704,39,0.3251058,0.95519423,8.035625,4.714016,0.011139837,0.13406646
40,8.288531,2.7638783,40,0.012552387,0.21178973,7.3964696,4.808562,0.6282427,0.7445034
41,4.202467,5.266857,41,0.7196055,0.77504253,6.2914305,3.65281,0.23302081,0.46183115
42,0.4978487,3.5134027,42,0.81672716,0.63848776,0.41250294,1.3699424,0.77981484,0.4893018
43,1.3807223,1.7239765,43,0.6563187,0.58651406,6.051907,5.4795437,0.83383125,0.98818696
44,2.638949,2.0408807,44,0.737078,0.8963675,2.1605566,2.3006206,0.67544776,0.7605178
45,5.5128536,5.7519193,45,0.9175465,0.49625808,6.012985,2.4359686,0.12781517,0.41844618
46,4.221333,5.487185,46,0.07486949,0.1593166,8.449284,4.7862673,0.25880364,0.8919136
47,3.2605317,3.284726,47,0.91613615,0.77025515,3.8527896,1.4562225,0.3027458,0.98727685
