,locs0,locs1,locs2,locs3,subject
0,0.21407665,0.94235796,0.42981356,-1.5180418,0
1,-0.83494675,1.4447298,-0.21780363,-1.3004296,1
2,-0.15377344,-2.0913422,-0.28372198,-0.28685805,2
3,-0.18883377,0.8666573,-0.34371877,-0.2637745,3
4,-2.0184782,1.2998308,0.31306592,-0.8639072,4
5,0.6951566,-2.23011,0.10274771,0.4239438,5
6,0.7679651,-0.068638355,0.112118736,-0.11053196,6
7,-0.27392766,0.099496454,-0.17663357,-0.4309343,7
8,-0.7640449,-1.3469597,-1.3292711,-0.81605875,8
9,0.70657957,-0.03068018,0.41897875,-0.56099236,9
10,-0.18910283,-3.1049304,-0.07143128,-0.25791764,10
11,-0.6853598,-0.40866312,-0.74643105,-0.19797269,11
12,-2.4503667,0.08524423,-0.44136545,-1.3129883,12
13,1.7644544,-0.5481966,-0.18106113,-0.55447197,13
14,0.8489078,0.9608259,-0.14176166,-0.018569116,14
15,0.9128587,1.2471809,0.4658171,-1.1278822,15
16,1.3018014,-0.082932815,-0.498047,-0.006529525,16
17,0.7065303,0.121305674,-0.90051657,0.048377514,17
18,1.4406965,-1.8880146,0.2688415,-0.23642454,18
19,0.46841657,-0.1591894,-0.9378644,-0.34370938,19
20,-1.8076015,0.23896432,-0.67759323,-1.5168843,20
21,-0.40406063,-0.7080109,-1.4225006,-0.7007971,21
22,0.9599381,-0.7279363,-0.69113576,0.55552495,22
23,1.2908778,-0.10802215,0.6143667,-0.35955802,23
24,-1.5358288,1.5625483,0.08732048,-1.2139426,24
25,-0.1011579,-0.34408998,0.05953885,0.54212487,25
26,-1.2289975,1.7203847,-1.4530141,-1.0254114,26
27,0.4917398,0.30975667,0.17285354,0.5980696,27
28,0.37396926,1.1730189,-1.0090495,-0.1798101,28
29,1.803461,-0.8188881,-0.40733147,-0.2633437,29
30,0.2632902,0.7575418,-1.9615335,-1.6349468,30
31,-0.58012223,1.1324241,-2.0686765,-0.09115535,31
32,1.5726224,0.42639512,-0.025787622,-0.29969522,32
33,1.5567681,-0.5969386,-0.38907176,-0.4250069,33
34,0.010164484,0.042922363,-1.0336376,-0.4081032,34
35,0.8022719,-1.7039148,-1.0691359,-0.24576393,35
36,0.21737719,-0.05299273,-0.66382927,-0.7386955,36
37,0.67626053,-0.1214512,-0.9653973,-1.5677149,37
38,-0.36802873,-1.6018804,-0.68366885,-0.33915907,38
39,-1.2611011,1.0215756,0.22061503,0.19509806,39
40,0.6943178,-0.11202043,-0.7304787,-0.8097075,40
41,-0.14050293,0.8759225,0.4111973,-0.85886717,41
