,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,4.3067446,1.0244048,0,0.51254106,0.21101296,3.531536,3.2425044,0.8072174,0.85895646
1,5.8293133,5.047542,1,0.6286749,0.93684167,2.933603,2.8532605,0.2437035,0.18906885
2,3.6452718,1.583621,2,0.058688957,0.09501839,2.797724,2.7974637,0.4262145,0.51245654
3,5.6618733,1.7307031,3,0.42683625,0.36817998,5.678272,4.347553,0.537928,0.34016758
4,4.236677,4.4622817,4,0.51843977,0.64041275,6.415327,5.0212207,0.3198768,0.22410166
5,3.0461557,1.2332705,5,0.5207722,0.6924446,1.8358227,1.6206304,0.85939753,0.94166756
6,6.224522,1.267122,6,0.39351678,0.5365539,4.928329,3.5895314,0.3431744,0.11399573
7,4.226256,1.9066072,7,0.723183,0.59839344,4.252427,4.7882204,0.6783261,0.73170114
8,5.1627955,1.7282839,8,0.53489417,0.38536066,3.2725976,3.4826608,0.71188915,0.7963681
9,3.9770792,1.0041598,9,0.30657363,0.8129105,3.192613,3.7999635,0.35437602,0.30630106
10,4.3015394,3.0671344,10,0.12822187,0.20845044,1.8223635,1.0315907,0.4019939,0.28810364
11,2.6647394,1.9847242,11,0.69872016,0.42380244,1.0550493,1.1413733,0.7882842,0.9513807
12,5.8107305,1.2996224,12,0.26030484,0.68218654,4.880321,5.8578343,0.65478534,0.6875612
13,5.1685696,1.9485474,13,0.84708506,0.65815336,1.396308,1.3594953,0.42686883,0.42202145
14,5.959169,2.019615,14,0.2511415,0.22714919,4.956584,5.762985,0.564145,0.6382616
15,4.9944706,1.380798,15,0.4929021,0.76675105,6.729998,5.09105,0.6301526,0.41855758
16,2.801277,2.6539521,16,0.064199366,0.039988756,1.8765429,1.9824226,0.7646117,0.7793803
17,7.3456483,4.0330787,17,0.7389955,0.8840023,4.465141,4.164237,0.7091336,0.6869
18,3.3173983,2.1256242,18,0.6306644,0.6970385,3.7299771,5.128994,0.38864267,0.44016778
19,5.239667,2.4430394,19,0.35986653,0.81391215,4.8225822,4.247353,0.28446406,0.15115774
