,discount,learning rate,mf weight,mb weight,subject
0,0.5453305,0.5763752,3.3253865,0.71065104,0
1,0.42609647,0.2148753,1.344008,0.7855232,1
2,0.41846326,0.48304623,2.9175067,0.9803252,2
3,0.33493966,0.2812479,4.9037633,1.5736208,3
4,0.60384995,0.06350147,4.834971,0.3125558,4
5,0.65270764,0.85406923,1.6968925,0.8065305,5
6,0.49697646,0.124012716,2.5204806,1.0379711,6
7,0.88148355,0.45046666,1.6200345,1.1136628,7
8,0.52949876,0.7701486,4.563203,2.2396114,8
9,0.31200853,0.2738553,1.6497785,1.1927552,9
10,0.59281176,0.58979106,2.0830557,0.75373685,10
11,0.31154773,0.47942936,0.5699999,1.0345578,11
12,0.31584677,0.37637195,3.8808808,1.2397959,12
13,0.5372769,0.5847743,0.8947836,0.36111304,13
14,0.48566714,0.51328087,5.389947,1.6156867,14
15,0.1931933,0.28496793,5.5524035,1.2107259,15
16,0.491088,0.50274605,1.3014463,1.0024316,16
17,0.8600811,0.6018574,3.1466851,0.89865464,17
18,0.18398976,0.24777351,3.4115202,0.8314754,18
19,0.46495482,0.20140387,2.7807212,3.8246734,19
20,0.7108862,0.10838252,2.9638271,0.7595757,20
21,0.71306396,0.9020742,3.0903602,1.3119326,21
22,0.4863051,0.4546433,3.6038752,1.4846113,22
23,0.5275032,0.5849102,2.6814418,0.47892004,23
24,0.26134664,0.048417237,0.8249017,0.9562659,24
25,0.741408,0.6635399,2.70469,0.7684362,25
26,0.18415765,0.2650138,4.3835955,0.6736122,26
27,0.41387513,0.19533224,1.1754878,1.9645454,27
28,0.51645553,0.40714106,1.1294713,0.5551316,28
29,0.7479081,0.043901775,4.272609,2.724756,29
30,0.21416928,0.43846047,3.9090521,1.9204111,30
31,0.70099384,0.07990077,3.7984352,1.516756,31
32,0.82426804,0.50757205,2.3760862,2.2092924,32
33,0.5194098,0.47685444,4.000922,0.72540337,33
34,0.19929078,0.19197693,2.8967602,0.77976584,34
35,0.41521794,0.5647828,1.216748,0.9282312,35
36,0.20716709,0.12413794,3.5245848,1.3434634,36
37,0.66173506,0.42269,2.8757143,1.0455639,37
38,0.49049258,0.4125587,3.3989277,1.5596166,38
39,0.6775479,0.57121307,2.2659004,0.61701775,39
40,0.561783,0.53043896,1.8409048,0.60341215,40
41,0.75118554,0.631725,3.1019063,1.0774575,41
42,0.67979705,0.7600262,3.1747208,1.0059382,42
43,0.8052481,0.660905,2.7786036,0.36337057,43
44,0.54236656,0.67726225,2.8956442,0.70284015,44
45,0.4767766,0.08929161,4.613667,2.5111644,45
46,0.4104216,0.30988416,1.9096588,3.7469106,46
47,0.59634715,0.41828796,2.7381043,1.1852086,47
48,0.7194928,0.88318837,2.3971894,1.307818,48
49,0.5769877,0.8992472,4.0758305,1.3720049,49
50,0.7520422,0.7532154,5.374372,2.2796197,50
51,0.58887225,0.18915321,1.8599477,4.726564,51
52,0.37637493,0.78687215,1.9585145,1.3811021,52
53,0.27823818,0.31818053,2.8237395,1.1187795,53
54,0.698518,0.8599378,3.4710646,0.598317,54
55,0.49511963,0.3066827,2.3403747,0.52844805,55
56,0.70927715,0.8843743,1.7368782,2.7435448,56
57,0.7280138,0.7234758,1.1916622,0.70260155,57
58,0.45807853,0.62596655,4.688093,2.1164284,58
59,0.2490558,0.45935914,2.3125205,0.5889537,59
60,0.75557,0.092273355,4.2749615,0.66357374,60
61,0.49224102,0.6221396,5.145047,1.9951537,61
62,0.68544894,0.45686188,3.3391752,2.8153625,62
63,0.6785461,0.48318818,3.9272776,0.7527933,63
64,0.7660815,0.19322747,0.3347538,1.1757339,64
65,0.3554991,0.082521014,4.0190387,0.8191805,65
66,0.74099284,0.6042976,3.4483674,1.5659149,66
67,0.4219913,0.26705465,2.1707878,0.7894925,67
68,0.3486366,0.61536735,2.1205082,1.1004134,68
69,0.4282745,0.11996421,3.2968912,1.0461136,69
70,0.63942385,0.7320407,3.0632076,0.9442293,70
71,0.3758343,0.29971632,2.4112074,1.8541219,71
72,0.7776027,0.7848041,3.8305063,3.9924953,72
73,0.37420744,0.1843551,1.0669415,1.4769022,73
74,0.7660249,0.5637591,1.1934211,0.27709532,74
75,0.22852331,0.46072313,4.5522423,0.5571122,75
76,0.37491903,0.28511524,3.367575,2.1164753,76
77,0.66754985,0.47636217,2.8043177,0.69956386,77
78,0.74907625,0.45552284,2.0767395,0.90769327,78
79,0.51206565,0.34161907,2.1703334,0.9053428,79
80,0.5284445,0.29187068,4.450504,1.9753659,80
81,0.57895166,0.08522558,4.0536838,2.972058,81
82,0.6638091,0.6265551,1.4755257,0.6861423,82
83,0.75176847,0.5167571,3.154172,0.6382678,83
84,0.71204686,0.5374584,4.0852895,1.3576348,84
85,0.24695724,0.15633264,1.1494992,1.0880337,85
86,0.6675349,0.5159645,1.7400036,1.5628757,86
87,0.5856266,0.3341846,2.5867202,3.1382868,87
88,0.6381085,0.6455577,2.1681116,1.997968,88
89,0.45197645,0.4672274,4.269498,1.8379807,89
90,0.4276399,0.3880337,3.8774943,0.52197456,90
91,0.5191095,0.29299533,3.1366053,0.45037562,91
92,0.85937285,0.5670622,1.2954391,0.29756135,92
93,0.6926886,0.09916451,2.6684718,1.8204293,93
94,0.63854116,0.8065162,3.3448377,0.1554168,94
95,0.34910077,0.80723,5.073468,1.5413501,95
96,0.6814879,0.8803735,1.7190117,1.0216337,96
97,0.47039002,0.35764664,1.5979736,0.6368651,97
98,0.42614755,0.35486236,3.5797157,0.88129,98
99,0.5142359,0.30829704,3.8562663,3.1094337,99
100,0.44027486,0.39084086,3.5903826,1.6730437,100
101,0.73555064,0.768655,1.2389193,0.45143965,101
102,0.37560025,0.44785926,4.748304,1.8436928,102
103,0.7395334,0.50204974,1.3239028,0.8211946,103
104,0.5293911,0.46789193,2.7855353,0.46133593,104
105,0.5929794,0.4663145,3.6851625,1.483983,105
106,0.51026565,0.7408257,2.0068884,0.7677889,106
107,0.20523751,0.050356735,0.22001448,0.4200199,107
108,0.5095217,0.7977237,2.868982,1.91215,108
109,0.51605767,0.12669533,0.9582019,1.9820418,109
110,0.34834924,0.15252085,2.6769745,0.99546057,110
111,0.47622585,0.556909,4.146414,0.75741124,111
112,0.47455645,0.5231475,4.56136,1.7582542,112
113,0.73953927,0.7070344,5.3216133,1.371428,113
114,0.20464662,0.07828164,0.42774823,1.7374552,114
115,0.6855913,0.08623023,5.037221,1.0649395,115
116,0.2863327,0.3091514,0.98450327,1.3333029,116
117,0.21835855,0.3668375,2.4400282,0.58024,117
118,0.21182722,0.2751696,3.3128953,0.622743,118
119,0.53643435,0.8270556,1.2673982,0.35377702,119
120,0.664572,0.87864846,5.0064154,0.45860583,120
121,0.79384464,0.66402334,1.8128014,0.7808749,121
122,0.52559334,0.2097486,2.2497492,1.8163931,122
123,0.5578716,0.41456965,3.8122058,4.4159927,123
124,0.8517031,0.63237035,1.6568909,1.5662804,124
125,0.26298273,0.27336717,3.8782134,0.823271,125
126,0.4569111,0.5166194,4.391064,1.2004778,126
127,0.65604013,0.6391742,3.051424,1.9232538,127
128,0.506722,0.36529636,3.6180248,1.1901429,128
129,0.786736,0.7668851,2.947284,0.6546847,129
130,0.31800154,0.5419736,5.057514,1.0911506,130
131,0.19260313,0.32706827,1.3260072,0.8508763,131
132,0.48642358,0.71049136,1.709116,1.7791846,132
133,0.8399353,0.8567145,4.3090773,1.4299732,133
134,0.74248606,0.47729036,1.936898,1.7304988,134
135,0.55177534,0.7947177,2.8511443,0.37931895,135
136,0.5916604,0.06382383,5.022082,0.3968783,136
137,0.54592943,0.5163861,1.5425874,0.8692598,137
138,0.5960129,0.65898573,3.3946013,0.6069299,138
139,0.69688165,0.59621847,1.0476476,0.90874314,139
140,0.4861711,0.50027436,2.9338374,1.0227176,140
141,0.5118899,0.42066976,3.6040657,0.8378604,141
142,0.47054145,0.39046064,2.829462,0.6492584,142
143,0.3389963,0.22337608,3.587652,1.2265189,143
144,0.66969174,0.70387036,4.3061585,0.91532767,144
145,0.6774999,0.7369815,0.6064502,1.4129589,145
146,0.23013847,0.24023488,4.234976,2.3559732,146
147,0.61528856,0.53345555,5.2559285,1.9818673,147
148,0.58639055,0.05763574,2.767887,1.8851657,148
149,0.81521875,0.9141759,1.2237831,0.7157011,149
150,0.41263092,0.28246623,2.0364587,0.9258233,150
151,0.8814139,0.6482565,4.8871856,4.203626,151
152,0.5266392,0.35865542,3.5697966,1.220346,152
153,0.41227803,0.18294251,1.0620191,1.3751341,153
154,0.3480119,0.5089772,3.9201531,0.5439988,154
155,0.45388088,0.107971005,5.014723,0.8163296,155
156,0.6923791,0.668276,2.2771215,1.9375001,156
157,0.55277896,0.46604446,0.7114622,0.602877,157
158,0.64710075,0.730106,1.8833733,0.66564524,158
159,0.7153373,0.17229685,0.9512243,0.7683953,159
160,0.605056,0.101183645,4.5201335,2.3262572,160
161,0.15492253,0.11879668,1.8597432,0.93795097,161
162,0.7086973,0.5152452,3.9962301,0.70514107,162
163,0.4116127,0.81395113,4.1453695,1.1950963,163
164,0.35189104,0.28324473,3.576411,1.063606,164
165,0.8228417,0.7411975,2.9562917,0.85972464,165
166,0.59817284,0.034401122,3.842483,2.300237,166
167,0.41052747,0.5456195,2.7592297,0.33728036,167
168,0.72849613,0.3704978,3.8646119,1.2383592,168
169,0.53985554,0.08526434,3.4864483,2.8253815,169
170,0.10002545,0.071715906,2.0257068,0.99537116,170
171,0.84501094,0.81654096,2.456576,1.4011791,171
172,0.6450729,0.36873877,1.4167857,0.75081503,172
173,0.649017,0.702416,1.8063,0.7138369,173
174,0.66463006,0.57909155,3.1211164,1.4503496,174
175,0.62351656,0.37527734,3.0989242,0.43183625,175
176,0.5101103,0.74205685,2.5331714,0.48904145,176
177,0.59122205,0.56359464,3.5049143,0.37709597,177
178,0.64293194,0.52389526,4.237941,1.1910642,178
179,0.58034444,0.75913405,2.5056689,0.50336355,179
180,0.78285176,0.80055594,3.9686744,1.5982327,180
181,0.79724723,0.57540685,2.8521311,2.9296196,181
182,0.51945436,0.33305836,2.4153998,0.8857807,182
183,0.62661326,0.5527047,2.8802707,1.6188214,183
184,0.19008768,0.12352028,4.1225123,2.38138,184
185,0.4639724,0.0895962,5.2782073,0.80539954,185
186,0.69724977,0.4372001,2.0659938,0.9075844,186
187,0.3917106,0.06147859,3.368741,2.838395,187
188,0.654522,0.68651223,3.2457967,0.96188,0
189,0.42409107,0.30386695,2.212909,1.2970697,1
190,0.5676739,0.36306852,1.4059892,1.2443928,2
191,0.33162284,0.21804868,3.8065057,1.2554874,3
192,0.78575104,0.07100733,3.9881666,0.68069637,4
193,0.70465606,0.9577024,3.4967203,0.63507736,5
194,0.7935646,0.18374296,4.0420675,4.0218325,6
195,0.8095646,0.47123206,2.3298323,0.43537104,7
196,0.80334514,0.8116066,4.121548,2.5966952,8
197,0.34393948,0.34746817,2.8626103,1.059761,9
198,0.4913597,0.6120298,3.143973,0.29493755,10
199,0.5073554,0.7904101,1.3611542,0.4467787,11
200,0.5083514,0.4279024,3.2912757,1.2197626,12
201,0.63308036,0.87378037,1.5255027,1.0429368,13
202,0.68484116,0.49016115,4.815798,0.9907533,14
203,0.31546402,0.21542788,3.4933658,1.6654165,15
204,0.22382142,0.49594322,1.8308389,0.86551476,16
205,0.8184864,0.6373884,2.9439025,1.1824716,17
206,0.41763565,0.2608504,2.584166,1.5811982,18
207,0.3451747,0.21950471,2.400607,2.1755197,19
208,0.4656507,0.08821896,3.6674945,2.5705898,20
209,0.55570763,0.94243103,4.5041122,0.29358467,21
210,0.46568596,0.545037,5.184106,1.16205,22
211,0.74558073,0.7820945,3.322523,1.769465,23
212,0.49896023,0.05940733,0.75088173,0.9052737,24
213,0.4129165,0.6860352,4.207554,0.48692518,25
214,0.2694321,0.40849307,4.861191,2.0937629,26
215,0.58069134,0.23946422,0.7099881,2.085717,27
216,0.64070684,0.572197,1.7709692,0.8963372,28
217,0.6867485,0.065895855,4.534429,2.3014965,29
218,0.39063323,0.23232819,0.7922182,1.7902191,30
219,0.6499148,0.066592336,4.0365334,1.5244056,31
220,0.834118,0.43917578,1.4800751,0.69941884,32
221,0.66286844,0.3302514,1.3745522,1.4615787,33
222,0.55810887,0.26005518,1.876771,0.61598694,34
223,0.58147365,0.47230366,0.35411465,2.08272,35
224,0.70780754,0.083601385,2.5920649,0.43433422,36
225,0.5287534,0.63593477,5.6867433,1.513798,37
226,0.5134506,0.44745427,3.4278774,0.85681105,38
227,0.7424697,0.5551216,2.3039815,0.43026292,39
228,0.6904828,0.44758788,0.78372073,0.8672093,40
229,0.6971565,0.34688267,1.079438,0.90938115,41
230,0.8657697,0.780461,2.5663743,1.0024605,42
231,0.48038083,0.6042306,2.2944062,0.40363517,43
232,0.4916648,0.49380535,1.7782627,0.5556127,44
233,0.6501646,0.07444439,4.5108247,0.86408955,45
234,0.42267552,0.2793691,2.0656924,3.113608,46
235,0.4112708,0.49166146,4.6144843,0.12537006,47
236,0.62687165,0.82615405,1.1486876,0.80590653,48
237,0.6242089,0.65524566,1.0965674,1.8368042,49
238,0.58012086,0.5866793,3.5570188,1.8590813,50
239,0.33217227,0.14587788,2.3450801,3.5404751,51
240,0.6751505,0.47980356,1.2020929,0.46725476,52
241,0.46633753,0.20205882,1.0223656,1.0730779,53
242,0.8005773,0.8990115,3.7271085,1.6764064,54
243,0.398743,0.4298267,4.538485,0.5637046,55
244,0.65012926,0.81663233,2.320714,0.6264051,56
245,0.71732837,0.6288006,1.4775287,0.6537836,57
246,0.4239567,0.75977904,5.282259,2.3362083,58
247,0.2800581,0.3039137,1.4957212,0.5339586,59
248,0.40799564,0.074346505,4.7320733,3.027958,60
249,0.60983974,0.5350012,3.4511476,1.8005025,61
250,0.4442139,0.46503127,4.2321835,0.6211053,62
251,0.6988331,0.48986277,4.3441396,1.4249128,63
252,0.5087864,0.23313954,0.80697244,1.1501166,64
253,0.62936014,0.07861817,4.0259104,1.7575593,65
254,0.7483305,0.6083063,2.9593928,2.3317263,66
255,0.4541773,0.2631854,1.8724742,0.9884039,67
256,0.24557203,0.5006736,2.23163,0.8460418,68
257,0.43424556,0.13159406,4.36846,1.1806409,69
258,0.85957927,0.73884416,3.4577858,0.83676565,70
259,0.6053187,0.35948074,2.1379442,1.8700674,71
260,0.7442586,0.7713299,4.861534,1.804552,72
261,0.3379525,0.15297131,0.79839474,1.0985065,73
262,0.6431124,0.40593266,0.4642422,0.67007744,74
263,0.4627405,0.3968465,2.8159556,0.9514749,75
264,0.3742839,0.32028863,4.816136,3.0475223,76
265,0.70201194,0.39833874,1.224263,0.9440719,77
266,0.6929505,0.41205585,1.8287913,0.8142978,78
267,0.56003207,0.38387913,1.8575039,1.1423604,79
268,0.6259336,0.3166356,3.698926,2.8632054,80
269,0.5573258,0.060806304,5.4088535,0.7313462,81
270,0.63798225,0.92153895,3.807292,0.8159379,82
271,0.84347105,0.5065064,3.2583652,0.72487324,83
272,0.875682,0.40560314,1.2955825,0.73772603,84
273,0.30888566,0.16244906,1.2922179,1.4022639,85
274,0.675589,0.6790001,3.4965172,1.1280315,86
275,0.4310114,0.3486162,4.4945445,1.9719737,87
276,0.69560003,0.4913257,1.6858704,1.201467,88
277,0.6873535,0.46923184,3.296884,1.237742,89
278,0.65568715,0.37719816,2.291769,1.23066,90
279,0.6109484,0.44381672,3.6966972,1.3132706,91
280,0.7997111,0.6391073,1.2955166,0.6019849,92
281,0.892128,0.062646195,3.6246815,0.92303264,93
282,0.84723985,0.9016556,2.8665125,0.8242416,94
283,0.47186318,0.75873834,4.6764965,0.43586802,95
284,0.41583428,0.7247424,0.5714177,1.851088,96
285,0.28028852,0.3105158,1.6030884,0.92502606,97
286,0.72868735,0.6254736,3.185598,1.9529374,98
287,0.65973,0.303363,3.9683032,2.5917444,99
288,0.3220216,0.25115293,2.7569327,1.2657694,100
289,0.49483877,0.5788299,1.5339446,0.49460012,101
290,0.5489396,0.5792101,5.177655,2.2197635,102
291,0.5588272,0.49281597,1.0534278,0.7536819,103
292,0.64770436,0.41047034,2.0790648,0.4554658,104
293,0.754545,0.606773,4.6479197,4.8438168,105
294,0.59393036,0.6525987,1.500961,1.1908967,106
295,0.40051392,0.09803019,0.40794957,1.1777352,107
296,0.4464112,0.679653,1.7858455,2.2160482,108
297,0.3344288,0.08869312,0.69949883,1.0959475,109
298,0.7278842,0.20382836,2.5478475,3.3676844,110
299,0.77034366,0.5006197,1.3698348,1.1367587,111
300,0.7423739,0.44413963,1.7846076,3.9515119,112
301,0.71351546,0.6548212,4.658473,1.0510314,113
302,0.119675376,0.14076078,3.8419104,1.7981853,114
303,0.68483734,0.09344689,5.520362,2.7009623,115
304,0.118627034,0.49588484,2.8024063,0.4647376,116
305,0.7767398,0.22910139,0.47012168,1.754163,117
306,0.63241965,0.30255777,1.5097586,0.9516194,118
307,0.72967124,0.86161566,2.403204,0.57516026,119
308,0.6377401,0.8903981,5.1760087,1.3614193,120
309,0.7372666,0.44454733,1.4214766,1.4151368,121
310,0.6086504,0.26156196,1.8870893,3.6913626,122
311,0.6920834,0.39932013,2.0919704,2.0669158,123
312,0.6163418,0.5953296,1.8796899,1.307449,124
313,0.2578813,0.29890302,3.2927313,0.7941134,125
314,0.41790077,0.5725152,4.8805017,0.4851203,126
315,0.64477146,0.6205146,3.1479383,1.312202,127
316,0.25543147,0.19053435,2.815493,0.76150024,128
317,0.7195741,0.58134794,1.321977,1.0180032,129
318,0.30667332,0.518422,4.485157,0.9506092,130
319,0.736016,0.3699589,0.5566128,1.0053239,131
320,0.4598714,0.84154654,2.559483,1.15747,132
321,0.85076004,0.77796966,2.8200686,1.1697352,133
322,0.6078592,0.45966145,2.717644,0.59979105,134
323,0.6437642,0.65020823,2.473607,0.45985746,135
324,0.6856155,0.14430732,3.3913422,1.9250288,136
325,0.42551267,0.51766455,1.9184129,0.75299144,137
326,0.5814493,0.5858178,1.4758934,1.6356018,138
327,0.64044917,0.8094692,1.9485974,0.96232045,139
328,0.5976969,0.6119555,4.5650673,2.4464922,140
329,0.67300105,0.47958645,4.2451315,1.0588032,141
330,0.270139,0.28314054,1.8693949,0.79485345,142
331,0.68589866,0.3012564,3.6366856,3.3005223,143
332,0.751412,0.631351,2.550534,2.1645973,144
333,0.6218857,0.6442988,0.6533513,1.3793236,145
334,0.46239096,0.2178931,2.4464753,2.5909119,146
335,0.37750956,0.35012197,3.4284804,2.5151503,147
336,0.5966393,0.08850174,4.7061353,0.54610324,148
337,0.5812711,0.60338473,1.0973222,0.81346405,149
338,0.7201052,0.3473695,2.145084,1.3161079,150
339,0.78547955,0.6248693,4.817503,1.6102414,151
340,0.7114654,0.3725517,3.042836,1.9744202,152
341,0.16758694,0.19418256,2.2518966,1.0795734,153
342,0.64065284,0.6788843,3.7611327,1.1699152,154
343,0.5508047,0.08753108,2.4651122,0.72730744,155
344,0.7148629,0.8203998,4.549022,2.408361,156
345,0.73686975,0.66794026,1.1653818,0.5180067,157
346,0.59135854,0.7931416,2.6856253,1.0048242,158
347,0.6422638,0.15685438,0.96082574,0.54859066,159
348,0.5207347,0.09540607,2.9714832,1.7708204,160
349,0.10118887,0.1333506,2.10292,1.172442,161
350,0.68510705,0.55504763,4.6198053,0.48542288,162
351,0.4560415,0.49407274,2.5915945,0.5174947,163
352,0.4002633,0.30711344,2.806666,3.5226188,164
353,0.8200681,0.7442042,3.6512566,0.4260044,165
354,0.88164186,0.10582628,2.9710503,2.0508347,166
355,0.37688857,0.5232374,1.9103918,0.39558673,167
356,0.19346409,0.22713648,3.7368915,0.870234,168
357,0.7630588,0.074640915,5.1002636,3.519021,169
358,0.17359138,0.084075496,1.0900308,2.1541238,170
359,0.68424606,0.87672967,3.2564385,1.2892501,171
360,0.5834131,0.61066514,2.8657584,0.34583262,172
361,0.4133932,0.6649622,2.725809,0.7810484,173
362,0.72226864,0.34650686,1.3112485,0.94228125,174
363,0.4625425,0.25309992,2.1961765,1.178503,175
364,0.70455486,0.9509953,4.395866,2.5367444,176
365,0.7746946,0.6955279,4.003984,1.0923239,177
366,0.4838827,0.5270704,4.61534,1.1357038,178
367,0.4709431,0.5503971,1.4583647,0.90163875,179
368,0.83784753,0.7958025,3.4210746,3.1372926,180
369,0.6670463,0.6391073,5.154721,1.4548155,181
370,0.37066707,0.3739364,3.2034268,1.0964504,182
371,0.4011104,0.6656992,5.1414795,1.3534347,183
372,0.43996203,0.07467114,4.222596,1.1598139,184
373,0.6479347,0.062643915,3.1078227,1.9874121,185
374,0.75702864,0.32462376,0.96939635,1.4102309,186
375,0.59800863,0.0834968,5.1606107,1.0247122,187
376,0.80211425,0.6145276,2.3800373,0.9182347,0
377,0.34635967,0.18910351,1.1143477,0.55645627,1
378,0.48685083,0.20251279,0.43975383,1.5707133,2
379,0.38052484,0.21805307,2.7540636,1.8272703,3
380,0.73812675,0.05450484,4.0754952,3.948286,4
381,0.7286138,0.649143,1.6243633,0.7457239,5
382,0.34737468,0.15599523,3.6474423,0.88245094,6
383,0.7334228,0.40372133,1.5544177,1.5795304,7
384,0.7814774,0.83080685,4.464603,2.1499057,8
385,0.36541486,0.19570097,0.75940895,1.9037501,9
386,0.7623612,0.5996498,1.8467292,0.47454834,10
387,0.4614414,0.7862995,0.85389745,1.0576932,11
388,0.50687504,0.44874382,4.508111,1.4649183,12
389,0.79960227,0.8055033,1.5858514,0.47811404,13
390,0.6422879,0.37861606,3.2491887,2.6436143,14
391,0.31619987,0.27949458,5.2689877,2.1407075,15
392,0.5339047,0.74842256,1.2981412,2.3452156,16
393,0.754282,0.6038178,3.8009856,0.7705047,17
394,0.26777288,0.29681578,3.8125763,0.83221924,18
395,0.21947011,0.21207646,3.8730476,1.432738,19
396,0.6532517,0.10815731,4.3863106,2.19726,20
397,0.7943169,0.7775069,1.4042544,1.3116198,21
398,0.63887817,0.6575171,5.478342,0.9539883,22
399,0.70844835,0.5122161,2.2546196,0.6736391,23
400,0.30814645,0.07966709,2.459857,0.7906184,24
401,0.5935777,0.72354424,4.014316,0.50652933,25
402,0.2110968,0.36509553,5.0618863,0.47430742,26
403,0.5474574,0.16813155,0.4973051,2.4451537,27
404,0.47681662,0.6632302,3.2065325,0.6639668,28
405,0.32068592,0.07377028,2.606786,1.6837413,29
406,0.41061217,0.29180577,1.5512105,1.666045,30
407,0.74623406,0.03037418,2.5243506,1.2797024,31
408,0.7179477,0.66236144,3.200212,3.3171468,32
409,0.60162306,0.63781035,4.346539,2.0452669,33
410,0.28112856,0.30611908,4.8321466,0.60196936,34
411,0.37364194,0.49381784,1.7128141,0.84377956,35
412,0.2991451,0.09763841,3.0178692,0.70169157,36
413,0.67053753,0.62478024,5.092293,1.2015761,37
414,0.48439962,0.38637623,2.7114906,1.1197695,38
