,locs0,locs1,locs2,locs3,subject
0,-0.9927505,-0.5890248,-3.1976218,-0.9329073,0
1,1.8967655,-1.6979623,-2.3217294,-2.5355196,1
2,-4.469201,2.0671031,-1.1616297,-3.7542362,2
3,1.8489124,-2.3409286,-2.2296314,-4.070888,3
4,0.5058292,-1.6696186,-2.4876142,1.4080938,4
5,-0.09208736,-2.6902647,-1.8819522,3.033197,5
6,1.6230096,-1.8435447,-3.1032646,-0.17878306,6
7,0.5704585,-0.61701256,-1.7138714,-3.571661,7
8,0.091830134,-0.96916634,-1.510815,0.70292914,8
9,5.1841936,-1.710403,-1.9898092,-4.5809464,9
10,-2.8378267,-2.2480628,-1.8940476,1.1318599,10
11,-0.42052805,-1.593172,-1.9556085,1.7065693,11
12,0.9431811,-1.0332675,-1.573537,-0.8899937,12
13,-5.1931033,-2.247906,-2.257579,-2.623856,13
14,-0.908968,-0.7416453,-1.342437,-2.1239324,14
15,-2.258976,-1.154117,-1.4941032,-4.8773174,15
16,-2.3657486,-0.87001395,-1.669655,-1.0183,16
17,1.3674577,-2.0465536,-2.2754796,1.7341938,17
18,2.2930617,-1.3349602,-2.271832,-0.88042194,18
19,-0.41095304,0.07633178,-2.3860106,0.25197804,19
20,-0.82545394,-3.4570563,-2.6581326,1.6731429,20
21,0.76382226,-0.03493008,-2.0102587,2.2508526,21
22,-3.9101152,0.9054519,-2.9715323,0.9905367,22
23,2.151382,-1.640955,-1.9119776,1.4562246,23
24,-0.95865685,-2.8025699,-1.8725365,4.0241346,24
25,2.3409398,-1.4159554,-3.0261998,-2.482415,25
26,0.40496615,-0.110105164,-2.0679462,-1.0013914,26
27,0.04318005,-2.6382644,-1.576812,-0.85664415,27
28,0.6616511,-0.86029917,-1.4974172,-2.1749988,28
29,1.4287434,-1.4078784,-1.7392974,3.3686643,29
30,2.9374487,-1.3604922,-2.4011495,2.8463228,30
31,1.2488658,-1.0455446,0.28165722,-5.187485,31
32,-1.5403992,0.1791409,0.3483733,-4.9007306,32
33,-10.046892,2.3907628,-1.9236791,-2.2603087,33
34,-1.6238505,-2.5238523,-1.3398126,1.302991,34
35,-1.172085,-1.9467752,-2.0180638,-1.034015,35
36,-3.9624321,2.205882,-1.6522725,-6.1971884,36
37,0.3961113,-0.54759216,-1.9495192,-1.8009791,37
38,3.2880633,-1.7234304,-2.3110223,1.6085958,38
39,-0.03633809,-2.6257899,-2.3639088,-0.32954228,39
40,-2.127581,-0.5459384,-0.6324339,-4.301394,40
41,1.0311569,-2.136185,-2.469759,-0.28433514,41
42,0.86631846,-1.7638936,-2.0529454,1.9917868,42
43,0.9641465,-1.2240194,-1.7305216,1.3187048,43
44,-3.5036993,-0.44283986,-2.6679416,-3.452376,44
45,3.8501253,-0.9617336,-2.1705208,-7.6358128,45
46,-1.1745983,0.36339045,-1.2211555,-2.912755,46
47,-1.8065662,-0.9876047,-0.39386237,-0.19069776,47
48,-4.90474,1.0552084,-0.08342138,-6.673696,48
49,0.669842,-1.5593014,-2.7777636,-0.66939425,49
50,-5.490614,2.6125252,-1.6437762,3.3492103,50
51,-7.188264,3.9874868,-2.7893786,-1.5285909,51
52,0.56970066,-2.251596,-1.4473317,-0.45659733,52
53,0.9339282,-1.5708507,-2.39227,1.3119764,53
54,-0.08028406,-0.68239856,-0.15670982,-5.629323,54
55,1.1602935,-1.4188643,-1.9868772,-0.67198133,55
56,1.8416281,-1.471472,-1.1709234,-0.33385593,56
57,2.0183108,-0.5012468,-2.9335613,-3.093319,57
58,-1.7778226,-1.2992703,-1.5584271,-2.6749098,58
59,1.1142516,-2.514951,-2.7376015,-0.49174145,59
60,-6.233877,0.114699006,-2.5288992,2.607649,60
61,1.4380723,-2.1377952,-1.9595604,0.24650234,61
62,2.611154,-1.6934363,-2.8826342,-2.1040025,62
63,0.18086877,-0.9957866,-1.4886304,-1.1679356,63
64,0.3838031,-0.95265114,-2.1431916,1.6430314,64
65,-1.0332022,-0.5862988,-0.9115675,-2.1726065,65
66,-0.306229,-0.6697146,-1.4098363,-2.1527202,66
67,-1.3192391,-0.6014793,-0.3428019,0.7198049,67
68,1.2794359,-2.4421237,-2.3091278,0.62273884,68
69,0.43418333,-0.57459027,-1.9012333,0.6400033,69
70,-1.080148,-2.272491,-2.0879288,0.29992947,70
71,-5.9982133,2.5363672,-1.8091192,-0.4585781,71
72,2.4858794,-1.6798996,-2.5939202,0.1426146,72
73,-4.693355,1.8515015,-2.4639459,0.78041184,73
74,4.1053524,-3.6184149,4.118974,-8.492641,74
75,3.9890604,-1.7290967,-2.6711047,-1.0647159,75
76,-2.6345894,2.421419,-1.920314,-2.746601,76
77,-5.2319045,0.09622435,-0.7429168,-4.9681044,77
78,2.8906167,-1.8813555,-2.265821,1.7630956,78
79,-0.8948092,-1.5056828,-1.5284313,-0.11499956,79
80,0.100569725,-1.6117871,-1.9494301,-0.38783193,80
81,-3.663448,0.20136769,-0.9921881,-4.2180676,81
82,-0.40385157,-0.17496662,-2.5139186,-7.641454,82
