,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
0,0.93439364,0,0.3834253,2.389811,0.410632,0.66219217,0.31007862
1,1.8462754,1,0.9177401,1.1701722,0.76969117,0.847352,0.3403231
2,1.453105,2,0.6159527,2.7409751,0.40144897,0.6274087,0.36858383
3,1.1557869,3,0.81906044,1.8912507,0.388151,0.69053787,0.22220139
4,8.2281275,4,0.027834218,2.9699419,0.03959294,0.7049121,0.32682633
5,2.9439003,5,0.20071006,2.0830283,0.4172239,0.716137,0.17567882
6,0.7693097,6,0.7605992,2.6109083,0.34563386,0.97423476,0.14491904
7,0.8212631,7,0.83990806,1.4948055,0.6428817,0.6396666,0.16898087
8,1.2928501,8,0.28842804,2.2786212,0.45159224,0.8124131,0.72425723
9,2.492035,9,0.5011126,5.1637793,0.21003479,0.9991399,0.38324645
10,5.564974,10,0.43296754,2.2982113,0.0107449405,0.5515713,0.34641972
11,1.3270853,11,0.87101966,2.5857716,0.28448266,0.59091103,0.2843617
12,0.7831062,12,0.43913886,2.0051212,0.068405695,0.7111286,0.6914108
13,3.0733957,13,0.5684932,2.6117244,0.33090508,0.64954996,0.24579038
14,0.6119937,14,0.47019666,1.5079386,0.31391987,1.7889289,0.6553163
15,0.59631574,15,0.5864992,2.6313145,0.3916729,0.68844604,0.5972257
16,0.67180204,16,0.46661046,2.1985767,0.65424,0.7807062,0.4976148
17,2.1988077,17,0.76483995,2.4763172,0.5768188,0.7078049,0.1996739
18,0.8809564,18,0.24229202,2.899404,0.50378424,0.733145,0.23798577
19,4.2723274,19,0.057676278,2.2168705,0.5243175,0.680599,0.35727406
20,0.6644265,20,0.6627943,2.36382,0.2364263,0.77525973,0.59633106
21,2.7443178,21,0.72038543,2.4647312,0.24594632,0.6011505,0.3119925
22,0.73069173,22,0.36980835,3.101952,0.68633276,0.6981807,0.2316296
23,1.2037752,23,0.31146187,2.9887166,0.47705603,0.5601406,0.48275235
24,4.225739,24,0.15468128,2.0181267,0.29352292,0.8147866,0.29488134
25,2.73782,25,0.7563037,1.7597365,0.043222737,0.8434307,0.5255396
26,0.88197094,26,0.1309271,1.9861006,0.045869578,0.62630063,0.36846277
27,4.8851404,27,0.047358245,1.8395652,0.09880171,0.7752808,0.45710322
28,3.3405664,28,0.50132084,4.4190264,0.25788897,1.265888,0.41938147
29,5.9199452,29,0.5483655,1.9109334,0.030433474,0.66176575,0.25380957
30,3.5603037,30,0.6102592,1.6659917,0.091584615,0.5930718,0.45554549
31,1.2469993,31,0.74570376,2.2684097,0.5697312,0.9338822,0.70220363
32,8.10191,32,0.016776612,1.3665862,0.030924326,0.7678493,0.40271097
33,5.7173977,33,0.8669856,1.9101692,0.09189398,0.6556464,0.20560138
34,0.7559749,34,0.35194603,2.5838323,0.4824294,0.7568162,0.74127954
35,1.0028917,35,0.3878652,1.6984947,0.57934356,0.64597595,0.662139
36,1.0617266,36,0.5950419,1.2760639,0.66564906,0.72744596,0.57882017
37,0.50276613,37,0.7901453,1.5708138,0.04065911,0.78013456,0.64037037
38,1.7607757,38,0.07800829,1.9907858,0.21135339,1.2947758,0.2248983
39,2.3394673,39,0.51805264,2.4622338,0.5647984,0.96683544,0.3250468
40,1.4375337,40,0.762354,1.9812541,0.63455707,0.63057095,0.1900601
41,2.1697779,41,0.46161798,3.5430176,0.15330994,0.77735096,0.41916597
42,2.3798645,42,0.3885989,2.313346,0.15008903,0.6413516,0.23193702
43,0.7513281,43,0.28790912,2.4225786,0.30768576,0.5974228,0.37438616
44,2.047201,44,0.8825278,1.8654369,0.20980957,0.7034774,0.6285568
45,3.8152242,45,0.5801682,1.4320284,0.043208655,0.574132,0.5944614
46,0.9191728,46,0.19284259,2.331809,0.18087305,0.941505,0.33048332
47,2.795918,47,0.49245977,5.5449176,0.2402862,1.2212486,0.46965823
48,6.4563174,48,0.36536402,1.8492397,0.056036953,0.90670776,0.21684036
49,1.3470058,49,0.49559534,2.4140444,0.28671494,0.63987386,0.4769918
50,0.928928,50,0.78322107,2.0241115,0.23009925,0.8185554,0.4224013
51,3.732214,51,0.51901215,2.8128736,0.17917065,0.66648257,0.69750047
52,0.7254254,52,0.5400639,2.278816,0.30633956,0.7878052,0.5231487
53,3.8913896,53,0.42349932,2.9644926,0.110407576,0.9178224,0.3948805
54,1.3993442,54,0.8506585,1.7253015,0.5427074,0.6917057,0.73879945
55,1.046208,55,0.5484476,2.0313444,0.1438401,0.5956306,0.39485973
