,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.05393603,0.8607411,0.70540196,2.103811,0.69746107,0.40422907,0
1,0.028875438,0.00040647935,5.3231583,2.1368074,1.6607089,0.7517637,1
2,0.128766,0.9206707,0.9490675,3.21077,2.2471569,0.22395344,2
3,0.09051652,0.3729902,0.32344908,2.4755483,1.20225,0.1455785,3
4,0.2799138,0.00089479086,0.96243614,2.4609652,0.8867276,0.34955922,4
5,0.52131337,0.036098424,1.9784368,2.7721186,1.1236745,0.56143516,5
6,0.2885183,0.7271859,0.9096019,3.0350676,1.7159457,0.53549117,6
7,0.51345575,0.037695874,2.5669336,2.0459692,1.2128959,0.22355919,7
8,0.13069628,0.035927236,3.3479705,2.0282197,0.8000295,0.5813157,8
9,0.06312252,0.999432,0.124960706,1.172766,0.6344441,0.5124065,9
10,0.104951195,0.0004288263,2.1266518,2.1606688,1.3611509,0.13281424,10
11,0.43021584,0.0046798075,1.3285944,1.9187266,1.2443182,0.3752855,11
12,0.21308763,0.6397098,0.6178042,2.1778617,1.1611106,0.3812778,12
13,0.38598353,0.2850057,0.53097475,3.1964324,0.95020187,0.2602602,13
14,0.13730216,0.009118418,2.0711389,2.3351533,0.734461,0.1462947,14
15,0.4590295,0.27499288,1.637845,2.3507946,1.1209509,0.77241737,15
16,0.13604584,0.046500243,1.4918293,2.4192533,0.8452662,0.23339888,16
17,0.14145945,0.8543218,1.3049204,2.375651,0.5385446,0.078335814,17
18,0.34381807,0.90966654,1.0949619,2.4056978,0.6945303,0.7916955,18
19,0.19096439,0.11671669,1.5115463,2.0654387,0.47405523,0.8180321,19
20,0.6939164,0.34534943,1.0312228,3.2584667,1.3844421,0.9140746,20
21,0.5403266,0.06350792,0.6797991,2.7471411,0.8774791,0.2078046,21
22,0.30160803,3.7497334e-06,2.3357344,3.3385932,0.71355015,0.28688076,22
23,0.17640749,0.994054,3.3017159,5.4658766,2.677255,0.54191613,23
24,0.22930054,0.097493164,0.59210277,2.3578947,1.4140503,0.3763159,24
25,0.42103133,0.52328277,1.3178979,2.771987,0.5837382,0.19369927,25
26,0.0734167,0.30792043,0.6254768,2.137957,1.6144469,0.31087688,26
27,0.21482122,0.8119029,0.36600453,2.2236505,0.6145019,0.68872434,27
28,0.31491867,0.6006591,0.5256416,2.2077692,0.8644363,0.5020526,28
29,0.40673736,0.93685406,0.938419,1.2253208,1.1737278,0.7557785,29
30,0.04942276,0.6490013,1.2902508,1.6557536,0.6571369,0.5688447,30
31,0.74493587,0.5741222,1.4983127,2.733281,1.4882138,0.6372664,31
32,0.30493498,0.009555608,3.1582568,2.2867746,0.44126245,0.8186348,32
33,0.19577987,0.0040277676,1.6394737,3.7835777,1.7296653,0.5669071,33
34,0.4826221,0.047905814,0.6399092,3.7262497,1.195679,0.34085527,34
35,0.2879171,0.06294528,0.7515433,2.906911,1.3026464,0.20440002,35
36,0.27238747,0.0021418566,2.562766,2.315906,0.76044285,0.40621603,36
37,0.25247827,0.89255065,0.81739455,2.4175367,0.5708882,0.44034225,37
38,0.21296163,0.6245672,0.35999146,1.8181849,0.7810369,0.83919555,38
39,0.108107485,0.007814894,1.2348844,1.8934076,0.9430361,0.4182295,39
40,0.13444136,0.5216268,1.1239626,1.5467252,1.446065,0.33855027,40
41,0.5501532,0.0054385997,4.135703,2.4239886,0.8650012,0.93130636,41
42,0.52530885,0.8605934,0.80091923,3.0271544,1.4817383,0.2962437,42
43,0.21797746,0.055582218,1.8832624,2.1790452,1.0913101,0.115238704,43
44,0.09592086,0.6653512,3.270528,3.6910596,1.0628705,0.32627597,44
45,0.5754672,0.09529782,1.2165725,2.5568156,0.90450555,0.91308683,45
46,0.02046172,0.7377349,0.447574,1.3030912,0.6098873,0.48966637,46
47,0.031229844,0.61885256,0.48031256,2.0773146,1.5971265,0.051508613,47
48,0.15667202,0.6064304,0.8680722,3.0045195,1.8330175,0.52584493,48
49,0.04105572,0.9729461,0.63503635,1.6311681,0.76958716,0.620516,49
50,0.07563093,0.54265225,0.4686588,1.2529666,0.29409397,0.8929228,50
51,0.3378183,0.010520834,3.9665227,1.827179,0.9540447,0.7393856,51
52,0.13893901,0.05056747,0.5795091,1.7515455,1.1564319,0.35063374,52
53,0.14388122,2.0931893e-05,9.254862,3.4355388,1.2532306,0.71195304,53
54,0.42015457,0.08849899,2.559175,1.7772789,0.6000998,0.49144688,54
55,0.25190243,0.24948198,0.81561005,3.8973746,2.2434945,0.4294793,55
56,0.2845834,0.9956286,0.52928084,2.820234,0.5163293,0.21728608,56
57,0.18763019,0.7831793,0.73158205,2.6599739,0.9563792,0.4214631,57
58,0.17911349,0.021923522,1.6621494,2.4879198,1.0767075,0.85244924,58
59,0.24889311,0.9616099,0.75583863,4.3872075,2.5693498,0.10172147,59
60,0.77035433,0.33709204,1.0492432,2.7084255,1.6632365,0.87417656,60
61,0.3669547,0.22661516,1.6989775,2.4856725,1.6240928,0.16955996,61
62,0.3648375,0.04368643,0.86427104,1.850418,0.72807676,0.7130826,62
63,0.37756795,0.9736553,0.66357934,2.471545,0.5728166,0.4750519,63
64,0.4549656,0.51838285,0.62771,2.0504107,0.38598958,0.09058125,64
65,0.39842474,0.99971753,0.42830524,2.8380072,0.96510994,0.4569947,65
66,0.1950658,0.96181464,0.47622904,2.447146,0.5794583,0.20337692,66
67,0.19976787,0.6831393,0.39129195,2.3024282,0.53601956,0.22064087,67
68,0.43283513,0.9241199,1.2133863,2.2583137,1.1831958,0.6908479,68
69,0.04244533,0.6569861,0.63957906,1.720429,0.8444638,0.7382368,69
70,0.03321707,8.411387e-09,9.565469,2.6243978,1.0531511,0.41826677,70
71,0.061264366,0.18368348,1.0401096,1.6892205,1.5712938,0.37004557,71
72,0.25129995,0.69061494,0.3557293,1.9300121,0.90522236,0.93081105,72
73,0.1458306,0.1355101,0.9327716,2.466045,1.0261517,0.24832115,73
74,0.17199211,0.072031535,1.1135218,1.7218249,0.7393526,0.8682496,74
75,0.089768864,0.96255136,1.6924796,2.3651028,0.7765602,0.070010155,75
76,0.18462403,0.099854775,0.9410454,3.0847857,2.0140607,0.54885024,76
77,0.15340656,0.49204665,0.9598373,2.4608352,1.2103196,0.2843099,77
78,0.25439972,0.9970902,0.97466195,2.4168358,1.1842685,0.10864952,78
79,0.1812146,0.14747848,1.1739748,2.433693,1.1320873,0.3844936,79
80,0.10336659,0.9935725,1.7782435,1.3544691,1.1447071,0.072181486,80
81,0.42285186,6.405995e-05,0.8453792,2.5848403,0.36654514,0.13370635,81
82,0.62145895,0.19771028,1.2092292,2.0331142,0.80093455,0.57466227,82
83,0.43927813,0.07081209,1.5121295,1.9175229,1.0425589,0.26039788,83
84,0.81993395,0.85362494,1.1771042,2.4525218,0.836753,0.48284566,84
85,0.2842042,0.53752935,1.3385934,3.2510743,1.1985893,0.22590259,85
86,0.4206853,0.79987115,0.75929993,2.494437,2.3218026,0.18644519,86
87,0.29766864,0.63409656,0.62040037,2.0112333,0.706215,0.9382076,87
88,0.31825957,0.11212736,1.9840727,5.550921,2.3956761,0.83601135,88
89,0.097561784,0.021648878,0.7846285,2.844876,2.726871,0.083571054,89
90,0.041536737,0.055927925,1.0375315,1.8767774,1.1209444,0.4531403,90
91,0.12432474,0.99927694,0.8826006,2.5365252,0.96098095,0.019554395,91
92,0.6774322,0.50665915,0.9338337,1.7813956,2.112807,0.7333739,92
93,0.26846793,0.9135107,1.3959785,2.157123,1.144095,0.17442197,93
94,0.13010423,0.043746658,0.58957046,2.1117883,1.0314593,0.36123,94
95,0.5252568,0.9379132,0.6015983,2.7889264,1.309961,0.5805481,95
96,0.37825152,0.030194508,5.1547775,2.3187242,1.2333428,0.83065397,96
97,0.15310398,0.8921262,1.6616845,2.0426676,0.9703953,0.15409175,97
98,0.15385103,0.4625973,0.3182934,2.3442998,1.2821401,0.8554307,98
99,0.43240732,0.2755229,0.23149712,2.6749115,0.7083679,0.42217064,99
100,0.094480865,0.005333571,1.0086621,1.9563963,0.62423235,0.33586583,100
101,0.48646498,0.042077687,1.5932428,1.4887725,0.34603432,0.36594594,101
102,0.43864003,0.659237,0.8849195,1.3314463,0.7847363,0.7258602,102
103,0.058692552,0.95847964,0.37716183,1.6372098,0.90828663,0.8880138,103
104,0.19394036,0.00019970324,2.896428,2.8438358,0.87628096,0.8057102,104
105,0.112059735,0.9329056,0.6540081,2.3423681,0.6432841,0.24959223,105
106,0.35140774,0.77804375,1.1708087,2.5909874,1.225154,0.6977036,106
107,0.07282403,0.45966285,0.43158576,1.85643,0.5275839,0.815442,107
108,0.57845646,0.9908807,0.5290094,3.3416576,1.1886675,0.46403164,108
109,0.23252515,0.024682624,1.2716987,3.0137894,1.0783689,0.2397159,109
110,0.65984964,0.14634767,2.3335867,1.1448853,0.62534684,0.21007729,110
111,0.3245593,0.15745373,1.4255797,1.5565233,0.48631516,0.33049983,111
112,0.4382509,0.9860438,1.1639564,2.5689611,0.80713457,0.8561471,112
113,0.1322963,0.00094109937,4.2697334,3.5897133,1.4550542,0.17929605,113
114,0.46364072,0.012885552,1.9960712,1.5913529,0.7032443,0.123577215,114
115,0.182402,0.029575502,1.7476636,2.4480753,1.507849,0.21154605,115
116,0.13599889,0.31078598,0.500748,2.0145903,0.8220471,0.5804211,116
117,0.5146734,0.06936428,0.59914637,2.698257,0.95730686,0.95657754,117
118,0.14293072,0.34681278,0.4049685,2.2077348,1.6292222,0.5530583,118
119,0.040462237,0.87660605,0.50832474,1.486889,1.0704145,0.44323218,119
120,0.49626222,0.991968,0.9696523,2.3886766,0.24654901,0.537063,120
121,0.26420948,0.9993949,1.2943786,1.9903362,0.6247804,0.35168543,121
122,0.21477725,0.9896902,1.2342896,2.7154279,1.4886813,0.58793044,122
