,locs0,locs1,subject
0,-0.014626395,-0.38041413,0
1,0.20635983,2.4959953,1
2,0.2132839,-1.3851535,2
3,-1.118763,-1.055618,3
4,0.5584687,0.43588406,4
5,-0.57235897,-1.3017163,5
6,0.8551925,-0.3359732,6
7,0.22321229,0.17663491,7
8,0.71125644,1.7238349,8
9,-0.6403332,1.2746623,9
10,-1.8400394,1.444221,10
11,1.301102,3.1939163,11
12,-1.3287524,1.0025697,12
13,0.37285587,0.4615,13
14,-0.38292426,0.029548036,14
15,1.0014911,0.8886748,15
16,0.17767766,-0.1848016,16
17,1.6795048,-1.6395984,17
18,-0.9461691,-0.018867288,18
19,0.3985966,0.5031483,19
20,-0.37626255,0.5844496,20
21,-1.1360843,1.5042017,21
22,0.1550762,0.576565,22
23,-0.64326954,-1.1142774,23
24,1.0617266,0.23189536,24
25,-0.43510672,0.05443519,25
26,0.83029294,0.69563514,26
27,0.06352836,1.482845,27
28,-0.0018121842,1.8488045,28
29,0.08705828,-0.06359175,29
30,1.5849879,-0.43866354,30
31,-0.5914946,-0.6915446,31
32,-0.0017157923,-0.77234435,32
33,1.4822485,-0.08333483,33
34,-1.9145335,0.4979096,34
35,-0.5678334,-0.1399507,35
36,-0.6025839,-0.8115729,36
37,1.0536659,0.20929945,37
38,0.22799228,-0.28209108,38
39,0.37609172,-0.7337725,39
40,-1.4615506,0.014790552,40
41,-0.52807105,-0.9746362,41
42,0.18371712,2.1264849,42
43,-0.03430081,-1.1526811,43
44,-1.0286485,-3.2889688,44
45,0.9518001,0.59845626,45
46,1.9397765,0.9214144,46
47,1.3384141,-0.16069219,47
48,-1.1669877,2.0993257,48
49,0.46435732,0.24196643,49
50,0.7451307,0.06310007,50
51,0.9098504,0.7602498,51
52,1.059025,0.5800557,52
53,1.6274703,1.1347333,53
54,-1.3436135,0.06539304,54
55,0.12265001,-1.0869141,55
56,0.483104,0.29955488,56
57,0.13384639,-0.5193923,57
58,-0.14650992,0.7203119,58
59,-2.1178787,-0.95084167,59
60,-2.4883232,-0.16388793,60
61,2.2577395,1.3372269,61
62,-0.7885144,-0.5286485,62
63,0.75431746,-0.23553416,63
64,1.3630984,-0.93836397,64
65,1.2129527,-1.6049316,65
66,1.5738186,-0.88493764,66
67,-0.17211418,0.4696833,67
68,2.4495914,0.06678941,68
69,1.663225,0.4254002,69
70,0.4746012,0.6572069,70
71,0.36643964,0.16621137,71
72,-0.9299084,-0.39274505,72
73,0.5516622,0.58993584,73
74,-0.019458508,-0.37853384,74
75,0.16502431,0.66011614,75
76,-1.3759477,0.22986531,76
77,0.38967943,-1.0623606,77
78,-1.8213031,1.9208183,78
79,0.024986621,-1.1032492,79
80,-0.893907,0.44096118,80
81,-0.2746834,-0.90591395,81
82,0.88164794,-1.3361311,82
83,0.94170785,0.52052695,83
84,0.13414729,-0.5136113,84
85,0.88446146,0.29655397,85
86,2.1468215,-0.27405378,86
87,-1.5853903,-1.1297197,87
88,-0.9060831,0.6271645,88
89,1.3188514,-2.271465,89
90,-0.29754615,0.15617801,90
91,-0.23303995,0.70981807,91
92,-1.2046586,1.0305778,92
93,-1.2201573,1.0360746,93
94,2.1905186,-0.8820093,94
95,-0.17328456,0.5600437,95
96,-1.0939956,-0.6304357,96
97,-0.31300765,2.4502664,97
98,-0.21410447,0.82167214,98
99,-1.2051442,0.29561102,99
100,-0.33476517,0.8589757,100
101,0.32452625,-0.9015529,101
102,0.2720006,1.2332828,102
103,-0.7233694,-0.43212372,103
104,0.22724521,0.54557717,104
105,0.60674846,0.49115482,105
106,1.2343272,0.06738152,106
107,-1.2079079,1.936768,107
108,1.3988701,0.73441166,108
109,0.18661216,0.6244883,109
110,-1.7728205,0.5285816,110
111,1.4985312,-0.7236703,111
112,1.3143883,-0.33170363,112
113,0.41844508,-0.3949448,113
114,1.0201828,-1.0104883,114
115,-1.3271679,2.1396902,115
116,1.3634484,-1.2408187,116
117,0.054409776,-1.4185859,117
118,-0.7141462,-0.5204992,118
119,-0.07799672,0.20966205,119
120,-0.47801366,-1.7250395,120
121,0.5769311,0.6431818,121
122,-0.4020356,1.0321842,122
123,0.82764906,-0.46728006,123
124,-1.3953496,0.45021272,124
125,2.1141875,-1.0710311,125
126,0.33418393,1.3931075,126
127,-1.4244919,0.6208345,127
128,0.23045741,-0.1627952,128
129,0.77083826,-1.1244135,129
130,-0.12656778,0.7140055,130
131,-0.07850063,1.3052459,131
132,-0.42237684,2.4202754,132
133,0.7056666,-0.39845717,133
134,0.4965835,1.5618676,134
135,0.80526465,-0.7249542,135
136,1.5337638,0.08738391,136
137,-0.2683707,1.3648823,137
138,-1.970398,-0.6835777,138
139,0.22755885,-0.13818225,139
140,-0.70484245,0.14708945,140
141,-1.3644927,-0.4453768,141
142,1.3831453,0.5772358,142
143,0.63692343,0.5555424,143
144,0.94506735,0.5417063,144
145,0.25465626,-0.23359874,145
146,0.9151406,-0.17769125,146
147,-0.68522173,1.418249,147
148,-0.5618234,0.9573996,148
149,-0.89078027,1.0997167,149
150,1.2114364,0.6014229,150
151,0.31269345,-0.23783128,151
152,0.09029361,0.1987679,152
153,-0.9119782,0.18664257,153
154,-1.4337822,0.5571443,154
155,-2.6125898,-0.3145422,155
156,-0.59560764,0.27483124,156
157,1.4959493,-1.5177802,157
158,-1.0022715,-0.4132766,158
159,0.6070877,-0.19549067,159
160,-0.26893196,-1.5121639,160
161,0.189089,-0.051076427,161
162,-0.8931888,0.7362608,162
163,3.3604252,0.14415006,163
164,0.3787272,0.52435523,164
165,0.6464997,1.4649836,165
166,0.6000865,1.2862092,166
167,-0.10176886,1.3570902,167
168,0.05937606,-0.017589066,168
169,1.5960796,-0.59734976,169
170,1.27655,1.3319318,170
171,0.26738343,0.66016966,171
172,0.146184,-0.0899134,172
173,1.8691688,0.8241647,173
174,-0.24893728,-0.52214897,174
175,1.3094912,-1.130772,175
176,0.4868494,-1.747609,176
177,-0.2529558,0.037182026,177
178,-1.1724113,-0.10911702,178
179,0.7762947,0.45743456,179
180,-0.08671904,-0.6433688,180
181,0.18409705,-0.54406357,181
182,-1.4960682,-0.6320137,182
183,-0.7134606,0.13884823,183
184,1.8453628,-0.946965,184
185,-1.7294904,1.0475888,185
186,-0.0029199068,0.7560677,186
187,-0.06561719,-0.6562425,187
188,-1.9014215,0.5556544,0
189,-0.2584421,0.49061358,1
190,0.5398863,-0.62995756,2
191,0.5456897,-1.3816314,3
192,0.532675,-1.1423085,4
193,0.8691161,0.9387474,5
194,0.26875988,-1.3127807,6
195,-0.17975266,-0.45181918,7
196,-1.764298,0.835479,8
197,-0.13772412,1.0160583,9
198,-1.6787357,-1.212592,10
199,-0.64833075,0.3303648,11
200,-0.37473398,-0.7333312,12
201,-0.5099211,0.18987492,13
202,-0.90477836,0.8302299,14
203,-0.80601317,-0.48045355,15
204,0.4492819,-1.3612887,16
205,0.7827116,-0.012260899,17
206,0.31589916,0.356832,18
207,-0.42628446,-2.0920146,19
208,0.25510207,-0.007038636,20
209,0.86658496,0.15420955,21
210,1.0857478,-0.36542696,22
211,1.5190384,1.5820538,23
212,-0.32103565,0.5395281,24
213,-0.60551405,0.7751262,25
214,-0.22899006,-0.7031058,26
215,-2.0953877,1.0650647,27
216,-0.38836506,-0.60623163,28
217,-0.89690495,1.0844482,29
218,0.14067838,-0.39901128,30
219,-0.27166882,-0.70011586,31
220,0.7791725,0.8865426,32
221,-0.49028602,-0.5313676,33
222,1.0534492,-0.49881127,34
223,-0.5217667,-0.62755,35
224,2.3264391,-0.012751246,36
225,-0.46489298,-1.6903063,37
226,-2.154725,-0.7788493,38
227,0.46611452,-1.4074472,39
228,0.95966494,1.5158299,40
229,-1.3264221,2.2341595,41
230,-0.4835156,0.4899473,42
231,0.32866648,0.052456558,43
232,1.3380888,-0.7316313,44
233,-0.053137,-1.1206272,45
234,-0.7069396,0.5214834,46
235,0.7388764,-0.30508742,47
236,-0.9000945,0.14446521,48
237,-0.8569198,1.0357555,49
238,0.87401074,1.128766,50
239,0.7885138,-0.5455052,51
240,0.43873954,0.84603006,52
241,-0.7566724,-0.09864777,53
242,0.1652328,0.814803,54
243,-1.8376993,-0.1308006,55
244,0.6400619,0.91744655,56
245,-0.11873394,0.700305,57
246,-1.1869599,-0.65448904,58
247,-0.0729257,-2.0779696,59
248,1.362101,-2.0163713,60
249,-0.48414356,-0.15769632,61
250,0.5289399,-1.132592,62
251,-0.0421204,-0.3293095,63
252,0.85185266,-0.7257454,64
253,1.3863859,0.6524269,65
254,-0.12606168,-1.6915659,66
255,-1.2538862,0.9527695,67
256,0.23052157,1.2088361,68
257,0.3126521,0.61217415,69
258,-0.024934877,-0.51507103,70
259,-0.54483736,1.0986044,71
260,0.67650247,0.95940876,72
261,-1.6531773,1.0756075,73
262,0.18951535,-0.49089333,74
263,1.9424487,0.37709305,75
264,0.98303187,-1.0722708,76
265,-1.5862827,-1.1775182,77
266,0.20450367,-0.28797174,78
267,-1.9305882,-0.47569695,79
268,1.1285468,-1.6919575,80
269,-0.866743,-0.47962758,81
270,1.8403214,-0.02505698,82
271,-0.9938335,1.3798565,83
272,-0.19148736,0.26565638,84
273,1.9490844,1.2825483,85
274,-0.6336839,-1.278829,86
275,-1.0424658,-0.0104702115,87
276,0.08570999,1.0778795,88
277,1.0515226,-2.533366,89
278,1.3914795,1.4836718,90
279,-0.25774622,0.82839435,91
280,-1.5111686,1.0729896,92
281,-1.3642324,0.099573806,93
282,-0.553962,-0.6666291,94
283,0.090378076,-0.052959733,95
284,-0.7653102,-1.608685,96
285,0.1221789,-1.791493,97
286,-0.7180772,0.30121017,98
287,0.71349555,1.1698413,99
288,0.7948232,-1.413343,100
289,0.33051887,-0.7190127,101
290,0.20837522,0.94283384,102
291,1.1584675,0.47957712,103
292,0.44824547,-1.1026456,104
293,0.4977824,-0.03790638,105
294,1.7289298,2.3289878,106
295,0.7729676,-0.8018916,107
296,-1.1114744,1.2459332,108
297,1.5184301,0.9663834,109
298,-0.14886892,-0.8255522,110
299,1.4647084,1.7148651,111
300,-1.1793146,1.7113105,112
301,0.42821014,0.051549535,113
302,0.67503595,2.307306,114
303,1.3794519,-2.7965229,115
304,-1.3226724,-0.54776484,116
305,-0.5713476,-0.88547504,117
306,-0.67594457,-0.48940384,118
307,-2.0932746,0.562277,119
308,0.5395326,1.1554916,120
309,-0.61626905,-0.5714078,121
310,-0.8590444,0.78255963,122
311,0.5917946,-0.14255375,123
312,0.25676712,-1.4374095,124
313,0.47144747,0.5015443,125
314,-0.19599825,0.27023786,126
315,1.3570839,-0.21607795,127
316,1.0244462,0.46363935,128
317,-0.3287805,-2.2895093,129
318,-1.4949654,-1.4517804,130
319,1.6800083,1.7172931,131
320,1.0829097,-0.0896456,132
321,-1.5498264,-0.018426258,133
322,-0.3514992,-0.07942169,134
323,-0.16327174,-0.65090126,135
324,0.30318627,-0.8251591,136
325,-0.76902765,-0.060444713,137
326,-0.3201296,0.7605339,138
327,-0.31347162,1.6795956,139
328,0.8253586,0.6042806,140
329,0.6392972,1.2314146,141
330,-0.038089067,0.012943707,142
331,-0.69011813,-1.930439,143
332,1.5111585,0.19216844,144
333,1.8333462,0.13540947,145
334,0.62426776,0.51602125,146
335,-0.37677214,0.16251528,147
336,-0.21220954,0.31917468,148
337,0.6196038,-1.1964334,149
338,-0.85107476,-0.7897766,150
339,-0.31801656,0.3682627,151
340,0.12906778,-1.243222,152
341,-0.13197228,-2.3030427,153
342,0.5626811,-1.1592017,154
343,-0.80199,-1.1431994,155
344,0.24223563,0.5954059,156
345,0.3751413,-0.24972638,157
346,-1.1139827,0.73374844,158
347,-0.82712144,1.465561,159
348,0.55536675,0.060242593,160
349,-1.4759324,0.54275846,161
350,-1.5279032,0.66664237,162
351,-1.5188584,0.14539869,163
352,-0.11444403,-0.6841977,164
353,-0.8381263,-0.14980304,165
354,1.5638064,1.2577604,166
355,-0.15648189,-0.6381692,167
356,-0.25110307,0.49468744,168
357,-1.6595519,-0.40035573,169
358,-0.017877499,0.024480214,170
359,0.7092175,0.92641,171
360,-1.0200176,-1.1507895,172
361,-1.271913,-0.27681482,173
362,-0.3835794,0.27458867,174
363,-1.4995406,-1.558912,175
364,-0.06440726,-0.14066371,176
365,0.42288396,-0.4691359,177
366,-0.079131186,1.1280206,178
367,1.4608496,0.1746076,179
368,0.56639636,-1.0545925,180
369,0.5295456,-1.0370507,181
370,-0.88439864,-0.1820119,182
371,-0.3693487,-0.93320405,183
372,1.3264062,-1.2339764,184
373,-0.20354532,0.9644271,185
374,1.0884976,-0.628253,186
375,0.023612544,0.35190383,187
376,-1.0672472,-1.3384266,0
377,0.89977235,-0.4445609,1
378,-0.59196705,-1.1524538,2
379,1.0898535,-0.09537786,3
380,0.23074655,0.7194688,4
381,0.66787285,-0.69648343,5
382,-0.64619833,0.085170984,6
383,0.52655214,0.65054774,7
384,1.2967867,0.49989998,8
385,1.8215302,-0.6699513,9
386,0.9971107,-1.304874,10
387,0.25969014,-0.71144027,11
388,0.5321893,-0.30032927,12
389,0.08622665,1.478735,13
390,1.205512,-0.16496323,14
391,0.09585434,-1.6996162,15
392,0.05047507,0.034825772,16
393,1.3017124,-1.8630258,17
394,2.1209104,1.147039,18
395,-0.830209,1.6953247,19
396,-1.6260012,0.24937631,20
397,-0.95860463,0.3190623,21
398,0.282393,-0.75768286,22
399,0.49342227,-0.44466457,23
400,2.400059,1.1198238,24
401,-1.1738026,-0.9228833,25
402,-1.9536172,-0.45184615,26
403,-1.7106175,1.6014616,27
404,1.5640846,0.8024991,28
405,-1.0154392,-0.3142991,29
406,-0.08786762,0.90070796,30
407,1.2714216,-0.40841138,31
408,0.23283336,-1.4450996,32
409,-1.1428465,-0.6401153,33
410,0.81429696,-0.14736848,34
411,-0.71866035,-0.039153345,35
412,1.0288123,-1.1021729,36
413,2.625842,0.5258104,37
414,0.4809636,0.39028046,38
415,2.3112705,-0.61967367,39
416,0.49034363,-0.5930521,40
417,-0.72255385,-0.42807072,41
418,0.9407179,-0.043482985,42
419,0.062184263,-0.66786987,43
420,1.5560721,0.054608896,44
421,0.2591976,0.61869186,45
422,1.4286896,-0.3990549,46
423,0.27141327,-0.1981664,47
424,-1.4045246,-0.35530743,48
425,0.6528894,-1.0435433,49
426,1.183121,-0.7439579,50
427,0.16214132,0.36570296,51
428,0.08387418,0.39614692,52
429,0.30152735,0.14011903,53
430,0.6600228,0.7974542,54
431,0.2597427,0.37294537,55
432,-0.7335675,0.22833157,56
433,0.32466274,0.5101125,57
434,-0.6721242,2.1826158,58
435,-0.4560667,2.2653997,59
436,0.04062503,0.98471874,60
437,-0.57577044,-0.7281841,61
438,-1.7662964,0.97323644,62
439,2.0144043,1.6792434,63
440,-0.02944464,1.5014614,64
441,-1.2924762,0.14798778,65
442,-0.23006664,0.03918024,66
443,1.4510025,-1.4394742,67
444,-0.6178173,-0.41713846,68
