,locs0,locs1,subject
0,-1.7107158,1.6147598,0
1,-1.555762,1.8727717,1
2,-1.4893326,-0.48984414,2
3,-4.010444,-0.3750227,3
4,-0.44634464,-0.1650461,4
5,-1.8843813,-0.8093889,5
6,-1.367618,0.18440668,6
7,-2.147003,-1.0007063,7
8,-1.76035,0.9979076,8
9,-1.665364,-0.2660015,9
10,-1.9105198,1.1226856,10
11,-1.5499892,0.8115316,11
12,-2.378702,3.2522213,12
13,-0.96883774,0.75821584,13
14,-1.8459696,-0.22843336,14
15,-0.98926544,0.6039077,15
16,-1.9216704,0.024961889,16
17,-0.67541105,0.09372432,17
18,-1.2384601,0.102481335,18
19,-2.204749,-0.9881272,19
20,-2.1858094,-1.5012177,20
21,-0.92539334,-0.032352746,21
22,-1.6482261,-0.09916955,22
23,-0.93447345,-0.21848519,23
24,-0.35233152,-0.7858702,24
25,-1.517657,1.0843694,25
26,-1.9684883,-2.1106086,26
27,-1.0479465,1.6305089,27
28,-1.0837758,-1.4457171,28
29,-1.6677083,-0.682251,29
30,-1.7049083,-0.36918876,30
31,-2.4376843,-1.368576,31
32,-1.1392761,-1.6879375,32
33,-2.3763936,-0.61134493,33
34,-2.1275165,-2.0132957,34
35,-2.6179776,-1.0761424,35
36,-1.7098744,-1.7524798,36
37,-1.8684807,-0.81877124,37
38,-1.9120274,0.08786476,38
39,-2.2035997,-1.0996903,39
40,-1.1828382,-2.3363006,40
41,-2.409695,-1.4173374,41
42,-2.1527586,-0.4280637,42
43,-0.7200149,1.6445127,43
44,-1.6643255,-1.2429233,44
45,-0.59791714,-0.26779136,45
46,-1.3090618,0.93216956,46
47,-1.4403201,0.7734133,47
48,-0.42224017,0.34763438,48
49,-1.3097541,0.19115677,49
50,-0.27636462,-0.20217466,50
51,-0.08437705,-1.5375135,51
52,-1.3462988,-0.28765106,52
53,-1.8686764,-0.7061448,53
54,-0.8451359,-0.02083097,54
55,-0.59425795,-0.009316549,55
56,-1.4883505,-0.18355098,56
57,-1.7948567,-0.82223,57
58,-1.5647442,0.73671216,58
59,-1.9439603,2.3817792,59
60,-1.4784524,-0.6000469,60
61,-2.7645526,0.2827088,61
62,0.41508344,0.14171308,62
63,-0.1256703,-0.70142615,63
64,-1.6819041,1.7697791,64
65,-0.20307371,-0.6545412,65
66,-2.3761878,0.89518803,66
67,-1.6271532,0.43312353,67
68,-2.250682,-0.8819338,68
69,-2.165274,-1.9297165,69
70,-0.45992672,-0.40841615,70
71,-0.45467642,-0.44159582,71
72,0.24800499,1.9433795,72
73,-1.2515894,-0.35750487,73
74,-2.290373,0.8896091,74
75,0.13232909,-0.5181351,75
76,-2.337667,-0.6997758,76
77,0.8794819,1.7987685,77
78,-1.216278,-0.05390477,78
79,-0.51426196,-0.54057795,79
80,-1.7048233,0.1287277,80
81,-0.090942144,1.5341971,81
82,0.20508313,-3.1155753,82
83,-0.12333475,0.66289353,83
84,0.4762783,-2.8299994,84
85,-1.3731341,-0.18065223,85
86,-1.4840994,-0.66875625,86
87,-1.5750204,0.83031666,87
88,-1.0747559,-1.175532,88
89,-0.45023328,-2.9946566,89
90,0.57151777,0.85380036,90
91,-0.32227466,0.031167775,91
92,-1.0365833,-2.3348284,92
93,-1.9932637,1.7897882,93
94,-1.2229348,0.78569317,94
95,-1.0103595,-0.40498483,95
96,-6.059391,-0.45733696,96
97,-1.0115652,-0.71253943,97
98,-0.63686574,-0.7104049,98
99,-1.6390204,-0.31772107,99
100,-3.2547467,-1.9041488,100
101,-1.2770947,1.1151742,101
102,-1.2840217,0.05540803,102
103,-0.11872327,-0.11393005,103
104,-2.2030764,0.44133386,104
105,-3.2924688,0.47105247,105
106,-1.2834275,-2.3815951,106
107,-2.488347,-1.7980752,107
108,-1.8148134,-1.7285237,108
109,-2.050655,2.343849,109
110,-3.0607653,-1.3538333,110
111,-2.4664621,0.822526,111
112,-1.0882504,-0.9396074,112
113,-1.5023549,0.6427075,113
114,-1.9164736,-1.385181,114
115,-0.9534875,-1.3503586,115
116,-0.03808731,-0.9852262,116
117,0.032596126,-0.60022396,117
118,-2.2427704,-1.0310928,118
119,-0.6897257,-1.4986298,119
120,-0.730913,-1.3970869,120
121,-1.4442589,1.9436727,121
122,0.23915642,1.7265788,122
123,-2.132438,-2.871572,123
124,-1.7043986,2.6145325,124
125,-0.8245553,-0.3597652,125
126,-1.3978422,0.15863049,126
127,-1.4430947,-0.8016781,127
128,0.55943215,-1.4449067,128
129,0.28530622,-3.0652,129
130,-3.84932,-0.73229325,130
131,0.2098893,0.9027899,131
132,0.15881026,2.8323174,132
133,-0.8808318,-0.27946663,133
134,-1.9764627,-0.19311227,134
135,-1.5339165,-0.8602195,135
136,-0.81147546,0.8703029,136
137,-1.8777878,-0.48683077,137
138,-0.9657384,0.9588609,138
139,-1.3736732,-0.18137306,139
140,-0.20686553,-1.903646,140
141,-1.0759159,0.77330923,141
142,0.14164314,0.7545552,142
143,-0.05306846,-2.8586159,143
144,-0.44628745,-1.2754297,144
145,-0.44923878,-1.9521962,145
146,-0.4452647,-0.833015,146
147,-1.5173378,-1.0382519,147
148,-1.0510736,1.0674126,148
149,-0.056606516,2.547135,149
150,-1.6977345,-0.66078144,150
151,-1.2252561,0.5074359,151
152,-0.531914,-1.7984974,152
153,-2.2529655,-1.1877252,153
154,-1.8066208,-0.50116473,154
155,-2.9622817,-2.4201293,155
156,-2.2729702,-0.6406432,156
157,-1.4594729,-1.3422173,157
158,-2.0194936,-1.5584302,158
159,-0.8302655,0.57862467,159
160,-1.4143778,-0.5872571,160
161,-3.5371127,-0.68344826,161
162,-1.4424632,-1.2661225,162
163,-2.216567,-1.0020229,163
164,0.8120085,-0.26268038,164
165,-1.4580224,0.20084906,165
166,-1.9571906,-2.1147165,166
167,-0.30707836,-1.0884677,167
168,-3.0369477,-0.2267717,168
169,-1.6641049,-0.03810592,169
170,-0.06122076,-2.732016,170
171,-0.32882923,0.35155624,171
172,-1.8780977,-0.002254516,172
173,-0.14165786,0.73237306,173
174,-1.6893475,-1.0658303,174
175,1.1687536,-0.80861187,175
176,-0.4501655,-1.049859,176
177,-1.5522555,-0.2355516,177
178,-1.24283,1.6678507,178
179,-2.160443,2.4840822,179
180,-1.2795689,-0.7227688,180
181,-3.8651288,-2.857103,181
182,-1.0532227,-0.5903766,182
183,-1.0955745,-2.0493138,183
184,-1.1324131,-0.39116704,184
185,-1.2339077,1.6431795,185
186,-1.2131016,2.2137125,186
187,1.4568763,-0.6269382,187
188,-1.7875838,1.7227913,0
189,-1.7427074,1.2682954,1
190,-1.1967272,-1.0134748,2
191,-5.6573534,-0.052619994,3
192,-0.8271779,-0.4095427,4
193,-2.4111836,-0.5692091,5
194,-1.4785224,0.6694922,6
195,-0.45964754,-1.2868519,7
196,-1.7108328,0.9080117,8
197,-1.2883627,-0.2012305,9
198,-1.6461437,2.08209,10
199,-1.3441501,1.3028193,11
200,-2.4004037,2.2239559,12
201,-1.1807616,1.1737328,13
202,-1.6933742,-0.057636663,14
203,-1.0185407,0.7166968,15
204,-2.205701,-0.34865034,16
205,-0.72197914,-0.14753455,17
206,-1.003845,0.20653626,18
207,-2.3522666,-0.5754722,19
208,-2.164658,-1.0093915,20
209,-1.2438147,-0.3335594,21
210,-1.9727217,0.9249232,22
211,-1.4120128,-0.080898464,23
212,-0.662763,-0.39037272,24
213,-1.6306231,1.2406211,25
214,-1.9912192,-1.207304,26
215,-1.0962847,0.7821236,27
216,-1.1662426,-1.9401163,28
217,-1.838736,-0.5414065,29
218,-1.9567586,-0.27130023,30
219,-2.7842617,-1.2349715,31
220,-0.9261241,-1.2860897,32
221,-2.7579718,-0.88447976,33
222,-2.544428,-1.8884217,34
223,-2.5773392,-0.9088619,35
224,-2.0848193,-1.5303342,36
225,-0.69094855,-0.5669122,37
226,-1.783535,-0.3074034,38
227,-2.5230815,-0.9506414,39
228,-0.9966069,-1.5969315,40
229,-2.487237,-2.017706,41
230,-1.8451309,-0.3997255,42
231,-0.8695272,0.117390394,43
232,-1.598764,-0.68089044,44
233,-2.0674894,-0.92726296,45
234,-1.5951487,0.29626387,46
235,-1.3799145,0.7453392,47
236,-0.72381204,-0.18671097,48
237,-1.531774,0.09197135,49
238,-0.21412835,1.2732292,50
239,-1.6415956,-1.2859724,51
240,-0.9686074,0.087387025,52
241,-2.0894387,-0.6471979,53
242,-1.0786499,0.2314415,54
243,-0.33277655,0.100156575,55
244,-1.4324344,-0.24674079,56
245,-1.967737,-0.90105915,57
246,-1.3668149,1.4755726,58
247,-2.2393332,2.0223057,59
248,-0.9924146,-0.932912,60
249,-3.2701871,0.06790475,61
250,-0.09683809,0.21802244,62
251,0.2733785,-0.8159562,63
252,-1.2529508,1.6865432,64
253,0.0658976,-1.2359707,65
254,-2.3286264,1.1351179,66
255,-1.4044075,1.8905412,67
256,-2.024294,-0.6118343,68
257,-2.2232711,-1.6100149,69
258,-0.5301351,-0.043262832,70
259,-0.34191164,-0.13458422,71
260,0.3928916,2.2790523,72
261,-1.4887896,-0.1785779,73
262,-2.288423,0.7489178,74
263,0.10896124,-0.28200948,75
264,-2.3895082,-0.8721094,76
265,1.0615513,2.0731301,77
266,-1.3604931,-0.8561375,78
267,-0.46194014,-0.03699158,79
268,-1.6692141,-0.17077933,80
269,0.01120121,1.1942706,81
270,-1.9507737,-2.7545877,82
271,0.17449611,0.6350383,83
272,-3.6613252,-2.0685716,84
273,-1.2455602,-0.49734494,85
274,-0.9690267,-0.22457795,86
275,-1.3337898,1.8234698,87
276,-1.0655125,-0.8972919,88
277,-0.940895,-2.179834,89
278,0.4158603,0.61424714,90
279,-1.1392593,-0.19487536,91
280,0.3641219,-2.4446754,92
281,-2.3171024,1.0951262,93
282,-1.0186516,1.4666351,94
283,-1.1484089,0.19723044,95
284,-5.4969335,-0.8666267,96
285,-0.6507571,-0.20339379,97
286,-0.605529,-0.45236817,98
287,-1.2684276,-0.032263234,99
288,-1.2068644,-2.440496,100
289,-1.4678535,0.7380861,101
290,-1.5132757,-0.3653753,102
291,-0.61947834,-0.37750873,103
292,-2.5001915,0.22156927,104
293,-3.1398451,-0.22330636,105
294,0.5954432,-2.8195908,106
295,-1.8734047,-1.6034689,107
296,-0.6344823,-1.8892133,108
297,-1.8381723,1.5635779,109
298,-3.2906673,-1.3578207,110
299,-2.5539289,0.59266037,111
300,-2.4916828,-0.9548034,112
301,-1.462148,0.5431472,113
302,-2.0877345,-1.180508,114
303,-0.5187129,-1.0787078,115
304,-0.26594332,-0.9618882,116
305,0.7688604,-0.80589014,117
