,locs0,locs1,locs2,locs3,subject
0,-1.7684311,1.674577,-2.4009202,0.6012161,0
1,-1.6607484,2.0694098,-2.2812376,-2.8321097,1
2,-1.2908959,-1.4643338,-1.9032133,-1.2747698,2
3,-6.168204,-0.2674492,-2.349302,-3.3188078,3
4,-0.6545283,-1.3083897,-1.908498,-0.9501622,4
5,-2.0902028,-0.98895586,-2.270105,-1.1634562,5
6,-1.5424625,0.16249053,-2.1396725,-4.2618036,6
7,0.34690285,-2.4277241,-2.1743572,0.6090514,7
8,-1.7400447,-0.21198708,-1.4617621,-4.436543,8
9,-1.0914495,-0.6120035,-2.2579064,1.186919,9
10,-1.7006025,1.5821664,-2.3136067,-1.7820473,10
11,-1.7068758,0.9178905,-2.4065285,-1.1681523,11
12,-2.0077376,2.1803565,-2.24403,-1.5389329,12
13,-1.0309427,0.48575184,-1.7031468,-2.0709789,13
14,-2.0230174,-0.5621493,-2.0631673,-0.642511,14
15,-1.000994,-0.07914164,-2.1834662,-1.9705625,15
16,-1.5788236,-1.258147,-0.76928335,-2.8966088,16
17,-0.67793345,-0.13375306,-2.0603678,-0.76589453,17
18,-1.1742707,-0.16221598,-0.646371,-1.3783591,18
19,-2.0887306,-1.5124693,-2.1537547,-0.3428048,19
20,-1.8297547,-1.0792344,-2.4012768,-2.405063,20
21,-0.8072625,-0.39943075,-2.0462644,-0.9369179,21
22,-1.6778964,0.6718956,-1.6253259,-1.3687091,22
23,-1.4253747,-0.2471023,-1.7368393,-3.6925488,23
24,-0.7601094,-1.1620992,-2.3534856,-0.8297994,24
25,-1.5471194,1.7306604,-2.0982234,0.7833089,25
26,-1.2245567,-2.3731358,-2.4417143,-0.8775536,26
27,-1.2510766,1.6957579,-1.8034003,-0.620842,27
28,-1.057183,-1.8542486,-2.1620615,-0.6428633,28
29,-1.272869,-1.0431324,-2.5809383,-4.27855,29
30,-1.7125723,-0.19048831,-1.8190523,-1.1970916,30
31,-1.0599492,-1.6362926,-1.9219047,-4.984379,31
32,0.26348835,-1.5768198,-2.9992921,-0.2209714,32
33,-2.1466587,-0.94338256,-2.1653967,1.9294369,33
34,-2.9183114,-2.508224,-2.1791964,-1.8865275,34
35,-3.8614488,-1.0689129,-2.0785866,-1.1260842,35
36,-1.808704,-1.7600828,-2.9896035,0.43777218,36
37,-2.7608156,-1.3436873,-2.2559779,-0.3968068,37
38,-2.004099,-0.033662446,-2.349995,-2.0162683,38
39,-3.0619144,-1.4596715,-2.4791644,0.72735846,39
40,-0.08968246,-2.4233046,-1.2354983,-0.35983974,40
41,-2.3872163,-1.6065391,-2.5391726,0.8717078,41
42,-2.0556571,-0.55037516,-2.763692,-0.8703895,42
43,-1.1002713,1.0460942,-1.479375,-0.06430513,43
44,-1.9154856,-1.3537053,-2.3337026,0.6327326,44
45,-0.61392725,-0.11764601,-1.4080417,-0.024603784,45
46,-1.4801874,-0.04422097,-2.3888836,-1.5991303,46
47,-1.703776,0.25562257,-2.278564,0.45167136,47
48,-0.25538683,0.10139686,-1.7975013,-0.82407916,48
49,-1.6635112,-0.3132555,-2.1267514,-0.1536035,49
50,0.70495695,-0.09542513,-1.6132611,-1.5197828,50
51,0.06178677,-1.3655087,-2.3854442,3.5683002,51
52,-1.2404567,0.7296642,-2.471275,0.0007390678,52
53,-2.1279874,-0.95392936,-2.9301984,-0.16225505,53
54,-1.3327838,0.01883559,-2.5184815,-1.584527,54
55,-0.80310416,-0.30726892,-2.8488235,-0.4771323,55
56,-1.4770375,-0.11092065,-2.6430573,-1.0817742,56
57,-1.9009466,-1.2257735,-2.8994484,1.2151262,57
58,-1.4640304,1.1629516,-2.2951682,-2.0519958,58
59,-2.1827745,1.811387,-2.3586981,-1.0105424,59
60,-0.9586895,-0.7715296,-2.377487,-0.8892228,60
61,-3.851416,-0.4534112,-1.771405,-4.46996,61
62,0.08113778,0.09022327,-2.4809952,0.20810285,62
63,-0.2958955,-1.6931721,-2.344277,0.09367028,63
64,-1.3409499,0.82311624,-1.9982225,-1.7675071,64
65,-0.54507184,-1.6433461,-1.8033657,-0.2524607,65
