,inferred dec temp,subject,inferred reward rate,inferred cached weight,inferred cached rate
0,7.7222347,0,0.1423969,0.928668,0.3390015
1,7.8230605,1,0.16200584,0.82730263,0.28734374
2,1.4949133,2,0.24650079,1.3156277,0.21836981
3,3.5164819,3,0.0115073025,0.9527751,0.12802397
4,2.6933825,4,0.317914,1.0553483,0.22889988
5,2.4393017,5,0.09161061,0.87749475,0.25076315
6,5.2527723,6,0.20678556,1.4556025,0.03556635
7,1.4294441,7,0.16529986,1.10374,0.62003154
8,6.2857275,8,0.1601238,1.5054266,0.0744316
9,4.1707544,9,0.23110147,0.8932632,0.34163415
10,8.08667,10,0.15911506,0.9268132,0.18002388
11,6.8233595,11,0.15887128,1.0852132,0.3257441
12,8.8862295,12,0.09626332,1.1978171,0.18863153
13,6.7721367,13,0.24966872,1.0539167,0.23081866
14,4.259711,14,0.13342294,1.2597363,0.18362306
15,5.1408243,15,0.25517341,1.1476922,0.40861893
16,2.8958535,16,0.10693663,1.9305136,0.086217634
17,4.649414,17,0.34366328,1.0564424,0.28539807
18,4.318568,18,0.2992229,2.912979,0.20620538
19,2.7831736,19,0.095511615,0.888204,0.4233123
20,2.1469643,20,0.09942227,0.8303713,0.1787988
21,3.3990679,21,0.23462689,1.118828,0.36582354
22,5.9679003,22,0.13160521,0.98753005,0.2622958
23,5.0466094,23,0.22836368,1.1678007,0.022163365
24,2.5465062,24,0.35608667,0.9091488,0.4642683
25,7.7833276,25,0.18373284,0.7352057,0.5336767
26,1.3444773,26,0.09479724,0.77392894,0.5506792
27,7.1879773,27,0.21564166,0.8694413,0.38651448
28,1.3520231,28,0.24556553,0.81888014,0.59477824
29,2.7958338,29,0.17703967,0.8141817,0.17026259
30,4.2992983,30,0.15996243,0.92772675,0.2361199
31,1.838089,31,0.15176548,1.0590276,0.06737886
32,1.5691077,32,0.3182488,0.84658664,0.5820763
33,2.7944274,33,0.07160896,1.2433064,0.74799407
34,1.2322569,34,0.08238385,0.7405123,0.48748004
35,2.2532485,35,0.044646803,1.5256224,0.22821505
36,1.7095681,36,0.101330206,0.68516123,0.64789236
37,2.9381576,37,0.05812407,1.0580202,0.40482575
38,4.69496,38,0.13518882,1.2907645,0.07767601
39,2.3424273,39,0.08155043,0.7795991,0.5618461
40,1.0440145,40,0.3282447,2.2993057,0.39038593
41,1.9620609,41,0.07567068,0.70662683,0.64661914
42,3.3544557,42,0.10532283,0.79279953,0.31993255
43,7.7369094,43,0.29271626,1.4823745,0.36575702
44,2.3939908,44,0.14905182,0.8035208,0.49909744
45,3.596226,45,0.17130628,1.4415419,0.628031
46,5.3107657,46,0.21941614,0.8580333,0.14902872
47,5.879729,47,0.18792298,0.7984644,0.23913576
48,4.1548953,48,0.29674405,1.7875881,0.44827217
49,4.178907,49,0.20835178,1.1898367,0.37858063
50,5.516874,50,0.50005716,1.4686316,0.16021441
51,1.8712451,51,0.3327433,0.74446225,0.6299959
