,locs0,locs1,locs2,locs3,subject
0,1.6133002,-1.7316322,0.828789,-2.1128135,0
1,0.9717541,-1.4742805,1.0948647,-1.3825943,1
2,1.5997643,-1.5169853,-1.8005177,-2.3484292,2
3,-1.1719935,-3.713807,-0.8461975,-1.7110075,3
4,1.107382,-0.24455403,-1.0172124,-1.6211398,4
5,-0.84167886,-1.777124,-0.9030216,-1.7735008,5
6,-0.06408891,-0.8265904,0.122717455,-2.0612504,6
7,-4.4446435,-0.11559731,-1.4078419,-2.2725115,7
8,0.4655025,-0.9456072,0.5511252,-1.5197827,8
9,1.0157402,-1.0558467,-0.051740423,-2.0789688,9
10,0.7328228,-1.3635048,1.6906686,-1.133936,10
11,-0.8314359,-0.97701615,0.2703809,-1.7771716,11
12,-0.41029942,-1.6987331,1.3090141,-2.2028177,12
13,1.2185237,-0.95093864,0.3194221,-2.0176291,13
14,-0.053300887,-1.3962152,-0.46184266,-1.6415837,14
15,0.5433105,-1.047299,0.35687298,-2.2923694,15
16,-0.07713394,-1.4365282,-0.9794991,-1.7906322,16
17,-0.72785383,-0.2920097,-0.44638884,-2.3692608,17
18,-0.1730314,-0.25106913,0.58817184,-1.5780054,18
19,-0.9469173,-1.4810972,-0.7022698,-2.3787472,19
20,-1.1213782,-2.2379408,-1.1666441,-2.3481512,20
21,-1.5625179,-1.1745336,-0.46662492,-2.449028,21
22,0.23025998,-1.7219532,0.23898354,-1.4787292,22
23,1.3601563,-1.0449618,-0.24268349,-2.067663,23
24,-0.7078774,-0.8442966,-0.8927101,-2.5256298,24
25,0.3249828,-1.4897453,0.34307736,-1.8668684,25
26,-0.22273943,-2.6003232,-1.7123011,-2.2513087,26
27,1.6915858,-0.84980524,0.62113506,-1.6961644,27
28,0.55475336,-0.94553685,-2.083654,-2.1080391,28
29,0.016503125,-1.1077967,-0.9099725,-1.8284312,29
30,-0.08120763,-1.6029794,-0.83965963,-1.9445183,30
31,-1.2503489,-1.2299986,-0.8240254,-1.9866693,31
32,1.0457524,-0.62271917,-1.6520851,-2.0244565,32
33,-3.3705885,-0.47406158,-0.10802802,-2.3682148,33
34,-5.462607,-2.4777598,-2.4674628,-2.5243106,34
35,0.051535845,-1.9154478,-0.60013855,-1.4984235,35
36,0.18536249,-2.1822224,-1.8627311,-2.2315347,36
37,-1.40052,-0.6841222,-0.394562,-1.6967821,37
38,-0.7676042,-1.6813166,-0.08800937,-1.8645855,38
39,-1.616343,-1.8111119,-0.81885755,-2.209167,39
40,2.1052575,-1.2697682,-1.2462244,-2.5330472,40
41,0.6618985,-0.892383,-1.0440676,-2.4306142,41
42,-1.1733263,-1.3460467,-0.5209674,-2.0814173,42
43,1.5802523,-0.6500292,1.7357581,-1.5935371,43
44,-1.3436782,-1.6294147,-1.0476519,-2.0332959,44
45,0.9102791,-0.02398853,0.35177132,-2.2231407,45
46,-0.37816674,-1.4887196,0.43822873,-2.2943597,46
47,0.7774984,-1.7083715,-0.025772601,-1.994129,47
48,1.7321501,-0.4669907,0.14598447,-2.0943723,48
49,0.53852975,-1.2076402,-0.13575554,-1.9927647,49
50,1.3899579,-0.30103025,0.50074744,-1.8958513,50
51,-2.5438464,-0.72177774,-0.94996715,-2.7194276,51
52,0.59357995,-0.7437945,0.2597888,-1.9793005,52
53,0.28228503,-1.0607897,-0.57271975,-2.0581393,53
54,1.5947876,-0.70850813,-0.19528893,-1.6620231,54
55,1.5343101,-0.38868967,-0.39969283,-1.9664893,55
56,1.2092282,-1.0261004,-0.09597203,-1.7372681,56
57,-0.95170486,-1.3419981,-0.6172332,-1.2309828,57
58,0.57940435,-1.1121663,0.5121621,-1.8114381,58
59,0.85104024,-2.0228148,2.885748,-1.092919,59
60,1.0364022,-1.0248829,-0.7242681,-2.3187635,60
61,0.6305199,-3.6904926,-0.42937526,-1.6167883,61
62,2.3385313,1.1610385,-0.13212158,-2.1327698,62
63,0.32613724,0.23305771,-0.8080557,-1.9077853,63
64,0.4505042,-1.3337724,1.0316455,-1.8861955,64
65,2.725047,-0.097242646,-1.2636756,-2.2629323,65
