,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.6529001,0.65110976,3.1142173,1.1411198,0
1,0.53695905,0.82342285,5.431676,1.3107975,1
2,0.36380884,0.77622914,0.87288266,1.0185323,2
3,0.22398329,0.09576605,2.9913118,1.4901291,3
4,0.4817068,0.96058464,2.8272338,1.0348825,4
5,0.54268575,0.6030108,2.560316,1.2268178,5
6,0.7572887,0.87995267,3.1598818,1.4132667,6
7,0.047928024,0.48880765,1.0258086,1.190523,7
8,0.1649344,0.6933257,2.511797,1.4981873,8
9,0.78549355,0.57090926,2.658536,0.9838761,9
10,0.7868143,0.5347473,3.638679,1.7252002,10
11,0.723814,0.50249237,4.7383265,1.2135212,11
12,0.5178748,0.6717429,6.769629,1.0680273,12
13,0.9212727,0.7772984,3.9040084,0.8062078,13
14,0.35238472,0.44094795,2.424276,0.9195726,14
15,0.5113922,0.81475776,3.044763,1.2069528,15
16,0.43545914,0.5714399,3.606491,1.5381587,16
17,0.3470387,0.9008348,2.4643662,1.0301793,17
18,0.46972844,0.7431024,3.2672083,1.504211,18
19,0.37194574,0.4539374,1.3187081,0.78175795,19
20,0.21633394,0.32953063,1.5885335,0.61124873,20
21,0.0010832208,0.87160605,3.3877752,0.72257733,21
22,0.59664994,0.49451062,3.1881728,1.824463,22
23,0.9160472,0.68222994,2.6881618,1.4340374,23
24,0.26212874,0.8560808,1.1179924,0.8284296,24
25,0.6178947,0.6049841,4.458892,0.7881084,25
26,0.7516345,0.15101841,1.8303225,1.2793529,26
27,0.871195,0.67619264,4.8668184,1.3187289,27
28,0.24852172,0.7196024,1.6591411,0.9207991,28
29,0.34064648,0.7130656,1.5941613,0.8873801,29
30,0.5769459,0.56344706,1.9081904,1.3971713,30
31,0.37168053,0.7581199,2.1961625,0.6985105,31
32,0.9346588,0.5575928,0.8785651,1.0970141,32
33,0.023313021,0.9050805,2.227942,1.0218327,33
34,0.95292586,0.154216,1.1814512,0.7210721,34
35,0.60350233,0.6656712,1.57893,1.8977487,35
36,0.32494417,0.5842039,1.8358984,1.0166831,36
37,0.04652134,0.4963697,2.561934,1.0398923,37
38,0.25464052,0.68067867,2.9799323,1.9570458,38
39,0.3733063,0.42897087,2.1379695,1.1272857,39
40,0.89068997,0.5463972,1.3883662,0.8892021,40
41,0.5562696,0.44770455,1.8211097,0.8153027,41
42,0.3971571,0.88173956,0.9213934,1.2988169,42
43,0.79167813,0.91257924,5.8174715,1.2583793,43
44,0.015161086,0.76531756,1.8224144,0.8162734,44
45,0.71381223,0.671521,2.0820456,0.6477905,45
46,0.6907414,0.47925684,4.210028,0.99000204,46
47,0.29074183,0.67366546,3.415891,1.0292535,47
48,0.8259156,0.8493497,2.61392,1.078358,48
49,0.76351845,0.55902445,3.3092499,0.7934976,49
50,0.653854,0.8076701,2.2344942,0.9355577,50
51,0.9205538,0.87416667,1.1120026,0.98813564,51
52,0.7672188,0.55371267,4.1995573,0.8810197,52
53,0.69123954,0.45954987,1.6983896,1.2522564,53
54,0.8888199,0.8762365,2.7303233,1.6872085,54
55,0.74642026,0.8960524,2.200969,0.9010377,55
56,0.847678,0.55704284,4.5981684,1.4163578,56
57,0.02902622,0.7798041,3.9288602,1.1877447,57
58,0.6225487,0.62566584,5.0987177,1.009347,58
59,0.9014256,0.3950433,6.6949253,1.5935798,59
60,0.7166288,0.80110353,2.777968,1.021551,60
61,0.6989394,0.3948269,3.459071,1.3469834,61
62,0.79670256,0.7959159,1.5835459,0.7403353,62
63,0.6972368,0.8392668,1.3636285,0.904433,63
64,0.8394409,0.84160477,4.5059924,1.1610181,64
65,0.6815817,0.8946544,1.6921735,0.702777,65
66,0.76754725,0.3597128,4.7778826,1.7803555,66
67,0.054469574,0.80324346,4.4825873,1.0602175,67
68,0.7125575,0.7628106,3.2584424,0.6488757,68
69,0.3544874,0.4322112,1.5560807,0.7058271,69
70,0.52730596,0.80478,2.3506508,1.1673484,70
71,0.8054456,0.9124113,2.7939758,0.97631764,71
72,0.97326547,0.9786115,5.853629,0.91481096,72
73,0.8379051,0.750049,2.795721,1.2837714,73
74,0.4942108,0.27971795,3.3444867,1.4230871,74
75,0.009096966,0.74195653,1.0933342,0.55764353,75
76,0.33511138,0.3838622,1.9547954,1.1938087,76
77,0.9273894,0.92738765,5.0182276,1.1599436,77
78,0.061176516,0.75523233,1.5852013,0.7481332,78
79,0.090442315,0.8196763,2.8798947,0.7126167,79
80,0.6627025,0.60182565,2.3453417,1.3720785,80
81,0.89488184,0.9383859,3.7571976,1.0469303,81
82,0.0946216,0.30858928,1.0133066,0.87720907,82
83,0.86795175,0.9359797,2.9995382,0.7007532,83
84,0.10912114,0.073052466,0.65397406,0.6266315,84
85,0.8951168,0.6218212,3.5391285,0.7495523,85
86,0.96810776,0.8258017,2.089316,1.0943828,86
87,0.4722273,0.7852324,5.4833417,0.8682792,87
88,0.031244617,0.7768443,1.8425022,1.2409883,88
89,0.17661539,0.6232375,0.76537853,0.8881942,89
90,0.93172044,0.8490307,2.7523663,0.9643359,90
91,0.8100933,0.50589514,1.8529179,0.5670094,91
92,0.8182748,0.79102546,0.4325812,0.8911232,92
93,0.34290665,0.54343396,3.8822973,1.5142171,93
94,0.84953,0.6189762,4.289329,1.3106853,94
95,0.81646657,0.81799203,2.2269962,0.8536518,95
96,0.74758494,0.04421769,3.1670454,0.8732253,96
97,0.01821889,0.841113,3.3205228,1.604262,97
98,0.7847635,0.89000833,1.7932427,1.0605721,98
99,0.7038418,0.93068665,1.8226742,2.090142,99
100,0.10119217,0.3228404,0.5900398,0.97226393,100
101,0.8127848,0.8105634,7.4057107,1.0294847,101
102,0.9264501,0.5314659,3.2384133,0.59641933,102
103,0.5411242,0.76380074,2.1695411,1.0448141,103
104,0.64470875,0.23338938,4.113279,1.350757,104
105,0.31977987,0.15412089,1.9027532,1.0319495,105
106,0.057912678,0.7322717,0.4756333,0.6255091,106
107,0.9422306,0.576658,1.6633351,0.83331275,107
108,0.0011543394,0.9378862,0.63611513,0.9236932,108
109,0.803625,0.42864603,5.04726,1.3657945,109
110,0.27043062,0.5245292,1.7576151,1.1110728,110
111,0.5001017,0.4875939,3.562362,1.7678822,111
112,0.1350382,0.5182206,1.7528617,0.6795085,112
113,0.3835093,0.79703224,4.861961,1.3133979,113
114,0.14882533,0.741527,1.0370294,0.6311437,114
115,0.95689386,0.90972817,0.8186692,0.5093311,115
116,0.8160907,0.85105187,1.9017004,0.72361946,116
117,0.31685734,0.9455047,1.2901134,0.92003196,117
118,0.21278961,0.6333706,2.1690068,1.0344366,118
119,0.014491262,0.5443399,0.560956,0.79938376,119
120,0.6723967,0.87083614,1.6063347,0.52050424,120
121,0.52425754,0.85217416,8.066393,0.88790035,121
122,0.88749236,0.9192012,4.688525,1.1799428,122
123,0.8373935,0.060982384,1.2544236,0.4091583,123
124,0.814841,0.7636242,5.622461,1.0547158,124
125,0.113304324,0.8862799,1.5942119,1.6199242,125
126,0.36583823,0.7164437,3.0919676,0.8601307,126
127,0.0104610175,0.66948026,4.9572253,1.1703007,127
128,0.16396378,0.84885216,1.3175255,0.8158421,128
129,0.377429,0.5443378,0.58075774,0.56624144,129
130,0.3977509,0.06331637,5.5645413,2.057162,130
131,0.86769646,0.9584433,3.7461174,0.56222224,131
132,0.7499907,0.8638881,5.5171757,0.6857531,132
133,0.93263316,0.8515269,2.7636552,0.8335555,133
134,0.050846305,0.37974828,2.1728313,1.3667827,134
135,0.7119363,0.63670796,1.6839486,0.7137729,135
136,0.9014751,0.8965514,4.2275624,1.1631762,136
137,0.7371594,0.51872194,2.6347055,1.272763,137
138,0.6273722,0.60785985,3.3530269,0.7509583,138
139,0.3085016,0.3489538,2.481519,0.8100865,139
140,0.6399133,0.9293977,1.2491074,0.94985753,140
141,0.58277553,0.8214178,4.077404,1.7435629,141
142,0.07160315,0.9305644,3.7489913,0.66962475,142
143,0.6176611,0.9876437,0.516148,0.63412154,143
144,0.3289507,0.35910344,1.0320069,0.50916874,144
145,0.2825868,0.47607514,0.7551242,0.9541774,145
146,0.93289864,0.6237814,0.93477577,0.62879634,146
147,0.6581799,0.7861883,3.0052736,1.4452007,147
148,0.7746573,0.73335505,4.3340454,1.2240967,148
149,0.890298,0.9631418,4.8939934,0.84116256,149
150,0.5957963,0.82496494,2.8752713,1.9755512,150
151,0.8793916,0.8758098,5.844385,1.1247252,151
152,0.99749124,0.49471307,0.7100667,1.1647742,152
153,0.4323521,0.37683967,2.7056975,0.85168594,153
154,0.6376569,0.68302834,3.7898304,1.0685924,154
155,0.096896864,0.10836428,1.0533401,0.7125746,155
156,0.68368596,0.1919782,3.057489,1.017753,156
157,0.13831623,0.83247423,0.8284635,0.6440741,157
158,0.6833353,0.59977394,1.6921388,1.4849315,158
159,0.7131008,0.56815106,2.785586,1.460761,159
160,0.83756465,0.6273432,2.6292162,1.7239856,160
161,0.35752726,0.09309817,2.1532903,1.8644637,161
162,0.002537588,0.80699295,1.634258,0.9021788,162
163,0.71828187,0.6470517,1.8357885,1.4453762,163
164,0.74029905,0.76639825,1.455343,0.903453,164
165,0.5403605,0.7164138,2.8869557,1.6623987,165
166,0.73991454,0.39207882,0.80399585,0.9824034,166
167,0.018953133,0.41236332,1.3864654,0.7577498,167
168,0.1567209,0.37946582,3.0483341,0.8752122,168
169,0.8574925,0.8253648,3.4399633,1.243001,169
170,0.939812,0.6866734,0.7990173,0.6688058,170
171,0.26305383,0.8546638,2.3122678,1.5189037,171
172,0.64465255,0.7445196,4.4922824,1.504582,172
173,0.8342893,0.9253281,3.8583932,1.5662009,173
174,0.46162972,0.66885906,1.1998893,1.0431796,174
175,0.21605566,0.4206398,0.69725066,1.080313,175
176,0.024676701,0.8381576,0.634712,0.88810873,176
177,0.65718544,0.7065928,3.7919073,1.975637,177
178,0.63527477,0.5778048,4.668651,0.95264685,178
179,0.49297878,0.40430433,5.7010775,1.900579,179
180,0.9157619,0.5454133,1.5892062,1.0093837,180
181,0.5588345,0.16304125,0.6886413,0.73953056,181
182,0.57107913,0.83452314,1.8673089,1.4649799,182
183,0.46633095,0.27373263,1.0575668,0.59275424,183
184,0.8879116,0.86727756,3.1473727,1.3586653,184
185,0.6044267,0.859391,7.716606,1.037034,185
186,0.8763612,0.6261997,5.575852,1.197666,186
187,0.7929061,0.96148634,1.1981741,1.351379,187
188,0.80781627,0.53937435,2.6970496,1.2445823,0
189,0.90990084,0.7065511,6.3209524,1.8264537,1
190,0.95968723,0.51528925,0.70002073,1.0884672,2
191,0.24482325,0.063499115,2.5216558,1.8482958,3
192,0.59277,0.91419953,2.0230255,1.199275,4
193,0.3898962,0.7205137,2.537654,1.1312048,5
194,0.5497431,0.6938567,3.4353857,1.5029413,6
195,0.0009815341,0.515031,1.064107,0.9966045,7
196,0.39462793,0.64671206,1.7211473,1.3397567,8
197,0.68014634,0.81211627,2.7895093,0.95290565,9
198,0.5100483,0.62354964,3.7204144,1.313587,10
199,0.82156545,0.59750915,5.066192,1.7004273,11
200,0.4269477,0.6453807,6.565422,0.8310076,12
201,0.87914765,0.79220086,4.796558,1.32891,13
202,0.4223591,0.6526377,3.0855348,1.5431529,14
203,0.63611275,0.6663449,3.8026204,1.1947609,15
204,0.46539763,0.646655,3.1780553,1.5000238,16
205,0.32603344,0.84422576,2.4972653,0.82279575,17
206,0.4543447,0.587555,2.6892605,1.210144,18
207,0.8015144,0.17035921,2.8252683,1.3294126,19
208,0.20657293,0.5441298,1.5699929,0.69697785,20
209,0.88662225,0.86224437,3.3712184,0.84301776,21
210,0.5499884,0.6327994,2.775075,1.8913028,22
211,0.69459325,0.7847954,2.863606,1.2176912,23
212,0.3238757,0.84200555,1.5550488,0.89360845,24
213,0.24240194,0.76062953,4.543888,1.1506705,25
214,0.37807816,0.054810487,2.3651855,1.2782345,26
215,0.7650942,0.78627884,4.832015,0.94719416,27
216,0.59186286,0.88045007,1.2902905,0.78148335,28
217,0.7247448,0.74415964,1.0319021,0.9777812,29
218,0.67703706,0.59156334,2.64168,1.0564983,30
219,0.18667029,0.8369543,1.2322546,0.92874515,31
220,0.8991693,0.9534118,1.4662535,0.84764934,32
221,0.022372732,0.90941846,3.4315636,1.002723,33
222,0.12798859,0.40345147,0.8230401,0.6991447,34
223,0.63797235,0.27272987,1.5784183,1.9104741,35
224,0.8310477,0.88623303,2.3722844,1.1833086,36
225,0.067063615,0.58981353,2.426633,1.0377939,37
226,0.36900714,0.669419,2.3222547,1.7323225,38
227,0.13512895,0.3854208,2.0253606,1.1054823,39
228,0.79580384,0.58716655,0.9539784,0.9071854,40
229,0.76052165,0.3748349,0.79261756,0.8051019,41
230,0.24631765,0.74481374,1.1974683,1.306441,42
231,0.7652615,0.7667072,6.1379666,0.95773876,43
232,0.68407595,0.7558073,1.9906995,0.94350564,44
233,0.6262759,0.5714837,2.047363,1.1528403,45
234,0.62648934,0.49277723,4.1912107,0.95566386,46
235,0.6390477,0.6651521,3.8797765,1.0334588,47
236,0.8494561,0.85467213,2.7845292,1.2219658,48
237,0.8817589,0.74640775,3.0747626,0.59492415,49
238,0.66825217,0.7658264,2.79181,1.4112295,50
239,0.25125152,0.7837737,1.6763797,1.0843346,51
240,0.48953065,0.5866915,4.053926,0.8568313,52
241,0.8293232,0.5761729,1.9291841,0.8362978,53
242,0.8954089,0.8071453,2.0994308,1.5660232,54
243,0.8073804,0.6505012,1.4455771,0.9159254,55
244,0.89968145,0.6463866,3.902628,1.5677991,56
245,0.026357776,0.66987973,3.7943144,1.4398395,57
246,0.8380917,0.60520416,5.5948544,1.1270342,58
247,0.5781471,0.49838448,4.4349174,1.5516284,59
248,0.6182503,0.8481589,2.0319881,0.82266575,60
249,0.5469798,0.22498734,3.443255,1.4348541,61
250,0.9193244,0.9474513,1.823096,1.0001395,62
251,0.77842206,0.954233,0.8148452,1.6582971,63
252,0.68051225,0.6119217,4.0983,1.345398,64
253,0.834958,0.8185883,1.3692774,0.98243743,65
254,0.70370615,0.48658597,4.310513,1.8982415,66
255,0.09554108,0.8125655,4.0958457,1.284837,67
256,0.6452075,0.3947392,2.4420593,0.77228576,68
257,0.14401503,0.40142027,1.6709244,0.79675144,69
258,0.47319564,0.52032226,2.4840114,1.3065529,70
259,0.96802425,0.9357158,1.7576203,1.049835,71
260,0.8817585,0.93284833,4.7580585,0.6200962,72
261,0.58745056,0.800098,2.5254788,1.0384512,73
