,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
0,6.093874,0,0.2957464,3.6528633,0.6519265,3.9703515,0.60126865
1,5.724921,1,0.30486444,3.9855635,0.63537437,3.6415381,0.5994978
2,2.7958882,2,0.47287136,3.4555733,0.6620902,4.628736,0.58852553
3,2.9526832,3,0.34010926,3.6734977,0.50889766,3.5875585,0.6567301
4,3.0084224,4,0.4611723,3.518046,0.6333088,3.8373275,0.585761
5,2.8447783,5,0.31694958,3.5323076,0.63652515,3.872393,0.6611867
6,4.2492423,6,0.3183518,3.5329204,0.64559984,3.7650473,0.64385134
7,2.9528725,7,0.6109739,3.3295553,0.7062264,5.788786,0.65111256
8,4.9535613,8,0.32517952,3.7943184,0.6247619,3.7575758,0.64153993
9,3.4541912,9,0.35548115,3.397583,0.64595336,4.200217,0.62054634
10,6.633409,10,0.2891952,3.940432,0.6187559,3.7687867,0.59630626
11,5.588954,11,0.2989795,3.7099073,0.6427007,4.066952,0.6607152
12,6.686769,12,0.28481716,3.7879071,0.60362405,3.8757064,0.62078196
13,5.658069,13,0.3200592,3.6871402,0.65686643,4.311152,0.52214795
14,3.15566,14,0.30197114,3.680079,0.61228836,3.9134753,0.62464714
15,3.9981647,15,0.3849187,3.6276174,0.6514624,4.242051,0.5985699
16,2.9637916,16,0.32188067,4.239925,0.60522085,4.084184,0.6366554
17,4.2648573,17,0.40862024,3.5428052,0.6694802,5.4056525,0.67399156
18,4.8650107,18,0.46206257,4.0026903,0.6209198,4.365036,0.45377418
19,2.9198062,19,0.3397989,3.376758,0.65893847,4.337934,0.66627437
20,3.0277553,20,0.2950319,3.2376952,0.6703334,5.0335674,0.69309354
21,3.1023505,21,0.33705604,3.418641,0.6784584,5.8753963,0.5915406
22,4.1323442,22,0.30433425,3.5425792,0.63762665,3.607054,0.64659935
23,4.3676434,23,0.351611,3.667456,0.65727514,3.7712884,0.5997074
24,3.0116317,24,0.5382225,3.3819106,0.69089526,5.479687,0.6662829
25,6.094802,25,0.28306422,3.5088742,0.61926186,4.1796246,0.68638146
26,2.8217065,26,0.35725114,3.144345,0.6804447,4.3262672,0.6688241
