,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,1.0565902,-1.9523704,0.77232647,-1.7124434,-1.9283946,1.2517264,0
1,0.4454337,-1.3654581,1.3783183,-1.8082414,-3.1974592,-1.0352975,1
2,3.7710443,-0.69150066,-2.4688852,-1.9725465,-1.8937616,0.26709753,2
3,-0.92497563,-3.4417853,-1.0244274,-1.6795833,-2.523921,0.40715885,3
4,0.5350195,-0.1904906,-1.547172,-1.5321987,-2.1545596,1.0338694,4
5,-0.6386134,-1.6625437,-1.7098242,-1.9293085,-2.1104484,1.5501115,5
6,1.2497156,-1.1513791,0.06615317,-1.6877712,-2.0885847,-0.6207359,6
7,-3.5574806,-0.74847734,-2.2179892,-2.2312565,-2.735734,1.0434375,7
8,0.09801939,-1.3173538,0.02048096,-1.5149047,-1.9895241,0.11379892,8
9,1.8742156,-0.972159,-0.1270996,-2.0054338,-2.4080584,-0.4975521,9
10,1.2485121,-1.2979373,0.4026832,-1.0299139,-2.1891298,0.525717,10
11,0.39048386,-1.5275242,0.15490481,-1.5968378,-2.529909,1.9237099,11
12,-0.7961666,-1.6990626,1.9577055,-1.972469,-2.686278,1.048229,12
13,2.0807376,-1.1640741,0.537845,-1.6129885,-3.1138496,3.3806553,13
14,0.04827869,-1.7667372,-0.5899912,-1.7791228,-2.7475798,1.4692448,14
15,0.31481025,-1.2464561,-0.31901637,-2.0380607,-2.3959866,-0.27145576,15
16,-0.11625545,-1.1408255,-0.7287066,-1.1832907,-2.3878706,0.92544085,16
17,-1.0125536,-0.5075815,-0.17763096,-2.6517558,-2.495004,0.9430425,17
18,0.057803363,-0.47414845,0.3615613,-1.2954986,-1.9849766,-0.044054464,18
19,0.17430136,-1.5111439,-1.3196235,-2.2193193,-2.6805325,0.4324165,19
20,0.21141219,-2.3517313,-1.6108909,-2.5889802,-2.1707175,1.606677,20
21,1.3142717,-1.5388883,-0.63401335,-2.6910982,-2.065605,0.36795884,21
22,0.879108,-1.9312701,0.36120224,-1.642667,-2.5664625,1.1910625,22
23,1.4299352,-0.7643707,0.110317454,-1.4917341,-3.2105422,0.9519846,23
24,1.2369955,-0.090789184,-1.1837667,-2.7468066,-2.0109599,1.6385112,24
25,-0.6313123,-1.1821396,0.43006456,-1.9764445,-3.2148836,2.0259743,25
26,0.32842836,-1.8790607,-1.6510745,-2.4350855,-2.8961797,2.3011255,26
27,0.98096687,-0.93574524,0.09237033,-1.9142184,-2.6097114,2.52381,27
28,-1.2644043,-1.8337641,-1.1213999,-2.2897425,-2.7521558,0.49705696,28
29,-0.8990345,-1.6417735,-1.4478971,-2.0975966,-2.2013776,0.91203105,29
30,1.3733733,-1.3233912,-0.5536783,-1.6033862,-2.5854795,-0.29152554,30
31,-1.3099642,-1.5451567,-1.3905622,-2.4093215,-2.7039564,-1.5461452,31
32,1.6910684,-0.92883956,-2.042478,-2.2605257,-2.9431102,2.1041148,32
33,-3.5958729,0.028674066,-0.43929887,-2.169093,-3.0944872,-0.04938388,33
34,-1.9806042,-2.4112458,-2.4729626,-2.4602509,-2.898563,-0.063399196,34
35,0.69050664,-1.474624,-1.9749981,-1.5599486,-2.4415932,-1.4315968,35
36,0.46470684,-1.8071539,-1.600765,-2.1183188,-2.9090657,0.71836317,36
37,-0.89141417,-0.8925328,-0.7353158,-1.7501968,-2.4928124,0.21633404,37
38,-0.47958103,-1.3370835,-0.32834256,-1.7521713,-2.6040595,0.99426174,38
39,-1.1032063,-2.80497,-1.3426123,-2.341302,-2.6100717,1.2452084,39
40,1.501748,0.6099137,-2.903399,-2.0522873,-0.49141634,0.32981655,40
41,2.6278913,-1.38744,-1.6942894,-2.3340027,-3.0388534,2.0130305,41
42,-0.3578651,-1.1851101,-1.2670662,-1.7254649,-3.0456326,2.263542,42
43,1.787935,-0.8755019,0.81469417,-2.0038066,-2.519649,3.2679152,43
44,0.12441691,-1.2211236,-1.2319844,-2.1663008,-2.656307,-0.2965696,44
45,0.8444257,-0.88431096,-0.4008544,-2.234306,-2.1180596,0.96369636,45
46,-0.039717853,-1.1887103,-0.39731884,-1.9734333,-2.354586,0.44990048,46
47,-0.8518763,-1.536713,0.42064685,-2.0338702,-2.9341555,0.26880974,47
48,2.2226076,-0.37851307,-0.164074,-1.7276092,-1.6860756,0.4971328,48
49,0.5337255,-1.0685837,-0.17993116,-1.9843532,-2.175531,-0.02925083,49
50,0.980729,-0.088068545,0.13954388,-2.0206351,-2.7513082,1.5285344,50
51,0.39082825,-0.22486588,-1.1939256,-2.4628968,-3.1728873,2.676055,51
52,-0.022706926,-0.88213384,0.5817412,-1.9575311,-2.1029394,-0.028097272,52
53,1.0939425,-2.2715688,-0.7670659,-2.0371387,-2.367186,1.3712218,53
54,1.6972964,-1.2791066,-0.4952517,-2.0954862,-3.0148916,0.96220714,54
55,2.0011268,-0.57446533,-0.6954865,-2.6556108,-2.9689083,-0.68851364,55
