,locs0,locs1,locs2,locs3,subject
0,0.28960913,-0.0925089,-0.8897899,-0.9518931,0
1,-0.4413452,0.7109777,0.5560626,-0.1143225,1
2,-0.8282963,1.5490177,-1.2343898,-1.8661468,2
3,0.19294542,-1.5232558,-2.0563135,-3.0004435,3
4,0.62305605,0.13008384,-1.1432898,-1.9572172,4
5,-2.148402,-0.866863,0.03407502,-2.3707626,5
6,-1.294055,0.13296466,-0.58653975,-1.1552727,6
7,-0.8750093,1.1581442,-1.5376096,-2.8839762,7
8,-0.20746203,-0.27103424,-1.5160539,-0.8844855,8
9,-1.4035866,0.6563518,0.08976358,-1.7183018,9
10,0.034131557,0.05129466,-0.9329909,-0.0700752,10
11,0.4308798,0.22924295,-0.9547488,-0.5087614,11
12,0.61427116,-0.14641014,-1.2511643,-0.55659616,12
13,-0.74549216,0.20257768,0.106438816,-0.094189376,13
14,0.53903365,-0.6819166,-1.8332678,-1.1054099,14
15,0.87819713,0.022709846,-1.9677027,-0.827005,15
16,-0.67477846,-1.1673074,-1.5152833,-1.7277542,16
17,0.65220726,0.6826669,-1.7173208,-1.0081689,17
18,1.1335497,0.85137004,0.29538155,-0.58152115,18
19,-1.1130168,-0.024651432,-1.8627837,-1.7230893,19
20,-0.6832382,-0.7209708,-2.0145247,-3.1997225,20
21,-1.1315861,0.80434096,-2.0187387,-0.6447934,21
22,0.08395451,-0.21122953,-1.1544267,-0.9264283,22
23,-0.64195967,0.56218934,-1.3774172,-0.37119836,23
24,-2.3425689,1.2149229,-0.75413704,-2.2572763,24
25,0.6118394,-0.19669093,-1.3830421,-1.1661448,25
26,-0.06729521,-0.1349675,-2.2792995,-3.5758295,26
27,-1.0714196,0.5910909,0.04512179,0.4694636,27
28,-0.32834953,0.65529656,-2.0616004,-2.3497746,28
29,-0.79236716,0.262464,-0.8994015,-2.1669257,29
30,0.70445466,-0.46683913,-1.78456,-1.7457621,30
31,-1.5524384,-0.54119146,-1.943321,-1.5554422,31
32,0.43836737,1.281968,-2.2610826,-2.4963307,32
33,0.59406495,0.41564566,-1.2262795,-1.3417809,33
34,-2.1326356,0.66039014,-2.1303651,-2.0191464,34
35,0.7461156,1.0434456,0.16525781,-2.7464254,35
36,0.22644484,0.8782259,-2.139653,-1.5044457,36
37,1.3690637,0.33075675,-0.42879897,-2.1998029,37
38,1.7807623,-0.53263193,-1.914729,-1.5890813,38
39,-1.3685571,-0.9407145,-1.2819656,-1.7078857,39
40,2.496069,1.4156542,-1.3717191,-2.3865185,40
41,-1.843495,0.22348477,-1.9850411,-2.4705467,41
42,0.5905982,-0.941419,-1.8841041,-2.627134,42
43,0.27410498,0.8429178,-0.19093028,-1.0058621,43
44,-0.44370973,0.11834393,-2.5495203,-2.190798,44
45,-0.34991795,0.19940013,-1.3241144,-1.4716996,45
46,0.43425983,-0.4670967,-2.1685596,-0.6856605,46
47,-0.24163678,-0.21917267,-1.2608712,-1.3566058,47
48,0.042946935,0.92438257,-0.710044,-3.1295426,48
49,-0.7675972,-0.63967735,-2.1262755,-0.82591426,49
50,0.65483046,0.54745096,-1.1521468,-0.81343013,50
51,-1.5725126,0.76373374,-1.8665396,-2.1627007,51
52,-1.9288075,-0.40340978,-1.1805652,-0.44950533,52
53,-1.0778004,-0.19774899,-1.126693,-1.9645996,53
54,0.7726692,1.003683,-0.7420118,-2.0175447,54
55,-2.130588,0.8591726,-1.4023018,-1.3347942,55
56,0.060523205,0.36994514,-0.17754814,-0.91696453,56
57,0.76087266,-0.58953243,-0.66732,-3.2510448,57
58,1.285648,1.0376856,-0.26916254,-0.22362566,58
59,-0.34227392,-1.212112,-2.4491801,-0.8619178,59
60,-1.4936173,0.3143009,-1.4234598,-1.7131484,60
61,-0.639609,-0.34959736,-0.4067666,-1.5885257,61
62,-0.42897636,1.3224165,-1.3747737,-2.400185,62
63,-0.64281225,1.1369015,-1.2548782,-1.7461427,63
64,0.3339104,-0.30503258,-1.1216741,-2.858067,64
65,0.10482025,1.4665718,-1.116103,-2.0006142,65
66,-0.45008814,-0.5169242,-1.1235806,-0.49972332,66
67,1.0496244,0.052381203,-0.35717624,-1.8201956,67
68,-1.5868375,-0.14500901,-1.0962839,-1.0866088,68
69,0.046512485,0.08224276,-1.9963489,-2.4015508,69
70,-0.25889385,1.939565,-0.15018517,-0.2704066,70
71,0.27059126,0.19094098,-1.8216243,-2.3710618,71
72,-1.491504,2.2275758,-1.3547089,0.011297226,72
73,1.0536268,0.9247877,-0.7794439,-1.9349828,73
74,0.940484,-0.6107812,-1.7252674,-0.04750535,74
