,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,1.1101393,0.88133466,-0.4099276,0.13873982,-1.3875744,-0.07296121,0
1,1.5906799,1.2572409,1.2826984,1.3250133,-1.675189,1.2107549,1
2,1.2847497,0.2622893,-1.3479426,2.4465346,-1.693699,-1.6952204,2
3,1.0801744,-1.5433732,0.22551861,0.42773652,-0.8862512,-0.77323264,3
4,-1.7616239,2.6786838,-0.5443643,3.0687568,-1.4941009,0.7374912,4
5,2.5228972,0.8183655,-0.2644198,1.7147161,-1.4219027,0.38567245,5
6,1.3537059,1.0179579,0.12835374,1.7094434,-1.3802195,0.30913514,6
7,0.86251384,-1.9552414,-0.7449513,2.362235,-2.4788423,0.3704759,7
8,0.5041934,-0.8031814,0.2730776,2.5056942,-1.4458867,0.28321683,8
9,0.9309001,0.3888229,-0.38803056,1.507918,-1.9237953,-0.2286185,9
10,1.5607612,0.252318,1.0589037,2.235352,-1.4737998,1.6774347,10
11,1.4676474,0.6236912,1.2050033,1.8058877,-1.862831,0.40584758,11
12,0.5188392,0.8246201,2.8939214,0.6947746,-1.7648472,-2.3050756,12
13,-0.5173627,1.495868,0.09618604,2.4266195,-1.6375649,1.8387585,13
14,-0.58050025,5.0351024e-05,0.034944624,3.008906,-0.96125996,-0.11627084,14
15,0.41613084,1.7730637,-0.5329772,1.8600211,-1.668863,0.84496105,15
16,1.6100605,0.5050728,-0.50889856,2.9342234,-0.87332714,0.4370407,16
17,2.4752984,2.7137017,-0.7935063,0.27739727,-1.8267041,-1.1765358,17
18,0.7241739,1.255343,-0.4867928,0.28887314,-1.6058863,0.54766476,18
19,0.494738,-0.08183205,-0.14096296,2.4037693,-1.9279048,-0.6090014,19
20,0.748099,-0.18975806,-0.8415912,0.4707386,-1.7088298,-0.42194986,20
21,-1.1926435,1.3475981,0.028226972,3.0210152,-2.8860035,-0.89787924,21
22,1.9722165,0.0420278,0.08718887,1.6853458,-1.0304881,-0.08031058,22
23,2.2516994,1.3052782,0.27985516,-0.6794752,-2.2863793,-0.78108203,23
24,0.6954925,2.325475,-1.5236952,3.131021,-1.9172003,-1.9185252,24
25,0.77320594,0.72822213,0.36173412,1.2771537,-1.4505521,0.45553142,25
26,0.77849984,-0.17898174,-1.3070841,2.845386,-1.7673701,-0.9485227,26
27,2.1556313,1.3669182,1.6852262,1.8003505,-1.8733608,-1.4261365,27
28,3.3993244,1.8092291,-1.4687626,-1.737327,-1.7410314,-1.9539087,28
29,-1.836573,2.0868602,-1.7734617,1.5260284,-1.3472221,-0.8080993,29
30,0.6884699,-0.21023813,-0.58395886,2.6168904,-1.7361819,1.6849492,30
31,-1.7327746,0.83276296,-0.49090832,2.7415388,-1.5981147,-2.0679765,31
32,-2.8108056,1.6544476,-2.0211668,1.8039722,-1.8220116,0.2923954,32
33,-0.7183653,1.9862245,-0.64511,1.224012,-0.42085475,-2.2528262,33
34,-0.44429052,-1.0138134,-1.9957182,1.3918351,-1.7162157,-3.2641008,34
35,1.8116126,-0.5535735,0.049514532,-1.7014979,-0.9535198,1.351516,35
36,-0.16332865,0.4028061,-1.3192955,1.9285331,-0.64996207,-2.228747,36
37,-0.74620175,0.09248352,-0.90551054,-0.6526731,-1.244233,-1.1995258,37
38,-2.1799288,0.36683494,-0.5158004,1.7204175,-0.83227456,-0.5068263,38
39,0.17669791,-0.8697175,-0.23078361,0.35263646,-0.8764805,-1.2464123,39
40,-1.3708955,0.4684589,-1.6341399,0.7167644,-2.340361,3.2640724,40
41,0.9351901,0.42244285,-1.8167992,1.1094489,-1.3048465,-2.9729483,41
42,-6.231641,0.40247363,-1.0118967,1.9321841,-0.9930903,0.014878333,42
43,1.3118637,1.0454552,0.59512985,1.640927,-2.4736,2.0779645,43
44,-1.8953307,0.07856488,-1.2491829,-0.12973607,-1.9427153,-2.954167,44
45,3.6976516,1.013383,-0.8406509,1.3219264,-1.8585539,-0.03942085,45
46,1.5641029,-0.46255693,1.3066685,1.3444883,-1.3363703,0.74934083,46
