,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
0,0.75215507,0.7070987,2.393577,0.5346294,1.1987716,0.48176777,0
1,0.8307118,0.77855074,4.6974525,0.79001456,0.9464015,0.77043253,1
2,0.7832572,0.56519896,1.2372416,0.92030764,0.9317399,0.15509054,2
3,0.74652696,0.17604543,3.3368516,0.60533303,1.7513041,0.31578025,3
4,0.14658707,0.93575704,2.2030375,0.9555855,1.0998421,0.67644703,4
5,0.92573154,0.69388926,2.6056654,0.847447,1.1661808,0.59524053,5
6,0.79473484,0.7345746,3.192267,0.8467641,1.2058426,0.57667416,6
7,0.7031856,0.123982966,1.9315342,0.9139018,0.46412873,0.591574,7
8,0.6234443,0.3093454,3.4070897,0.92454004,1.1438124,0.5703347,8
9,0.71725786,0.5959993,2.425149,0.8187524,0.7646336,0.44309303,9
10,0.82646257,0.562747,4.454886,0.90337956,1.1181946,0.8425645,10
11,0.8126995,0.6510576,4.616482,0.85886407,0.80624056,0.60009176,11
12,0.6268763,0.6952162,5.6852713,0.6670282,0.87710583,0.09070347,12
13,0.3734691,0.81695735,3.144168,0.9188348,0.97678006,0.86280185,13
14,0.35881752,0.5000126,3.0524116,0.95297486,1.659756,0.470965,14
15,0.602557,0.85483825,2.2189364,0.8652994,0.9514549,0.699509,15
16,0.83341974,0.62365067,2.2527106,0.94951254,1.7673748,0.60755366,16
17,0.9223919,0.9378303,1.8684978,0.56890804,0.83178824,0.23567562,17
18,0.6735255,0.77822334,2.2838964,0.57172024,1.0029632,0.6335936,18
19,0.62122196,0.4795534,2.788905,0.9171143,0.76189595,0.35228702,19
20,0.67876434,0.45270228,1.8071985,0.61555856,0.9198934,0.39605027,20
21,0.23278648,0.7937367,3.0423374,0.9535145,0.31709886,0.2894865,21
22,0.877849,0.5105054,3.1307006,0.84361106,1.5779369,0.47993317,22
23,0.90479696,0.7867219,3.4170642,0.33637843,0.55354387,0.3140867,23
24,0.6671877,0.910965,1.0735081,0.9581544,0.7690445,0.12802611,24
25,0.684214,0.674415,3.5367608,0.7819649,1.1394995,0.61195356,25
26,0.68535674,0.45537364,1.2778511,0.94507974,0.87521815,0.27918202,26
27,0.8961938,0.7968818,5.061572,0.85819155,0.79892004,0.19370139,27
