,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-0.87462735,0.14504199,-1.0052496,-0.38039994,-1.6436245,-3.0408344,0
1,-0.08864218,0.012212753,-1.4146338,-0.7999149,-2.802721,0.65033543,1
2,-0.11698741,1.6894534,-1.607878,-2.5150373,-2.7793958,0.085069776,2
3,1.1831323,0.49236727,-2.2487419,-2.212071,-0.60662633,-1.9251168,3
4,-0.19897307,-0.7742343,-1.9778094,-1.1772743,-1.8401163,-1.4681256,4
5,-1.3570149,-0.868055,-1.5906758,-1.9806621,-1.2308207,-0.65721256,5
6,-1.4079063,0.4082705,-1.1258092,-1.4449167,-0.9296044,-4.571279,6
7,-0.07663345,0.77367675,-2.265504,-2.555553,-3.6577814,0.8654854,7
8,-0.6615559,0.4651591,-1.9278704,-0.6916733,-1.2971525,-0.968948,8
9,-0.8588159,0.38328537,-0.8072725,-1.5502516,-2.8317838,-1.2746007,9
10,-0.23354332,-0.034518152,-0.52214456,-0.15216719,-2.552441,-0.5592083,10
11,-0.8240652,0.62188375,-1.1290079,-0.33209443,-1.0863376,-0.79308534,11
12,-0.11241293,1.1492152,-0.15879309,0.26117468,-1.8446363,-0.056875467,12
13,-0.75290215,0.39378634,-0.80631125,-0.07402983,-2.8368597,-2.681942,13
14,-0.616794,0.2231826,-2.0296116,-1.6834635,-1.4166551,-0.071823955,14
15,0.7222956,1.001193,-1.4905577,-0.19144666,-2.3774116,-1.7776439,15
16,-1.5121348,0.5382486,-0.56775606,-1.0560405,-1.1369498,-0.9440286,16
17,-1.1230812,1.1189213,-1.5068046,-1.7410527,-1.5008919,-1.7118299,17
18,0.6557791,0.84526443,0.27502614,-2.6098828,-2.2659307,-0.8913777,18
19,-0.80467385,-0.01067245,-1.7131445,-1.8790118,-3.0919383,-0.2922957,19
20,-0.39261824,0.22549388,-2.273905,-2.6473432,-1.7072062,-2.2950442,20
21,-1.775699,0.41233876,-1.2208636,-1.7627492,-1.3202279,-1.9435344,21
22,-1.9895854,0.8099566,-0.39148682,-2.1520398,-1.1448463,-0.14305295,22
23,-0.9142021,0.27716362,-1.9668353,-0.5463507,-2.5226638,0.8358363,23
24,-0.84250546,0.5291569,-1.9597168,-1.8676409,-2.8701367,-1.7047459,24
25,-0.52601504,-0.22183935,-1.7046454,-0.78407073,-1.8097765,-1.2430394,25
26,-1.3600299,0.34557438,-1.9510987,-2.4599175,-1.771886,-2.8445349,26
27,-0.65573907,0.9063611,-0.70845115,0.1971972,-1.7501163,-0.4822874,27
28,0.027128398,-0.15633649,-2.404329,-2.140557,-2.5901775,-1.2514459,28
29,-0.18718147,0.203623,-1.6691407,-2.1868012,-2.0936692,-1.1056931,29
30,0.025334373,-0.14591917,-1.3620045,-2.5634294,-1.9815611,-2.2649817,30
31,-2.893354,-0.24455333,-0.98879623,-3.134887,-1.9803599,-1.7032008,31
32,-0.24933338,2.4917116,-2.4555087,-2.0166628,-1.7690603,-1.4580164,32
33,-0.8669939,1.9526243,-1.1623847,-1.1827049,-0.45929897,-2.1948218,33
34,-1.8693864,0.77619195,-1.9821844,-2.8770616,-2.3343074,-2.3490767,34
35,0.4846943,1.205442,-0.4452051,-2.029005,-1.9067028,1.6251986,35
36,-0.6648282,1.0764172,-2.316681,-2.016387,-1.4508115,-2.2842832,36
37,0.28609523,-0.2920404,-1.1778941,-3.0212574,-2.1829877,-1.3825371,37
38,1.5091194,-0.51162803,-1.9115185,-2.1904042,-1.8566905,-0.74963576,38
39,-0.04120314,-0.009813055,-1.5226407,-2.0195413,-2.01179,-1.178524,39
40,-0.4159159,1.4519846,-1.3875425,-2.262306,-2.0394716,-2.0385444,40
41,-2.3238711,1.0584515,-2.1463957,-2.6065314,-1.0278237,-3.4812474,41
42,-2.162253,-0.10271782,-1.9693704,-2.0799828,-1.392988,-0.8745228,42
43,-0.3293036,0.5774985,-0.11814326,-0.7697221,-2.1627085,-2.4978454,43
44,-1.4808998,0.7654395,-2.206557,-1.6786283,-1.5993282,-1.5546408,44
45,1.2083714,1.4039395,-1.1484648,-1.3116952,-2.8255403,-1.7861423,45
46,-0.98224926,0.9499041,-0.7164061,-1.270067,-1.7204942,-1.29064,46
47,-1.2360225,0.2809197,-1.0406508,-0.54387,-2.0875459,0.37909484,47
48,0.17141691,0.88958585,-1.8129485,-1.1093688,-2.925309,1.3493336,48
49,-0.22331554,-0.03893215,-1.4750013,-1.9841181,-2.1715093,-2.0141466,49
50,0.90826064,1.1879804,-1.7315087,-1.036608,-1.796454,-2.6264567,50
51,-1.4231234,0.54260254,-2.4036086,-2.6636071,-3.1496472,0.01855135,51
52,-1.0196967,1.5110973,-0.76847047,-0.75700027,-2.3795238,-1.4488997,52
53,-1.0478957,0.72483915,-1.1694416,-1.6166852,-2.135744,-1.279542,53
54,0.64738363,-0.08054817,-2.4743016,-1.8335506,-2.423872,0.24382353,54
55,-2.7637544,-0.07897884,-1.4621335,-1.7587165,-1.7387742,-1.8972968,55
56,0.33722407,1.1028352,-0.4088228,-1.074513,-1.8994712,-3.9402134,56
57,-0.41799736,1.0053644,-0.64233756,-2.2110481,-0.48043972,-0.5808314,57
58,0.5854254,0.75356084,-1.3316337,0.11530197,-2.1540625,-1.05517,58
59,-1.057421,0.26875913,-0.44523394,-1.2007635,-1.1804267,-1.0471907,59
60,-0.69999313,0.08322722,-2.1555784,-1.1163216,-1.535464,-1.8947034,60
61,-0.53549254,-0.045299634,-0.10502648,-0.8534516,-2.2017026,-2.833458,61
62,-0.46478632,1.203243,-1.2169089,-1.9852118,-2.3798733,-1.3597335,62
63,-0.14309502,0.5244978,-1.6024762,-2.218425,-2.128466,-1.3025451,63
64,0.08508086,-0.036264226,-1.2256025,-0.5658145,-2.1573815,0.40272313,64
65,0.4826498,0.4298448,-1.2348738,-1.9148318,-3.990769,0.016431808,65
66,0.32159904,0.389777,-1.3734311,0.56878114,-1.5267467,3.3010826,66
67,0.66617966,0.17448533,-1.3767201,-1.257866,-1.0260973,-3.1243415,67
68,-1.2579626,0.31367293,-2.1705127,-0.58867395,-1.7343701,-0.99651814,68
69,-1.4070867,0.031581327,-2.115043,-2.0977025,-1.7377228,-2.6092143,69
70,-0.21462213,0.17406785,-1.3383012,-1.2336564,-2.5263014,-0.7610697,70
71,-0.8074898,1.9010558,-1.3254213,-1.4722002,-1.6703153,-1.8047936,71
72,-1.8962853,1.4246142,-1.6182926,-0.60634524,-1.694458,-2.742402,72
73,0.057492696,0.9582422,-1.104115,-0.74532974,-1.7024177,-1.3971308,73
74,0.17753682,0.7129837,0.30110222,-0.097522706,-1.9992697,-2.3934436,74
75,-2.209377,1.7070339,-1.301955,-2.5764832,-3.1838422,0.7244761,75
76,-0.32855588,-0.08452253,-1.4573208,-1.6566366,-2.0583904,-0.2596139,76
77,-0.36691076,2.8643093,-1.1617236,0.63417083,-1.0446557,-3.310961,77
