,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
0,2.1375706,0,0.38959545,1.5955951,0.5472983,0.20721167,0.7765692
1,2.7429473,1,0.48292652,2.2332768,0.5899898,0.39507392,0.63438016
2,0.62572455,2,0.28016365,0.8280124,0.74170226,0.18285501,0.79687077
3,0.5068415,3,0.47912169,0.78289896,0.5331613,0.14998394,2.0307698
4,1.0364194,4,0.51116896,1.0772625,0.613864,0.40282908,0.79175746
5,0.89100134,5,0.20597762,1.6636933,0.47767302,0.30653128,1.1093296
6,1.6835595,6,0.3223771,1.5306786,0.5961052,0.35274598,0.82767826
7,0.56884557,7,0.29243287,0.7468594,0.69849575,0.18891707,0.7734645
8,2.0821621,8,0.34342712,1.254816,0.52868813,0.18728293,1.0883092
9,0.9656505,9,0.26205724,1.900378,0.5915145,0.23799364,0.75329566
10,2.9261765,10,0.49373597,1.848786,0.57056224,0.5428731,0.67954993
11,2.0662265,11,0.46674475,1.3162513,0.5833705,0.35055372,0.8232627
12,2.5754213,12,0.40245104,1.7960981,0.53802156,0.18145105,0.9014877
13,2.3888955,13,0.3092342,2.4811,0.64921033,0.36514425,0.66192085
14,0.89879084,14,0.41956118,1.117028,0.52507454,0.3516466,0.9891263
15,1.3933238,15,0.41609803,1.6397734,0.6817352,0.21459694,0.7992118
16,0.88099855,16,0.36519367,1.5224355,0.4678598,0.35779876,1.1053334
17,1.1026237,17,0.3300381,1.0588673,0.64884394,0.19019912,0.95763147
18,1.2949973,18,0.719693,3.2379057,0.69975656,0.2682037,0.5643631
19,0.8899589,19,0.2669212,0.9854597,0.6082484,0.20695452,0.7915016
20,0.3746397,20,0.27916518,0.5947643,0.4723858,0.18693396,0.97585505
21,0.91626,21,0.18550391,1.354202,0.59796554,0.1722129,0.7483603
22,0.7885398,22,0.35828766,1.5594387,0.5742733,0.44351226,1.0157617
23,2.6919804,23,0.46504158,1.2731586,0.66980666,0.27401128,0.7811338
24,0.9269276,24,0.19472125,0.8571505,0.67209435,0.1656753,0.80699545
25,2.1496842,25,0.5625152,1.620785,0.54699636,0.31408656,0.74955153
26,0.42044553,26,0.3149728,0.5444451,0.6700484,0.19965181,0.8784004
27,3.681443,27,0.2797068,2.0455263,0.61106104,0.26844394,0.8186883
28,0.52130073,28,0.3859152,0.6325194,0.66597277,0.20719548,0.83855027
29,0.685059,29,0.23606989,1.2466604,0.6415553,0.21065609,1.0331428
30,0.7002057,30,0.46188354,1.7017548,0.57170296,0.2729676,0.8137682
31,0.69478756,31,0.17319547,1.0640762,0.5117269,0.14438428,1.0092121
32,0.7638339,32,0.24566317,0.84379584,0.7010708,0.1920809,0.7758485
33,1.2278188,33,0.39065173,1.2902935,0.7230048,0.0817351,1.8429999
34,0.37169915,34,0.19008367,0.5461619,0.6744857,0.150482,0.83153784
35,0.562845,35,0.5282404,1.2267857,0.6148817,0.709191,1.2497923
36,0.5958487,36,0.22985287,0.7503951,0.64555043,0.2362005,0.8962041
37,0.8582228,37,0.59144104,1.2823726,0.53298813,0.14100179,1.0345438
38,0.7162753,38,0.62000686,1.0047337,0.5836443,0.29473093,1.1132008
39,0.69035137,39,0.2339914,1.387493,0.4571886,0.24309967,1.0946218
40,0.45316067,40,0.6523844,1.0119923,0.7239012,0.2174707,0.7081011
41,0.52250504,41,0.19245556,0.68502235,0.65420264,0.20189424,0.7844839
42,0.66291636,42,0.40296495,0.81578124,0.5683838,0.21290284,1.4157686
43,2.114002,43,0.47671345,2.40744,0.6953939,0.2063696,0.7299602
44,0.6420022,44,0.23993902,0.7610053,0.61896634,0.17802502,0.7957826
45,1.1021562,45,0.5127385,1.4433321,0.71009487,0.1756975,0.73308355
46,1.4434506,46,0.40868455,1.1244059,0.60013306,0.3520813,0.80936694
47,1.6491641,47,0.3670871,1.4954736,0.50857145,0.5988258,0.6757179
48,0.65250367,48,0.530223,1.801939,0.71808803,0.25573623,0.6685856
49,1.2309629,49,0.3181482,1.2254455,0.5053428,0.18576692,0.72827345
50,1.4628117,50,0.44879535,1.2951185,0.6728965,0.24728164,0.73919564
51,0.5524695,51,0.2125186,0.6936577,0.6822174,0.18817416,0.71587527
52,2.2266068,52,0.28267705,1.1781371,0.61989814,0.20704408,0.72891814
53,0.8071287,53,0.2581461,1.085064,0.6271061,0.19477047,0.7721594
54,0.87693655,54,0.5388542,1.1620377,0.7069172,0.2228283,0.94839454
55,1.0720221,55,0.19037801,1.088967,0.66496605,0.2045276,0.6733638
56,1.637573,56,0.3831374,2.0028768,0.63506544,0.5473583,0.7038567
57,0.86275154,57,0.51411825,1.641999,0.5553364,0.4537429,1.9650073
58,2.177225,58,0.5563621,2.3516889,0.7032098,0.2493703,0.68217504
59,2.301749,59,0.46763295,1.3493224,0.5431671,0.25652906,1.3205777
60,0.9990387,60,0.2636401,1.020858,0.6741095,0.20311137,0.7807594
61,1.3678956,61,0.2899668,2.6354063,0.55696803,0.26220354,0.9954173
62,1.1161767,62,0.32573223,0.7507085,0.7482759,0.19132607,0.73252755
63,0.8455252,63,0.33244562,0.9431413,0.6623869,0.31397673,0.7082384
64,1.0723355,64,0.4160105,2.3822293,0.5578743,0.5364509,0.64745873
65,1.0069759,65,0.37621295,1.0496362,0.7337613,0.21460418,0.72935814
66,2.2827299,66,0.5447698,1.7208266,0.5373568,0.80439955,1.0106592
67,1.523448,67,0.5344679,2.0745542,0.61549693,0.08273317,1.4826385
68,1.023256,68,0.20674303,1.3726614,0.5679974,0.2081318,0.8182123
69,0.494607,69,0.2452022,0.61928236,0.5559179,0.21476401,0.9344297
70,1.6083683,70,0.49864593,1.656721,0.6898283,0.26894006,0.6609425
71,0.8246488,71,0.4875772,0.81198215,0.75681347,0.13597293,0.97329724
72,2.7218165,72,0.33752373,1.0247868,0.8239338,0.16771178,0.7138502
73,1.4293728,73,0.4669389,1.1795164,0.6257571,0.3512658,0.9115888
74,2.389538,74,0.50218666,2.1823888,0.56787324,0.3377389,0.76804394
75,0.9431019,75,0.231891,0.9880557,0.7677607,0.19683555,0.71834326
76,0.8682439,76,0.40439862,0.9968391,0.52241623,0.4175744,0.8980898
77,3.9194314,77,0.2903901,0.9201411,0.8388644,0.13929418,0.8514779
78,0.72230005,78,0.30842513,0.9007991,0.6677155,0.16962503,0.79120535
79,0.8919495,79,0.17795095,1.1919532,0.7420177,0.14596646,0.8437153
80,0.7885276,80,0.37900487,1.5912477,0.59629023,0.49911094,0.94442296
81,3.6570392,81,0.2682816,1.5729675,0.77047586,0.18748716,0.68974465
82,0.35219532,82,0.25865,0.46367276,0.73054934,0.16168368,0.7922517
83,1.7979968,83,0.34742835,0.99386847,0.7619177,0.16394904,0.875907
84,0.37450632,84,0.24907061,0.47717553,0.69453,0.1543485,0.7752417
85,0.79003274,85,0.17914855,1.4586747,0.6284469,0.1864247,0.7167685
86,0.69814515,86,0.41934183,0.9071377,0.6399445,0.22454749,0.810375
87,2.9838912,87,0.47890255,1.8476933,0.55598813,0.24263406,0.65676075
