,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
0,0.38028675,0.6627401,2.2088947,2.5963473,2.6123047,0.007235986,0
1,0.44197035,0.6608635,1.9847171,3.565559,1.1818148,0.22410804,1
2,0.35461044,0.82093006,0.6680851,0.7367094,1.3681724,0.035741832,2
3,0.40405092,0.4179065,0.5535323,0.45404768,2.308125,0.13799168,3
4,0.6504592,0.6421036,1.2294289,1.0726202,0.56270766,0.39105207,4
5,0.22250478,0.51398504,0.9122867,0.928918,1.321271,0.33006665,5
6,0.1916631,0.59329456,1.2548119,1.7292013,0.6081703,0.5269512,6
7,0.11476785,0.7638778,1.1938739,0.6463426,0.4272998,0.07926693,7
8,0.24695294,0.6215551,1.6209273,1.7490597,1.4477202,0.12806198,8
9,0.38180262,0.5581842,1.1189871,0.67427266,0.6908632,0.19790275,9
10,0.19106546,0.53743094,1.5073153,2.8300018,0.5847062,0.8616044,10
11,0.17914107,0.70096844,1.8532352,1.9327271,1.8800747,0.25567737,11
12,0.50423867,0.47839355,1.8819242,2.5399973,0.48527446,0.04722847,12
13,0.19265829,0.5853664,2.6173258,3.0352285,0.61046225,0.059039313,13
14,0.27872616,0.56710386,1.3819382,1.0229782,1.1610022,0.31668693,14
15,0.5789257,0.5827556,1.4128172,1.3745131,0.4861401,0.039485864,15
16,0.2860278,0.34286958,1.2332052,0.37652016,1.0245024,0.52784747,16
17,0.45333475,0.7306717,1.2537189,0.6915519,0.4933994,0.4915317,17
18,0.8189669,0.72069687,2.7921348,1.0817847,0.4591946,0.26316336,18
19,0.3605975,0.55778784,0.4435286,0.9708332,0.5629698,0.07544373,19
20,0.09444028,0.45780239,0.5996989,0.27838075,0.59623915,0.2956238,20
21,0.10226981,0.6813313,1.8272135,0.9794481,0.9703922,0.036175422,21
22,0.5492204,0.7287556,1.5381922,0.77614474,1.4409151,0.5050429,22
23,0.7600773,0.6426749,1.62953,1.6276116,0.40314418,0.17798261,23
24,0.3809274,0.5807849,0.58313537,0.720503,0.5399882,0.18180627,24
25,0.65306693,0.61862004,2.136455,1.4153898,0.4117585,0.36007315,25
26,0.1434424,0.5771881,0.49111006,0.2650048,0.595505,0.4105932,26
27,0.20168006,0.54100406,1.1718605,4.1052804,0.41985375,0.087436296,27
28,0.710039,0.72155726,0.97063637,0.53386354,0.4584664,0.13783048,28
29,0.4181923,0.7671817,1.5394325,0.45169926,1.0424155,0.121429496,29
30,0.4349979,0.5387544,1.80204,0.21164903,0.8737648,0.19490533,30
31,0.312446,0.46683082,0.448336,1.1523074,0.576243,0.095569015,31
32,0.5393801,0.89994204,0.73539364,1.2213202,0.85274327,0.04669208,32
33,0.27155346,0.61344796,1.5333171,1.0073347,1.6743568,0.028510222,33
34,0.15926567,0.56371933,0.58395505,0.39476913,0.3496012,0.1294885,34
35,0.7754977,0.5561063,0.88606364,0.6100208,0.97174144,0.8385853,35
36,0.116635576,0.78164726,0.49021238,0.68468356,1.2708184,0.2738698,36
37,0.7400225,0.5831979,1.7717364,0.67129743,0.6132901,0.06570176,37
38,0.6469116,0.7247021,0.8786607,0.48259407,1.5883768,0.22785145,38
39,0.07826683,0.48828083,1.6275809,0.38016307,1.125959,0.3043305,39
40,0.5624084,0.77525187,0.8956759,0.7531667,1.3050152,0.01235534,40
41,0.1324839,0.5077712,0.30934304,0.60825026,1.6753396,0.014000381,41
42,0.5646357,0.65546614,0.74201643,0.7308564,1.5217841,0.15540217,42
43,0.45696008,0.66375995,1.8945186,1.4373089,0.40721488,0.6245085,43
44,0.13964187,0.75113016,1.1263378,0.5557946,0.5984739,0.18864988,44
45,0.6397682,0.71449727,1.3180237,0.7859539,0.6079738,0.14024891,45
46,0.30400747,0.5693429,1.2567369,1.1911372,0.5152939,0.52352244,46
47,0.41687185,0.7240329,1.9879872,2.0051613,0.50037944,0.731848,47
48,0.54902124,0.61289436,2.0763655,0.44565678,0.35344917,0.28184164,48
49,0.40958264,0.5202089,1.0272456,1.1273963,0.9097563,0.09631975,49
50,0.35007045,0.71874815,1.876199,1.1821616,0.27136558,0.6612554,50
51,0.15240659,0.569536,0.80272853,0.41182682,0.48877332,0.17532456,51
52,0.6429912,0.64386654,0.74889094,2.3552942,0.390755,0.31953076,52
53,0.36637163,0.46198392,0.5096388,0.746053,0.3340519,0.33975095,53
54,0.6848653,0.73401695,0.49860236,1.5141313,0.9683529,0.20855144,54
55,0.08168146,0.6019098,1.3182698,2.275047,0.46385783,0.038494207,55
56,0.52465916,0.5845867,1.5836594,1.3422561,0.705354,0.31250006,56
57,0.41445592,0.66936225,2.1836581,0.7921799,2.050941,0.60606426,57
58,0.39829284,0.7485394,2.9588807,2.065244,0.76589394,0.080669336,58
59,0.28985584,0.53146446,0.85081315,2.7837315,1.3237226,0.3862166,59
60,0.03538691,0.44145438,0.91010904,0.86452806,0.49026,0.5543609,60
61,0.36578432,0.49862015,1.5510746,1.836227,0.64205945,0.1384664,61
62,0.19822665,0.6926247,0.43097797,1.5999838,0.9126572,0.020634132,62
63,0.25999725,0.6172833,0.58128154,0.91742575,0.7361907,0.2183739,63
64,0.3275107,0.60163623,2.7070215,0.5214147,1.1013222,0.40801612,64
65,0.36170664,0.7233101,1.5208758,0.6956763,0.45341802,0.23411734,65
66,0.7777929,0.47876424,1.148088,2.7776916,0.81777036,0.8957269,66
67,0.39157304,0.71774626,2.7729292,1.3892251,1.6735044,0.18139246,67
68,0.12182164,0.8410871,3.0141535,0.92801845,1.303295,0.04066584,68
69,0.20846763,0.6750221,0.41006532,0.60592055,1.0445607,0.30104685,69
70,0.5366495,0.7152307,2.004272,1.9445919,0.4888248,0.10278593,70
71,0.58507764,0.7611287,0.6571706,1.4739286,0.85709107,0.15693633,71
72,0.17083988,0.75738597,1.1218759,2.1187775,1.035648,0.057964966,72
73,0.3550941,0.5980371,1.1063015,1.661603,0.9146088,0.19414489,73
74,0.15958537,0.45530385,1.6383746,2.9910402,0.8804407,0.43440032,74
75,0.08113192,0.7560806,1.3063564,0.7645898,0.40428388,0.0610038,75
76,0.5882365,0.696388,0.8943753,0.7010467,0.9952993,0.46698907,76
77,0.081094794,0.83495295,3.0996857,3.8498073,0.77580196,0.07809859,77
78,0.25404313,0.7543712,1.0814569,0.5426711,0.788394,0.06107543,78
79,0.13768078,0.7078944,1.166186,0.7579533,1.0297259,0.05539645,79
80,0.37230512,0.69103146,1.7275972,0.9069357,1.0651057,0.7168078,80
81,0.40244272,0.6433064,0.30951455,3.9307659,0.41550645,0.6821974,81
82,0.172789,0.72741777,0.27188885,0.607562,0.6733121,0.11601546,82
83,0.7361603,0.7776244,0.85669523,1.9705708,0.5671494,0.023760343,83
84,0.43970123,0.7522599,0.42597085,0.24860483,1.0264732,0.043881763,84
85,0.16715544,0.5996298,1.4646842,0.6195596,0.595537,0.1180945,85
86,0.40103662,0.6427316,1.1490406,0.5464766,0.88784635,0.024211068,86
87,0.33794683,0.6815659,3.2146072,3.320474,0.43925223,0.12899615,87
88,0.26083025,0.47229803,1.1950465,0.66724473,1.8859317,0.06509208,88
89,0.13690317,0.642009,0.43479618,0.39891914,0.5996506,0.2686929,89
90,0.15996894,0.7755821,0.58198106,2.067495,1.0078195,0.09170436,90
91,0.08910833,0.8730531,1.9691067,0.8727226,0.5599405,0.120974526,91
92,0.37756804,0.8425285,0.46382877,0.5538218,1.9967005,0.006551003,92
93,0.48809195,0.42081547,1.5634897,2.1418486,0.58074427,0.46785378,93
94,0.40407833,0.54329175,1.3144311,2.7834558,0.906808,0.13251291,94
95,0.12747642,0.68060136,2.4802532,2.0033479,0.3148669,0.68805546,95
96,0.39345437,0.5821192,2.0964599,0.87195736,1.5003574,0.053538185,96
97,0.6441996,0.64629483,3.0321345,1.2695724,2.8202596,0.06484697,97
98,0.4074814,0.7451168,1.7447963,1.5424845,0.35154244,0.2865402,98
99,0.3089956,0.4269016,0.815641,0.82364106,1.2310989,0.8074765,99
100,0.1868343,0.75342554,0.52220833,0.2817874,2.6798592,0.06751135,100
101,0.29863968,0.61931556,2.946062,1.6660416,0.7292368,0.14365155,101
102,0.28898942,0.7501633,1.4358505,0.50621045,1.1784112,0.035065122,102
103,0.1913946,0.7117535,0.8592247,0.7060739,0.65414476,0.15909329,103
104,0.3323782,0.31498593,0.6798308,0.7559833,0.7620187,0.72010165,104
105,0.32606584,0.83021593,0.6676434,2.081842,2.0735984,0.1327043,105
106,0.17628911,0.74485517,0.64470595,0.3868528,0.4634068,0.30560413,106
107,0.16417803,0.7017821,1.060569,0.7712277,0.35606474,0.25513974,107
108,0.14609951,0.76782846,0.7877449,0.29074404,1.4743943,0.033158384,108
109,0.12832032,0.5167819,1.0794499,2.1254427,0.65555793,0.9643997,109
110,0.27648762,0.5153476,0.31608236,0.82947683,0.83074296,0.2295009,110
111,0.23708645,0.42646632,1.4579599,1.1057714,0.96344316,0.39099428,111
112,0.59934175,0.6843869,0.59111077,0.73934895,0.85531354,0.043446064,112
113,0.41849723,0.57447374,0.83189607,2.6078413,1.34821,0.6496225,113
114,0.28278902,0.7868883,1.3082793,0.327672,0.27436748,0.79227895,114
115,0.16426432,0.6941242,0.62443995,0.31050992,0.37054598,0.30856553,115
116,0.39841667,0.7661158,1.1530384,0.5867263,0.43036932,0.1605937,116
117,0.18636799,0.69479626,0.7783408,0.7554129,0.30451354,0.49795604,117
118,0.049136527,0.6616055,2.2857742,0.4571894,1.0368388,0.19871426,118
119,0.2145862,0.69082665,0.35349905,0.3231341,0.11389395,0.6090386,119
120,0.3465471,0.80783314,0.90671265,0.58975565,0.30939937,0.36132076,120
121,0.5630147,0.5288738,0.7139381,3.752006,0.5471879,0.042815264,121
122,0.19806553,0.76851904,1.1415663,2.8251162,0.20639855,0.20950916,122
123,0.2850234,0.71711475,0.4648423,0.4191591,0.4580254,0.082398094,123
124,0.44407704,0.5364095,1.3740293,2.1593204,1.0021666,0.24048701,124
125,0.55629814,0.71076536,2.0254214,0.8390275,2.6189265,0.01708326,125
126,0.14409533,0.7904516,0.9186187,1.575036,1.085599,0.17002799,126
127,0.6535066,0.3674565,1.9424503,0.5477091,1.9159079,0.031013474,127
128,0.5409361,0.55583054,0.69759476,0.5241119,0.56091815,0.07844746,128
129,0.082452826,0.539139,0.49856925,0.32218176,0.08670105,0.8883535,129
130,0.31469652,0.26296583,0.99231595,1.3631856,1.6020567,0.7627298,130
131,0.09939265,0.83964837,0.674553,3.7874584,0.34013435,0.35458562,131
132,0.57671845,0.6622949,0.6281387,2.6746218,0.29139578,0.41699922,132
133,0.09477343,0.59297514,1.4072583,1.0862306,0.27577442,0.75307775,133
134,0.39313745,0.48308474,2.0103216,0.6474391,1.6022532,0.05862093,134
135,0.2728167,0.7125207,1.2537508,0.6269781,1.345757,0.035457406,135
136,0.48907304,0.82742596,1.9827332,2.0465617,0.5805586,0.10962436,136
137,0.15714347,0.5429102,0.86734116,1.29616,0.8134827,0.7984749,137
138,0.3904925,0.55932856,1.365379,1.1913111,0.7427642,0.08811166,138
139,0.4137824,0.30926627,0.34164494,0.69391274,0.28666615,0.5578042,139
140,0.21047269,0.64719224,0.5125543,0.67930037,1.4316283,0.12728299,140
