,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
0,2.117879,0,0.40458435,1.5789781,0.55563015,0.22671491,0.762423
1,2.8735068,1,0.49193278,2.2928753,0.59808505,0.37313583,0.62368435
2,0.62818307,2,0.27476454,0.80753404,0.7586281,0.18511553,0.80904245
3,0.49129143,3,0.48717505,0.771344,0.5360571,0.1481604,2.0580215
4,1.0360068,4,0.5226098,1.0679392,0.6169973,0.41297016,0.7911555
5,0.89747316,5,0.21650709,1.5791929,0.4801432,0.31963044,1.1330808
6,1.6845652,6,0.31700817,1.5964637,0.59911525,0.34291023,0.8022594
7,0.58172375,7,0.29291221,0.7514057,0.69667065,0.1710259,0.7962363
8,2.0791905,8,0.33182648,1.2533101,0.5219701,0.19463739,1.0594907
9,0.94956505,9,0.2516205,1.8736048,0.58061796,0.22758551,0.75174516
10,2.967909,10,0.5055187,1.8210212,0.57400376,0.53890246,0.6798937
11,2.0577645,11,0.4499774,1.4002233,0.5952938,0.3588106,0.809199
12,2.5937588,12,0.40342295,1.7322264,0.5237605,0.18164694,0.8753677
13,2.3764472,13,0.30149403,2.41973,0.6451593,0.37761164,0.65057236
14,0.897219,14,0.42208195,1.1288319,0.51727635,0.34802684,0.9819723
15,1.4183582,15,0.43424296,1.6482142,0.6907484,0.19034559,0.85665774
16,0.9111505,16,0.36822173,1.5240312,0.46186846,0.3514638,1.084588
17,1.0679443,17,0.32439962,1.0617781,0.6565248,0.21028033,0.9150703
18,1.3017164,18,0.7231808,3.2434318,0.6982063,0.25086588,0.58862615
19,0.86322075,19,0.26472497,0.9545635,0.60822725,0.19875856,0.8173982
20,0.3622276,20,0.28857672,0.60281277,0.47315845,0.18257095,0.9939483
21,0.901295,21,0.19255432,1.3372908,0.5968758,0.17617904,0.7877082
22,0.74429435,22,0.3640655,1.5820223,0.56398314,0.44424725,0.98350716
23,2.6842022,23,0.47620833,1.2790737,0.67566186,0.270072,0.78281194
