,locs0,locs1,subject
0,-1.6082872,-1.5064847,0
1,-0.50411546,-0.058452845,1
2,0.8748038,0.058338523,2
3,1.2829359,-0.825781,3
4,1.2536604,0.50308645,4
5,0.9911312,-0.6283613,5
6,1.2016964,0.13611396,6
7,0.4738407,-1.4503098,7
8,-0.25894478,-1.1671368,8
9,1.8248569,-1.307852,9
10,2.064408,-0.07075596,10
11,1.7525204,-0.72108567,11
12,-0.7908965,-1.5254855,12
13,-0.8800247,-0.37168247,13
14,0.24480402,-0.76533926,14
15,-1.3832672,0.52972126,15
16,0.8977088,-0.87232625,16
17,-2.732885,-0.2366448,17
18,1.546752,-0.5908377,18
19,1.2190264,-1.1176009,19
20,0.017227441,-0.43111736,20
21,-0.8169148,0.46063486,21
22,0.024765491,-0.37367284,22
23,0.1954794,-0.6371902,23
24,-2.787472,-1.1559274,24
25,0.41117907,-0.39567143,25
26,0.52348393,-1.5636144,26
27,-2.0170164,-0.43951595,27
28,1.7913902,-0.12644348,28
29,-1.6821754,-2.2149253,29
30,-0.8696414,-0.59054446,30
31,-2.7525067,-1.1607052,31
32,-1.4624765,-0.12924722,32
33,-0.21190286,0.2675192,33
34,0.5270721,-2.109092,34
35,2.6950407,-0.65201366,35
36,-1.3244077,0.20685509,36
37,1.5652384,0.10334128,37
38,-1.1595031,-0.631711,38
39,1.4059012,-0.9858068,39
40,-0.47429472,-0.9877609,40
41,0.57275504,-0.4193229,41
42,-0.6689252,-0.946893,42
43,0.7605151,-1.5462679,43
44,1.1794786,-0.86988896,44
45,0.22580881,0.3141553,45
46,1.529608,-1.166379,46
47,-0.6473343,0.27129388,47
48,2.246885,0.09040795,48
49,0.8655906,-0.7870604,49
50,2.034428,-1.215529,50
51,1.9452705,-0.9434897,51
52,1.4615606,-0.71728915,52
53,-1.2070097,-0.08877537,53
54,1.0556158,-0.69387007,54
55,1.2233075,-0.3144136,55
56,-2.9032087,-0.8039547,56
57,-1.0391538,-1.3009769,57
58,1.5279486,-0.018879533,58
59,-0.26585937,-0.50318205,59
60,-1.8097186,-1.1936845,60
61,-1.7167072,-0.38191256,61
62,-2.4514575,-0.5329485,62
63,-0.05340898,0.17638095,63
64,1.7198828,-0.56742245,64
65,1.944935,-0.55146563,65
66,1.1625684,-1.5575061,66
67,-0.8855421,-0.51129735,67
68,0.7864611,0.5731962,68
69,1.9438137,-0.47882193,69
70,0.7157627,-2.0654497,70
71,0.8907963,0.6921899,71
72,-2.6919887,-1.5282583,72
73,-0.38600084,-1.6488441,73
74,1.9728526,-1.2161335,74
75,-0.047720313,0.9760374,75
76,0.96225613,-0.27004856,76
77,1.239984,-1.5894448,77
78,0.5044706,0.33655187,78
79,0.1964619,-0.7302858,79
80,1.3101676,0.0013879836,80
81,0.6409247,-2.278981,81
82,0.55048573,1.0345289,82
83,-0.57090545,-0.79962236,83
84,1.0985711,-0.9568856,84
85,-0.50831664,-1.2436818,85
86,-1.3407493,-1.6052779,86
87,-0.19905514,-0.6908593,87
88,0.9541164,-0.020599931,88
89,-2.001856,-1.1287538,89
90,1.8520088,-0.2696299,90
91,-0.1481336,-0.76481605,91
92,-1.5307478,-0.22245134,92
93,-2.1511745,-0.91592956,93
94,-0.7896607,-1.352209,94
95,0.785107,-1.8250085,95
96,1.6828785,-1.0457115,96
97,-1.7073381,-1.6601079,97
98,0.3745849,-0.5776993,98
99,-1.4375329,0.34806743,99
100,-0.915678,-0.16074726,100
101,-0.7780826,-1.930043,101
102,-2.169876,-0.17675628,102
103,-0.090109736,-0.053406864,103
104,-0.80525345,-1.5344819,104
105,-1.0047257,-0.6414211,105
106,-2.6930988,0.07934538,106
107,-2.177142,-2.2681081,107
108,0.15951382,-0.6162467,108
109,-1.2003337,-1.6549202,109
110,1.4436352,0.6442554,110
111,0.9109942,-0.08050967,111
112,-0.66980743,-0.5991956,112
113,1.1663532,-2.8031251,113
114,1.2865736,-1.3478687,114
115,-0.5097623,-1.0942847,115
116,-0.24625489,0.19010042,116
117,-4.1841187,-0.46421516,117
118,-1.8596399,-1.1310458,118
119,-1.5015192,-0.6075021,119
120,0.30732667,-0.281388,120
121,1.3303125,-0.6675353,121
