,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,2.1124063,2.1687117,0,0.33165416,0.35261995
1,4.635049,5.7649903,1,0.46175617,0.477
2,4.535112,5.394928,2,0.8060557,0.89976037
3,2.71164,2.8742418,3,0.6096245,0.6169945
4,3.9992304,3.9865882,4,0.7363266,0.7441122
5,3.8717358,3.7455478,5,0.88966763,0.98201615
6,5.46242,5.7367635,6,0.7586962,0.75335175
7,1.8247697,1.5848184,7,0.5943887,0.6720792
8,2.4661314,1.9780282,8,0.44796968,0.26937354
9,2.619435,2.1680171,9,0.72454816,0.80212176
10,3.3492913,4.6429787,10,0.8635847,0.92791075
11,2.6598148,2.204709,11,0.63709307,0.54325145
12,2.310713,2.4552453,12,0.34079036,0.44113612
13,3.9997878,3.992498,13,0.2311752,0.29375738
14,3.559568,4.3369565,14,0.6681227,0.69033027
15,5.6282363,5.9758964,15,0.17174011,0.1901511
16,1.7639517,2.7198472,16,0.25428745,0.19138616
17,4.0603895,4.130576,17,0.08275831,0.040699244
18,4.0811396,3.3156319,18,0.7546856,0.8544384
19,3.1822925,3.5577807,19,0.72283006,0.7933004
20,4.3145666,3.6120362,20,0.5175448,0.53039956
21,6.2076454,5.99012,21,0.3583825,0.35341185
22,2.9749072,3.494143,22,0.7522296,0.6956558
23,2.8726377,3.5074992,23,0.6698794,0.7198265
24,3.238497,3.5339885,24,0.04858468,0.02757138
25,3.4308658,3.3794456,25,0.7690996,0.7308818
26,1.9204773,1.4800713,26,0.6781244,0.5441327
27,2.9618795,2.143591,27,0.16789758,0.18349528
28,4.7234144,5.4467716,28,0.8627363,0.61485535
29,1.8097227,1.5622003,29,0.571109,0.57235634
30,3.3637855,3.708211,30,0.38253817,0.5409691
31,2.7667537,3.395609,31,0.103141576,0.077518344
32,4.867314,4.9892054,32,0.2133619,0.24957812
33,5.5868926,5.838755,33,0.38135305,0.34933448
34,1.3624346,1.9160143,34,0.4383058,0.6027632
35,3.7189054,2.3681161,35,0.8370515,0.6830814
36,5.5181046,5.217768,36,0.19661137,0.22319305
37,5.2435894,4.537585,37,0.8199102,0.9088377
38,3.4573321,4.02093,38,0.3167433,0.27432966
39,2.4738047,2.3334703,39,0.731854,0.9891155
40,2.4835894,3.8866248,40,0.4408888,0.97956425
41,4.4047775,2.1792645,41,0.6408994,0.6977387
42,2.4835002,2.7564898,42,0.43724775,0.50774074
43,1.8430997,1.2452698,43,0.64025867,0.86520886
44,3.077883,3.3877153,44,0.6670802,0.6641196
45,4.5400834,5.451521,45,0.5760348,0.51547605
46,2.010944,2.321631,46,0.77278006,0.64113116
47,5.3102713,5.134907,47,0.43146333,0.3649364
48,4.939048,5.597618,48,0.87711865,0.86843777
49,3.7964664,4.644023,49,0.59136903,0.5512228
50,1.8248898,2.2894893,50,0.77149373,0.96213114
51,1.961887,1.8467784,51,0.648604,0.31880885
52,2.384615,1.8374867,52,0.7839125,0.5429475
53,5.3931065,4.3720036,53,0.2744508,0.21347868
54,4.120242,4.278321,54,0.6669094,0.64863825
55,3.5828614,4.188054,55,0.6785636,0.7339634
56,1.917129,1.7605833,56,0.059551302,0.1086393
57,2.6132956,2.7860374,57,0.17180838,0.32576764
58,3.8265824,4.183522,58,0.6819491,0.7020018
59,4.1841865,3.4665954,59,0.64290583,0.6640949
60,2.4307134,2.4942954,60,0.10162151,0.11363822
61,4.783389,5.0012345,61,0.13761443,0.10688859
62,3.6691415,3.822505,62,0.07389309,0.08700997
63,5.5790343,5.9672794,63,0.48230356,0.5364712
64,3.7543173,3.9536767,64,0.75881106,0.92595786
65,3.094085,3.9732466,65,0.77814674,0.951672
66,2.5885222,1.9389496,66,0.716417,0.9055735
67,3.288042,3.5074089,67,0.25201237,0.24710739
