,reward rate,dec temp,subject
0,0.9125852,4.5698924,0
1,0.70815754,2.829518,1
2,0.61512923,3.514004,2
3,0.3747601,4.222246,3
4,0.7102257,2.2173507,4
5,0.9780927,3.3145556,5
6,0.5612438,1.6940004,6
7,0.023136873,5.4294844,7
8,0.5322497,4.314391,8
9,0.44685566,5.545897,9
10,0.5095813,7.3206563,10
11,0.15552026,3.0187163,11
12,0.81706923,3.7978783,12
13,0.8308563,2.5228739,13
14,0.7073395,2.9044762,14
15,0.80825,1.4714818,0
16,0.4818828,1.7705625,1
17,0.46854487,3.3965034,2
18,0.35299397,5.4331546,3
19,0.8095928,2.834725,4
20,0.8251467,1.2230208,5
21,0.98036903,5.7230067,6
22,0.015645044,5.571535,7
23,0.54788667,4.6707716,8
24,0.38164753,5.5831485,9
25,0.633352,8.431307,10
26,0.15336795,4.951408,11
27,0.92366403,2.5118027,12
28,0.8120849,3.1661887,13
29,0.58633137,5.7141495,14
30,0.8349709,3.1154406,0
31,0.77958435,2.7368522,1
32,0.21075566,3.078283,2
33,0.25959376,3.2152667,3
34,0.86739576,1.9607378,4
35,0.78998953,0.9456773,5
36,0.7070816,1.6486179,6
37,0.018002564,4.561902,7
38,0.39917916,3.3204162,8
39,0.49696887,6.781845,9
40,0.5606535,8.056008,10
41,0.14380227,3.853059,11
42,0.64337015,1.9508793,12
43,0.8691981,4.5855284,13
44,0.5026851,3.6698213,14
45,0.8295795,1.1511335,0
46,0.3427693,1.8510816,1
47,0.4398399,4.117104,2
48,0.53857136,4.3401165,3
49,0.86058,3.0805979,4
50,0.9001285,1.80084,5
51,0.31485906,1.1741762,6
52,0.014418516,5.067752,7
53,0.49794427,3.5944784,8
54,0.22483511,5.6501055,9
55,0.66866755,7.5638437,10
56,0.09063848,3.4193957,11
57,0.40239933,1.4324338,12
58,0.41758674,2.7102673,13
59,0.7065725,2.724348,14
60,0.6545028,0.77058923,0
61,0.48263535,3.0210998,1
62,0.16323276,1.3850862,2
63,0.713054,5.574439,3
64,0.82548904,2.6011891,4
65,0.87041056,1.7317178,5
66,0.46335927,1.7419566,6
67,0.030865816,3.9597595,7
68,0.3903263,3.35246,8
69,0.34691054,5.6949844,9
70,0.42847565,7.3595195,10
71,0.20425652,6.822426,11
72,0.7190645,3.7388449,12
73,0.58281374,2.2939086,13
74,0.46601006,4.0921216,14
75,0.49931917,1.2417301,0
76,0.5855762,3.3946629,1
77,0.30424812,2.1389177,2
78,0.33171675,2.5842853,3
79,0.6638501,5.0539994,4
80,0.84076935,3.9833694,5
81,0.2873099,1.2537963,6
82,0.023078796,4.899337,7
83,0.37842706,2.9946277,8
84,0.36743337,6.766961,9
85,0.4127022,6.744347,10
86,0.19286245,5.271351,11
87,0.8948282,4.2348304,12
88,0.746081,3.836153,13
89,0.48437452,3.0341687,14
90,0.8904232,4.0296497,0
91,0.49400547,1.3399935,1
92,0.23039885,3.837526,2
93,0.3068175,4.033908,3
94,0.38156238,1.2789254,4
95,0.89613026,2.5279083,5
96,0.792533,2.5264227,6
97,0.009195206,5.27904,7
98,0.37621835,2.6197286,8
99,0.35654047,4.591983,9
100,0.43664977,3.8361964,10
101,0.1417628,4.1327124,11
102,0.7302196,2.2376993,12
103,0.4645538,2.2091177,13
104,0.47921753,2.8722522,14
105,0.86257446,1.6871624,0
106,0.3760917,2.7457352,1
107,0.39632446,3.9642062,2
108,0.1522018,1.5479362,3
109,0.36450285,1.4092396,4
110,0.28536126,0.34455642,5
111,0.14580175,1.2078835,6
112,0.02277672,5.094022,7
113,0.6103989,3.2613947,8
114,0.35330954,3.5259678,9
115,0.5030707,6.789367,10
116,0.20111656,5.85263,11
117,0.8562525,2.935989,12
118,0.621314,2.104882,13
119,0.6425488,4.9728413,14
120,0.7774561,1.2201204,0
121,0.5092071,2.5974224,1
122,0.17897148,3.1377344,2
123,0.38938138,5.2336454,3
124,0.60184795,1.3234425,4
125,0.93502194,3.4755814,5
126,0.7243964,2.895117,6
127,0.016402917,5.5568285,7
128,0.39483574,3.8845837,8
129,0.31662452,6.1951947,9
130,0.32107714,4.210959,10
131,0.20534834,5.3980865,11
132,0.63139564,2.0714746,12
133,0.7983217,1.8717366,13
134,0.758432,4.5119643,14
135,0.9683626,4.826133,0
136,0.25322157,1.5425509,1
137,0.30886897,2.7678328,2
138,0.1902025,4.383668,3
139,0.913814,3.8798046,4
140,0.7345588,0.8844817,5
141,0.88471895,4.8548846,6
142,0.016959652,6.189742,7
143,0.3958432,2.4925745,8
144,0.37179422,5.3394957,9
145,0.5245291,6.112361,10
146,0.18364543,4.474066,11
147,0.4419113,1.5401471,12
148,0.63099784,1.7450912,13
149,0.62852335,2.1996403,14
150,0.5354024,1.4566367,0
151,0.8262942,2.856858,1
152,0.3545689,2.0390174,2
153,0.3575312,2.7177734,3
154,0.61210316,2.636306,4
155,0.66727316,1.3094599,5
156,0.8607315,1.853072,6
157,0.03284562,4.971127,7
158,0.40264565,3.0437117,8
159,0.37913546,4.9715953,9
160,0.516333,5.2030554,10
161,0.12837866,6.561385,11
162,0.90884453,2.6324162,12
163,0.64928436,1.8770185,13
164,0.5051818,3.1642852,14
165,0.86704445,2.4025354,0
166,0.58863336,3.0822978,1
167,0.1349005,3.1620648,2
168,0.30321595,3.0901403,3
169,0.9908249,8.848059,4
170,0.7875091,2.1605873,5
171,0.23378573,1.3915834,6
172,0.019849002,5.400072,7
173,0.4028667,2.7871518,8
174,0.23590472,6.182209,9
175,0.3796548,4.5053034,10
176,0.13609533,4.262373,11
177,0.716751,3.4167986,12
178,0.68346524,2.9035034,13
179,0.5862048,2.1882195,14
180,0.8639991,2.5853584,0
181,0.6881598,1.7967315,1
182,0.31342652,3.1826587,2
183,0.65941393,5.720408,3
184,0.87042105,4.8675547,4
185,0.4643157,0.92496014,5
186,0.77397585,3.383573,6
187,0.026310986,4.377625,7
188,0.29662496,2.81371,8
189,0.31604457,6.117361,9
