,locs0,locs1,subject
0,-1.0668027,-0.59584975,0
1,0.08625719,-0.087337345,1
2,-1.2873664,-0.08975944,2
3,0.44660136,-0.63727343,3
4,2.0131757,0.6349518,4
5,-0.29180503,0.25520122,5
6,2.1923912,-1.9015669,6
7,1.0563818,-1.1644267,7
8,-1.8612819,-2.4657736,8
9,2.8877041,-0.8663615,9
10,-0.15763274,0.17494813,10
11,-0.7316115,-1.0783855,11
12,-0.4213362,-0.5947997,12
13,-0.8634926,0.31539208,13
14,1.5705323,-2.004816,14
15,1.586864,-0.13763964,15
16,3.8705635,-0.2420969,16
17,-2.5433347,0.0046395063,17
18,2.8085623,-1.558683,18
19,0.22294572,0.055954754,19
20,-2.2097812,0.35894087,20
21,0.91385686,0.09380633,21
22,-0.13574381,-1.2296709,22
23,2.7406628,-1.3262689,23
24,-1.7856545,-1.3298241,24
25,-2.874093,0.64282143,25
26,1.4829224,-1.9456792,26
27,-0.42096207,-1.6261755,27
28,0.79825,-0.38149732,28
29,1.110738,-0.5311314,29
30,2.473662,-1.3360605,30
31,0.7142843,-0.08313769,31
32,0.109665625,-1.3854039,32
33,-0.67981786,-1.4367003,33
34,-0.71627784,-1.9799736,34
35,0.012930129,-0.93803275,35
36,-2.785596,-0.287758,36
37,1.2411056,-2.4316108,37
38,0.011952814,-1.9653443,38
39,-0.1774764,-1.5885695,39
40,-1.0886667,-1.1343404,40
41,-2.6657755,-1.1625974,41
42,-0.42252323,-1.2775167,42
43,0.75471216,-0.60933614,43
44,1.6358428,0.100290775,44
45,-0.25209188,-2.262028,45
46,-1.9065319,-0.45544443,46
47,0.4418895,-0.5624198,47
48,2.1597722,-1.5398566,48
49,0.69516736,-1.893388,49
50,-1.306386,-0.33176962,0
51,0.6826328,-0.10072258,1
52,-1.7845695,0.12164158,2
53,0.98127514,0.36929786,3
54,1.787015,-0.5148941,4
55,-0.3601724,-0.33155784,5
56,3.4887729,-0.80505097,6
57,1.6858552,-0.712303,7
58,0.8854907,-0.1762411,8
59,1.5068611,-1.3427266,9
60,-0.18112646,0.275675,10
61,-0.6260028,-0.40011322,11
62,-0.54359037,-0.55965304,12
63,-0.2282744,0.03658043,13
64,1.1282947,-0.8515695,14
65,-0.6389749,-2.4302046,15
66,2.0713062,-2.4359412,16
67,-2.4299157,-0.23974961,17
68,0.7714267,-1.6658591,18
69,-0.76425445,-1.4234126,19
70,-3.0419977,-0.09163062,20
71,-0.14395678,-1.509831,21
72,0.61248016,-1.2973434,22
73,0.8910643,-1.8789711,23
74,-2.4265811,-1.5169291,24
75,-2.972873,0.00993672,25
76,1.5388068,-1.0825906,26
77,0.21025994,-1.010766,27
78,1.443258,0.35297203,28
79,-0.59810007,-1.1392893,29
80,-0.2440877,-2.0791082,30
81,-0.17868072,-0.3376311,31
82,-0.32766452,-1.1982572,32
83,0.7405001,-0.75266135,33
84,2.2094345,-0.45460057,34
85,0.95238435,-1.3418033,35
86,-2.366772,0.0059577003,36
87,1.216348,-0.9148055,37
88,-0.6603809,-1.541046,38
89,3.0914998,-0.19259167,39
90,0.49975336,-1.2469774,40
91,-2.7209244,-0.5683291,41
92,-1.055594,-0.47263923,42
93,1.2605665,-0.81545997,43
94,1.0421932,-0.9788369,44
95,0.33931378,-1.6405239,45
96,-2.465548,-0.7662314,46
97,0.22704038,-0.7219088,47
98,1.3611989,-1.147722,48
99,0.5019149,-1.2269534,49
100,-1.6095698,-0.8283137,0
101,-0.72715276,-0.596851,1
102,-0.71079636,0.5133482,2
103,1.1965272,-0.09371759,3
104,1.5477734,-1.0463395,4
105,-0.24905461,-0.3327839,5
106,1.3677603,-2.0674965,6
107,0.526924,-1.1788863,7
108,0.3994377,-0.8158677,8
109,2.052779,-0.47157097,9
110,-0.2396805,1.1248835,10
111,-0.47217172,-0.9345973,11
112,0.16834226,0.025903612,12
113,-1.06247,-0.17942493,13
