,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,3.8141031,3.1624389,0,0.2573097,0.29367912
1,3.9574482,3.9747782,1,0.41507876,0.28573877
2,5.547691,4.982256,2,0.28422552,0.18052846
3,4.4133224,2.396228,3,0.6476841,0.7662704
4,3.4128888,3.6359773,4,0.69449407,0.47696096
5,5.049865,5.5384455,5,0.35392436,0.4389217
6,1.6164339,5.656673,6,0.7808854,0.0011277199
7,3.3151283,2.3555381,7,0.69369066,0.7814093
8,3.1338637,2.4566681,8,0.49567622,0.5081412
9,2.3095033,5.107212,9,0.7805375,0.9718543
10,5.936015,5.114648,10,0.4976765,0.6260113
11,2.8005164,5.0106974,11,0.2694698,0.7491256
12,4.6455283,3.3858094,12,0.4647977,0.53888905
13,4.408085,3.486071,13,0.29021668,0.28834808
14,2.3913362,4.403078,14,0.63264394,0.88369846
15,2.3258853,3.9232585,15,0.74770874,0.9456286
16,1.7160752,3.672749,16,0.7919365,0.9953988
17,5.3836036,4.5752125,17,0.09980531,0.07876682
18,1.6693599,1.7802067,18,0.65280175,0.8084948
19,2.8962417,5.084238,19,0.59832346,0.777035
20,4.7349787,4.0818987,20,0.066222146,0.05231273
21,3.554154,4.727837,21,0.61432374,0.5784787
22,2.161447,3.6701138,22,0.48859963,0.65043443
23,1.659033,3.0654273,23,0.7771889,0.91033816
24,2.1956441,1.4176134,24,0.13320579,0.104319155
25,5.924631,5.714075,25,0.048145354,0.047060788
26,2.0468605,1.3606567,26,0.71745723,0.41234732
27,2.5233626,4.777053,27,0.47199225,0.86551297
28,5.6970663,5.918835,28,0.7127845,0.7228687
29,3.4125614,4.423271,29,0.5875879,0.83580333
30,1.8203641,2.9302392,30,0.7804706,0.9125593
31,4.938903,4.1434584,31,0.49435163,0.59873927
32,2.8222208,3.1404612,32,0.5272555,0.5857262
33,2.3672426,5.108559,33,0.63360703,0.94432235
34,2.0489218,2.3971052,34,0.7148306,0.91356355
35,2.3085396,1.7035675,35,0.49968854,0.37109762
36,5.004839,5.5186543,36,0.092052124,0.09698367
37,2.0299702,2.726978,37,0.66930985,0.58928704
38,3.019792,2.7586637,38,0.48695984,0.44985992
39,2.937649,1.3210411,39,0.7257528,0.5011784
40,2.5765452,2.869707,40,0.41900587,0.4273317
41,2.67839,2.96475,41,0.098988555,0.08906764
42,3.2171967,5.440898,42,0.37730762,0.5307685
43,2.531697,2.4534328,43,0.64149743,0.8505263
44,3.1462746,4.792215,44,0.76193076,0.9972953
45,2.1330898,1.16509,45,0.54201263,0.40687543
46,4.010867,3.5680084,46,0.12591933,0.080663085
47,3.021813,3.5366812,47,0.5327879,0.6621872
48,1.8734386,1.4540843,48,0.69989103,0.97922635
49,2.6138086,1.8878229,49,0.5714566,0.20813435
