,locs0,locs1,subject
0,0.21920656,0.56451046,0
1,-0.74090755,-2.340129,1
2,-0.41079724,-1.1997161,2
3,0.6475891,0.17608465,3
4,0.6456791,-0.9698992,4
5,1.4628315,-0.98675454,5
6,0.20726523,-0.5486791,6
7,0.028764084,1.0320666,7
8,-2.6823494,-0.55809677,8
9,-1.8509672,-0.25249052,9
10,-2.4658656,-0.016847506,10
11,-3.5651839,-2.134896,11
12,-1.0146354,-0.37033796,12
13,1.687822,-1.5518328,13
14,-1.1905545,-0.29793966,14
15,-0.42619416,-0.34194076,15
16,-0.6787602,0.051436692,16
17,0.057555765,-0.017053679,17
18,2.8192143,-2.2785225,18
19,-3.8553905,0.6207592,19
20,1.6380883,-0.7076824,20
21,-2.4780557,0.02384305,21
22,-0.97060096,-1.2379109,22
23,-0.23228586,-1.8333826,23
24,0.4298406,0.5374979,24
25,0.8496654,-0.51340514,25
26,0.99931616,-0.45312005,26
27,-2.0204463,0.3223707,27
28,0.18371265,-1.7754965,28
29,1.5355265,-1.3515986,29
30,-1.8465145,-1.4409305,30
31,-1.054565,-1.692851,31
32,-0.47708517,-0.3320521,32
33,-0.5451274,0.13591316,33
34,-0.6276915,-0.19640207,34
35,-0.83682895,-1.0200155,35
36,-0.8718929,-0.076845676,36
37,-1.730296,-1.3468056,37
38,0.6540152,-1.4029659,38
39,-1.3476443,0.90335286,39
40,-0.9373251,-0.94415337,40
41,-2.6091597,-0.77305067,41
42,0.8564757,0.23294958,42
43,2.3837752,-0.47581866,43
44,0.115436494,-2.3983703,44
45,-0.7109672,-1.7504256,45
46,-0.06255525,-1.7563057,46
47,-1.5589676,-1.1838969,47
48,1.2636822,-0.6674751,48
49,-1.2311034,-1.8488057,49
50,0.99572545,-0.9681945,50
51,-2.3267782,-0.60893214,51
52,-2.7198496,-0.58556515,52
53,-1.1886345,-0.20660834,53
54,-0.003895089,-1.1929353,54
55,1.7660611,-0.71020865,55
56,0.0070182085,-1.0493968,56
57,2.0073173,-0.67424464,57
58,1.8665553,0.2846642,58
59,0.53845763,-0.23369977,59
60,-0.8922785,-1.1259637,60
61,-2.0335395,0.920774,61
62,0.045874238,0.08333659,62
63,-1.0548954,-0.8604665,63
64,-0.2766524,0.2379831,64
65,2.259982,0.25087816,65
66,0.532166,-0.91539377,66
67,-0.7589035,-2.3733015,67
68,-1.4160602,-0.4171706,68
69,1.6666607,-0.08562064,69
70,1.6594142,-0.85234296,70
71,-2.118066,-1.3151615,71
72,1.180668,-1.6498303,72
