,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,5.887803,5.0917244,0,0.4650024,0.41459352
1,0.8629836,1.113883,1,0.60847324,0.66367626
2,2.6368282,2.1916752,2,0.43802637,0.41880625
3,4.983296,5.1741643,3,0.5337652,0.47397876
4,3.8914924,3.6596713,4,0.70545065,0.46665794
5,3.808153,4.2922206,5,0.8400583,0.9023131
6,5.5253987,5.2359695,6,0.53010386,0.5768178
7,6.1685057,5.9136214,7,0.47598207,0.5770217
8,3.0457602,2.984058,8,0.047085617,0.058855474
9,4.1070166,4.1451907,9,0.1480894,0.18731344
10,5.434303,5.9534445,10,0.084716916,0.09507012
11,1.2436104,1.0291791,11,0.050970063,0.005089104
12,4.6518583,3.4754438,12,0.30421916,0.31754923
13,2.0449765,3.027919,13,0.752255,0.98313445
14,4.49418,3.1820035,14,0.2392894,0.17454857
15,3.5472484,2.7821655,15,0.34008208,0.30338496
16,4.553495,4.416333,16,0.37228104,0.30934083
17,4.438953,4.2753015,17,0.42993054,0.36101687
18,1.0125535,1.016459,18,0.4896487,0.84369206
19,5.1936674,5.5798187,19,0.024339588,0.021364868
20,3.9998388,4.2823524,20,0.85081583,0.73340464
21,5.4663606,4.841629,21,0.07022722,0.06694323
22,2.5094068,3.154176,22,0.34087598,0.44187015
23,1.0292034,2.0885754,23,0.67107046,0.011605382
24,5.8068376,5.4394794,24,0.605104,0.5975184
25,2.9177186,2.64901,25,0.42343476,0.35345882
26,3.8112993,4.2463264,26,0.5832791,0.707064
27,5.76798,5.3883095,27,0.14410377,0.20588756
28,1.6742507,1.4536209,28,0.54149914,0.3073957
29,2.4462051,2.1433873,29,0.79544026,0.9028514
30,2.2076042,2.4058428,30,0.11038147,0.0676043
31,1.93989,2.578601,31,0.22915837,0.16086787
32,3.6395357,3.5179636,32,0.3164809,0.24607784
33,5.830891,5.5689254,33,0.40903398,0.42165595
34,3.2086349,2.5343742,34,0.29598692,0.3111053
35,3.0671747,3.7913914,35,0.4066302,0.47084475
36,4.416835,5.5779643,36,0.2348188,0.23371059
37,1.7315624,1.6368828,37,0.055662084,0.093313515
38,3.0087323,3.6735961,38,0.6792594,0.61600035
39,6.009167,5.592189,39,0.2190386,0.17217386
40,2.725798,3.0184703,40,0.26342365,0.47855574
41,2.8812647,3.2084203,41,0.08586709,0.08101612
42,5.8682137,5.4961224,42,0.8687386,0.9914232
43,2.949804,3.2566385,43,0.81121546,0.7361033
44,1.3804827,1.9044039,44,0.619752,0.46114093
45,1.5975484,2.5476367,45,0.55885065,0.8176209
46,1.394828,1.5323646,46,0.6311558,0.72927684
47,2.4096508,3.1452494,47,0.14100958,0.14895523
48,3.0618594,2.7363482,48,0.621245,0.52448195
49,1.9660139,2.426147,49,0.6703038,0.9693409
50,2.026259,1.2636802,50,0.7540421,0.79237056
51,4.5077524,4.6361475,51,0.097169854,0.09736979
52,3.5910058,3.8663993,52,0.09871361,0.09504473
53,4.36111,4.877946,53,0.2831643,0.26522076
54,1.6860032,2.5290885,54,0.472834,0.43982702
55,3.195443,2.26538,55,0.7896122,0.6346845
56,2.246421,1.3049169,56,0.37808686,0.52800244
57,4.234162,5.1364846,57,0.80711615,0.89661705
58,5.3965783,5.453406,58,0.7619684,0.7964386
59,3.908411,4.619272,59,0.758484,0.8091725
60,1.9528227,1.4676011,60,0.30906743,0.48437035
61,6.7955484,5.946055,61,0.12248342,0.14314544
62,5.3901186,5.729687,62,0.4175388,0.44901407
63,2.9913223,3.2073321,63,0.24317145,0.23981178
64,5.7476006,4.6667805,64,0.52453405,0.5061769
65,6.3397527,5.8978276,65,0.9083436,0.832541
66,2.7550411,3.7154982,66,0.6264756,0.6305059
67,1.309594,1.1583765,67,0.25656852,0.28443825
68,4.031971,3.431197,68,0.14362204,0.16714132
69,3.9371157,5.0905766,69,0.8151006,0.6094327
70,2.8216803,2.7205825,70,0.79868275,0.9384901
71,2.256453,2.178296,71,0.14405249,0.11105394
72,1.8365439,1.2666261,72,0.7609196,0.42546898
73,2.4729955,2.631238,73,0.6391179,0.5898979
74,2.0728896,2.7542672,74,0.55503154,0.698847
75,2.123841,1.539273,75,0.6276758,0.46789163
76,2.589725,2.932662,76,0.099328965,0.07363039
77,4.433571,5.22491,77,0.6264581,0.5508628
78,1.5943753,1.7556937,78,0.6559728,0.9334611
79,4.747683,4.8241158,79,0.69969857,0.5739029
80,2.0309298,3.1043148,80,0.5995635,0.91311085
81,4.227195,3.25273,81,0.79071975,0.870937
82,5.316723,5.495428,82,0.15322419,0.14792687
