,inferred habitual tendency,true habitual tendency,subject,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,5.801131,5.953846,0,0.460958,0.5352104,3.9764762,3.0491374,0.58190733,0.84505296
1,5.1822424,4.1514454,1,0.5492173,0.25839114,4.6892433,5.737349,0.5494502,0.37920862
2,3.4154944,1.6124121,2,0.61722106,0.72494054,6.3594465,4.4971714,0.49721202,0.6850138
3,5.155832,3.8363008,3,0.56703615,0.52872866,3.7222717,1.4175586,0.60946923,0.7950092
4,6.2936697,5.613251,4,0.38842064,0.35833055,4.0231967,1.9461349,0.5993925,0.16503316
5,6.1663465,2.7109609,5,0.39772108,0.124753,3.7741315,1.6046784,0.5722054,0.58988374
6,3.4524438,5.000023,6,0.6420254,0.8890576,6.376811,5.3049755,0.5538364,0.22757256
7,5.4436555,4.8672323,7,0.54692507,0.4923063,3.6789224,4.033536,0.6093534,0.99814594
8,3.489432,1.6077439,8,0.6287889,0.2896906,6.344157,4.3473496,0.49552643,0.2628674
9,4.0034947,4.560663,9,0.57808226,0.80308485,5.2599893,4.140335,0.6165641,0.6815542
10,3.3311872,4.298463,10,0.62839913,0.86073273,6.3570957,4.946269,0.55655044,0.11769074
11,3.5280366,1.7986333,11,0.638573,0.7191062,6.4441643,5.626068,0.54123574,0.40430135
12,5.625125,5.606426,12,0.47718427,0.20710963,3.662106,4.975757,0.59687096,0.08035487
13,3.9358897,3.4155548,13,0.59238833,0.8462112,5.2798467,1.5189106,0.6635384,0.75596154
14,4.6015143,3.8532922,14,0.58816296,0.59206635,4.7952347,2.552258,0.64772594,0.404759
15,3.5223987,3.4386346,15,0.6188125,0.864018,5.922409,2.218669,0.66007566,0.9447856
16,3.4325185,1.0398138,16,0.6242119,0.9693957,6.505045,1.5866945,0.5799633,0.776654
17,3.7441337,5.9270096,17,0.5989768,0.9631546,5.5984464,3.891242,0.6729035,0.013372362
18,4.2077365,2.029507,18,0.56995285,0.09660417,5.6344657,4.2169104,0.5667323,0.20815545
19,3.4660034,1.4908118,19,0.6095438,0.16476136,6.070257,2.64526,0.5496478,0.15728682
20,3.5862427,2.050323,20,0.6244968,0.67736083,6.2356405,2.6005654,0.5593185,0.9508342
21,3.4118695,1.3939283,21,0.6270634,0.80997705,6.21301,4.7087727,0.5624526,0.08329582
22,5.577751,5.018466,22,0.5587004,0.6414882,4.1348743,2.975595,0.58367664,0.81381565
23,3.475437,2.1543603,23,0.6183263,0.5981812,6.3990965,4.6219516,0.51792777,0.3226989
24,3.7843096,3.234056,24,0.5843459,0.37984467,5.272998,2.6177888,0.60792446,0.06396133
25,3.4215815,3.0891666,25,0.6258716,0.82898957,6.38824,4.816231,0.54250526,0.8380292
26,3.3973877,1.4149809,26,0.618438,0.53378904,6.261589,2.0203433,0.5061581,0.20394832
27,3.3467822,2.7902837,27,0.62104493,0.46302485,6.441285,4.895815,0.54197645,0.06370592
