,locs0,locs1,locs2,locs3,subject
0,0.22953004,0.11070199,-1.0912869,0.8500483,0
1,0.19516647,0.36440665,1.0763084,0.7319834,1
2,0.17795533,-1.8901594,-1.1972355,-0.088652134,2
3,0.12236166,-0.08614106,-0.581712,1.8473526,3
4,0.88055813,0.83755684,-1.7725544,2.085079,4
5,-0.5844506,0.28354692,-1.0267476,0.3429277,5
6,0.13327146,-1.7588153,0.7926425,0.48469293,6
7,0.15294486,-0.023415335,-1.1197017,-0.6822411,7
8,0.85536766,-1.6009082,0.06997371,1.0806589,8
9,0.06347722,-1.0392092,-1.4282134,0.45868444,9
10,0.7052971,-1.7903898,-0.087034106,0.5730469,10
11,0.26700675,-1.2052376,0.9479771,0.9134655,11
12,0.103107944,0.659832,-1.2263887,0.59685004,12
13,0.20914584,-0.39502874,0.32733428,1.9421387,13
14,0.25924662,-0.8835207,-1.7164979,-0.16111195,14
15,0.96688986,-0.5062926,-0.6371482,1.5207238,15
16,1.1375654,-1.2499008,0.18912591,0.8911524,16
17,0.22268367,-1.0723288,-1.1652882,1.084135,17
18,0.3872357,0.13033934,0.8754753,0.50698924,18
19,0.81404454,-0.01313889,1.1106449,0.49187726,19
20,0.92980736,-1.0393325,-0.8712968,2.1863155,20
21,0.12085658,-1.6327717,-0.61321205,0.75171506,21
22,0.20466,0.26927194,-0.24903509,1.402571,22
23,1.2257912,-0.9568263,0.57972944,1.8328686,23
24,0.63683903,0.090040475,0.4830478,0.850626,24
25,0.85897803,-1.2905098,-0.1852166,0.9109326,25
26,0.75742704,-1.3013006,0.38586342,0.64437807,26
27,2.2790427,-0.39199543,1.5444955,1.9865837,27
28,-2.081904,-0.8206282,-1.5071813,1.2333223,28
29,-0.83835316,-0.55878544,0.66561997,1.8275089,29
30,1.1048757,-0.23786886,-0.2581671,0.50070703,30
31,1.9214758,-0.22948611,2.4360352,1.1030928,31
32,1.2687972,-1.005719,0.86685354,1.532198,32
33,0.5237918,0.8501929,1.0568622,0.8614317,33
34,2.2541947,-0.57287747,1.5041088,1.1223156,34
35,-1.2704849,-0.09116961,-0.19065097,1.8256227,35
36,-0.25606525,-2.0831876,-2.7068696,0.6312916,36
37,0.67789876,0.2978217,-0.74974525,0.5254456,37
38,-0.08092213,0.28598106,-1.318243,0.15468997,38
39,1.772976,-0.6730168,0.62283653,0.883343,39
40,-0.9757318,-2.139458,-2.0569708,0.46095383,40
41,1.0388937,-0.60468775,-0.16456811,1.9503026,41
42,0.36830717,-0.6748184,-0.931833,0.72214687,42
43,0.2415483,0.15009145,-0.32661963,2.2278852,43
44,-0.22185463,0.013629453,-0.4090504,1.1709485,44
45,0.38693017,1.1051602,-0.87075317,-0.2258268,45
46,-0.27058437,-0.52090496,0.2971053,0.44525805,46
47,0.48136908,-1.2915962,0.6141025,0.72207123,47
48,0.9511742,-1.1425968,-0.4276064,1.0767046,48
49,-0.24783158,-0.6390804,-0.6772927,-0.33630836,49
50,2.116436,-1.0934117,1.1357011,0.8626954,50
51,-0.1227624,0.12564598,0.7717569,2.2163646,51
52,0.29481828,1.042348,-1.6731462,1.0296189,52
53,-0.25778538,-1.0871185,-2.4511402,0.97157604,53
54,0.22989124,-1.096051,1.6438044,-0.017326653,54
55,-0.018745184,-0.027326956,-0.30011812,-0.7497171,55
56,1.0234885,0.31547946,0.09564766,2.762735,56
57,0.09728122,0.13192621,-0.9483794,-0.034812987,57
58,1.1461246,-0.46562517,-0.7190827,2.079434,58
59,-0.3191174,1.22357,-0.47853333,0.7090133,59
60,-0.039383948,-1.2475798,-0.6509098,1.2777386,60
