,locs0,locs1,locs2,locs3,subject
0,-0.15104055,-1.0276723,1.0150461,-0.38741517,0
1,-0.19791836,0.9657124,1.2686638,-0.3392117,1
2,0.38246825,-1.6438577,-1.7960835,0.4266954,2
3,-0.85344654,0.72696555,0.74757403,0.20414086,3
4,0.56965166,-1.0354818,-0.99157363,-0.64258575,4
5,1.1601882,-0.4829285,-0.6560346,0.3585849,5
6,1.543661,-0.7034982,0.9546132,-0.048392467,6
7,0.115608245,0.024534248,0.1617965,-1.1790875,7
8,1.1702859,-0.41311964,-2.00811,-1.0667745,8
9,-0.23306715,0.36307245,-0.7254827,2.4695113,9
10,-0.83188105,-1.5311062,1.5655363,1.3846543,10
11,0.40218845,-0.89883703,-1.4505517,0.109639876,11
12,-0.6302053,1.2190595,0.70851594,2.5858054,12
13,0.31883112,-0.22300428,0.5346186,-0.1438366,13
14,0.2453652,-1.186328,-0.7725622,-0.7623043,14
15,1.2826948,0.15384531,-1.5466201,0.35677153,0
16,-0.9460872,0.12673879,-0.30340126,1.3132402,1
17,1.1963978,-0.31357163,-1.3805993,-0.9078454,2
18,-0.003260851,1.5379255,-0.05704706,-0.22916572,3
19,0.24727923,-0.8071033,-2.2142453,1.3213007,4
20,0.056441307,-0.7336457,-1.6136687,-0.8069729,5
21,0.8549553,-0.30405366,0.23845331,-0.27277377,6
22,-0.12425485,-0.6576507,-0.7575105,0.66981196,7
23,0.15736979,-1.3305981,0.42903545,-0.9988553,8
24,-1.2333765,1.0362806,-0.21646278,-0.38914105,9
25,0.15461934,-1.3304791,-1.7308031,0.10148603,10
26,0.8087529,-1.0255085,-0.2345799,1.3096231,11
27,-1.4896317,-0.3764069,-0.041900177,-1.2022164,12
28,-0.87942713,-1.5309155,-0.63469845,-0.16098614,13
29,0.73284847,-0.9004245,-1.573011,-0.08912435,14
30,0.24733174,-0.07439804,-0.5837247,-0.17166057,0
31,-1.219258,0.45083407,-0.54826313,0.27084103,1
32,1.1296445,-0.9365306,-0.8765236,-1.3930571,2
33,-1.3208956,0.0835914,-0.24625814,0.29055277,3
34,1.2080927,-0.8131363,0.48570353,1.4452138,4
35,0.15667307,-1.0915625,0.12902945,-0.20151907,5
36,1.0613182,-0.8860061,0.024439756,-0.17268994,6
37,0.13525277,-0.010562949,0.1410506,-0.16673277,7
38,0.9811114,-0.8363877,1.8988405,0.7834313,8
39,-0.08424857,0.85249794,-0.779008,-1.1251291,9
40,2.1868777,0.9193243,-0.6389532,-1.4498023,10
41,0.77517104,-0.4145921,0.31292468,-1.1075851,11
42,-0.38566893,1.5504136,-0.57987124,-0.15347485,12
43,1.0889299,-0.29387075,-0.45331258,-1.1927508,13
44,0.32695812,-1.623811,-1.2624128,-2.0726824,14
45,0.18621781,-1.2159429,1.4493906,-0.52411646,0
46,-2.025423,0.1888026,0.5923237,-0.20028593,1
47,-0.5362552,-1.8190787,0.88887644,-0.64807284,2
48,-0.4746848,1.6322439,1.3659397,-1.2285802,3
49,0.2914684,-1.6103604,0.23667872,1.7380557,4
50,-0.29148185,-1.1855334,0.81503004,-0.8812625,5
51,0.29137257,-0.10390729,0.09413622,0.354786,6
52,0.4656776,-0.041563205,-0.1700146,-0.19702967,7
53,0.93704396,-1.2953153,-0.20737962,-0.18294027,8
54,-1.8537123,-0.13439512,1.327002,0.2727635,9
55,0.9533404,0.9085424,-0.8586602,-0.16805041,10
56,0.56246156,-0.61360466,1.6041679,-1.6325352,11
57,-0.04281491,1.4097629,-0.44083992,0.66586524,12
58,-0.31637245,-1.7315593,-0.94769245,-0.35697803,13
59,0.29758978,-1.1096221,-0.24556427,0.7127637,14
60,1.2763965,-0.7875356,0.573737,-0.08985157,0
61,-1.6484306,-0.46958333,1.0101794,1.5248646,1
62,0.9528763,-1.1957865,0.80937827,0.370534,2
63,0.24558806,1.9342848,1.5885507,2.1447778,3
64,-0.026189327,-0.6307086,0.4759321,-0.5025758,4
65,0.28531292,-0.5764959,0.16490991,-1.1250817,5
66,0.23063889,-0.4651571,-0.6907308,-0.04845283,6
67,-0.40740547,0.17100519,-0.15021446,-1.5427182,7
68,0.35643664,-0.9426019,1.2739311,0.11306178,8
69,-0.87351286,0.54528886,-0.9012346,-0.7166011,9
70,1.7324575,0.25082505,0.3819033,-0.98515177,10
71,0.55534345,-0.8137822,-0.4555516,-2.071382,11
72,-1.3013203,-0.3591689,0.45131642,-0.22093935,12
73,-0.8653521,-1.8639777,0.57149184,0.3619331,13
74,0.14463493,-0.59452575,0.29014632,-0.10345724,14
75,0.8138393,-1.0687702,0.0139912125,-0.18519163,0
