,inferred habitual tendency,true habitual tendency,subject,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,4.2728014,5.6158805,0,0.44781056,0.4871652,5.2295246,5.743737,0.86885107,0.9910001
1,6.5814123,5.585011,1,0.44068217,0.4081306,3.111085,1.6220105,0.49060372,0.15764385
2,5.941234,4.440486,2,0.54094136,0.3898006,2.2387,1.16749,0.69002324,0.1841985
3,2.9143364,1.2532405,3,0.718396,0.30477762,4.2042956,4.1238074,0.74510634,0.5771703
4,3.1581094,2.3421674,4,0.6865343,0.46736294,4.5613236,3.0205295,0.737312,0.3085053
5,4.7428164,2.2957468,5,0.58269393,0.2285726,2.9939127,2.3869581,0.69786066,0.7085718
6,2.9428062,2.43715,6,0.69704574,0.28699923,5.377781,3.9020443,0.659128,0.28896546
7,2.9981363,3.800759,7,0.7048459,0.5010703,4.9084435,5.9758873,0.74114585,0.36102158
8,3.3381813,1.8943021,8,0.6700684,0.24056643,4.665894,4.619646,0.7573013,0.51191866
9,2.8320417,1.2673485,9,0.7050961,0.3434949,5.451486,3.915733,0.7391666,0.4903406
10,2.728975,2.0034008,10,0.7252954,0.08657962,5.2474084,3.9113774,0.7012036,0.13014054
11,3.3349428,2.7474806,11,0.69626355,0.8028064,4.279813,2.278925,0.7548423,0.69658154
12,4.7916183,3.9580035,12,0.36696544,0.022111595,5.7290354,4.975589,0.846797,0.9305952
13,3.2291012,4.4230633,13,0.6953591,0.9335323,4.609628,4.175917,0.7146554,0.93944675
14,6.3204565,4.048631,14,0.41830328,0.28533792,2.8618305,1.2321082,0.70815057,0.8494125
