,reward rate,dec temp,cached weight,cached rate,subject
0,0.8998152,2.762104,5.5988398,0.74096704,0
1,0.7576749,3.56307,4.661586,0.07814428,1
2,0.5641133,2.349361,3.48829,0.20023055,2
3,0.09515739,3.4029844,1.3902498,0.34525716,3
4,0.8717301,2.852224,2.4290366,0.55058324,4
5,0.60158306,5.9822874,3.1131525,0.8077946,5
6,0.020055307,2.734305,2.357956,0.54066133,6
7,0.60160136,2.920794,3.0998394,0.81557655,7
8,0.94394875,4.522821,2.782843,0.9068498,8
9,0.52634287,1.8699687,4.5331564,0.05537713,9
10,0.7474567,4.778773,4.7479634,0.636355,10
11,0.37444368,3.6303327,3.0555863,0.5445601,11
12,0.8347565,3.7496564,7.3293023,0.83998275,12
13,0.14853252,3.592811,4.8105497,0.84360033,13
14,0.18140647,4.44628,1.512724,0.6578235,14
15,0.032344077,4.327752,4.035112,0.85052145,15
16,0.15653169,1.4449619,4.987431,0.7461353,16
17,0.6953969,1.6245772,3.5392997,0.7351859,17
18,0.7232997,1.4557207,1.4829618,0.31026113,18
19,0.25755778,1.0620728,3.0678158,0.1935621,19
20,0.38333452,1.1464514,3.63405,0.7451467,20
21,0.48910508,4.0252714,2.9836168,0.15807864,21
22,0.8066274,3.4554765,1.3571548,0.1186839,22
23,0.19438952,1.8461943,1.9675031,0.6170049,23
24,0.96705806,2.221218,2.8834882,0.19599167,24
25,0.83273005,1.3217603,3.516255,0.07868726,25
26,0.39223692,2.2334173,6.950445,0.6377563,26
27,0.3732448,3.1672416,4.9811244,0.23568049,27
28,0.24549939,2.526896,4.089336,0.40874866,28
29,0.9741769,4.6726165,2.346605,0.12368625,29
30,0.079486385,3.7410583,5.1990676,0.405075,30
31,0.34754807,5.2039056,3.5612547,0.1758219,31
32,0.7511242,3.1942797,4.954007,0.074581295,32
33,0.63572514,4.363743,2.3659053,0.34633833,33
34,0.40210268,6.028065,6.2229824,0.42044467,34
35,0.27299464,2.564545,6.028356,0.46473834,35
36,0.22379413,3.5151398,4.63155,0.21569704,36
37,0.2344711,2.3573978,3.0228372,0.51201177,37
38,0.4865222,5.4673166,4.5314755,0.8348726,38
39,0.8502273,2.4612994,1.7574546,0.21703307,39
40,0.6906223,5.699052,3.5188212,0.50583094,40
41,0.41683725,0.89244664,1.6650121,0.031883825,41
42,0.39034134,0.74253094,2.4884346,0.21683587,42
43,0.73678964,5.134121,2.341187,0.31700408,43
44,0.11557696,5.232346,5.243581,0.15330786,44
45,0.4181347,4.254224,1.7880577,0.8651175,45
46,0.8549194,2.5004497,3.4655528,0.1347755,46
47,0.46199462,2.5561018,3.4465506,0.19398783,47
48,0.18044983,5.4507427,4.4409313,0.31867692,48
49,0.52827877,3.0496922,5.3362994,0.58147526,49
50,0.21674977,2.3568516,3.9083793,0.0757143,50
51,0.68328214,5.65249,2.8345351,0.7172281,51
52,0.8824176,3.3549607,5.3855534,0.28638658,52
53,0.061668564,3.813937,2.7471733,0.1299071,53
54,0.25292453,2.9314437,5.388876,0.059210993,54
55,0.7258612,4.1286936,5.1900144,0.76227456,55
56,0.46990296,2.636359,6.8693314,0.05403501,56
57,0.6325219,3.530041,3.473198,0.8329325,57
58,0.45898962,2.5006418,4.435415,0.27952695,58
59,0.10494038,1.8475282,4.013439,0.93217695,59
