,locs0,locs1,locs2,locs3,subject
0,0.41459468,-1.0147374,-0.42435062,0.6827444,0
1,-1.0234191,-0.36743417,-0.72323954,-0.118110955,1
2,-2.210765,-2.3392715,-0.52764493,-0.52551883,2
3,0.8571559,-1.426545,0.49570164,0.58027834,3
4,1.1528547,-1.6249499,-1.2104461,0.56602836,4
5,1.0143036,-0.3105555,-0.72392035,0.29333574,5
6,0.09528574,-0.79713225,-0.67781955,0.9070739,6
7,2.1648488,-0.03679818,-0.58044034,-1.8244152,7
8,0.3834687,0.041511595,0.7209493,-0.5705253,8
9,1.306529,0.0739461,-0.9865764,-0.32680607,9
10,-1.2550044,1.4684048,-1.6256173,0.3987627,10
11,0.015697435,-0.71969324,-0.10688603,-1.597053,11
12,-0.11232321,-0.39936018,-0.44622952,-1.2601428,12
13,1.4354897,-0.8018929,-1.2975225,-0.42563373,13
14,0.83562934,0.8416449,-0.3976191,-0.49705505,14
15,1.0329537,-0.7253757,-0.24776816,0.45526314,0
16,-0.7194581,0.58179164,-1.1099985,1.2503206,1
17,0.036491454,-0.44194597,-0.51848984,-1.843425,2
18,0.8342327,-1.0050794,-0.04538387,-0.25182778,3
19,0.4253016,-1.305228,-1.5727115,0.08886838,4
20,0.6087449,-1.2272744,0.19376706,0.35366708,5
21,-0.24044353,-0.87298155,-0.60491824,0.71271,6
22,-0.079960585,-1.099531,-0.026633672,0.5940549,7
23,1.4502127,-0.7428261,-0.26668978,-0.6145533,8
24,0.41629,0.0140230395,-1.4778118,-0.9999677,9
25,-0.4677338,0.8054339,-1.4241971,0.258116,10
26,0.7670034,-0.74888253,-0.2767132,-1.224093,11
27,-0.58291596,-0.84799945,-0.47256666,-0.6568394,12
28,0.8237453,-1.5554377,-1.0082022,-0.0106963515,13
29,1.5596846,0.7515383,-0.70444363,0.12921453,14
30,-0.31332815,-0.6987329,-0.3718913,0.029754132,0
31,0.49714953,1.0032182,-0.2777574,-0.09614739,1
32,-1.1515405,-0.20465586,-1.1669976,0.09558588,2
33,0.9464426,0.31058156,-0.1027447,0.59617305,3
34,0.63410795,0.15777874,0.17733806,1.1844428,4
35,0.31449172,-0.21877754,-0.08279251,0.4509592,5
36,1.2194333,-0.5908762,-1.318805,0.20186996,6
37,0.05815941,-0.20144963,-1.1666764,-0.28566593,7
38,-1.2525108,-1.2111669,0.28385645,-0.8665926,8
39,-1.6654806,-0.23288988,-0.57233167,-0.561798,9
40,-1.3348473,0.4198695,-0.73557717,-0.6483023,10
41,1.4641577,-0.004472077,1.1686046,0.25361514,11
42,0.6411612,0.06320205,-0.445557,-0.25493163,12
43,0.859993,0.082602024,-0.5788636,0.52867055,13
44,1.0264906,-0.5621499,-0.5449227,-0.21833554,14
45,1.5830069,0.016643226,-0.6507909,0.7800537,0
46,-0.90284896,0.73984945,-1.1118801,-0.083435744,1
47,-1.3875396,-0.9475445,-1.7202146,-0.86286175,2
48,1.6880703,0.28407758,0.9286242,-0.12714899,3
49,1.1643475,-0.9888166,-0.85084015,0.21634024,4
50,0.275262,0.051467776,0.07593557,-0.111392856,5
51,1.0951617,-0.090005696,-0.35285202,-0.0549199,6
52,0.57245284,-0.32037228,-1.1930566,-0.8317727,7
53,0.34019342,-1.2020099,1.330809,-0.25318688,8
54,-2.3002653,0.15313722,-0.43719155,0.34105211,9
55,-0.73897123,0.49391824,-1.1360941,-0.733532,10
56,0.46609116,-1.0931283,0.2470998,-0.21435139,11
57,0.520433,-0.36440405,-0.5421194,0.2093015,12
58,0.5624656,-0.22206229,-4.2915344e-06,-0.5363354,13
59,0.68501264,-0.8952109,-0.40551504,0.27943337,14
60,0.5253282,-0.415277,-0.7850839,0.63471895,0
61,0.37913185,0.5655683,-1.092888,0.47359934,1
62,-0.79277253,-1.9851699,-1.4180123,-0.221623,2
63,1.1710961,-1.0660325,-0.02563548,-0.5445604,3
64,1.1568801,0.3451203,-0.7875645,1.35675,4
65,0.532908,-0.43936548,0.41013095,1.5382855,5
66,0.07459468,0.40849692,-1.1273007,0.8322444,6
67,-0.31422758,-1.0647056,-0.114759564,-0.8760141,7
68,-0.91358757,-1.0201907,-0.6717215,-0.4523284,8
69,-0.7357161,-0.11930668,-0.13477024,-1.514827,9
70,-0.10116631,1.0307131,-0.9760499,-1.8806047,10
71,1.2778794,0.9385318,0.5067845,-1.0568881,11
72,0.04118006,0.0964227,-1.1308589,-0.9133636,12
73,1.3461401,-0.15434438,-1.054336,0.20677423,13
74,0.19168052,-1.0054061,-0.11712232,-0.06368992,14
75,0.7554832,-0.9298037,-0.9803674,0.35842696,0
76,-1.3155243,0.12312266,-1.1000662,-1.2688664,1
77,-0.7141677,-1.0370991,-1.0510572,-1.4143984,2
78,0.5083408,-0.7191379,-0.3702969,-0.1848554,3
79,0.10270709,-0.5431726,-1.3001134,-0.19481343,4
80,0.5864156,-0.8006499,0.2773933,2.027746,5
